Track,Message Type,Note,Velocity,Time
1,note_on,57,49,360
1,note_on,57,0,120
1,note_on,69,55,0
1,note_on,66,49,0
1,note_on,62,49,0
1,note_on,62,0,480
1,note_on,66,0,0
1,note_on,69,0,0
1,note_on,57,46,360
1,note_on,57,0,120
1,note_on,62,48,0
1,note_on,66,48,0
1,note_on,69,54,0
1,note_on,69,0,480
1,note_on,66,0,0
1,note_on,62,0,0
1,note_on,57,45,0
1,note_on,62,45,0
1,note_on,66,65,0
1,note_on,66,0,160
1,note_on,66,60,0
1,note_on,66,0,160
1,note_on,66,57,0
1,note_on,62,0,40
1,note_on,57,0,0
1,note_on,66,0,60
1,note_on,66,55,0
1,note_on,66,0,30
1,note_on,69,49,0
1,note_on,69,0,30
1,note_on,67,58,0
1,note_on,67,0,240
1,note_on,66,60,0
1,note_on,66,0,240
1,note_on,57,38,0
1,note_on,62,38,0
1,note_on,66,38,0
1,note_on,69,63,0
1,note_on,69,0,720
1,note_on,57,0,0
1,note_on,62,0,0
1,note_on,66,0,0
1,note_on,66,56,0
1,note_on,74,63,0
1,note_on,74,0,120
1,note_on,76,70,0
1,note_on,76,0,120
1,note_on,66,0,0
1,note_on,66,52,0
1,note_on,78,75,0
1,note_on,78,0,360
1,note_on,73,67,0
1,note_on,76,55,60
1,note_on,76,0,60
1,note_on,73,0,0
1,note_on,74,75,0
1,note_on,74,0,240
1,note_on,66,0,0
1,note_on,65,46,0
1,note_on,71,68,0
1,note_on,65,0,120
1,note_on,66,45,0
1,note_on,66,0,120
1,note_on,71,0,0
1,note_on,61,50,0
1,note_on,67,60,0
1,note_on,67,0,720
1,note_on,61,0,0
1,note_on,64,50,0
1,note_on,67,60,0
1,note_on,67,0,120
1,note_on,64,0,0
1,note_on,66,50,0
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,66,0,0
1,note_on,67,56,0
1,note_on,71,67,0
1,note_on,71,0,360
1,note_on,67,0,0
1,note_on,73,63,0
1,note_on,69,53,0
1,note_on,69,0,120
1,note_on,73,0,0
1,note_on,73,57,0
1,note_on,76,68,0
1,note_on,76,0,240
1,note_on,73,0,0
1,note_on,71,53,0
1,note_on,74,63,0
1,note_on,74,0,240
1,note_on,71,0,0
1,note_on,71,56,0
1,note_on,74,67,0
1,note_on,74,0,60
1,note_on,71,0,0
1,note_on,73,49,0
1,note_on,76,58,0
1,note_on,76,0,60
1,note_on,73,0,0
1,note_on,71,51,0
1,note_on,74,61,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,73,56,0
1,note_on,69,47,0
1,note_on,69,0,480
1,note_on,73,0,0
1,note_on,73,56,0
1,note_on,76,67,0
1,note_on,76,0,120
1,note_on,73,0,0
1,note_on,67,49,0
1,note_on,71,58,0
1,note_on,71,0,120
1,note_on,67,0,0
1,note_on,71,54,0
1,note_on,74,64,0
1,note_on,74,0,360
1,note_on,71,0,0
1,note_on,66,48,0
1,note_on,69,57,0
1,note_on,69,0,90
1,note_on,66,0,0
1,note_on,69,51,30
1,note_on,73,61,0
1,note_on,73,0,120
1,note_on,69,0,0
1,note_on,64,45,120
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,64,0,0
1,note_on,65,49,120
1,note_on,71,58,0
1,note_on,71,0,240
1,note_on,65,0,0
1,note_on,69,54,0
1,note_on,66,45,0
1,note_on,66,0,480
1,note_on,69,0,0
1,note_on,62,61,0
1,note_on,74,70,0
1,note_on,74,0,240
1,note_on,62,0,0
1,note_on,62,54,0
1,note_on,74,76,0
1,note_on,74,0,160
1,note_on,73,72,0
1,note_on,73,0,160
1,note_on,71,66,0
1,note_on,71,0,160
1,note_on,62,0,0
1,note_on,67,36,0
1,note_on,62,36,0
1,note_on,73,77,0
1,note_on,73,0,240
1,note_on,71,66,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,74,75,0
1,note_on,62,54,0
1,note_on,74,0,240
1,note_on,66,66,0
1,note_on,67,57,180
1,note_on,67,0,60
1,note_on,66,0,0
1,note_on,62,0,0
1,note_on,66,65,0
1,note_on,66,0,160
1,note_on,65,61,0
1,note_on,65,0,160
1,note_on,66,67,0
1,note_on,66,0,160
1,note_on,62,50,0
1,note_on,67,71,0
1,note_on,67,0,160
1,note_on,71,66,0
1,note_on,71,0,160
1,note_on,74,68,0
1,note_on,74,0,160
1,note_on,62,0,0
1,note_on,73,71,0
1,note_on,73,0,240
1,note_on,71,66,0
1,note_on,71,0,240
1,note_on,74,72,0
1,note_on,62,51,0
1,note_on,66,51,0
1,note_on,66,0,720
1,note_on,62,0,0
1,note_on,74,0,0
1,note_on,68,54,0
1,note_on,78,68,0
1,note_on,78,0,240
1,note_on,68,0,0
1,note_on,69,51,0
1,note_on,78,72,0
1,note_on,78,0,160
1,note_on,69,0,0
1,note_on,76,67,0
1,note_on,76,0,160
1,note_on,67,55,0
1,note_on,73,67,0
1,note_on,73,0,160
1,note_on,67,0,0
1,note_on,68,50,0
1,note_on,74,73,0
1,note_on,74,0,240
1,note_on,71,65,0
1,note_on,71,0,240
1,note_on,68,0,0
1,note_on,69,49,0
1,note_on,76,72,0
1,note_on,64,47,0
1,note_on,76,0,240
1,note_on,73,66,0
1,note_on,73,0,240
1,note_on,64,0,0
1,note_on,69,0,0
1,note_on,61,46,0
1,note_on,66,46,0
1,note_on,69,64,0
1,note_on,69,0,160
1,note_on,71,64,0
1,note_on,71,0,160
1,note_on,73,71,0
1,note_on,73,0,160
1,note_on,66,0,0
1,note_on,61,0,0
1,note_on,69,36,0
1,note_on,62,38,0
1,note_on,76,72,0
1,note_on,76,0,160
1,note_on,74,68,0
1,note_on,74,0,160
1,note_on,73,65,0
1,note_on,73,0,160
1,note_on,62,0,0
1,note_on,69,0,0
1,note_on,73,66,0
1,note_on,68,47,0
1,note_on,62,47,0
1,note_on,73,0,240
1,note_on,71,59,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,68,0,0
1,note_on,61,46,0
1,note_on,69,62,0
1,note_on,69,0,480
1,note_on,61,0,0
1,note_on,57,41,480
1,note_on,62,41,0
1,note_on,66,69,0
1,note_on,66,0,160
1,note_on,66,60,0
1,note_on,66,0,160
1,note_on,66,56,0
1,note_on,62,0,40
1,note_on,57,0,0
1,note_on,66,0,60
1,note_on,66,50,0
1,note_on,66,0,30
1,note_on,69,45,0
1,note_on,69,0,30
1,note_on,67,58,0
1,note_on,67,0,240
1,note_on,66,59,0
1,note_on,66,0,240
1,note_on,62,34,0
1,note_on,57,34,0
1,note_on,66,34,0
1,note_on,69,60,0
1,note_on,69,0,720
1,note_on,62,0,0
1,note_on,57,0,0
1,note_on,66,0,0
1,note_on,66,54,0
1,note_on,74,64,0
1,note_on,74,0,120
1,note_on,76,70,0
1,note_on,76,0,120
1,note_on,66,0,0
1,note_on,78,75,0
1,note_on,78,0,360
1,note_on,73,64,0
1,note_on,76,54,60
1,note_on,76,0,60
1,note_on,73,0,0
1,note_on,74,72,0
1,note_on,74,0,240
1,note_on,65,45,0
1,note_on,71,66,0
1,note_on,65,0,120
1,note_on,66,47,0
1,note_on,66,0,120
1,note_on,71,0,0
1,note_on,61,48,0
1,note_on,67,57,0
1,note_on,67,0,720
1,note_on,61,0,0
1,note_on,64,50,0
1,note_on,67,60,0
1,note_on,67,0,120
1,note_on,64,0,0
1,note_on,66,53,0
1,note_on,70,63,0
1,note_on,70,0,120
1,note_on,66,0,0
1,note_on,67,57,0
1,note_on,71,68,0
1,note_on,71,0,360
1,note_on,67,0,0
1,note_on,70,56,0
1,note_on,73,67,0
1,note_on,73,0,120
1,note_on,70,0,0
1,note_on,76,70,0
1,note_on,73,54,0
1,note_on,73,0,240
1,note_on,76,0,0
1,note_on,74,67,0
1,note_on,67,45,0
1,note_on,64,45,0
1,note_on,64,0,240
1,note_on,67,0,0
1,note_on,74,0,0
1,note_on,64,47,0
1,note_on,66,47,0
1,note_on,70,47,0
1,note_on,74,70,0
1,note_on,74,0,240
1,note_on,73,64,0
1,note_on,73,0,240
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,64,0,0
1,note_on,66,56,240
1,note_on,70,63,0
1,note_on,70,0,120
1,note_on,72,68,0
1,note_on,72,0,120
1,note_on,66,0,0
1,note_on,66,61,0
1,note_on,73,75,0
1,note_on,73,0,360
1,note_on,74,71,0
1,note_on,74,0,120
1,note_on,66,0,0
1,note_on,78,76,0
1,note_on,70,57,0
1,note_on,78,0,240
1,note_on,76,71,0
1,note_on,76,0,240
1,note_on,70,0,0
1,note_on,65,55,0
1,note_on,71,57,0
1,note_on,73,65,0
1,note_on,73,0,240
1,note_on,65,0,0
1,note_on,66,52,0
1,note_on,74,70,0
1,note_on,74,0,240
1,note_on,66,0,0
1,note_on,71,0,0
1,note_on,74,74,240
1,note_on,74,0,240
1,note_on,67,41,0
1,note_on,71,41,0
1,note_on,73,76,0
1,note_on,73,0,160
1,note_on,76,68,0
1,note_on,76,0,160
1,note_on,78,65,0
1,note_on,78,0,160
1,note_on,76,71,0
1,note_on,76,0,240
1,note_on,71,66,0
1,note_on,71,0,240
1,note_on,71,0,0
1,note_on,67,0,0
1,note_on,66,50,0
1,note_on,71,50,0
1,note_on,74,71,0
1,note_on,74,0,720
1,note_on,74,74,0
1,note_on,74,0,240
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,67,41,0
1,note_on,71,41,0
1,note_on,73,76,0
1,note_on,73,0,160
1,note_on,76,71,0
1,note_on,76,0,160
1,note_on,78,69,0
1,note_on,78,0,160
1,note_on,76,71,0
1,note_on,76,0,240
1,note_on,71,69,0
1,note_on,71,0,240
1,note_on,71,0,0
1,note_on,67,0,0
1,note_on,66,50,0
1,note_on,71,50,0
1,note_on,74,71,0
1,note_on,74,0,720
1,note_on,74,68,0
1,note_on,74,0,240
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,62,38,0
1,note_on,66,38,0
1,note_on,71,71,0
1,note_on,71,0,160
1,note_on,73,68,0
1,note_on,73,0,160
1,note_on,74,64,0
1,note_on,74,0,160
1,note_on,71,70,0
1,note_on,71,0,240
1,note_on,66,64,0
1,note_on,66,0,240
1,note_on,66,0,0
1,note_on,62,0,0
1,note_on,66,47,0
1,note_on,61,47,0
1,note_on,70,68,0
1,note_on,70,0,720
1,note_on,70,57,0
1,note_on,70,0,240
1,note_on,61,0,0
1,note_on,66,0,0
1,note_on,68,57,0
1,note_on,65,36,0
1,note_on,68,0,160
1,note_on,70,63,0
1,note_on,73,45,100
1,note_on,73,0,60
1,note_on,70,0,0
1,note_on,71,51,0
1,note_on,71,0,160
1,note_on,65,0,0
1,note_on,70,60,0
1,note_on,70,0,240
1,note_on,68,52,0
1,note_on,68,0,240
1,note_on,73,58,0
1,note_on,61,44,0
1,note_on,66,44,0
1,note_on,70,44,0
1,note_on,73,0,720
1,note_on,70,48,0
1,note_on,70,0,240
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,61,0,0
1,note_on,71,48,0
1,note_on,65,34,0
1,note_on,71,0,160
1,note_on,73,53,0
1,note_on,73,0,160
1,note_on,77,51,0
1,note_on,77,0,160
1,note_on,75,53,0
1,note_on,75,0,60
1,note_on,77,46,0
1,note_on,77,0,60
1,note_on,75,46,0
1,note_on,75,0,120
1,note_on,73,51,0
1,note_on,73,0,240
1,note_on,65,0,0
1,note_on,70,34,0
1,note_on,61,48,0
1,note_on,61,0,160
1,note_on,63,53,0
1,note_on,63,0,160
1,note_on,65,51,0
1,note_on,65,0,160
1,note_on,63,47,0
1,note_on,63,0,40
1,note_on,65,37,0
1,note_on,65,0,40
1,note_on,63,37,0
1,note_on,63,0,80
1,note_on,61,40,0
1,note_on,61,0,160
1,note_on,70,0,0
1,note_on,70,47,0
1,note_on,66,40,0
1,note_on,66,0,160
1,note_on,70,0,0
1,note_on,71,34,0
1,note_on,66,48,0
1,note_on,66,0,160
1,note_on,65,52,0
1,note_on,65,0,160
1,note_on,63,48,0
1,note_on,63,0,160
1,note_on,71,0,0
1,note_on,65,46,0
1,note_on,71,46,0
1,note_on,65,0,240
1,note_on,61,46,0
1,note_on,61,0,240
1,note_on,71,0,0
1,note_on,66,34,0
1,note_on,70,48,0
1,note_on,70,0,160
1,note_on,71,53,0
1,note_on,71,0,160
1,note_on,72,54,0
1,note_on,72,0,160
1,note_on,73,57,0
1,note_on,77,46,100
1,note_on,77,0,60
1,note_on,73,0,0
1,note_on,75,49,0
1,note_on,75,0,160
1,note_on,73,48,0
1,note_on,73,0,160
1,note_on,66,0,0
1,note_on,65,34,0
1,note_on,71,48,0
1,note_on,71,0,160
1,note_on,73,53,0
1,note_on,73,0,160
1,note_on,77,51,0
1,note_on,77,0,160
1,note_on,75,55,0
1,note_on,75,0,60
1,note_on,77,48,0
1,note_on,77,0,60
1,note_on,75,47,0
1,note_on,75,0,120
1,note_on,73,51,0
1,note_on,73,0,240
1,note_on,65,0,0
1,note_on,66,44,0
1,note_on,61,44,0
1,note_on,70,52,0
1,note_on,70,0,480
1,note_on,61,0,0
1,note_on,66,0,0
1,note_on,62,44,0
1,note_on,66,44,0
1,note_on,69,57,0
1,note_on,69,0,160
1,note_on,74,50,0
1,note_on,74,0,160
1,note_on,71,50,0
1,note_on,71,0,160
1,note_on,66,0,0
1,note_on,62,0,0
1,note_on,62,40,0
1,note_on,69,52,0
1,note_on,69,0,160
1,note_on,67,44,0
1,note_on,67,0,160
1,note_on,74,44,0
1,note_on,74,0,160
1,note_on,62,0,0
1,note_on,65,47,0
1,note_on,61,35,0
1,note_on,65,0,240
1,note_on,73,49,0
1,note_on,73,0,240
1,note_on,61,0,0
1,note_on,61,44,0
1,note_on,66,48,0
1,note_on,66,0,480
1,note_on,61,0,0
1,note_on,60,51,0
1,note_on,63,51,0
1,note_on,66,60,0
1,note_on,66,0,160
1,note_on,69,53,0
1,note_on,69,0,160
1,note_on,67,53,0
1,note_on,67,0,160
1,note_on,63,0,0
1,note_on,60,0,0
1,note_on,59,47,0
1,note_on,66,56,0
1,note_on,66,0,160
1,note_on,64,51,0
1,note_on,64,0,160
1,note_on,71,50,0
1,note_on,71,0,160
1,note_on,59,0,0
1,note_on,64,50,0
1,note_on,61,42,0
1,note_on,64,0,240
1,note_on,65,46,0
1,note_on,65,0,240
1,note_on,61,0,0
1,note_on,57,32,0
1,note_on,62,32,0
1,note_on,66,51,0
1,note_on,66,0,160
1,note_on,66,49,0
1,note_on,66,0,160
1,note_on,66,45,0
1,note_on,62,0,40
1,note_on,57,0,0
1,note_on,66,0,60
1,note_on,66,40,0
1,note_on,66,0,30
1,note_on,69,37,0
1,note_on,69,0,30
1,note_on,67,53,0
1,note_on,67,0,240
1,note_on,66,48,0
1,note_on,66,0,240
1,note_on,66,30,0
1,note_on,57,30,0
1,note_on,62,30,0
1,note_on,69,49,0
1,note_on,69,0,720
1,note_on,66,0,0
1,note_on,57,0,0
1,note_on,62,0,0
1,note_on,66,47,0
1,note_on,74,51,0
1,note_on,74,0,120
1,note_on,76,57,0
1,note_on,76,0,120
1,note_on,66,0,0
1,note_on,66,49,0
1,note_on,78,60,0
1,note_on,78,0,360
1,note_on,73,51,0
1,note_on,76,42,60
1,note_on,76,0,60
1,note_on,73,0,0
1,note_on,74,58,0
1,note_on,74,0,240
