Track,Message Type,Note,Velocity,Time
1,note_on,72,29,660
1,note_on,77,29,20
1,note_on,81,29,20
1,note_on,84,36,20
1,note_on,84,0,240
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,81,27,0
1,note_on,84,34,0
1,note_on,77,27,0
1,note_on,72,27,0
1,note_on,72,0,240
1,note_on,81,0,0
1,note_on,84,0,0
1,note_on,77,0,0
1,note_on,84,34,0
1,note_on,72,27,0
1,note_on,81,27,0
1,note_on,77,27,0
1,note_on,77,0,180
1,note_on,84,0,0
1,note_on,72,0,0
1,note_on,81,0,0
1,note_on,72,29,0
1,note_on,77,29,20
1,note_on,81,29,20
1,note_on,84,36,20
1,note_on,84,0,240
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,77,27,0
1,note_on,72,27,0
1,note_on,84,34,0
1,note_on,81,27,0
1,note_on,81,0,240
1,note_on,77,0,0
1,note_on,72,0,0
1,note_on,84,0,0
1,note_on,77,27,0
1,note_on,84,34,0
1,note_on,81,27,0
1,note_on,72,27,0
1,note_on,72,0,180
1,note_on,77,0,0
1,note_on,84,0,0
1,note_on,81,0,0
1,note_on,72,29,0
1,note_on,77,29,20
1,note_on,81,29,20
1,note_on,84,36,20
1,note_on,84,0,240
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,81,27,0
1,note_on,84,34,0
1,note_on,72,27,0
1,note_on,77,27,0
1,note_on,77,0,240
1,note_on,81,0,0
1,note_on,84,0,0
1,note_on,72,0,0
1,note_on,81,27,0
1,note_on,77,27,0
1,note_on,84,34,0
1,note_on,72,27,0
1,note_on,72,0,180
1,note_on,81,0,0
1,note_on,77,0,0
1,note_on,84,0,0
1,note_on,72,29,0
1,note_on,77,29,20
1,note_on,81,29,20
1,note_on,84,36,20
1,note_on,84,0,240
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,81,27,0
1,note_on,84,34,0
1,note_on,77,27,0
1,note_on,72,27,0
1,note_on,72,0,240
1,note_on,81,0,0
1,note_on,84,0,0
1,note_on,77,0,0
1,note_on,84,34,0
1,note_on,72,27,0
1,note_on,81,27,0
1,note_on,77,27,0
1,note_on,77,0,180
1,note_on,84,0,0
1,note_on,72,0,0
1,note_on,81,0,0
1,note_on,72,29,0
1,note_on,77,29,20
1,note_on,81,29,20
1,note_on,84,36,20
1,note_on,84,0,240
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,77,27,0
1,note_on,72,27,0
1,note_on,84,34,0
1,note_on,81,27,0
1,note_on,81,0,240
1,note_on,77,0,0
1,note_on,72,0,0
1,note_on,84,0,0
1,note_on,77,27,0
1,note_on,84,34,0
1,note_on,81,27,0
1,note_on,72,27,0
1,note_on,72,0,180
1,note_on,77,0,0
1,note_on,84,0,0
1,note_on,81,0,0
1,note_on,72,29,0
1,note_on,77,29,20
1,note_on,81,29,20
1,note_on,84,36,20
1,note_on,84,0,240
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,84,34,0
1,note_on,72,27,0
1,note_on,81,27,0
