Track,Message Type,Note,Velocity,Time
1,note_on,49,39,0
1,note_on,53,39,0
1,note_on,56,47,0
1,note_on,56,0,480
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,49,37,0
1,note_on,58,44,0
1,note_on,54,44,0
1,note_on,54,0,480
1,note_on,58,0,0
1,note_on,49,0,0
1,note_on,49,37,0
1,note_on,53,37,0
1,note_on,56,44,0
1,note_on,56,0,720
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,58,44,0
1,note_on,51,37,0
1,note_on,49,37,0
1,note_on,49,0,240
1,note_on,51,0,0
1,note_on,58,0,0
1,note_on,49,39,0
1,note_on,51,39,0
1,note_on,56,47,0
1,note_on,56,0,480
1,note_on,51,0,0
1,note_on,49,0,0
1,note_on,56,46,0
1,note_on,48,38,0
1,note_on,51,38,0
1,note_on,51,0,480
1,note_on,48,0,0
1,note_on,56,0,0
1,note_on,49,39,0
1,note_on,53,39,0
1,note_on,56,47,0
1,note_on,56,0,960
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,61,54,0
1,note_on,56,45,0
1,note_on,53,45,0
1,note_on,53,0,480
1,note_on,56,0,0
1,note_on,61,0,0
1,note_on,54,47,0
1,note_on,58,47,0
1,note_on,61,56,0
1,note_on,61,0,480
1,note_on,58,0,0
1,note_on,54,0,0
1,note_on,56,36,0
1,note_on,53,36,0
1,note_on,61,44,0
1,note_on,61,0,720
1,note_on,53,0,0
1,note_on,56,0,0
1,note_on,52,37,0
1,note_on,61,44,0
1,note_on,55,37,0
1,note_on,55,0,240
1,note_on,61,0,0
1,note_on,52,0,0
1,note_on,54,39,0
1,note_on,51,39,0
1,note_on,61,47,0
1,note_on,61,0,480
1,note_on,51,0,0
1,note_on,54,0,0
1,note_on,51,37,0
1,note_on,60,43,0
1,note_on,54,37,0
1,note_on,54,0,480
1,note_on,60,0,0
1,note_on,51,0,0
1,note_on,49,37,0
1,note_on,53,37,0
1,note_on,61,43,0
1,note_on,61,0,720
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,49,39,240
1,note_on,53,39,0
1,note_on,56,47,0
1,note_on,56,0,480
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,49,37,0
1,note_on,54,44,0
1,note_on,58,44,0
1,note_on,58,0,480
1,note_on,54,0,0
1,note_on,49,0,0
1,note_on,49,37,0
1,note_on,53,37,0
1,note_on,56,44,0
1,note_on,56,0,720
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,49,37,0
1,note_on,51,37,0
1,note_on,58,44,0
1,note_on,58,0,240
1,note_on,51,0,0
1,note_on,49,0,0
1,note_on,49,39,0
1,note_on,51,39,0
1,note_on,56,47,0
1,note_on,56,0,480
1,note_on,51,0,0
1,note_on,49,0,0
1,note_on,48,38,0
1,note_on,51,38,0
1,note_on,56,46,0
1,note_on,56,0,480
1,note_on,51,0,0
1,note_on,48,0,0
1,note_on,49,39,0
1,note_on,53,39,0
1,note_on,56,47,0
1,note_on,56,0,960
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,53,45,0
1,note_on,56,45,0
1,note_on,61,54,0
1,note_on,61,0,480
1,note_on,56,0,0
1,note_on,53,0,0
1,note_on,54,47,0
1,note_on,58,47,0
1,note_on,61,56,0
1,note_on,61,0,480
1,note_on,58,0,0
1,note_on,54,0,0
1,note_on,53,34,0
1,note_on,56,34,0
1,note_on,61,41,0
1,note_on,61,0,720
1,note_on,56,0,0
1,note_on,53,0,0
1,note_on,52,37,0
1,note_on,55,37,0
1,note_on,61,44,0
1,note_on,61,0,240
1,note_on,55,0,0
1,note_on,52,0,0
1,note_on,51,39,0
1,note_on,54,39,0
1,note_on,61,47,0
1,note_on,61,0,480
1,note_on,54,0,0
1,note_on,51,0,0
1,note_on,51,37,0
1,note_on,54,37,0
1,note_on,60,43,0
1,note_on,60,0,480
1,note_on,54,0,0
1,note_on,51,0,0
1,note_on,49,37,0
1,note_on,53,37,0
1,note_on,61,43,0
1,note_on,61,0,720
1,note_on,53,0,0
1,note_on,49,0,0
1,note_on,48,39,240
1,note_on,51,39,0
1,note_on,56,47,0
1,note_on,56,0,480
1,note_on,51,0,0
1,note_on,48,0,0
1,note_on,48,37,0
1,note_on,54,44,0
1,note_on,56,44,0
1,note_on,56,0,420
1,note_on,54,0,0
