Track,Message Type,Note,Velocity,Time
1,note_on,74,88,1320
1,note_on,77,88,0
1,note_on,82,88,0
1,note_on,86,105,0
1,note_on,86,0,120
1,note_on,74,0,0
1,note_on,77,0,0
1,note_on,82,0,0
1,note_on,77,79,0
1,note_on,82,79,0
1,note_on,74,79,0
1,note_on,86,94,0
1,note_on,86,0,180
1,note_on,77,0,0
1,note_on,82,0,0
1,note_on,74,0,0
1,note_on,74,80,60
1,note_on,87,100,0
1,note_on,77,80,0
1,note_on,82,80,0
1,note_on,82,0,45
1,note_on,74,0,0
1,note_on,87,0,0
1,note_on,77,0,0
1,note_on,86,97,75
1,note_on,74,82,0
1,note_on,82,82,0
1,note_on,77,82,0
1,note_on,77,0,45
1,note_on,86,0,0
1,note_on,74,0,0
1,note_on,82,0,0
1,note_on,77,88,75
1,note_on,74,88,0
1,note_on,82,88,0
1,note_on,86,105,0
1,note_on,86,0,120
1,note_on,77,0,0
1,note_on,74,0,0
1,note_on,82,0,0
1,note_on,74,80,120
1,note_on,70,80,0
1,note_on,77,80,0
1,note_on,82,96,0
1,note_on,82,0,120
1,note_on,74,0,0
1,note_on,70,0,0
1,note_on,77,0,0
1,note_on,82,88,960
1,note_on,86,88,0
1,note_on,77,88,0
1,note_on,89,105,0
1,note_on,89,0,120
1,note_on,82,0,0
1,note_on,86,0,0
1,note_on,77,0,0
1,note_on,77,79,0
1,note_on,82,79,0
1,note_on,86,79,0
1,note_on,89,94,0
1,note_on,89,0,180
1,note_on,77,0,0
1,note_on,82,0,0
1,note_on,86,0,0
1,note_on,82,80,60
1,note_on,86,80,0
1,note_on,91,100,0
1,note_on,77,80,0
1,note_on,77,0,45
1,note_on,82,0,0
1,note_on,86,0,0
1,note_on,91,0,0
1,note_on,77,82,75
1,note_on,82,82,0
1,note_on,89,97,0
1,note_on,86,82,0
1,note_on,86,0,45
1,note_on,77,0,0
1,note_on,82,0,0
1,note_on,89,0,0
1,note_on,89,105,75
1,note_on,77,88,0
1,note_on,82,88,0
1,note_on,86,88,0
1,note_on,86,0,120
1,note_on,89,0,0
1,note_on,77,0,0
1,note_on,82,0,0
1,note_on,74,80,120
1,note_on,77,80,0
1,note_on,82,80,0
1,note_on,86,96,0
1,note_on,86,0,120
1,note_on,74,0,0
1,note_on,77,0,0
1,note_on,82,0,0
1,note_on,70,50,360
1,note_on,70,0,120
1,note_on,72,45,0
1,note_on,72,0,120
1,note_on,74,50,0
1,note_on,67,39,240
1,note_on,67,0,240
1,note_on,74,0,0
1,note_on,69,33,0
1,note_on,72,39,0
1,note_on,72,0,240
1,note_on,69,0,0
1,note_on,68,42,0
1,note_on,72,50,0
1,note_on,72,0,120
1,note_on,74,46,0
1,note_on,74,0,120
1,note_on,68,0,0
1,note_on,75,55,0
1,note_on,67,46,0
1,note_on,67,0,240
1,note_on,69,45,0
1,note_on,69,0,240
1,note_on,75,0,0
1,note_on,70,38,0
1,note_on,74,45,0
1,note_on,74,0,240
1,note_on,70,0,0
1,note_on,67,39,0
1,note_on,74,47,0
1,note_on,74,0,120
1,note_on,75,50,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,65,45,0
1,note_on,77,54,0
1,note_on,65,0,240
1,note_on,70,45,0
1,note_on,77,0,120
1,note_on,79,52,0
1,note_on,79,0,120
1,note_on,70,0,0
1,note_on,67,42,0
1,note_on,77,50,0
1,note_on,77,0,120
1,note_on,75,43,0
1,note_on,67,0,120
1,note_on,69,43,0
1,note_on,75,0,120
1,note_on,77,45,0
1,note_on,77,0,120
1,note_on,69,0,0
1,note_on,70,35,0
1,note_on,65,35,0
1,note_on,75,49,0
1,note_on,75,0,120
1,note_on,74,41,0
1,note_on,74,0,120
1,note_on,65,0,0
1,note_on,70,0,0
1,note_on,72,30,0
1,note_on,77,43,0
1,note_on,67,30,0
1,note_on,77,0,120
1,note_on,75,37,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,69,30,0
1,note_on,72,35,0
1,note_on,72,0,240
1,note_on,69,0,0
1,note_on,82,50,0
1,note_on,82,0,120
1,note_on,84,45,0
1,note_on,84,0,120
1,note_on,86,50,0
1,note_on,79,39,240
1,note_on,79,0,240
1,note_on,86,0,0
1,note_on,81,33,0
1,note_on,84,39,0
1,note_on,84,0,240
1,note_on,81,0,0
1,note_on,84,50,0
1,note_on,80,42,0
1,note_on,84,0,120
1,note_on,86,46,0
1,note_on,86,0,120
1,note_on,80,0,0
1,note_on,79,46,0
1,note_on,87,55,0
1,note_on,79,0,240
1,note_on,81,45,0
1,note_on,81,0,240
1,note_on,87,0,0
1,note_on,86,45,0
1,note_on,82,38,0
1,note_on,82,0,240
1,note_on,86,0,0
1,note_on,79,39,0
1,note_on,86,51,0
1,note_on,86,0,120
1,note_on,87,55,0
1,note_on,87,0,120
1,note_on,79,0,0
1,note_on,89,59,0
1,note_on,77,45,0
1,note_on,77,0,240
1,note_on,82,45,0
1,note_on,89,0,120
1,note_on,91,57,0
1,note_on,91,0,120
1,note_on,82,0,0
1,note_on,89,55,0
1,note_on,79,42,0
1,note_on,89,0,120
1,note_on,87,47,0
