Track,Message Type,Note,Velocity,Time
1,note_on,60,40,720
1,note_on,60,0,240
1,note_on,59,45,0
1,note_on,59,0,240
1,note_on,60,40,0
1,note_on,60,0,240
1,note_on,65,45,0
1,note_on,65,0,120
1,note_on,65,38,120
1,note_on,65,0,120
1,note_on,63,45,120
1,note_on,63,0,480
1,note_on,60,40,240
1,note_on,60,0,240
1,note_on,59,45,0
1,note_on,59,0,240
1,note_on,60,40,0
1,note_on,60,0,240
1,note_on,68,45,0
1,note_on,68,0,120
1,note_on,68,38,120
1,note_on,68,0,120
1,note_on,67,45,120
1,note_on,67,0,480
1,note_on,60,40,240
1,note_on,60,0,240
1,note_on,59,45,0
1,note_on,59,0,240
1,note_on,60,40,0
1,note_on,60,0,240
1,note_on,72,45,0
1,note_on,72,0,120
1,note_on,72,38,120
1,note_on,72,0,120
1,note_on,72,45,120
1,note_on,72,0,240
1,note_on,74,45,0
1,note_on,74,0,60
1,note_on,72,45,0
1,note_on,72,0,60
1,note_on,71,40,0
1,note_on,71,0,60
1,note_on,72,45,0
1,note_on,72,0,60
1,note_on,75,50,0
1,note_on,75,0,240
1,note_on,74,45,0
1,note_on,74,0,240
1,note_on,77,56,0
1,note_on,77,0,240
1,note_on,75,53,0
1,note_on,75,0,240
1,note_on,74,50,0
1,note_on,74,0,240
1,note_on,72,47,0
1,note_on,72,0,240
1,note_on,71,51,0
1,note_on,71,0,480
1,note_on,55,40,240
1,note_on,55,0,240
1,note_on,54,45,0
1,note_on,54,0,240
1,note_on,55,40,0
1,note_on,55,0,240
1,note_on,60,45,0
1,note_on,60,0,120
1,note_on,60,38,120
1,note_on,60,0,120
1,note_on,59,45,120
1,note_on,59,0,480
1,note_on,55,40,240
1,note_on,55,0,240
1,note_on,54,45,0
1,note_on,54,0,240
1,note_on,55,40,0
1,note_on,55,0,240
1,note_on,63,45,0
1,note_on,63,0,120
1,note_on,63,38,120
1,note_on,63,0,120
1,note_on,62,45,120
1,note_on,62,0,480
1,note_on,55,45,240
1,note_on,55,0,120
1,note_on,59,51,120
1,note_on,59,0,120
1,note_on,62,45,120
1,note_on,62,0,120
1,note_on,65,45,120
1,note_on,65,0,120
1,note_on,68,45,120
1,note_on,68,0,120
1,note_on,71,55,120
1,note_on,71,0,120
1,note_on,74,53,120
1,note_on,74,0,120
1,note_on,77,56,120
1,note_on,77,0,120
1,note_on,80,60,120
1,note_on,80,0,120
1,note_on,79,63,120
1,note_on,79,0,120
1,note_on,77,59,120
1,note_on,77,0,120
1,note_on,75,55,120
1,note_on,75,0,120
1,note_on,74,54,120
1,note_on,74,0,120
1,note_on,72,62,120
1,note_on,72,0,480
1,note_on,72,50,240
1,note_on,72,0,240
1,note_on,71,57,0
1,note_on,71,0,240
1,note_on,72,53,0
1,note_on,72,0,240
1,note_on,84,60,0
1,note_on,84,0,120
1,note_on,84,52,120
1,note_on,84,0,120
1,note_on,84,60,120
1,note_on,84,0,480
1,note_on,89,59,240
1,note_on,89,0,240
1,note_on,87,65,0
1,note_on,87,0,240
1,note_on,86,60,0
1,note_on,86,0,240
1,note_on,84,66,0
1,note_on,84,0,240
1,note_on,83,60,0
1,note_on,83,0,240
1,note_on,86,69,0
1,note_on,86,0,240
1,note_on,84,60,0
1,note_on,84,0,240
1,note_on,72,50,240
1,note_on,72,0,240
1,note_on,71,57,0
1,note_on,71,0,240
1,note_on,72,53,0
1,note_on,72,0,240
1,note_on,84,60,0
1,note_on,84,0,120
1,note_on,84,52,120
1,note_on,84,0,120
1,note_on,84,60,120
1,note_on,84,0,480
1,note_on,86,60,0
1,note_on,86,0,60
1,note_on,84,60,0
1,note_on,84,0,60
1,note_on,83,60,0
1,note_on,83,0,60
1,note_on,84,60,0
1,note_on,84,0,60
1,note_on,89,59,0
1,note_on,89,0,240
1,note_on,87,65,0
1,note_on,87,0,240
1,note_on,86,60,0
1,note_on,86,0,240
1,note_on,84,66,0
1,note_on,84,0,240
1,note_on,83,60,0
1,note_on,83,0,240
1,note_on,84,69,0
1,note_on,84,0,120
1,note_on,86,63,0
1,note_on,86,0,120
1,note_on,84,63,0
1,note_on,84,0,120
1,note_on,83,63,0
1,note_on,83,0,120
1,note_on,84,69,0
1,note_on,84,0,120
1,note_on,87,73,0
1,note_on,87,0,120
1,note_on,86,72,0
1,note_on,86,0,120
1,note_on,84,71,0
1,note_on,84,0,120
1,note_on,83,72,0
1,note_on,83,0,120
1,note_on,84,65,0
1,note_on,84,0,120
1,note_on,83,65,0
1,note_on,83,0,120
1,note_on,80,65,0
1,note_on,80,0,120
1,note_on,79,69,0
1,note_on,79,0,120
1,note_on,77,63,0
1,note_on,77,0,120
1,note_on,75,63,0
1,note_on,75,0,120
1,note_on,74,63,0
1,note_on,74,0,120
1,note_on,72,69,0
1,note_on,72,0,120
1,note_on,74,63,0
1,note_on,74,0,120
1,note_on,72,63,0
1,note_on,72,0,120
1,note_on,71,61,0
1,note_on,71,0,120
1,note_on,72,66,0
1,note_on,72,0,120
1,note_on,75,72,0
1,note_on,75,0,120
1,note_on,74,70,0
1,note_on,74,0,120
1,note_on,72,67,0
1,note_on,72,0,120
1,note_on,71,69,0
1,note_on,71,0,120
1,note_on,72,63,0
1,note_on,72,0,120
1,note_on,71,63,0
1,note_on,71,0,120
1,note_on,68,63,0
1,note_on,68,0,120
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,65,63,0
1,note_on,65,0,120
1,note_on,63,63,0
1,note_on,63,0,120
1,note_on,62,63,0
1,note_on,62,0,120
1,note_on,60,77,0
1,note_on,60,0,120
1,note_on,62,69,0
1,note_on,62,0,120
1,note_on,60,69,0
1,note_on,60,0,120
1,note_on,59,69,0
1,note_on,59,0,120
1,note_on,60,77,0
1,note_on,60,0,120
1,note_on,63,69,0
1,note_on,63,0,120
1,note_on,62,69,0
1,note_on,62,0,120
1,note_on,60,69,0
1,note_on,60,0,120
1,note_on,59,77,0
1,note_on,59,0,120
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,62,69,0
1,note_on,62,0,120
1,note_on,59,69,0
1,note_on,59,0,120
1,note_on,55,79,0
1,note_on,55,0,120
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,63,69,0
1,note_on,63,0,120
1,note_on,60,69,0
1,note_on,60,0,120
1,note_on,55,81,0
1,note_on,55,0,120
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,62,69,0
1,note_on,62,0,120
1,note_on,59,69,0
1,note_on,59,0,120
1,note_on,55,80,0
1,note_on,55,0,120
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,63,69,0
1,note_on,63,0,120
1,note_on,60,69,0
1,note_on,60,0,120
1,note_on,55,80,0
1,note_on,55,0,120
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,62,69,0
1,note_on,62,0,120
1,note_on,59,69,0
1,note_on,59,0,120
1,note_on,55,80,0
1,note_on,55,0,120
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,63,69,0
1,note_on,63,0,120
1,note_on,60,69,0
1,note_on,60,0,120
1,note_on,55,74,0
1,note_on,59,74,0
1,note_on,62,74,0
1,note_on,67,89,0
1,note_on,67,0,960
1,note_on,55,0,0
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,58,40,240
1,note_on,58,0,120
1,note_on,60,37,120
1,note_on,60,0,120
1,note_on,62,37,120
1,note_on,62,0,120
1,note_on,55,39,120
1,note_on,58,39,0
1,note_on,63,46,0
1,note_on,63,0,120
1,note_on,65,40,120
1,note_on,65,0,120
1,note_on,67,40,120
1,note_on,67,0,120
1,note_on,58,0,360
1,note_on,55,0,0
1,note_on,58,38,0
1,note_on,62,38,0
1,note_on,65,45,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,58,0,0
1,note_on,58,33,360
1,note_on,63,39,0
1,note_on,63,0,120
1,note_on,58,0,0
1,note_on,56,37,360
1,note_on,58,37,0
1,note_on,62,37,0
1,note_on,68,45,0
1,note_on,68,0,960
1,note_on,56,0,0
1,note_on,58,0,0
1,note_on,62,0,0
1,note_on,58,40,240
1,note_on,58,0,120
1,note_on,60,37,120
1,note_on,60,0,120
1,note_on,62,37,120
1,note_on,62,0,120
1,note_on,55,39,120
1,note_on,58,39,0
1,note_on,63,46,0
1,note_on,63,0,120
1,note_on,65,40,120
1,note_on,65,0,120
1,note_on,67,40,120
1,note_on,67,0,120
1,note_on,58,0,360
1,note_on,55,0,0
1,note_on,53,38,0
1,note_on,60,38,0
1,note_on,65,45,0
1,note_on,65,0,120
1,note_on,60,0,0
1,note_on,53,0,0
1,note_on,60,33,360
1,note_on,53,33,0
1,note_on,63,39,0
1,note_on,63,0,120
1,note_on,53,0,0
1,note_on,60,0,0
1,note_on,50,31,360
1,note_on,53,31,0
1,note_on,58,37,0
1,note_on,58,0,960
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,58,40,240
1,note_on,58,0,120
1,note_on,60,37,120
1,note_on,60,0,120
1,note_on,62,37,120
1,note_on,62,0,120
1,note_on,55,39,120
1,note_on,58,39,0
1,note_on,63,46,0
1,note_on,63,0,120
1,note_on,65,40,120
1,note_on,65,0,120
1,note_on,67,40,120
1,note_on,67,0,120
1,note_on,58,0,360
1,note_on,55,0,0
1,note_on,58,38,0
1,note_on,62,38,0
1,note_on,65,45,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,58,0,0
1,note_on,58,33,360
1,note_on,63,39,0
1,note_on,63,0,120
1,note_on,58,0,0
1,note_on,60,45,315
1,note_on,63,50,15
1,note_on,68,63,15
1,note_on,72,72,15
1,note_on,68,0,960
1,note_on,60,0,0
1,note_on,63,0,0
1,note_on,72,0,240
1,note_on,72,48,0
1,note_on,72,0,120
1,note_on,70,53,120
1,note_on,70,0,120
1,note_on,68,50,120
1,note_on,68,0,120
1,note_on,67,53,120
1,note_on,67,0,240
1,note_on,65,48,0
1,note_on,65,0,240
1,note_on,63,48,0
1,note_on,63,0,120
1,note_on,62,48,120
1,note_on,62,0,120
1,note_on,53,45,120
1,note_on,56,45,0
1,note_on,60,53,0
1,note_on,60,0,480
1,note_on,58,49,0
1,note_on,58,0,480
1,note_on,56,0,0
1,note_on,53,0,0
1,note_on,51,41,0
1,note_on,55,41,0
1,note_on,58,49,0
1,note_on,58,0,960
1,note_on,55,0,0
1,note_on,51,0,0
1,note_on,70,48,240
1,note_on,70,0,120
1,note_on,68,53,120
1,note_on,68,0,120
1,note_on,67,50,120
1,note_on,67,0,120
1,note_on,67,53,120
1,note_on,67,0,240
1,note_on,65,48,0
1,note_on,65,0,240
1,note_on,63,48,0
1,note_on,63,0,120
1,note_on,62,48,120
1,note_on,62,0,120
1,note_on,53,45,120
1,note_on,56,45,0
1,note_on,60,53,0
1,note_on,60,0,480
1,note_on,58,49,0
1,note_on,58,0,480
1,note_on,56,0,0
1,note_on,53,0,0
1,note_on,51,54,0
1,note_on,55,54,0
1,note_on,58,54,0
1,note_on,58,0,960
1,note_on,55,0,0
1,note_on,51,0,0
1,note_on,82,48,240
