Track,Message Type,Note,Velocity,Time
1,note_on,51,79,0
1,note_on,55,79,0
1,note_on,60,93,0
1,note_on,60,0,1320
1,note_on,55,0,0
1,note_on,51,0,0
1,note_on,55,40,0
1,note_on,60,47,0
1,note_on,60,0,120
1,note_on,55,0,0
1,note_on,55,42,0
1,note_on,59,42,0
1,note_on,62,50,0
1,note_on,62,0,360
1,note_on,59,0,0
1,note_on,55,0,0
1,note_on,55,39,0
1,note_on,60,46,0
1,note_on,63,46,0
1,note_on,63,0,108
1,note_on,60,0,0
1,note_on,55,0,0
1,note_on,57,42,12
1,note_on,60,50,0
1,note_on,63,50,0
1,note_on,63,0,960
1,note_on,60,0,0
1,note_on,57,0,0
1,note_on,59,29,0
1,note_on,62,36,0
1,note_on,62,0,480
1,note_on,59,0,0
1,note_on,59,91,480
1,note_on,62,91,0
1,note_on,65,104,0
1,note_on,65,0,1320
1,note_on,62,0,0
1,note_on,59,0,0
1,note_on,62,42,0
1,note_on,59,42,0
1,note_on,65,50,0
1,note_on,65,0,108
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,59,44,12
1,note_on,62,44,0
1,note_on,67,53,0
1,note_on,67,0,360
1,note_on,62,0,0
1,note_on,59,0,0
1,note_on,62,49,0
1,note_on,68,49,0
1,note_on,59,41,0
1,note_on,59,0,108
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,68,53,12
1,note_on,59,44,0
1,note_on,62,53,0
1,note_on,62,0,960
1,note_on,59,0,0
1,note_on,68,0,0
1,note_on,60,31,0
1,note_on,67,38,0
1,note_on,63,31,0
1,note_on,63,0,480
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,66,88,480
1,note_on,69,88,0
1,note_on,72,102,0
1,note_on,72,0,1320
1,note_on,69,0,0
1,note_on,66,0,0
1,note_on,69,49,0
1,note_on,66,49,0
1,note_on,72,58,0
1,note_on,72,0,108
1,note_on,66,0,0
1,note_on,69,0,0
1,note_on,66,54,12
1,note_on,69,54,0
1,note_on,74,64,0
1,note_on,74,0,360
1,note_on,69,0,0
1,note_on,66,0,0
1,note_on,69,67,0
1,note_on,75,67,0
1,note_on,66,57,0
1,note_on,66,0,108
1,note_on,75,0,0
1,note_on,69,0,0
1,note_on,75,74,12
1,note_on,66,62,0
1,note_on,69,62,0
1,note_on,69,0,960
1,note_on,66,0,0
1,note_on,75,0,0
1,note_on,62,35,0
1,note_on,74,42,0
1,note_on,67,35,0
1,note_on,67,0,120
1,note_on,74,0,0
1,note_on,62,0,0
1,note_on,69,51,240
1,note_on,66,51,0
1,note_on,72,60,0
1,note_on,72,0,108
1,note_on,66,0,0
1,note_on,69,0,0
1,note_on,66,56,12
1,note_on,69,56,0
1,note_on,74,67,0
1,note_on,74,0,360
1,note_on,69,0,0
1,note_on,66,0,0
1,note_on,69,70,0
1,note_on,75,70,0
1,note_on,66,59,0
1,note_on,66,0,108
1,note_on,75,0,0
1,note_on,69,0,0
1,note_on,75,77,12
1,note_on,66,65,0
1,note_on,69,65,0
1,note_on,69,0,960
1,note_on,66,0,0
1,note_on,75,0,0
1,note_on,67,47,0
1,note_on,74,55,0
1,note_on,74,0,480
1,note_on,67,0,0
1,note_on,67,53,0
1,note_on,72,53,0
1,note_on,76,63,0
1,note_on,76,0,480
1,note_on,72,0,0
1,note_on,67,0,0
1,note_on,68,58,0
1,note_on,72,58,0
1,note_on,77,70,0
1,note_on,77,0,240
1,note_on,72,0,0
1,note_on,68,0,0
1,note_on,80,84,240
1,note_on,80,0,600
1,note_on,79,61,0
1,note_on,79,0,60
1,note_on,80,63,0
1,note_on,80,0,60
1,note_on,82,65,0
1,note_on,82,0,60
1,note_on,80,67,0
1,note_on,80,0,60
1,note_on,79,67,0
1,note_on,79,0,60
1,note_on,77,67,0
1,note_on,77,0,60
1,note_on,75,67,0
1,note_on,75,0,60
1,note_on,74,67,0
1,note_on,74,0,60
1,note_on,72,67,0
1,note_on,72,0,60
1,note_on,70,67,0
1,note_on,70,0,60
1,note_on,68,63,0
1,note_on,68,0,27
1,note_on,67,62,0
1,note_on,67,0,27
1,note_on,65,60,0
1,note_on,65,0,27
1,note_on,63,59,0
1,note_on,63,0,27
1,note_on,62,58,0
1,note_on,62,0,27
1,note_on,65,57,0
1,note_on,65,0,27
1,note_on,68,55,0
1,note_on,68,0,27
1,note_on,65,54,0
1,note_on,65,0,27
1,note_on,62,53,0
1,note_on,62,0,24
1,note_on,63,50,0
1,note_on,63,0,240
1,note_on,63,46,240
1,note_on,75,55,0
1,note_on,75,0,840
1,note_on,63,0,0
1,note_on,63,46,0
1,note_on,75,55,0
1,note_on,75,0,120
1,note_on,63,0,0
1,note_on,65,48,0
1,note_on,77,57,0
1,note_on,77,0,360
1,note_on,65,0,0
1,note_on,67,49,0
1,note_on,79,59,0
1,note_on,79,0,114
1,note_on,67,0,0
1,note_on,67,49,6
1,note_on,79,59,0
1,note_on,79,0,480
1,note_on,67,0,0
1,note_on,65,42,0
1,note_on,77,50,0
1,note_on,77,0,240
1,note_on,65,0,0
1,note_on,65,90,120
1,note_on,65,0,120
1,note_on,53,81,0
1,note_on,56,81,0
1,note_on,59,81,0
1,note_on,65,96,0
1,note_on,65,0,360
1,note_on,53,0,0
1,note_on,56,0,0
1,note_on,59,0,0
1,note_on,53,74,0
1,note_on,56,74,0
1,note_on,59,74,0
1,note_on,65,89,0
1,note_on,65,0,114
1,note_on,53,0,0
1,note_on,56,0,0
1,note_on,59,0,0
1,note_on,53,79,6
1,note_on,56,79,0
1,note_on,60,79,0
1,note_on,65,93,0
1,note_on,65,0,360
1,note_on,53,0,0
1,note_on,56,0,0
1,note_on,60,0,0
1,note_on,53,79,0
1,note_on,56,79,0
1,note_on,60,79,0
1,note_on,65,93,0
1,note_on,65,0,114
1,note_on,53,0,0
1,note_on,56,0,0
1,note_on,60,0,0
1,note_on,53,79,6
1,note_on,56,79,0
1,note_on,62,79,0
1,note_on,65,93,0
1,note_on,65,0,480
1,note_on,53,0,0
1,note_on,56,0,0
1,note_on,62,0,0
1,note_on,65,46,0
1,note_on,77,55,0
1,note_on,77,0,840
1,note_on,65,0,0
1,note_on,65,46,0
1,note_on,77,55,0
1,note_on,77,0,120
1,note_on,65,0,0
1,note_on,67,48,0
1,note_on,79,57,0
1,note_on,79,0,360
1,note_on,67,0,0
1,note_on,68,49,0
1,note_on,80,59,0
1,note_on,80,0,114
1,note_on,68,0,0
1,note_on,68,49,6
1,note_on,80,59,0
1,note_on,80,0,480
1,note_on,68,0,0
1,note_on,67,46,0
1,note_on,79,55,0
1,note_on,79,0,240
1,note_on,67,0,0
1,note_on,55,75,120
1,note_on,61,75,0
1,note_on,64,75,0
1,note_on,67,90,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,61,0,0
1,note_on,64,0,0
1,note_on,57,81,0
1,note_on,61,81,0
1,note_on,63,81,0
1,note_on,69,96,0
1,note_on,69,0,360
1,note_on,57,0,0
1,note_on,61,0,0
1,note_on,63,0,0
1,note_on,57,74,0
1,note_on,61,74,0
1,note_on,63,74,0
1,note_on,69,89,0
1,note_on,69,0,114
1,note_on,57,0,0
1,note_on,61,0,0
1,note_on,63,0,0
1,note_on,58,79,6
1,note_on,61,79,0
1,note_on,63,79,0
1,note_on,70,93,0
1,note_on,70,0,360
1,note_on,58,0,0
1,note_on,61,0,0
1,note_on,63,0,0
1,note_on,58,79,0
1,note_on,61,79,0
1,note_on,63,79,0
1,note_on,70,93,0
1,note_on,70,0,114
1,note_on,58,0,0
1,note_on,61,0,0
1,note_on,63,0,0
1,note_on,57,79,6
1,note_on,62,79,0
1,note_on,66,79,0
1,note_on,69,93,0
1,note_on,69,0,480
1,note_on,57,0,0
1,note_on,62,0,0
1,note_on,66,0,0
1,note_on,69,46,0
1,note_on,81,55,0
1,note_on,81,0,840
1,note_on,69,0,0
1,note_on,69,46,0
1,note_on,81,55,0
1,note_on,81,0,120
1,note_on,69,0,0
1,note_on,71,48,0
1,note_on,83,57,0
1,note_on,83,0,360
1,note_on,71,0,0
1,note_on,72,49,0
1,note_on,84,59,0
1,note_on,84,0,114
1,note_on,72,0,0
1,note_on,72,49,6
1,note_on,84,59,0
1,note_on,84,0,480
1,note_on,72,0,0
1,note_on,71,46,0
1,note_on,83,55,0
1,note_on,83,0,240
1,note_on,71,0,0
1,note_on,71,71,720
1,note_on,83,71,0
1,note_on,83,0,360
1,note_on,71,0,0
1,note_on,72,62,0
1,note_on,84,74,0
1,note_on,84,0,120
1,note_on,72,0,0
1,note_on,73,80,0
1,note_on,85,80,0
1,note_on,85,0,480
1,note_on,73,0,0
1,note_on,74,85,0
1,note_on,86,85,0
1,note_on,86,0,480
1,note_on,74,0,0
1,note_on,74,90,480
1,note_on,86,91,0
1,note_on,86,0,360
1,note_on,74,0,0
1,note_on,75,80,0
1,note_on,87,82,0
1,note_on,87,0,120
1,note_on,75,0,0
1,note_on,76,88,0
1,note_on,88,88,0
1,note_on,88,0,480
1,note_on,76,0,0
1,note_on,77,88,0
1,note_on,89,90,0
1,note_on,89,0,950
1,note_on,77,0,0
1,note_on,77,96,10
1,note_on,89,96,0
1,note_on,89,0,470
1,note_on,77,0,0
1,note_on,77,96,10
1,note_on,89,96,0
1,note_on,89,0,600
1,note_on,77,0,0
1,note_on,87,62,0
1,note_on,87,0,60
1,note_on,86,62,0
1,note_on,86,0,60
1,note_on,89,62,0
1,note_on,89,0,60
1,note_on,87,62,0
1,note_on,87,0,60
1,note_on,86,62,0
1,note_on,86,0,60
1,note_on,84,62,0
1,note_on,84,0,60
1,note_on,83,62,0
1,note_on,83,0,120
1,note_on,83,52,120
1,note_on,83,0,120
1,note_on,77,39,120
1,note_on,83,47,0
1,note_on,83,0,120
1,note_on,77,0,0
1,note_on,77,40,120
1,note_on,83,48,0
1,note_on,83,0,120
1,note_on,77,0,0
1,note_on,75,40,120
1,note_on,84,48,0
1,note_on,84,0,480
1,note_on,75,0,0
1,note_on,84,65,1440
1,note_on,84,0,600
1,note_on,83,61,0
1,note_on,83,0,60
1,note_on,84,63,0
1,note_on,84,0,60
1,note_on,86,66,0
1,note_on,86,0,40
1,note_on,84,65,0
1,note_on,84,0,40
1,note_on,82,64,0
1,note_on,82,0,40
1,note_on,80,63,0
1,note_on,80,0,40
1,note_on,79,61,0
1,note_on,79,0,40
1,note_on,82,60,0
1,note_on,82,0,40
1,note_on,80,62,0
1,note_on,80,0,120
1,note_on,80,49,120
1,note_on,80,0,120
1,note_on,80,47,120
1,note_on,80,0,120
1,note_on,80,48,120
1,note_on,80,0,120
1,note_on,79,50,120
1,note_on,79,0,240
1,note_on,87,65,0
1,note_on,87,0,280
1,note_on,86,52,0
1,note_on,86,0,40
1,note_on,85,52,0
1,note_on,85,0,40
1,note_on,84,52,0
1,note_on,84,0,40
1,note_on,83,52,0
1,note_on,83,0,40
1,note_on,82,53,0
1,note_on,82,0,40
1,note_on,81,53,0
1,note_on,81,0,34
1,note_on,80,53,0
1,note_on,80,0,34
1,note_on,79,53,0
1,note_on,79,0,34
1,note_on,78,54,0
1,note_on,78,0,34
1,note_on,77,54,0
1,note_on,77,0,34
1,note_on,76,54,0
1,note_on,76,0,34
1,note_on,75,54,0
1,note_on,75,0,36
1,note_on,74,54,0
1,note_on,74,0,60
1,note_on,73,55,0
1,note_on,73,0,60
1,note_on,72,55,0
1,note_on,72,0,60
1,note_on,71,56,0
1,note_on,71,0,60
1,note_on,70,56,0
1,note_on,70,0,60
1,note_on,69,56,0
1,note_on,69,0,60
1,note_on,68,57,0
1,note_on,68,0,60
1,note_on,67,57,0
1,note_on,67,0,60
1,note_on,66,57,0
1,note_on,66,0,60
1,note_on,65,58,0
1,note_on,65,0,60
1,note_on,64,57,0
1,note_on,64,0,60
1,note_on,63,57,0
1,note_on,63,0,60
1,note_on,62,58,0
1,note_on,62,0,60
1,note_on,61,63,0
1,note_on,61,0,60
1,note_on,60,68,0
1,note_on,60,0,60
1,note_on,59,73,0
1,note_on,59,0,60
1,note_on,68,82,0
1,note_on,68,0,360
1,note_on,59,68,0
1,note_on,59,0,120
1,note_on,60,50,0
1,note_on,60,0,720
1,note_on,58,52,0
1,note_on,64,52,0
1,note_on,64,0,90
1,note_on,58,0,0
1,note_on,56,54,150
1,note_on,65,54,0
1,note_on,65,0,90
1,note_on,56,0,0
1,note_on,64,56,150
1,note_on,67,56,0
1,note_on,67,0,90
1,note_on,64,0,0
1,note_on,65,57,150
1,note_on,68,57,0
1,note_on,68,0,90
1,note_on,65,0,0
1,note_on,62,59,150
1,note_on,71,59,0
1,note_on,71,0,90
1,note_on,62,0,0
1,note_on,63,61,150
1,note_on,72,61,0
1,note_on,72,0,90
1,note_on,63,0,0
1,note_on,64,55,150
1,note_on,72,55,0
1,note_on,72,0,480
1,note_on,64,0,0
1,note_on,70,51,0
1,note_on,76,51,0
1,note_on,76,0,90
1,note_on,70,0,0
1,note_on,68,53,150
1,note_on,77,53,0
1,note_on,77,0,90
1,note_on,68,0,0
1,note_on,76,55,150
1,note_on,79,55,0
1,note_on,79,0,90
1,note_on,76,0,0
1,note_on,77,57,150
1,note_on,80,57,0
1,note_on,80,0,90
1,note_on,77,0,0
1,note_on,74,59,150
1,note_on,83,59,0
1,note_on,83,0,90
1,note_on,74,0,0
1,note_on,72,51,150
1,note_on,79,61,0
1,note_on,75,51,0
1,note_on,84,61,0
1,note_on,84,0,480
1,note_on,72,0,0
1,note_on,79,0,0
1,note_on,75,0,0
1,note_on,67,53,0
1,note_on,71,53,0
1,note_on,77,63,0
1,note_on,79,63,0
1,note_on,79,0,480
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,77,0,0
1,note_on,67,56,0
1,note_on,72,56,0
1,note_on,75,67,0
1,note_on,75,0,480
1,note_on,72,0,0
1,note_on,67,0,0
1,note_on,65,60,0
1,note_on,68,60,0
1,note_on,74,71,0
1,note_on,74,0,480
1,note_on,68,0,0
1,note_on,65,0,0
1,note_on,63,62,0
1,note_on,67,74,0
1,note_on,72,74,0
1,note_on,67,0,480
1,note_on,66,74,0
1,note_on,66,0,480
1,note_on,69,77,0
1,note_on,69,0,480
1,note_on,72,0,0
1,note_on,63,0,0
1,note_on,62,62,0
1,note_on,65,62,0
1,note_on,71,74,0
1,note_on,71,0,480
1,note_on,65,0,0
1,note_on,62,0,0
1,note_on,60,67,0
1,note_on,63,67,0
1,note_on,72,79,0
1,note_on,72,0,90
1,note_on,63,0,0
1,note_on,60,0,0
1,note_on,60,67,150
1,note_on,60,0,480
1,note_on,58,52,0
1,note_on,64,52,0
1,note_on,64,0,90
1,note_on,58,0,0
1,note_on,56,54,150
1,note_on,65,54,0
1,note_on,65,0,90
1,note_on,56,0,0
1,note_on,64,55,150
1,note_on,67,55,0
1,note_on,67,0,90
1,note_on,64,0,0
1,note_on,65,57,150
1,note_on,68,57,0
1,note_on,68,0,90
1,note_on,65,0,0
1,note_on,62,59,150
1,note_on,71,59,0
1,note_on,71,0,90
1,note_on,62,0,0
1,note_on,63,61,150
1,note_on,72,61,0
1,note_on,72,0,90
1,note_on,63,0,0
1,note_on,64,55,150
1,note_on,72,55,0
1,note_on,72,0,480
1,note_on,64,0,0
1,note_on,70,51,0
1,note_on,76,51,0
1,note_on,76,0,90
1,note_on,70,0,0
1,note_on,68,53,150
1,note_on,77,53,0
1,note_on,77,0,90
1,note_on,68,0,0
1,note_on,76,55,150
1,note_on,79,55,0
1,note_on,79,0,90
1,note_on,76,0,0
1,note_on,77,57,150
1,note_on,80,57,0
1,note_on,80,0,90
1,note_on,77,0,0
1,note_on,74,59,150
1,note_on,83,59,0
1,note_on,83,0,90
1,note_on,74,0,0
1,note_on,72,51,150
1,note_on,79,61,0
1,note_on,75,51,0
1,note_on,84,61,0
1,note_on,84,0,480
1,note_on,72,0,0
1,note_on,79,0,0
1,note_on,75,0,0
1,note_on,67,53,0
1,note_on,71,53,0
1,note_on,77,63,0
1,note_on,79,63,0
1,note_on,79,0,480
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,77,0,0
1,note_on,67,56,0
1,note_on,72,56,0
1,note_on,75,67,0
1,note_on,75,0,480
1,note_on,72,0,0
1,note_on,67,0,0
1,note_on,65,60,0
1,note_on,68,60,0
1,note_on,74,71,0
1,note_on,74,0,480
1,note_on,68,0,0
1,note_on,65,0,0
1,note_on,63,62,0
1,note_on,67,74,0
1,note_on,72,74,0
1,note_on,67,0,480
1,note_on,66,74,0
1,note_on,66,0,480
1,note_on,69,77,0
1,note_on,69,0,960
1,note_on,72,0,0
1,note_on,63,0,0
1,note_on,62,55,0
1,note_on,67,55,0
1,note_on,71,55,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,62,0,0
1,note_on,67,80,240
1,note_on,79,80,0
1,note_on,79,0,720
1,note_on,67,0,0
1,note_on,67,80,240
1,note_on,79,80,0
1,note_on,79,0,600
1,note_on,67,0,0
1,note_on,77,70,0
1,note_on,77,0,120
1,note_on,74,69,0
1,note_on,74,0,120
1,note_on,71,69,0
1,note_on,71,0,120
1,note_on,67,68,0
1,note_on,67,0,120
1,note_on,65,67,0
1,note_on,65,0,120
