Track,Message Type,Note,Velocity,Time
1,note_on,57,42,0
1,note_on,57,0,720
1,note_on,61,40,0
1,note_on,61,0,720
1,note_on,66,40,0
1,note_on,61,40,0
1,note_on,73,48,0
1,note_on,69,40,0
1,note_on,69,0,480
1,note_on,73,0,0
1,note_on,69,42,0
1,note_on,69,0,240
1,note_on,61,0,0
1,note_on,66,0,0
1,note_on,61,39,0
1,note_on,69,47,0
1,note_on,69,0,240
1,note_on,61,0,0
1,note_on,61,34,0
1,note_on,66,41,0
1,note_on,66,0,240
1,note_on,61,0,0
1,note_on,59,34,0
1,note_on,65,34,0
1,note_on,68,41,0
1,note_on,61,34,0
1,note_on,61,0,240
1,note_on,59,0,0
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,57,42,0
1,note_on,66,42,0
1,note_on,69,50,0
1,note_on,61,42,0
1,note_on,61,0,720
1,note_on,57,0,0
1,note_on,66,0,0
1,note_on,69,0,0
1,note_on,59,47,0
1,note_on,71,56,0
1,note_on,66,47,0
1,note_on,66,0,480
1,note_on,71,0,0
1,note_on,59,0,0
1,note_on,66,46,0
1,note_on,62,46,0
1,note_on,74,55,0
1,note_on,62,0,238
1,note_on,66,0,0
1,note_on,74,0,0
1,note_on,62,52,2
1,note_on,74,62,0
1,note_on,66,52,0
1,note_on,66,0,480
1,note_on,74,0,0
1,note_on,62,0,0
1,note_on,66,48,0
1,note_on,73,57,0
1,note_on,61,48,0
1,note_on,61,0,238
1,note_on,73,0,0
1,note_on,66,0,0
1,note_on,66,53,2
1,note_on,73,64,0
1,note_on,61,53,0
1,note_on,61,0,240
1,note_on,73,0,0
1,note_on,66,0,0
1,note_on,65,49,0
1,note_on,71,49,0
1,note_on,73,49,0
1,note_on,77,60,0
1,note_on,77,0,240
1,note_on,65,0,0
1,note_on,71,0,0
1,note_on,73,0,0
1,note_on,73,57,0
1,note_on,69,52,0
1,note_on,66,52,0
1,note_on,78,68,0
1,note_on,78,0,240
1,note_on,73,0,0
1,note_on,69,0,0
1,note_on,66,0,0
1,note_on,80,72,0
1,note_on,73,61,0
1,note_on,68,61,0
1,note_on,68,0,720
1,note_on,73,0,0
1,note_on,80,0,0
1,note_on,74,51,0
1,note_on,71,43,0
1,note_on,68,43,0
1,note_on,68,0,720
1,note_on,71,0,0
1,note_on,74,0,0
1,note_on,68,42,0
1,note_on,71,42,0
1,note_on,74,50,0
1,note_on,62,42,480
1,note_on,62,0,240
1,note_on,68,0,0
1,note_on,71,0,0
1,note_on,74,0,0
1,note_on,61,36,0
1,note_on,69,36,0
1,note_on,73,43,0
1,note_on,73,0,480
1,note_on,69,0,0
1,note_on,61,0,0
1,note_on,59,35,0
1,note_on,62,35,0
1,note_on,65,35,0
1,note_on,71,42,0
1,note_on,71,0,238
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,65,0,0
1,note_on,59,40,2
1,note_on,62,40,0
1,note_on,65,40,0
1,note_on,71,48,0
1,note_on,71,0,713
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,65,0,0
1,note_on,59,39,7
1,note_on,65,39,0
1,note_on,62,39,0
1,note_on,71,47,0
1,note_on,71,0,240
1,note_on,59,0,0
1,note_on,65,0,0
1,note_on,62,0,0
1,note_on,66,34,0
1,note_on,57,34,0
1,note_on,61,34,0
1,note_on,69,41,0
1,note_on,69,0,240
1,note_on,66,0,0
1,note_on,57,0,0
1,note_on,61,0,0
1,note_on,56,34,0
1,note_on,62,34,0
1,note_on,66,34,0
1,note_on,68,41,0
1,note_on,68,0,240
1,note_on,56,0,0
1,note_on,62,0,0
1,note_on,66,0,0
1,note_on,66,40,0
1,note_on,56,40,0
1,note_on,63,40,0
1,note_on,68,48,0
1,note_on,68,0,475
1,note_on,66,0,0
1,note_on,56,0,0
1,note_on,63,0,0
1,note_on,63,36,5
1,note_on,56,36,0
1,note_on,66,36,0
1,note_on,68,43,0
1,note_on,68,0,238
1,note_on,63,0,0
1,note_on,56,0,0
1,note_on,66,0,0
1,note_on,63,45,2
1,note_on,66,45,0
1,note_on,56,45,0
1,note_on,68,53,0
1,note_on,68,0,240
1,note_on,63,0,0
1,note_on,66,0,0
1,note_on,56,0,0
1,note_on,66,40,0
1,note_on,63,40,0
1,note_on,57,40,0
1,note_on,69,49,0
1,note_on,69,0,240
1,note_on,66,0,0
