Track,Message Type,Note,Velocity,Time
1,note_on,67,40,0
1,note_on,67,0,360
1,note_on,66,36,0
1,note_on,66,0,120
1,note_on,69,40,0
1,note_on,69,0,1440
1,note_on,67,40,0
1,note_on,67,0,360
1,note_on,66,36,0
1,note_on,66,0,120
1,note_on,69,40,0
1,note_on,69,46,960
1,note_on,69,0,360
1,note_on,75,42,0
1,note_on,75,0,114
1,note_on,69,0,6
1,note_on,75,52,0
1,note_on,75,0,480
1,note_on,62,29,0
1,note_on,74,40,0
1,note_on,74,0,360
1,note_on,67,36,0
1,note_on,67,0,114
1,note_on,62,0,6
1,note_on,67,41,0
1,note_on,67,0,480
1,note_on,60,29,0
1,note_on,66,40,0
1,note_on,66,0,360
1,note_on,69,36,0
1,note_on,69,0,114
1,note_on,60,0,6
1,note_on,69,44,0
1,note_on,69,0,360
1,note_on,71,40,0
1,note_on,59,25,120
1,note_on,62,30,0
1,note_on,62,0,480
1,note_on,59,0,0
1,note_on,59,20,0
1,note_on,62,24,0
1,note_on,72,34,240
1,note_on,72,0,80
1,note_on,71,30,0
1,note_on,71,0,80
1,note_on,69,30,0
1,note_on,69,0,80
1,note_on,71,0,0
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,71,39,0
1,note_on,71,0,240
1,note_on,72,46,0
1,note_on,72,0,240
1,note_on,75,58,0
1,note_on,75,0,360
1,note_on,74,52,0
1,note_on,74,0,120
1,note_on,77,60,0
1,note_on,77,0,1320
1,note_on,74,41,0
1,note_on,74,0,60
1,note_on,77,42,0
1,note_on,77,0,60
1,note_on,75,58,0
1,note_on,75,0,360
1,note_on,74,53,0
1,note_on,74,0,120
1,note_on,77,61,0
1,note_on,74,63,960
1,note_on,74,0,360
1,note_on,80,61,0
1,note_on,80,0,114
1,note_on,77,0,6
1,note_on,80,70,0
1,note_on,80,0,480
1,note_on,67,33,0
1,note_on,79,48,0
1,note_on,79,0,360
1,note_on,72,41,0
1,note_on,72,0,114
1,note_on,67,0,6
1,note_on,72,47,0
1,note_on,72,0,480
1,note_on,65,33,0
1,note_on,71,46,0
1,note_on,71,0,360
1,note_on,74,41,0
1,note_on,74,0,114
1,note_on,65,0,6
1,note_on,74,50,0
1,note_on,74,0,360
1,note_on,75,46,0
1,note_on,63,36,120
1,note_on,63,0,480
1,note_on,63,29,0
1,note_on,63,0,240
1,note_on,68,38,0
1,note_on,68,0,240
1,note_on,75,0,0
1,note_on,67,43,0
1,note_on,67,0,240
1,note_on,68,49,0
1,note_on,68,0,240
1,note_on,72,59,0
1,note_on,72,0,240
1,note_on,70,44,0
1,note_on,70,0,60
1,note_on,72,44,0
1,note_on,72,0,60
1,note_on,70,44,0
1,note_on,70,0,60
1,note_on,69,44,0
1,note_on,69,0,60
1,note_on,70,52,0
1,note_on,70,0,360
1,note_on,72,55,0
1,note_on,72,0,120
1,note_on,73,61,0
1,note_on,73,0,600
1,note_on,72,56,0
1,note_on,72,0,120
1,note_on,82,64,0
1,note_on,82,0,120
1,note_on,79,58,0
1,note_on,79,0,114
1,note_on,79,67,6
1,note_on,79,0,720
1,note_on,82,45,0
1,note_on,82,0,120
1,note_on,80,45,0
1,note_on,80,0,120
1,note_on,68,45,480
1,note_on,68,0,240
1,note_on,67,39,0
1,note_on,67,0,235
1,note_on,57,37,5
1,note_on,60,37,0
1,note_on,67,52,0
1,note_on,67,0,360
1,note_on,66,45,0
1,note_on,66,0,120
1,note_on,69,58,0
1,note_on,69,0,960
1,note_on,60,0,0
1,note_on,57,0,0
1,note_on,62,51,0
1,note_on,69,60,0
1,note_on,69,0,360
1,note_on,67,52,0
1,note_on,67,0,114
1,note_on,62,0,6
1,note_on,60,52,0
1,note_on,62,52,0
1,note_on,67,62,0
1,note_on,67,0,360
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,62,0,0
1,note_on,60,0,0
1,note_on,58,54,0
1,note_on,62,54,0
1,note_on,69,64,0
1,note_on,69,0,360
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,62,0,0
1,note_on,58,0,0
1,note_on,57,58,0
1,note_on,62,58,0
1,note_on,70,69,0
1,note_on,70,0,360
1,note_on,69,45,0
1,note_on,69,0,120
1,note_on,62,0,0
1,note_on,57,0,0
1,note_on,66,51,0
1,note_on,66,0,120
1,note_on,69,46,0
1,note_on,69,0,120
1,note_on,72,42,0
1,note_on,72,0,120
1,note_on,75,48,0
1,note_on,75,0,120
1,note_on,74,54,0
1,note_on,74,0,120
1,note_on,72,43,0
1,note_on,72,0,120
1,note_on,70,43,0
1,note_on,70,0,120
1,note_on,69,43,0
1,note_on,69,0,120
1,note_on,72,53,0
1,note_on,72,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,81,45,0
1,note_on,81,0,120
1,note_on,84,45,0
1,note_on,84,0,120
1,note_on,82,54,0
1,note_on,82,0,120
1,note_on,81,45,0
1,note_on,81,0,120
1,note_on,79,45,0
1,note_on,79,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,81,51,0
1,note_on,81,0,120
1,note_on,84,53,0
1,note_on,84,0,120
1,note_on,86,55,0
1,note_on,86,0,120
1,note_on,87,57,0
1,note_on,87,0,120
1,note_on,86,60,0
1,note_on,86,0,120
1,note_on,84,51,0
1,note_on,84,0,120
1,note_on,82,52,0
1,note_on,82,0,120
1,note_on,81,52,0
1,note_on,81,0,120
1,note_on,84,58,0
1,note_on,84,0,120
1,note_on,81,48,0
1,note_on,81,0,120
1,note_on,79,49,0
1,note_on,79,0,120
1,note_on,78,49,0
1,note_on,78,0,120
1,note_on,84,60,0
1,note_on,84,0,120
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,79,55,0
1,note_on,79,0,120
1,note_on,78,56,0
1,note_on,78,0,120
1,note_on,81,69,0
1,note_on,81,0,90
1,note_on,78,59,30
1,note_on,78,0,90
1,note_on,75,63,30
1,note_on,75,0,90
1,note_on,74,65,30
1,note_on,74,0,90
1,note_on,74,64,30
1,note_on,74,0,480
1,note_on,69,58,0
1,note_on,69,0,960
1,note_on,71,64,0
1,note_on,71,0,240
1,note_on,67,53,0
1,note_on,67,0,237
1,note_on,67,64,3
1,note_on,67,0,240
1,note_on,66,55,0
1,note_on,66,0,60
1,note_on,67,55,0
1,note_on,67,0,60
1,note_on,66,55,0
1,note_on,66,0,60
1,note_on,64,55,0
1,note_on,64,0,60
1,note_on,66,64,0
1,note_on,66,0,240
1,note_on,67,59,0
1,note_on,67,0,240
1,note_on,69,57,0
1,note_on,69,0,240
1,note_on,71,62,0
1,note_on,71,0,240
1,note_on,72,64,0
1,note_on,72,0,120
1,note_on,73,57,0
1,note_on,73,0,115
1,note_on,73,64,5
1,note_on,73,0,120
1,note_on,74,59,0
1,note_on,74,0,120
1,note_on,73,64,0
1,note_on,73,0,120
1,note_on,74,57,0
1,note_on,74,0,120
1,note_on,76,57,0
1,note_on,76,0,120
1,note_on,74,57,0
1,note_on,74,0,120
1,note_on,69,64,0
1,note_on,69,0,600
1,note_on,71,64,0
1,note_on,71,0,60
1,note_on,69,55,0
1,note_on,69,0,60
1,note_on,71,64,0
1,note_on,71,0,60
1,note_on,69,54,0
1,note_on,69,0,60
1,note_on,72,64,0
1,note_on,72,0,60
1,note_on,71,55,0
1,note_on,71,0,60
1,note_on,72,64,0
1,note_on,72,0,60
1,note_on,71,56,0
1,note_on,71,0,60
1,note_on,74,64,0
1,note_on,74,0,60
1,note_on,73,57,0
1,note_on,73,0,60
1,note_on,74,52,0
1,note_on,74,0,30
1,note_on,73,52,0
1,note_on,73,0,30
1,note_on,76,52,0
1,note_on,76,0,30
1,note_on,74,52,0
1,note_on,74,0,30
1,note_on,67,60,0
1,note_on,67,0,117
1,note_on,67,64,3
1,note_on,67,0,480
1,note_on,66,56,0
1,note_on,66,0,34
1,note_on,67,50,0
1,note_on,67,0,34
1,note_on,66,56,1
1,note_on,66,0,34
1,note_on,67,49,0
1,note_on,67,0,34
1,note_on,66,56,0
1,note_on,66,0,34
1,note_on,64,51,0
1,note_on,64,0,34
1,note_on,66,51,0
1,note_on,66,0,34
1,note_on,67,57,1
1,note_on,67,0,240
1,note_on,69,59,0
1,note_on,69,0,240
1,note_on,70,64,0
1,note_on,70,0,240
1,note_on,72,64,0
1,note_on,72,0,120
1,note_on,73,58,0
1,note_on,73,0,116
1,note_on,73,64,4
1,note_on,73,0,120
1,note_on,74,56,0
1,note_on,74,0,115
1,note_on,74,71,5
1,note_on,74,0,240
1,note_on,82,76,0
1,note_on,74,64,0
1,note_on,74,0,240
1,note_on,82,0,0
1,note_on,82,73,240
1,note_on,74,62,0
1,note_on,74,0,240
1,note_on,82,0,0
1,note_on,81,67,240
1,note_on,72,56,0
1,note_on,72,0,240
1,note_on,81,0,0
1,note_on,79,61,240
1,note_on,70,51,0
1,note_on,70,0,240
1,note_on,79,0,0
1,note_on,79,66,240
1,note_on,70,56,0
1,note_on,67,56,0
1,note_on,67,0,240
1,note_on,70,0,0
1,note_on,79,0,0
1,note_on,79,64,240
1,note_on,75,54,0
1,note_on,67,54,0
1,note_on,67,0,240
1,note_on,75,0,0
1,note_on,79,0,0
1,note_on,77,56,240
1,note_on,74,47,0
1,note_on,67,47,0
1,note_on,67,0,240
1,note_on,74,0,0
1,note_on,77,0,0
1,note_on,75,48,240
1,note_on,72,40,0
1,note_on,67,35,0
1,note_on,67,0,240
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,73,30,0
1,note_on,70,30,0
1,note_on,67,30,0
1,note_on,77,50,0
