Track,Message Type,Note,Velocity,Time
1,note_on,64,43,720
1,note_on,64,0,120
1,note_on,66,39,0
1,note_on,66,0,120
1,note_on,64,34,0
1,note_on,68,50,0
1,note_on,64,0,120
1,note_on,59,26,0
1,note_on,59,0,120
1,note_on,64,31,0
1,note_on,64,0,120
1,note_on,59,26,0
1,note_on,59,0,120
1,note_on,68,0,0
1,note_on,68,30,0
1,note_on,71,46,0
1,note_on,68,0,120
1,note_on,59,27,0
1,note_on,59,0,120
1,note_on,71,0,0
1,note_on,66,28,0
1,note_on,69,43,0
1,note_on,66,0,120
1,note_on,59,27,0
1,note_on,59,0,120
1,note_on,69,0,0
1,note_on,64,34,0
1,note_on,68,50,0
1,note_on,64,0,120
1,note_on,59,26,0
1,note_on,59,0,120
1,note_on,68,0,0
1,note_on,63,27,0
1,note_on,66,41,0
1,note_on,63,0,120
1,note_on,59,25,0
1,note_on,59,0,90
1,note_on,66,0,0
1,note_on,63,27,30
1,note_on,66,41,0
1,note_on,63,0,120
1,note_on,59,26,0
1,note_on,59,0,120
1,note_on,66,0,0
1,note_on,64,28,0
1,note_on,68,43,0
1,note_on,64,0,120
1,note_on,59,28,0
1,note_on,59,0,120
1,note_on,68,0,0
1,note_on,64,30,0
1,note_on,69,46,0
1,note_on,64,0,120
1,note_on,59,28,0
1,note_on,59,0,120
1,note_on,69,0,0
1,note_on,64,36,0
1,note_on,73,54,0
1,note_on,64,0,120
1,note_on,59,31,0
1,note_on,59,0,120
1,note_on,73,0,0
1,note_on,66,37,0
1,note_on,71,47,0
1,note_on,66,0,120
1,note_on,59,26,0
1,note_on,59,0,120
1,note_on,71,0,0
1,note_on,63,25,0
1,note_on,66,38,0
1,note_on,63,0,120
1,note_on,59,27,0
1,note_on,59,0,120
1,note_on,66,0,0
1,note_on,59,35,0
1,note_on,64,35,0
1,note_on,68,42,0
1,note_on,68,0,480
1,note_on,64,0,0
1,note_on,59,0,0
1,note_on,76,54,240
1,note_on,76,0,120
1,note_on,78,48,0
1,note_on,78,0,120
1,note_on,68,63,0
1,note_on,80,63,0
1,note_on,80,0,480
1,note_on,68,0,0
1,note_on,71,57,0
1,note_on,83,57,0
1,note_on,83,0,240
1,note_on,71,0,0
1,note_on,69,54,0
1,note_on,81,54,0
1,note_on,81,0,240
1,note_on,69,0,0
1,note_on,68,63,0
1,note_on,80,63,0
1,note_on,80,0,240
