Track,Message Type,Note,Velocity,Time
1,note_on,57,48,0
1,note_on,64,55,0
1,note_on,64,0,360
1,note_on,65,51,0
1,note_on,65,0,120
1,note_on,69,55,0
1,note_on,69,0,160
1,note_on,67,51,0
1,note_on,67,0,160
1,note_on,65,51,0
1,note_on,65,0,160
1,note_on,64,53,0
1,note_on,64,0,240
1,note_on,65,52,0
1,note_on,65,0,240
1,note_on,57,0,0
1,note_on,62,52,0
1,note_on,57,48,0
1,note_on,62,0,360
1,note_on,69,58,120
1,note_on,69,0,960
1,note_on,57,0,0
1,note_on,55,48,0
1,note_on,62,55,0
1,note_on,62,0,360
1,note_on,64,50,0
1,note_on,64,0,120
1,note_on,67,55,0
1,note_on,67,0,160
1,note_on,65,51,0
1,note_on,65,0,160
1,note_on,64,51,0
1,note_on,64,0,160
1,note_on,62,55,0
1,note_on,62,0,240
1,note_on,64,52,0
1,note_on,64,0,240
1,note_on,55,0,0
1,note_on,62,51,0
1,note_on,64,55,0
1,note_on,62,0,240
1,note_on,61,44,0
1,note_on,61,0,240
1,note_on,59,47,0
1,note_on,59,0,240
1,note_on,61,42,0
1,note_on,61,0,240
1,note_on,59,47,0
1,note_on,59,0,240
1,note_on,57,42,0
1,note_on,57,0,240
1,note_on,64,0,0
1,note_on,57,48,0
1,note_on,64,55,0
1,note_on,64,0,360
1,note_on,65,51,0
1,note_on,65,0,120
1,note_on,69,55,0
1,note_on,69,0,160
1,note_on,67,51,0
1,note_on,67,0,160
1,note_on,65,51,0
1,note_on,65,0,160
1,note_on,64,53,0
1,note_on,64,0,240
1,note_on,65,52,0
1,note_on,65,0,240
1,note_on,57,0,0
1,note_on,57,48,0
1,note_on,62,52,0
1,note_on,62,0,360
1,note_on,69,57,120
1,note_on,69,0,960
1,note_on,57,0,0
1,note_on,69,57,0
1,note_on,62,50,0
1,note_on,69,0,360
1,note_on,71,52,0
1,note_on,71,0,120
1,note_on,74,57,0
1,note_on,74,0,160
1,note_on,72,53,0
1,note_on,72,0,160
1,note_on,71,53,0
1,note_on,71,0,160
1,note_on,69,57,0
1,note_on,69,0,240
1,note_on,71,55,0
1,note_on,71,0,240
1,note_on,67,57,0
1,note_on,67,0,240
1,note_on,69,51,0
1,note_on,69,0,240
1,note_on,62,0,0
1,note_on,60,47,0
1,note_on,67,59,0
1,note_on,67,0,240
1,note_on,69,53,0
1,note_on,69,0,240
1,note_on,71,59,0
1,note_on,71,0,240
1,note_on,72,55,0
1,note_on,72,0,240
1,note_on,60,0,0
1,note_on,65,57,0
1,note_on,59,50,0
1,note_on,65,0,360
1,note_on,67,52,0
1,note_on,67,0,120
1,note_on,71,57,0
1,note_on,71,0,160
1,note_on,69,53,0
1,note_on,69,0,160
