Track,Message Type,Note,Velocity,Time
1,note_on,71,39,1200
1,note_on,59,31,0
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,59,0,0
1,note_on,71,0,0
1,note_on,72,33,0
1,note_on,72,0,90
1,note_on,79,40,390
1,note_on,71,32,0
1,note_on,76,32,0
1,note_on,76,0,240
1,note_on,71,0,0
1,note_on,79,0,0
1,note_on,70,33,0
1,note_on,70,0,90
1,note_on,71,39,390
1,note_on,59,31,0
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,59,0,0
1,note_on,71,0,0
1,note_on,72,33,0
1,note_on,72,0,90
1,note_on,79,40,390
1,note_on,71,32,0
1,note_on,76,32,0
1,note_on,76,0,240
1,note_on,71,0,0
1,note_on,79,0,0
1,note_on,64,33,0
1,note_on,64,0,90
1,note_on,72,42,390
1,note_on,60,34,0
1,note_on,69,34,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,72,0,0
1,note_on,74,36,0
1,note_on,74,0,90
1,note_on,81,42,390
1,note_on,72,33,0
1,note_on,78,33,0
1,note_on,78,0,240
1,note_on,72,0,0
1,note_on,81,0,0
1,note_on,71,34,0
1,note_on,71,0,90
1,note_on,72,39,390
1,note_on,60,31,0
1,note_on,69,31,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,72,0,0
1,note_on,74,33,0
1,note_on,74,0,90
1,note_on,81,40,390
1,note_on,72,32,0
1,note_on,78,32,0
1,note_on,78,0,240
1,note_on,72,0,0
1,note_on,81,0,0
1,note_on,66,33,0
1,note_on,66,0,90
1,note_on,74,46,390
1,note_on,62,37,0
1,note_on,71,37,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,74,0,0
1,note_on,76,39,0
1,note_on,76,0,120
1,note_on,83,52,360
1,note_on,74,42,0
1,note_on,80,42,0
1,note_on,80,0,240
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,68,58,0
1,note_on,68,0,120
1,note_on,76,55,360
1,note_on,64,45,0
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,64,0,0
1,note_on,76,0,0
1,note_on,77,58,0
1,note_on,77,0,120
1,note_on,85,60,360
1,note_on,76,47,0
1,note_on,82,47,0
1,note_on,82,0,240
1,note_on,76,0,0
1,note_on,85,0,0
1,note_on,70,64,0
1,note_on,70,0,120
1,note_on,77,50,360
1,note_on,65,40,0
1,note_on,74,40,0
1,note_on,74,0,240
1,note_on,65,0,0
1,note_on,77,0,0
1,note_on,79,50,0
1,note_on,79,0,180
1,note_on,85,46,300
1,note_on,78,36,0
1,note_on,85,0,240
1,note_on,67,35,0
1,note_on,67,0,180
1,note_on,78,0,0
1,note_on,83,43,300
1,note_on,76,34,0
1,note_on,83,0,240
1,note_on,66,33,0
1,note_on,66,0,180
1,note_on,76,0,0
1,note_on,82,41,300
1,note_on,74,32,0
1,note_on,74,0,480
1,note_on,73,34,0
1,note_on,73,0,120
1,note_on,82,0,0
1,note_on,78,52,120
1,note_on,66,42,0
1,note_on,74,42,0
1,note_on,74,0,240
1,note_on,66,0,0
1,note_on,78,0,0
1,note_on,83,44,0
1,note_on,83,0,120
1,note_on,88,60,360
1,note_on,81,46,0
1,note_on,85,46,0
1,note_on,85,0,240
1,note_on,88,0,0
1,note_on,73,48,0
1,note_on,73,0,120
1,note_on,81,0,0
1,note_on,86,50,360
1,note_on,79,39,0
1,note_on,83,39,0
1,note_on,83,0,240
1,note_on,86,0,0
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,79,0,0
1,note_on,85,40,360
1,note_on,78,32,0
1,note_on,82,32,0
1,note_on,82,0,240
1,note_on,85,0,0
1,note_on,70,33,0
1,note_on,70,0,240
1,note_on,78,0,0
1,note_on,76,33,0
1,note_on,76,0,240
1,note_on,64,32,0
1,note_on,70,32,0
1,note_on,70,0,240
1,note_on,73,39,0
1,note_on,64,0,1200
1,note_on,63,36,0
1,note_on,73,0,240
1,note_on,69,39,0
1,note_on,72,39,0
1,note_on,72,0,900
1,note_on,69,0,0
1,note_on,63,0,180
1,note_on,71,39,120
1,note_on,59,31,0
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,59,0,0
1,note_on,71,0,0
1,note_on,72,33,0
1,note_on,72,0,90
1,note_on,79,40,390
1,note_on,71,32,0
1,note_on,76,32,0
1,note_on,76,0,240
1,note_on,71,0,0
1,note_on,79,0,0
1,note_on,70,33,0
1,note_on,70,0,90
1,note_on,71,39,390
1,note_on,59,31,0
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,59,0,0
1,note_on,71,0,0
1,note_on,72,33,0
1,note_on,72,0,90
1,note_on,79,40,390
1,note_on,71,32,0
1,note_on,76,32,0
1,note_on,76,0,240
1,note_on,71,0,0
1,note_on,79,0,0
1,note_on,64,33,0
1,note_on,64,0,90
1,note_on,72,42,390
1,note_on,60,34,0
1,note_on,69,34,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,72,0,0
1,note_on,74,36,0
1,note_on,74,0,90
1,note_on,81,42,390
1,note_on,72,33,0
1,note_on,78,33,0
1,note_on,78,0,240
1,note_on,72,0,0
1,note_on,81,0,0
1,note_on,71,34,0
1,note_on,71,0,90
1,note_on,72,39,390
1,note_on,60,31,0
1,note_on,69,31,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,72,0,0
1,note_on,74,33,0
1,note_on,74,0,90
1,note_on,81,40,390
1,note_on,72,32,0
1,note_on,78,32,0
1,note_on,78,0,240
1,note_on,72,0,0
1,note_on,81,0,0
1,note_on,66,33,0
1,note_on,66,0,90
1,note_on,74,46,390
1,note_on,62,37,0
1,note_on,71,37,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,74,0,0
1,note_on,76,39,0
1,note_on,76,0,120
1,note_on,83,52,360
1,note_on,74,42,0
1,note_on,80,42,0
1,note_on,80,0,240
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,68,58,0
1,note_on,68,0,120
1,note_on,76,55,360
1,note_on,64,45,0
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,64,0,0
1,note_on,76,0,0
1,note_on,77,58,0
1,note_on,77,0,120
1,note_on,85,60,360
1,note_on,76,47,0
1,note_on,82,47,0
1,note_on,82,0,240
1,note_on,76,0,0
1,note_on,85,0,0
