Track,Message Type,Note,Velocity,Time
1,note_on,67,79,0
1,note_on,70,79,0
1,note_on,75,79,0
1,note_on,79,88,0
1,note_on,79,0,480
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,65,62,0
1,note_on,70,62,0
1,note_on,74,62,0
1,note_on,77,70,0
1,note_on,77,0,120
1,note_on,65,0,0
1,note_on,70,0,0
1,note_on,74,0,0
1,note_on,75,62,120
1,note_on,67,62,0
1,note_on,70,62,0
1,note_on,79,70,0
1,note_on,79,0,120
1,note_on,75,0,0
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,68,79,120
1,note_on,72,79,0
1,note_on,80,88,0
1,note_on,75,79,0
1,note_on,75,0,480
1,note_on,68,0,0
1,note_on,72,0,0
1,note_on,80,0,0
1,note_on,75,62,0
1,note_on,70,62,0
1,note_on,67,62,0
1,note_on,79,70,0
1,note_on,79,0,120
1,note_on,75,0,0
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,65,63,120
1,note_on,72,63,0
1,note_on,77,71,0
1,note_on,75,63,0
1,note_on,75,0,120
1,note_on,65,0,0
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,70,75,120
1,note_on,67,75,0
1,note_on,75,75,0
1,note_on,79,84,0
1,note_on,79,0,480
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,65,60,0
1,note_on,77,68,0
1,note_on,68,60,0
1,note_on,74,60,0
1,note_on,74,0,120
1,note_on,65,0,0
1,note_on,77,0,0
1,note_on,68,0,0
1,note_on,67,57,120
1,note_on,63,57,0
1,note_on,70,57,0
1,note_on,75,63,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,70,0,0
1,note_on,65,60,120
1,note_on,74,60,0
1,note_on,77,68,0
1,note_on,77,0,120
1,note_on,74,0,0
1,note_on,65,0,0
1,note_on,70,63,120
1,note_on,70,0,120
1,note_on,63,70,120
1,note_on,72,70,0
1,note_on,75,79,0
1,note_on,75,0,480
1,note_on,72,0,0
1,note_on,63,0,0
1,note_on,63,67,0
1,note_on,75,74,0
1,note_on,70,67,0
1,note_on,74,74,0
1,note_on,74,0,480
1,note_on,63,0,0
1,note_on,75,0,0
1,note_on,70,0,0
1,note_on,68,67,0
1,note_on,63,67,0
1,note_on,72,67,0
1,note_on,75,74,0
1,note_on,75,0,420
1,note_on,68,0,0
1,note_on,63,0,0
1,note_on,72,0,0
1,note_on,63,67,60
1,note_on,75,74,0
1,note_on,67,67,0
1,note_on,70,67,0
1,note_on,70,0,480
1,note_on,63,0,0
1,note_on,75,0,0
1,note_on,67,0,0
1,note_on,62,62,0
1,note_on,65,62,0
1,note_on,70,62,0
1,note_on,74,70,0
1,note_on,74,0,120
1,note_on,62,0,0
1,note_on,65,0,0
1,note_on,70,0,0
1,note_on,75,70,120
1,note_on,70,62,0
1,note_on,63,62,0
1,note_on,67,62,0
1,note_on,67,0,120
1,note_on,75,0,0
1,note_on,70,0,0
1,note_on,63,0,0
1,note_on,72,72,120
1,note_on,75,72,0
1,note_on,79,81,0
1,note_on,67,72,0
1,note_on,67,0,480
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,79,0,0
1,note_on,77,69,0
1,note_on,65,61,0
1,note_on,68,61,0
1,note_on,72,61,0
1,note_on,72,0,120
1,note_on,77,0,0
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,63,61,120
1,note_on,67,61,0
1,note_on,72,61,0
1,note_on,75,69,0
1,note_on,75,0,120
1,note_on,63,0,0
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,70,69,120
1,note_on,74,78,0
1,note_on,62,69,0
1,note_on,67,69,0
1,note_on,67,0,480
1,note_on,70,0,0
1,note_on,74,0,0
1,note_on,62,0,0
1,note_on,60,64,0
1,note_on,63,64,0
1,note_on,67,64,0
1,note_on,72,72,0
1,note_on,72,0,120
1,note_on,60,0,0
1,note_on,63,0,0
1,note_on,67,0,0
1,note_on,70,70,120
1,note_on,58,62,0
1,note_on,62,62,0
1,note_on,67,62,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,58,0,0
1,note_on,62,0,0
1,note_on,57,61,120
1,note_on,66,61,0
1,note_on,69,69,0
1,note_on,69,0,120
1,note_on,66,0,0
1,note_on,57,0,0
1,note_on,62,66,120
1,note_on,62,0,120
1,note_on,55,68,120
1,note_on,67,75,0
1,note_on,67,0,480
1,note_on,55,0,0
1,note_on,55,68,0
1,note_on,66,68,0
1,note_on,67,75,0
1,note_on,67,0,480
1,note_on,66,0,0
1,note_on,55,0,0
1,note_on,55,67,0
1,note_on,65,67,0
1,note_on,67,74,0
1,note_on,67,0,420
1,note_on,65,0,0
1,note_on,55,0,0
1,note_on,67,79,60
1,note_on,79,88,0
1,note_on,70,79,0
1,note_on,75,79,0
1,note_on,75,0,480
1,note_on,67,0,0
1,note_on,79,0,0
1,note_on,70,0,0
1,note_on,77,72,0
1,note_on,74,64,0
1,note_on,65,64,0
1,note_on,70,64,0
1,note_on,70,0,120
1,note_on,77,0,0
1,note_on,74,0,0
1,note_on,65,0,0
1,note_on,67,64,120
1,note_on,70,64,0
1,note_on,75,64,0
1,note_on,79,72,0
1,note_on,79,0,120
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,80,88,120
1,note_on,68,79,0
1,note_on,72,79,0
1,note_on,75,79,0
1,note_on,75,0,480
1,note_on,80,0,0
1,note_on,68,0,0
1,note_on,72,0,0
1,note_on,67,62,0
1,note_on,70,62,0
1,note_on,75,70,0
1,note_on,79,70,0
1,note_on,79,0,120
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,75,70,120
1,note_on,72,62,0
1,note_on,77,70,0
1,note_on,65,62,0
1,note_on,65,0,120
1,note_on,75,0,0
1,note_on,72,0,0
1,note_on,77,0,0
1,note_on,67,77,120
1,note_on,70,77,0
1,note_on,75,77,0
1,note_on,79,85,0
1,note_on,79,0,480
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,77,72,0
1,note_on,65,64,0
1,note_on,68,64,0
1,note_on,74,64,0
1,note_on,74,0,120
1,note_on,77,0,0
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,63,62,120
1,note_on,67,62,0
1,note_on,70,62,0
1,note_on,75,70,0
1,note_on,75,0,120
1,note_on,63,0,0
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,77,68,120
1,note_on,74,60,0
1,note_on,65,60,0
1,note_on,65,0,120
1,note_on,74,0,0
1,note_on,77,0,0
1,note_on,70,66,120
1,note_on,70,0,120
1,note_on,63,74,120
1,note_on,75,83,0
1,note_on,75,0,480
1,note_on,63,0,0
1,note_on,73,78,0
1,note_on,63,78,0
1,note_on,75,86,0
1,note_on,75,0,480
1,note_on,63,0,0
1,note_on,73,0,0
1,note_on,71,83,0
1,note_on,63,83,0
1,note_on,75,93,0
1,note_on,75,0,450
1,note_on,63,0,0
1,note_on,71,0,0
1,note_on,87,101,30
1,note_on,82,90,0
1,note_on,75,90,0
1,note_on,78,90,0
1,note_on,78,0,480
1,note_on,87,0,0
1,note_on,82,0,0
1,note_on,75,0,0
1,note_on,78,83,0
1,note_on,82,83,0
1,note_on,86,93,0
1,note_on,74,83,0
1,note_on,74,0,240
1,note_on,78,0,0
1,note_on,82,0,0
1,note_on,86,0,0
1,note_on,87,90,0
1,note_on,82,80,0
1,note_on,78,80,0
1,note_on,75,80,0
1,note_on,75,0,240
1,note_on,87,0,0
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,78,85,0
1,note_on,83,95,0
1,note_on,75,85,0
1,note_on,71,85,0
1,note_on,71,0,480
1,note_on,78,0,0
1,note_on,83,0,0
1,note_on,75,0,0
1,note_on,82,86,0
1,note_on,70,78,0
1,note_on,78,78,0
1,note_on,75,78,0
1,note_on,75,0,240
1,note_on,82,0,0
1,note_on,70,0,0
1,note_on,78,0,0
1,note_on,78,77,0
1,note_on,83,85,0
1,note_on,75,77,0
1,note_on,71,77,0
1,note_on,71,0,240
1,note_on,78,0,0
1,note_on,83,0,0
1,note_on,75,0,0
1,note_on,80,92,0
1,note_on,68,82,0
1,note_on,75,82,0
1,note_on,71,82,0
1,note_on,71,0,480
1,note_on,80,0,0
1,note_on,68,0,0
1,note_on,75,0,0
1,note_on,79,83,0
1,note_on,75,74,0
1,note_on,71,74,0
1,note_on,67,74,0
1,note_on,67,0,240
1,note_on,79,0,0
1,note_on,75,0,0
1,note_on,71,0,0
1,note_on,68,74,0
1,note_on,71,74,0
1,note_on,80,83,0
1,note_on,75,74,0
1,note_on,75,0,240
1,note_on,68,0,0
1,note_on,71,0,0
1,note_on,80,0,0
1,note_on,66,79,0
1,note_on,69,79,0
1,note_on,72,79,0
1,note_on,78,88,0
1,note_on,78,0,480
1,note_on,66,0,0
1,note_on,69,0,0
1,note_on,72,0,0
1,note_on,77,73,0
1,note_on,77,0,120
1,note_on,74,61,0
1,note_on,74,0,120
1,note_on,70,63,0
1,note_on,70,0,120
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,74,71,0
1,note_on,74,0,120
1,note_on,70,61,0
1,note_on,70,0,120
1,note_on,65,63,0
1,note_on,65,0,120
1,note_on,64,61,0
1,note_on,64,0,120
1,note_on,70,70,0
1,note_on,70,0,120
1,note_on,65,61,0
1,note_on,65,0,120
1,note_on,62,63,0
1,note_on,62,0,120
1,note_on,60,61,0
1,note_on,60,0,120
1,note_on,89,64,3360
1,note_on,89,0,120
1,note_on,86,59,0
1,note_on,86,0,120
1,note_on,82,61,0
1,note_on,82,0,120
1,note_on,81,60,0
1,note_on,81,0,120
1,note_on,86,64,0
1,note_on,86,0,120
1,note_on,82,58,0
1,note_on,82,0,120
1,note_on,77,58,0
1,note_on,77,0,120
1,note_on,76,58,0
1,note_on,76,0,120
1,note_on,82,60,0
1,note_on,82,0,120
1,note_on,77,56,0
1,note_on,77,0,120
1,note_on,74,56,0
1,note_on,74,0,120
1,note_on,72,56,0
1,note_on,72,0,120
