Track,Message Type,Note,Velocity,Time
1,note_on,72,67,2100
1,note_on,76,67,30
1,note_on,84,80,30
1,note_on,84,0,180
1,note_on,76,0,0
1,note_on,72,0,0
1,note_on,60,45,300
1,note_on,64,54,0
1,note_on,64,0,120
1,note_on,60,0,0
1,note_on,64,59,120
1,note_on,60,50,0
1,note_on,60,0,120
1,note_on,64,0,0
1,note_on,62,45,120
1,note_on,65,53,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,67,53,120
1,note_on,64,45,0
1,note_on,64,0,120
1,note_on,67,0,0
1,note_on,65,50,120
1,note_on,69,59,0
1,note_on,69,0,120
1,note_on,65,0,0
1,note_on,67,54,120
1,note_on,64,45,0
1,note_on,64,0,120
1,note_on,67,0,0
1,note_on,72,67,60
1,note_on,76,67,30
1,note_on,84,80,30
1,note_on,84,0,180
1,note_on,76,0,0
1,note_on,72,0,0
1,note_on,64,59,60
1,note_on,60,50,0
1,note_on,60,0,120
1,note_on,64,0,0
1,note_on,62,45,120
1,note_on,65,53,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,67,53,120
1,note_on,64,45,0
1,note_on,64,0,120
1,note_on,67,0,0
1,note_on,65,50,120
1,note_on,69,59,0
1,note_on,69,0,120
1,note_on,65,0,0
1,note_on,64,45,120
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,64,0,0
1,note_on,69,53,120
1,note_on,65,45,0
1,note_on,65,0,120
1,note_on,69,0,0
1,note_on,71,59,120
1,note_on,67,50,0
1,note_on,67,0,120
1,note_on,71,0,0
1,note_on,72,54,120
1,note_on,69,45,0
1,note_on,69,0,120
1,note_on,72,0,0
1,note_on,74,53,120
1,note_on,71,45,0
1,note_on,71,0,120
1,note_on,74,0,0
1,note_on,76,67,60
1,note_on,79,67,20
1,note_on,84,67,20
1,note_on,88,80,20
1,note_on,88,0,180
1,note_on,76,0,0
1,note_on,79,0,0
1,note_on,84,0,0
1,note_on,64,45,300
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,64,0,0
1,note_on,67,60,120
1,note_on,64,51,0
1,note_on,64,0,120
1,note_on,67,0,0
1,note_on,65,46,120
1,note_on,69,56,0
1,note_on,69,0,120
