Track,Message Type,Note,Velocity,Time
1,note_on,79,58,1200
1,note_on,79,0,480
1,note_on,79,57,0
1,note_on,79,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,55,0
1,note_on,78,0,480
1,note_on,77,56,0
1,note_on,77,0,480
1,note_on,78,62,0
1,note_on,78,0,480
1,note_on,83,64,0
1,note_on,83,0,480
1,note_on,79,63,0
1,note_on,79,0,480
1,note_on,78,57,0
1,note_on,78,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,63,0
1,note_on,78,0,480
1,note_on,77,57,0
1,note_on,77,0,480
1,note_on,78,57,0
1,note_on,78,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,79,63,0
1,note_on,79,0,480
1,note_on,80,70,0
1,note_on,80,0,480
1,note_on,80,70,0
1,note_on,80,0,480
1,note_on,81,72,0
1,note_on,81,0,480
1,note_on,76,63,0
1,note_on,76,0,480
1,note_on,75,57,0
1,note_on,75,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,63,0
1,note_on,78,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,75,57,0
1,note_on,75,0,480
1,note_on,76,55,0
1,note_on,76,0,120
1,note_on,79,58,2760
1,note_on,79,0,480
1,note_on,79,57,0
1,note_on,79,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,55,0
1,note_on,78,0,480
1,note_on,77,56,0
1,note_on,77,0,480
1,note_on,78,62,0
1,note_on,78,0,480
1,note_on,83,64,0
1,note_on,83,0,480
1,note_on,79,63,0
1,note_on,79,0,480
1,note_on,78,57,0
1,note_on,78,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,63,0
1,note_on,78,0,480
1,note_on,77,57,0
1,note_on,77,0,480
1,note_on,78,57,0
1,note_on,78,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,79,63,0
1,note_on,79,0,480
1,note_on,80,70,0
1,note_on,80,0,480
1,note_on,80,70,0
1,note_on,80,0,480
1,note_on,81,70,0
1,note_on,81,0,480
1,note_on,76,63,0
1,note_on,76,0,480
1,note_on,75,57,0
1,note_on,75,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,63,0
1,note_on,78,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,75,57,0
1,note_on,75,0,480
1,note_on,76,55,0
1,note_on,76,0,120
1,note_on,62,45,1800
1,note_on,62,0,480
1,note_on,67,45,0
1,note_on,67,0,480
1,note_on,69,58,0
1,note_on,69,0,480
1,note_on,71,57,0
1,note_on,71,0,480
1,note_on,71,64,0
1,note_on,71,0,480
1,note_on,69,55,0
1,note_on,69,0,480
1,note_on,68,56,0
1,note_on,68,0,480
1,note_on,69,62,0
1,note_on,69,0,480
1,note_on,62,51,0
1,note_on,62,0,480
1,note_on,67,54,0
1,note_on,67,0,480
1,note_on,69,63,0
1,note_on,69,0,480
1,note_on,71,66,0
1,note_on,71,0,480
1,note_on,74,69,0
1,note_on,74,0,480
1,note_on,73,64,0
1,note_on,73,0,480
1,note_on,72,68,0
1,note_on,72,0,480
1,note_on,69,64,0
1,note_on,69,0,480
1,note_on,71,58,0
1,note_on,71,0,480
1,note_on,71,66,0
1,note_on,71,0,480
1,note_on,76,72,0
1,note_on,76,0,480
1,note_on,71,65,0
1,note_on,71,0,480
1,note_on,72,63,0
1,note_on,72,0,480
1,note_on,72,69,0
1,note_on,72,0,480
1,note_on,79,76,0
1,note_on,79,0,480
1,note_on,74,72,0
1,note_on,74,0,480
1,note_on,76,71,0
1,note_on,76,0,480
1,note_on,76,69,0
1,note_on,76,0,480
1,note_on,76,73,0
1,note_on,76,0,480
1,note_on,76,66,0
1,note_on,76,0,480
1,note_on,75,71,0
1,note_on,75,0,480
1,note_on,71,72,0
1,note_on,71,0,480
1,note_on,71,78,0
1,note_on,71,0,480
1,note_on,71,83,0
1,note_on,59,66,150
1,note_on,64,66,30
1,note_on,67,66,30
1,note_on,71,0,30
1,note_on,71,83,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,64,0,0
1,note_on,59,0,0
1,note_on,79,58,960
1,note_on,79,0,480
1,note_on,79,57,0
1,note_on,79,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,55,0
1,note_on,78,0,480
1,note_on,77,56,0
1,note_on,77,0,480
1,note_on,78,62,0
1,note_on,78,0,480
1,note_on,84,69,0
1,note_on,84,0,480
1,note_on,83,66,0
1,note_on,83,0,480
1,note_on,79,57,0
1,note_on,79,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,63,0
1,note_on,78,0,480
1,note_on,77,57,0
1,note_on,77,0,480
1,note_on,78,57,0
1,note_on,78,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,79,63,0
1,note_on,79,0,480
1,note_on,80,70,0
1,note_on,80,0,480
1,note_on,80,70,0
1,note_on,80,0,480
1,note_on,81,73,0
1,note_on,81,0,480
1,note_on,76,63,0
1,note_on,76,0,480
1,note_on,75,57,0
1,note_on,75,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,63,0
1,note_on,78,0,480
1,note_on,76,57,0
1,note_on,76,0,480
1,note_on,75,57,0
1,note_on,75,0,480
1,note_on,76,55,0
1,note_on,76,0,120
1,note_on,62,45,1800
1,note_on,62,0,480
1,note_on,67,45,0
1,note_on,67,0,480
1,note_on,69,58,0
1,note_on,69,0,480
1,note_on,71,57,0
1,note_on,71,0,480
1,note_on,71,64,0
1,note_on,71,0,480
1,note_on,69,55,0
1,note_on,69,0,480
1,note_on,68,56,0
1,note_on,68,0,480
1,note_on,69,62,0
1,note_on,69,0,480
1,note_on,62,51,0
1,note_on,62,0,480
1,note_on,67,54,0
1,note_on,67,0,480
1,note_on,69,63,0
1,note_on,69,0,480
1,note_on,71,61,0
1,note_on,71,0,480
1,note_on,74,71,0
1,note_on,74,0,480
1,note_on,73,64,0
1,note_on,73,0,480
1,note_on,72,68,0
1,note_on,72,0,480
1,note_on,69,64,0
1,note_on,69,0,480
1,note_on,71,58,0
1,note_on,71,0,480
1,note_on,71,66,0
1,note_on,71,0,480
1,note_on,76,72,0
1,note_on,76,0,480
1,note_on,71,65,0
1,note_on,71,0,480
1,note_on,72,63,0
1,note_on,72,0,480
1,note_on,72,69,0
1,note_on,72,0,480
1,note_on,79,73,0
1,note_on,79,0,480
1,note_on,74,66,0
1,note_on,74,0,480
1,note_on,76,71,0
1,note_on,76,0,480
1,note_on,76,69,0
1,note_on,76,0,480
1,note_on,76,73,0
1,note_on,76,0,480
1,note_on,76,66,0
1,note_on,76,0,480
1,note_on,75,71,0
1,note_on,75,0,480
1,note_on,71,72,0
1,note_on,71,0,480
1,note_on,71,78,0
1,note_on,71,0,480
1,note_on,71,83,0
1,note_on,59,66,150
1,note_on,64,66,30
1,note_on,67,66,30
1,note_on,71,0,30
1,note_on,71,83,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,64,0,0
1,note_on,59,0,0
1,note_on,79,58,960
1,note_on,79,0,480
1,note_on,79,57,0
1,note_on,79,0,480
1,note_on,79,64,0
1,note_on,79,0,480
1,note_on,78,55,0
1,note_on,78,0,480
1,note_on,77,56,0
1,note_on,77,0,480
1,note_on,78,62,0
1,note_on,78,0,480
1,note_on,84,69,0
1,note_on,84,0,480
1,note_on,83,66,0
1,note_on,83,0,480
