Track,Message Type,Note,Velocity,Time
1,note_on,72,40,0
1,note_on,72,0,120
1,note_on,74,42,0
1,note_on,74,0,120
1,note_on,76,46,0
1,note_on,76,0,120
1,note_on,77,49,0
1,note_on,77,0,120
1,note_on,78,52,0
1,note_on,78,0,120
1,note_on,79,54,0
1,note_on,79,0,120
1,note_on,81,55,0
1,note_on,81,0,120
1,note_on,79,51,0
1,note_on,79,0,120
1,note_on,78,53,0
1,note_on,78,0,120
1,note_on,79,50,0
1,note_on,79,0,120
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,83,49,0
1,note_on,83,0,120
1,note_on,84,46,0
1,note_on,84,0,120
1,note_on,86,48,0
1,note_on,86,0,120
1,note_on,88,52,0
1,note_on,88,0,120
1,note_on,89,56,0
1,note_on,89,0,120
1,note_on,90,59,0
1,note_on,90,0,120
1,note_on,91,62,0
1,note_on,91,0,120
1,note_on,93,63,0
1,note_on,93,0,120
1,note_on,91,58,0
1,note_on,91,0,120
1,note_on,90,60,0
1,note_on,90,0,120
1,note_on,91,57,0
1,note_on,91,0,120
1,note_on,93,60,0
1,note_on,93,0,120
1,note_on,95,56,0
1,note_on,95,0,120
1,note_on,96,65,0
1,note_on,96,0,120
1,note_on,100,67,0
1,note_on,100,0,120
1,note_on,103,69,0
1,note_on,103,0,120
1,note_on,101,64,0
1,note_on,101,0,120
1,note_on,100,69,0
1,note_on,100,0,120
1,note_on,98,64,0
1,note_on,98,0,120
1,note_on,96,68,0
1,note_on,96,0,120
1,note_on,95,59,0
1,note_on,95,0,120
1,note_on,93,68,0
1,note_on,93,0,120
1,note_on,91,61,0
1,note_on,91,0,120
1,note_on,89,66,0
1,note_on,89,0,120
1,note_on,88,61,0
1,note_on,88,0,120
1,note_on,86,63,0
1,note_on,86,0,120
1,note_on,88,65,0
1,note_on,88,0,120
1,note_on,89,65,0
1,note_on,89,0,120
1,note_on,88,62,0
1,note_on,88,0,120
1,note_on,86,61,0
1,note_on,86,0,120
1,note_on,84,59,0
1,note_on,84,0,120
1,note_on,83,57,0
1,note_on,83,0,120
1,note_on,81,51,0
1,note_on,81,0,120
1,note_on,79,53,0
1,note_on,79,0,120
1,note_on,77,48,0
1,note_on,77,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,74,46,0
1,note_on,74,0,120
1,note_on,72,40,0
1,note_on,72,0,120
1,note_on,74,42,0
1,note_on,74,0,120
1,note_on,76,46,0
1,note_on,76,0,120
1,note_on,77,49,0
1,note_on,77,0,120
1,note_on,78,52,0
1,note_on,78,0,120
1,note_on,79,54,0
1,note_on,79,0,120
1,note_on,81,55,0
1,note_on,81,0,120
1,note_on,79,51,0
1,note_on,79,0,120
1,note_on,78,53,0
1,note_on,78,0,120
1,note_on,79,50,0
1,note_on,79,0,120
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,83,49,0
1,note_on,83,0,120
1,note_on,84,46,0
1,note_on,84,0,120
1,note_on,86,48,0
1,note_on,86,0,120
1,note_on,88,52,0
1,note_on,88,0,120
1,note_on,89,54,0
1,note_on,89,0,120
1,note_on,90,59,0
1,note_on,90,0,120
1,note_on,91,62,0
1,note_on,91,0,120
1,note_on,93,63,0
1,note_on,93,0,120
1,note_on,91,58,0
1,note_on,91,0,120
1,note_on,90,60,0
1,note_on,90,0,120
1,note_on,91,57,0
1,note_on,91,0,120
1,note_on,93,60,0
1,note_on,93,0,120
1,note_on,95,56,0
1,note_on,95,0,120
1,note_on,96,65,0
1,note_on,96,0,120
1,note_on,98,67,0
1,note_on,98,0,120
1,note_on,100,69,0
1,note_on,100,0,120
1,note_on,98,64,0
1,note_on,98,0,120
1,note_on,96,69,0
1,note_on,96,0,120
1,note_on,95,64,0
1,note_on,95,0,120
1,note_on,93,68,0
1,note_on,93,0,120
1,note_on,95,59,0
1,note_on,95,0,120
1,note_on,96,68,0
1,note_on,96,0,120
1,note_on,95,61,0
1,note_on,95,0,120
1,note_on,93,66,0
1,note_on,93,0,120
1,note_on,91,61,0
1,note_on,91,0,120
1,note_on,90,63,0
1,note_on,90,0,120
1,note_on,88,64,0
1,note_on,88,0,120
1,note_on,86,62,0
1,note_on,86,0,120
1,note_on,84,62,0
1,note_on,84,0,120
1,note_on,83,61,0
1,note_on,83,0,120
1,note_on,81,59,0
1,note_on,81,0,120
1,note_on,79,51,0
1,note_on,79,0,120
1,note_on,78,40,0
1,note_on,78,0,120
1,note_on,81,48,0
1,note_on,81,0,120
1,note_on,79,37,0
1,note_on,79,0,120
1,note_on,77,42,0
1,note_on,77,0,120
1,note_on,74,35,0
1,note_on,74,0,120
1,note_on,72,40,0
1,note_on,72,0,120
1,note_on,74,42,0
1,note_on,74,0,120
1,note_on,76,46,0
1,note_on,76,0,120
1,note_on,77,49,0
1,note_on,77,0,120
1,note_on,78,52,0
1,note_on,78,0,120
1,note_on,79,54,0
1,note_on,79,0,120
1,note_on,81,55,0
1,note_on,81,0,120
1,note_on,79,51,0
1,note_on,79,0,120
1,note_on,78,53,0
1,note_on,78,0,120
1,note_on,79,50,0
1,note_on,79,0,120
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,83,49,0
1,note_on,83,0,120
1,note_on,84,46,0
1,note_on,84,0,120
1,note_on,86,48,0
1,note_on,86,0,120
1,note_on,88,52,0
1,note_on,88,0,120
1,note_on,89,56,0
1,note_on,89,0,120
1,note_on,90,59,0
1,note_on,90,0,120
1,note_on,91,62,0
1,note_on,91,0,120
1,note_on,93,63,0
1,note_on,93,0,120
1,note_on,91,58,0
1,note_on,91,0,120
1,note_on,90,60,0
1,note_on,90,0,120
1,note_on,91,57,0
1,note_on,91,0,120
