Track,Message Type,Note,Velocity,Time
1,note_on,50,37,120
1,note_on,49,32,120
1,note_on,50,0,20
1,note_on,50,37,100
1,note_on,49,0,20
1,note_on,50,0,120
1,note_on,53,37,100
1,note_on,52,33,120
1,note_on,53,0,20
1,note_on,53,37,100
1,note_on,52,0,20
1,note_on,53,0,120
1,note_on,50,37,100
1,note_on,49,33,120
1,note_on,50,0,20
1,note_on,50,37,100
1,note_on,49,0,20
1,note_on,50,0,120
1,note_on,53,37,100
1,note_on,52,32,120
1,note_on,53,0,20
1,note_on,53,34,100
1,note_on,52,0,20
1,note_on,53,0,120
1,note_on,50,36,100
1,note_on,50,0,120
1,note_on,62,47,0
1,note_on,62,0,120
1,note_on,50,40,0
1,note_on,50,0,120
1,note_on,62,52,0
1,note_on,62,0,120
1,note_on,50,42,0
1,note_on,50,0,120
1,note_on,62,54,0
1,note_on,62,0,120
1,note_on,50,46,0
1,note_on,50,0,120
1,note_on,62,61,0
1,note_on,62,0,120
1,note_on,50,49,0
1,note_on,50,0,120
1,note_on,62,59,0
1,note_on,62,0,120
1,note_on,50,43,0
1,note_on,50,0,120
1,note_on,62,54,0
1,note_on,62,0,120
1,note_on,50,40,0
1,note_on,50,0,120
1,note_on,62,50,0
1,note_on,62,0,120
1,note_on,50,45,0
1,note_on,50,0,120
1,note_on,50,37,120
1,note_on,49,34,120
1,note_on,50,0,20
1,note_on,50,37,100
1,note_on,49,0,20
1,note_on,50,0,120
1,note_on,53,37,100
1,note_on,52,35,120
1,note_on,53,0,20
1,note_on,53,37,100
1,note_on,52,0,20
1,note_on,53,0,120
1,note_on,50,37,100
1,note_on,49,34,120
1,note_on,50,0,20
1,note_on,50,37,100
1,note_on,49,0,20
1,note_on,50,0,120
1,note_on,53,37,100
1,note_on,52,33,120
1,note_on,53,0,20
1,note_on,53,37,100
1,note_on,52,0,20
1,note_on,53,0,120
1,note_on,50,36,100
1,note_on,50,0,120
1,note_on,62,47,0
1,note_on,62,0,120
1,note_on,50,40,0
1,note_on,50,0,120
1,note_on,62,52,0
1,note_on,62,0,120
1,note_on,50,42,0
1,note_on,50,0,120
1,note_on,62,54,0
1,note_on,62,0,120
1,note_on,50,46,0
1,note_on,50,0,120
1,note_on,62,61,0
1,note_on,62,0,120
1,note_on,50,49,0
1,note_on,50,0,120
1,note_on,62,59,0
1,note_on,62,0,120
1,note_on,50,43,0
1,note_on,50,0,120
1,note_on,62,54,0
1,note_on,62,0,120
1,note_on,50,40,0
1,note_on,50,0,120
1,note_on,62,50,0
1,note_on,62,0,120
1,note_on,50,45,0
1,note_on,50,0,120
1,note_on,58,40,120
1,note_on,60,41,120
1,note_on,58,0,20
1,note_on,58,42,100
1,note_on,60,0,20
1,note_on,58,0,120
1,note_on,57,45,100
1,note_on,58,47,120
1,note_on,57,0,20
1,note_on,57,48,100
1,note_on,58,0,20
1,note_on,57,0,120
1,note_on,55,51,100
1,note_on,57,52,120
1,note_on,55,0,20
1,note_on,55,54,100
1,note_on,57,0,20
1,note_on,55,0,120
1,note_on,53,57,100
1,note_on,55,58,120
1,note_on,53,0,20
1,note_on,53,59,100
1,note_on,55,0,20
1,note_on,53,0,120
1,note_on,52,58,100
1,note_on,55,61,120
1,note_on,52,0,20
1,note_on,57,64,100
1,note_on,55,0,20
1,note_on,58,67,100
1,note_on,57,0,20
1,note_on,57,63,100
1,note_on,58,0,20
1,note_on,55,63,100
1,note_on,57,0,20
1,note_on,52,64,100
1,note_on,55,0,20
1,note_on,52,0,100
1,note_on,64,68,0
1,note_on,55,61,120
1,note_on,57,61,120
1,note_on,55,0,20
1,note_on,58,61,100
1,note_on,57,0,20
1,note_on,57,55,100
1,note_on,58,0,20
1,note_on,58,54,100
1,note_on,57,0,20
1,note_on,57,52,100
1,note_on,58,0,20
1,note_on,55,51,100
1,note_on,57,0,20
1,note_on,55,0,100
1,note_on,64,0,0
1,note_on,53,58,120
1,note_on,53,0,120
1,note_on,62,55,0
1,note_on,62,0,120
1,note_on,53,49,0
1,note_on,53,0,120
1,note_on,54,65,120
1,note_on,54,0,120
1,note_on,62,59,0
1,note_on,62,0,120
1,note_on,54,57,0
1,note_on,54,0,120
1,note_on,55,70,120
1,note_on,55,0,120
1,note_on,62,66,0
1,note_on,62,0,120
1,note_on,55,60,0
1,note_on,55,0,120
1,note_on,56,74,120
1,note_on,56,0,120
1,note_on,62,66,0
1,note_on,62,0,120
1,note_on,56,61,0
1,note_on,56,0,120
1,note_on,57,62,120
1,note_on,57,0,120
1,note_on,62,65,0
1,note_on,62,0,120
1,note_on,65,67,0
1,note_on,65,0,120
1,note_on,69,70,0
1,note_on,69,0,120
1,note_on,65,68,0
1,note_on,65,0,120
1,note_on,64,66,0
1,note_on,64,0,120
1,note_on,62,64,0
1,note_on,62,0,120
1,note_on,61,60,0
1,note_on,58,59,120
1,note_on,61,0,20
1,note_on,57,56,100
