Track,Message Type,Note,Velocity,Time
1,note_on,76,42,0
1,note_on,76,0,120
1,note_on,77,39,0
1,note_on,79,39,60
1,note_on,77,0,10
1,note_on,81,40,50
1,note_on,79,0,10
1,note_on,83,40,50
1,note_on,81,0,10
1,note_on,84,41,50
1,note_on,83,0,10
1,note_on,86,42,50
1,note_on,84,0,10
1,note_on,88,49,50
1,note_on,86,0,10
1,note_on,88,0,20
1,note_on,88,42,30
1,note_on,89,42,60
1,note_on,88,0,10
1,note_on,91,44,50
1,note_on,89,0,10
1,note_on,93,45,50
1,note_on,91,0,10
1,note_on,95,46,50
1,note_on,93,0,10
1,note_on,96,48,50
1,note_on,95,0,10
1,note_on,98,49,50
1,note_on,96,0,10
1,note_on,100,51,50
1,note_on,98,0,10
1,note_on,100,0,60
1,note_on,76,42,170
1,note_on,76,0,240
1,note_on,79,42,0
1,note_on,79,0,120
1,note_on,81,39,0
1,note_on,83,39,60
1,note_on,81,0,10
1,note_on,84,40,50
1,note_on,83,0,10
1,note_on,86,40,50
1,note_on,84,0,10
1,note_on,88,41,50
1,note_on,86,0,10
1,note_on,89,42,50
1,note_on,88,0,10
1,note_on,91,49,50
1,note_on,89,0,10
1,note_on,91,0,20
1,note_on,91,41,30
1,note_on,93,42,60
1,note_on,91,0,10
1,note_on,95,42,50
1,note_on,93,0,10
1,note_on,96,44,50
1,note_on,95,0,10
1,note_on,98,45,50
1,note_on,96,0,10
1,note_on,100,48,50
1,note_on,98,0,10
1,note_on,101,49,50
1,note_on,100,0,10
1,note_on,103,51,50
1,note_on,101,0,10
1,note_on,103,0,60
1,note_on,72,42,170
1,note_on,72,0,240
1,note_on,74,42,0
1,note_on,74,0,120
1,note_on,76,39,0
1,note_on,77,39,60
1,note_on,76,0,10
1,note_on,79,40,50
1,note_on,77,0,10
1,note_on,81,40,50
1,note_on,79,0,10
1,note_on,83,41,50
1,note_on,81,0,10
1,note_on,84,42,50
1,note_on,83,0,10
1,note_on,86,49,50
1,note_on,84,0,10
1,note_on,86,0,20
1,note_on,86,42,30
1,note_on,88,44,60
1,note_on,86,0,10
1,note_on,89,45,50
1,note_on,88,0,10
1,note_on,91,46,50
1,note_on,89,0,10
1,note_on,93,48,50
1,note_on,91,0,10
1,note_on,95,49,50
1,note_on,93,0,10
1,note_on,96,50,50
1,note_on,95,0,10
1,note_on,98,51,50
1,note_on,96,0,10
1,note_on,98,0,60
1,note_on,76,42,170
1,note_on,76,0,240
1,note_on,72,42,0
1,note_on,72,0,120
1,note_on,74,39,0
1,note_on,76,39,60
