Track,Message Type,Note,Velocity,Time
1,note_on,69,50,1440
1,note_on,69,0,360
1,note_on,71,42,0
1,note_on,71,0,120
1,note_on,69,50,0
1,note_on,74,38,80
1,note_on,74,0,80
1,note_on,78,38,0
1,note_on,78,0,80
1,note_on,79,47,0
1,note_on,79,0,80
1,note_on,78,38,0
1,note_on,78,0,80
1,note_on,74,38,0
1,note_on,69,0,77
1,note_on,74,0,3
1,note_on,69,50,0
1,note_on,74,37,80
1,note_on,74,0,80
1,note_on,78,37,0
1,note_on,78,0,80
1,note_on,79,49,0
1,note_on,79,0,80
1,note_on,78,41,0
1,note_on,78,0,80
1,note_on,74,41,0
1,note_on,74,0,80
1,note_on,69,0,0
1,note_on,71,55,0
1,note_on,74,45,80
1,note_on,74,0,80
1,note_on,79,45,0
1,note_on,79,0,80
1,note_on,81,52,0
1,note_on,81,0,80
1,note_on,79,42,0
1,note_on,79,0,80
1,note_on,74,42,0
1,note_on,71,0,70
1,note_on,74,0,10
1,note_on,71,55,0
1,note_on,74,45,80
1,note_on,74,0,80
1,note_on,79,45,0
1,note_on,79,0,80
1,note_on,81,52,0
1,note_on,81,0,80
1,note_on,79,42,0
1,note_on,79,0,80
1,note_on,74,42,0
1,note_on,74,0,80
1,note_on,71,0,0
1,note_on,69,50,0
1,note_on,74,41,80
1,note_on,74,0,80
1,note_on,78,41,0
1,note_on,78,0,80
1,note_on,79,48,0
1,note_on,79,0,80
1,note_on,78,39,0
1,note_on,78,0,80
1,note_on,74,39,0
1,note_on,74,0,80
1,note_on,69,0,0
1,note_on,74,50,0
1,note_on,78,41,80
1,note_on,78,0,80
1,note_on,81,41,0
1,note_on,81,0,80
1,note_on,83,48,0
1,note_on,83,0,80
1,note_on,81,39,0
1,note_on,81,0,80
1,note_on,78,39,0
1,note_on,78,0,80
1,note_on,74,0,0
1,note_on,78,48,0
1,note_on,78,0,80
1,note_on,79,42,0
1,note_on,79,0,80
1,note_on,81,42,0
1,note_on,81,0,80
1,note_on,83,55,0
1,note_on,83,0,80
1,note_on,85,48,0
1,note_on,85,0,80
1,note_on,86,48,0
1,note_on,86,0,80
1,note_on,88,62,0
1,note_on,88,0,80
1,note_on,90,50,0
1,note_on,90,0,80
1,note_on,91,51,0
1,note_on,91,0,80
1,note_on,92,67,0
1,note_on,92,0,80
1,note_on,95,59,0
1,note_on,95,0,80
1,note_on,93,53,0
1,note_on,93,0,80
1,note_on,91,72,0
1,note_on,91,0,80
1,note_on,93,60,0
1,note_on,93,0,80
1,note_on,91,60,0
1,note_on,91,0,80
1,note_on,90,70,0
1,note_on,90,0,80
1,note_on,91,58,0
1,note_on,91,0,80
1,note_on,90,58,0
1,note_on,90,0,80
1,note_on,88,69,0
1,note_on,88,0,80
1,note_on,90,61,0
1,note_on,90,0,80
1,note_on,88,59,0
1,note_on,88,0,80
1,note_on,86,69,0
1,note_on,86,0,80
1,note_on,88,58,0
1,note_on,88,0,80
1,note_on,86,58,0
1,note_on,86,0,80
1,note_on,85,68,0
1,note_on,85,0,80
1,note_on,86,56,0
1,note_on,86,0,80
1,note_on,85,56,0
1,note_on,85,0,80
1,note_on,83,65,0
1,note_on,83,0,80
1,note_on,85,55,0
1,note_on,85,0,80
1,note_on,83,55,0
1,note_on,83,0,80
1,note_on,81,64,0
1,note_on,81,0,80
1,note_on,83,55,0
1,note_on,83,0,80
1,note_on,81,55,0
