Track,Message Type,Note,Velocity,Time
1,note_on,76,54,0
1,note_on,76,0,80
1,note_on,82,46,0
1,note_on,82,0,80
1,note_on,85,40,0
1,note_on,85,0,80
1,note_on,76,56,0
1,note_on,76,0,120
1,note_on,74,51,360
1,note_on,74,0,80
1,note_on,81,43,0
1,note_on,81,0,80
1,note_on,86,40,0
1,note_on,86,0,80
1,note_on,74,53,0
1,note_on,74,0,120
1,note_on,74,51,360
1,note_on,74,0,80
1,note_on,80,43,0
1,note_on,80,0,80
1,note_on,83,40,0
1,note_on,83,0,80
1,note_on,74,50,0
1,note_on,74,0,120
1,note_on,72,49,360
1,note_on,72,0,80
1,note_on,79,40,0
1,note_on,79,0,80
1,note_on,84,38,0
1,note_on,84,0,80
1,note_on,72,51,0
1,note_on,72,0,120
1,note_on,72,51,360
1,note_on,72,0,80
1,note_on,79,40,0
1,note_on,79,0,80
1,note_on,81,37,0
1,note_on,81,0,80
1,note_on,72,49,0
1,note_on,72,0,120
1,note_on,75,54,330
1,note_on,79,58,10
1,note_on,84,62,10
1,note_on,87,64,10
1,note_on,87,0,240
1,note_on,75,0,0
1,note_on,79,0,0
1,note_on,84,0,0
1,note_on,62,54,480
1,note_on,62,0,80
1,note_on,66,46,0
1,note_on,66,0,80
1,note_on,74,40,0
1,note_on,74,0,80
1,note_on,62,50,0
1,note_on,62,0,120
1,note_on,67,40,360
1,note_on,62,40,0
1,note_on,58,40,0
1,note_on,58,0,240
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,86,54,480
1,note_on,86,0,80
1,note_on,94,46,0
1,note_on,94,0,80
1,note_on,98,40,0
1,note_on,98,0,80
1,note_on,86,50,0
1,note_on,86,0,240
1,note_on,74,54,0
1,note_on,74,0,80
1,note_on,82,46,0
1,note_on,82,0,80
1,note_on,86,40,0
1,note_on,86,0,80
1,note_on,74,59,0
1,note_on,74,0,240
1,note_on,72,50,240
1,note_on,72,0,120
1,note_on,70,49,0
1,note_on,70,0,60
1,note_on,72,49,0
1,note_on,72,0,60
1,note_on,70,58,0
1,note_on,70,0,240
1,note_on,69,49,240
1,note_on,69,0,120
1,note_on,69,42,60
1,note_on,69,0,60
1,note_on,72,50,0
1,note_on,72,0,480
1,note_on,70,46,0
1,note_on,70,0,240
1,note_on,79,54,0
1,note_on,79,0,80
1,note_on,86,46,0
1,note_on,86,0,80
1,note_on,91,40,0
1,note_on,91,0,80
1,note_on,79,50,0
1,note_on,79,0,240
1,note_on,67,54,0
1,note_on,67,0,80
1,note_on,74,46,0
1,note_on,74,0,80
1,note_on,79,40,0
1,note_on,79,0,80
1,note_on,67,59,0
1,note_on,67,0,240
1,note_on,63,50,240
1,note_on,63,0,240
1,note_on,62,58,0
1,note_on,62,0,240
1,note_on,70,54,0
1,note_on,70,0,240
1,note_on,69,49,0
1,note_on,69,0,117
1,note_on,69,42,3
1,note_on,70,42,40
1,note_on,69,0,20
1,note_on,70,0,40
1,note_on,69,50,20
1,note_on,69,0,480
1,note_on,67,46,0
1,note_on,67,0,240
1,note_on,86,54,0
1,note_on,86,0,80
1,note_on,94,46,0
1,note_on,94,0,80
1,note_on,98,40,0
1,note_on,98,0,80
1,note_on,86,50,0
1,note_on,86,0,240
1,note_on,74,54,0
1,note_on,74,0,80
1,note_on,82,46,0
1,note_on,82,0,80
1,note_on,86,40,0
1,note_on,86,0,80
1,note_on,74,59,0
1,note_on,74,0,240
1,note_on,72,50,240
1,note_on,72,0,120
1,note_on,70,49,0
1,note_on,70,0,60
1,note_on,72,49,0
1,note_on,72,0,60
1,note_on,70,58,0
1,note_on,70,0,240
1,note_on,69,49,240
1,note_on,69,0,120
1,note_on,69,42,60
1,note_on,69,0,60
1,note_on,72,50,0
1,note_on,72,0,480
1,note_on,70,46,0
1,note_on,70,0,240
1,note_on,79,54,0
1,note_on,79,0,80
1,note_on,86,46,0
1,note_on,86,0,80
1,note_on,91,40,0
1,note_on,91,0,80
1,note_on,79,50,0
1,note_on,79,0,240
1,note_on,67,54,0
1,note_on,67,0,80
1,note_on,74,46,0
1,note_on,74,0,80
1,note_on,79,40,0
1,note_on,79,0,80
1,note_on,67,59,0
1,note_on,67,0,240
1,note_on,63,50,240
1,note_on,63,0,240
1,note_on,62,58,0
1,note_on,62,0,240
1,note_on,70,54,0
1,note_on,70,0,240
1,note_on,69,49,0
1,note_on,69,0,117
1,note_on,69,42,3
1,note_on,70,42,40
1,note_on,69,0,20
1,note_on,70,0,40
1,note_on,69,50,20
1,note_on,69,0,480
1,note_on,67,46,0
1,note_on,67,0,240
1,note_on,77,54,0
1,note_on,77,0,80
1,note_on,82,46,0
1,note_on,82,0,80
1,note_on,89,40,0
1,note_on,89,0,80
1,note_on,77,50,0
1,note_on,77,0,240
1,note_on,65,54,0
1,note_on,65,0,80
1,note_on,74,46,0
1,note_on,74,0,80
1,note_on,77,40,0
1,note_on,77,0,80
1,note_on,65,59,0
1,note_on,65,0,240
1,note_on,63,50,240
1,note_on,63,0,120
1,note_on,63,58,120
1,note_on,63,0,80
1,note_on,65,48,0
1,note_on,65,0,80
1,note_on,63,48,0
1,note_on,63,0,80
1,note_on,62,55,0
1,note_on,62,0,240
1,note_on,60,50,0
1,note_on,60,0,120
1,note_on,60,45,60
1,note_on,60,0,60
1,note_on,63,50,0
1,note_on,63,0,480
1,note_on,62,46,0
1,note_on,62,0,240
1,note_on,74,54,0
1,note_on,74,0,80
1,note_on,79,46,0
1,note_on,79,0,80
1,note_on,86,40,0
1,note_on,86,0,80
1,note_on,74,50,0
1,note_on,74,0,240
1,note_on,62,54,0
1,note_on,62,0,80
1,note_on,67,46,0
1,note_on,67,0,80
1,note_on,74,40,0
1,note_on,74,0,80
1,note_on,62,59,0
1,note_on,62,0,240
1,note_on,60,50,240
1,note_on,60,0,120
1,note_on,60,58,120
1,note_on,60,0,80
1,note_on,62,48,0
1,note_on,62,0,80
1,note_on,60,48,0
1,note_on,60,0,80
1,note_on,58,55,0
1,note_on,58,0,240
1,note_on,57,50,0
1,note_on,57,0,120
1,note_on,57,45,40
1,note_on,57,0,60
1,note_on,60,50,20
1,note_on,60,0,480
1,note_on,58,46,0
1,note_on,58,0,240
1,note_on,67,54,0
1,note_on,67,0,80
1,note_on,75,46,0
1,note_on,75,0,80
1,note_on,79,40,0
1,note_on,79,0,80
1,note_on,67,57,0
1,note_on,67,0,240
1,note_on,68,59,240
1,note_on,68,0,80
1,note_on,75,50,0
1,note_on,75,0,80
1,note_on,80,44,0
1,note_on,80,0,80
1,note_on,68,50,0
1,note_on,68,0,240
1,note_on,66,64,240
1,note_on,66,0,80
1,note_on,72,55,0
1,note_on,72,0,80
1,note_on,78,48,0
1,note_on,78,0,80
1,note_on,66,68,0
1,note_on,66,0,240
1,note_on,67,67,240
1,note_on,67,0,80
1,note_on,74,57,0
1,note_on,74,0,80
1,note_on,79,50,0
1,note_on,79,0,80
1,note_on,67,57,0
1,note_on,67,0,240
1,note_on,63,73,240
1,note_on,63,0,80
1,note_on,67,63,0
1,note_on,67,0,80
1,note_on,75,55,0
1,note_on,75,0,80
1,note_on,63,78,0
1,note_on,63,0,240
1,note_on,60,80,240
1,note_on,60,0,80
1,note_on,67,69,0
1,note_on,67,0,80
1,note_on,72,59,0
1,note_on,72,0,80
1,note_on,60,85,0
1,note_on,60,0,240
1,note_on,62,85,240
1,note_on,62,0,80
1,note_on,67,74,0
1,note_on,67,0,80
1,note_on,62,64,0
1,note_on,62,0,80
1,note_on,61,86,0
1,note_on,61,0,120
1,note_on,62,93,120
1,note_on,62,0,120
1,note_on,67,96,120
1,note_on,67,0,120
1,note_on,67,87,120
1,note_on,70,87,0
1,note_on,79,103,0
1,note_on,79,0,120
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,86,54,360
1,note_on,86,0,120
1,note_on,74,50,120
1,note_on,74,0,120
1,note_on,79,54,360
1,note_on,79,0,120
1,note_on,67,50,120
1,note_on,67,0,120
1,note_on,74,54,360
1,note_on,74,0,120
1,note_on,62,50,120
1,note_on,62,0,120
1,note_on,74,54,360
1,note_on,71,34,240
1,note_on,67,28,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,71,34,0
1,note_on,67,28,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,74,0,0
1,note_on,76,59,0
1,note_on,71,38,240
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,71,38,0
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,76,0,0
1,note_on,76,64,0
1,note_on,69,33,240
1,note_on,66,28,0
1,note_on,66,0,240
1,note_on,69,0,0
1,note_on,69,33,0
1,note_on,66,28,0
1,note_on,66,0,240
1,note_on,69,0,0
1,note_on,76,0,0
1,note_on,74,54,0
1,note_on,74,0,120
1,note_on,74,70,120
1,note_on,74,0,80
1,note_on,81,49,0
1,note_on,81,0,80
1,note_on,86,49,0
1,note_on,86,0,80
1,note_on,74,63,0
1,note_on,74,0,240
1,note_on,74,54,0
1,note_on,67,34,240
1,note_on,64,28,0
1,note_on,64,0,240
1,note_on,67,0,0
1,note_on,67,34,0
1,note_on,64,28,0
1,note_on,64,0,240
1,note_on,67,0,0
1,note_on,74,0,0
1,note_on,72,59,0
1,note_on,67,38,240
1,note_on,64,31,0
1,note_on,72,0,240
1,note_on,74,45,0
1,note_on,74,0,240
1,note_on,64,0,0
1,note_on,67,0,0
1,note_on,72,61,0
1,note_on,66,33,240
1,note_on,63,28,0
1,note_on,63,0,240
1,note_on,66,0,0
1,note_on,66,33,0
1,note_on,63,28,0
1,note_on,63,0,240
1,note_on,66,0,0
1,note_on,72,0,0
1,note_on,71,54,0
1,note_on,71,0,120
1,note_on,71,65,120
1,note_on,71,0,80
1,note_on,78,46,0
1,note_on,78,0,80
1,note_on,83,46,0
1,note_on,83,0,80
1,note_on,71,65,0
1,note_on,71,0,240
1,note_on,71,54,0
1,note_on,67,34,240
1,note_on,62,28,0
1,note_on,62,0,240
1,note_on,67,0,0
1,note_on,67,34,0
1,note_on,62,28,0
1,note_on,62,0,240
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,67,59,0
1,note_on,62,34,240
1,note_on,59,28,0
1,note_on,59,0,240
1,note_on,62,0,0
1,note_on,62,34,0
1,note_on,59,28,0
1,note_on,59,0,240
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,69,64,0
1,note_on,63,33,240
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,63,33,0
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,72,68,0
1,note_on,67,34,240
1,note_on,69,41,0
1,note_on,69,0,240
1,note_on,67,0,0
1,note_on,67,34,0
1,note_on,69,41,0
1,note_on,69,0,240
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,71,64,0
1,note_on,62,33,240
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,62,32,0
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,71,0,0
1,note_on,69,63,0
1,note_on,62,34,240
1,note_on,60,29,0
1,note_on,60,0,240
1,note_on,62,0,0
1,note_on,62,34,0
1,note_on,60,28,0
1,note_on,60,0,240
1,note_on,62,0,0
1,note_on,69,0,0
1,note_on,67,63,0
1,note_on,59,27,240
1,note_on,62,32,0
1,note_on,62,0,240
1,note_on,59,0,0
1,note_on,59,25,0
1,note_on,62,30,0
1,note_on,62,0,240
1,note_on,59,0,0
1,note_on,67,0,0
1,note_on,62,28,0
1,note_on,59,22,0
1,note_on,59,0,240
1,note_on,62,0,0
1,note_on,62,25,0
1,note_on,59,22,0
1,note_on,59,0,240
1,note_on,62,0,0
1,note_on,62,22,0
1,note_on,59,19,0
1,note_on,59,0,240
1,note_on,62,0,0
1,note_on,74,54,0
1,note_on,71,34,240
1,note_on,67,28,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,71,34,0
1,note_on,67,28,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,74,0,0
1,note_on,76,59,0
1,note_on,71,38,240
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,71,38,0
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,71,0,0
1,note_on,76,0,0
1,note_on,76,64,0
1,note_on,69,33,240
1,note_on,66,28,0
1,note_on,66,0,240
1,note_on,69,0,0
1,note_on,69,33,0
1,note_on,66,28,0
1,note_on,66,0,240
1,note_on,69,0,0
1,note_on,76,0,0
1,note_on,74,54,0
1,note_on,74,0,120
1,note_on,74,68,120
1,note_on,74,0,80
1,note_on,81,49,0
1,note_on,81,0,80
1,note_on,86,49,0
1,note_on,86,0,80
1,note_on,74,63,0
1,note_on,74,0,240
1,note_on,74,54,0
1,note_on,67,34,240
1,note_on,64,28,0
1,note_on,64,0,240
1,note_on,67,0,0
1,note_on,67,34,0
1,note_on,64,28,0
1,note_on,64,0,240
1,note_on,67,0,0
1,note_on,74,0,0
1,note_on,72,59,0
1,note_on,67,38,240
1,note_on,64,31,0
1,note_on,72,0,240
1,note_on,74,45,0
1,note_on,74,0,240
1,note_on,64,0,0
1,note_on,67,0,0
1,note_on,72,61,0
1,note_on,66,33,240
1,note_on,63,28,0
1,note_on,63,0,240
1,note_on,66,0,0
1,note_on,66,33,0
1,note_on,63,28,0
1,note_on,63,0,240
1,note_on,66,0,0
1,note_on,72,0,0
1,note_on,71,54,0
1,note_on,71,0,120
1,note_on,71,66,120
1,note_on,71,0,80
1,note_on,78,46,0
1,note_on,78,0,80
1,note_on,83,46,0
1,note_on,83,0,80
1,note_on,71,65,0
1,note_on,71,0,240
1,note_on,71,54,0
1,note_on,67,34,240
1,note_on,62,28,0
1,note_on,62,0,240
1,note_on,67,0,0
1,note_on,67,34,0
1,note_on,62,28,0
1,note_on,62,0,240
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,67,59,0
1,note_on,62,34,240
1,note_on,59,28,0
1,note_on,59,0,240
1,note_on,62,0,0
1,note_on,62,34,0
1,note_on,59,28,0
1,note_on,59,0,240
1,note_on,62,0,0
1,note_on,67,0,0
1,note_on,69,64,0
1,note_on,63,33,240
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,63,33,0
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,72,68,0
1,note_on,67,34,240
1,note_on,69,41,0
1,note_on,69,0,240
1,note_on,67,0,0
1,note_on,67,34,0
1,note_on,69,41,0
1,note_on,69,0,240
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,71,64,0
1,note_on,62,33,240
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,62,32,0
1,note_on,67,39,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,71,0,0
1,note_on,69,63,0
1,note_on,62,34,240
1,note_on,60,29,0
1,note_on,60,0,240
1,note_on,62,0,0
1,note_on,62,34,0
1,note_on,60,28,0
1,note_on,60,0,240
1,note_on,62,0,0
1,note_on,69,0,0
1,note_on,67,63,0
1,note_on,59,27,240
1,note_on,62,32,0
1,note_on,62,0,240
1,note_on,59,0,0
1,note_on,59,25,0
1,note_on,62,30,0
1,note_on,62,0,240
1,note_on,59,0,0
1,note_on,67,0,0
1,note_on,55,51,240
1,note_on,67,61,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,55,43,120
1,note_on,67,52,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,67,65,120
1,note_on,55,55,0
1,note_on,55,0,120
1,note_on,67,0,0
1,note_on,55,48,120
1,note_on,67,58,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,55,40,120
1,note_on,67,47,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,63,49,120
1,note_on,55,48,240
1,note_on,67,57,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,55,41,120
1,note_on,67,48,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,63,0,120
1,note_on,62,53,0
1,note_on,55,45,240
1,note_on,67,53,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,67,41,120
1,note_on,55,35,0
1,note_on,55,0,120
1,note_on,67,0,0
1,note_on,62,0,120
1,note_on,60,54,0
1,note_on,67,48,240
1,note_on,55,41,0
1,note_on,55,0,120
1,note_on,67,0,0
1,note_on,67,41,120
1,note_on,55,35,0
1,note_on,55,0,120
1,note_on,67,0,0
1,note_on,60,0,120
1,note_on,67,68,0
1,note_on,58,56,0
1,note_on,55,56,0
1,note_on,55,0,240
1,note_on,58,0,0
