Track,Message Type,Note,Velocity,Time
1,note_on,58,41,1
1,note_on,57,29,479
1,note_on,58,0,1
1,note_on,57,0,79
1,note_on,58,31,0
1,note_on,58,0,80
1,note_on,61,33,0
1,note_on,61,0,80
1,note_on,65,37,0
1,note_on,65,0,120
1,note_on,57,29,360
1,note_on,57,0,80
1,note_on,58,31,0
1,note_on,58,0,80
1,note_on,61,32,0
1,note_on,61,0,80
1,note_on,65,37,0
1,note_on,65,0,120
1,note_on,58,100,1320
1,note_on,58,0,120
1,note_on,90,92,600
1,note_on,82,78,0
1,note_on,94,92,0
1,note_on,94,0,1440
1,note_on,82,0,0
1,note_on,90,0,0
1,note_on,75,51,0
1,note_on,84,61,0
1,note_on,87,61,0
1,note_on,87,0,360
1,note_on,84,0,0
1,note_on,75,0,0
1,note_on,84,68,0
1,note_on,77,57,0
1,note_on,89,68,0
1,note_on,89,0,120
1,note_on,77,0,0
1,note_on,84,0,0
1,note_on,90,71,0
1,note_on,78,60,0
1,note_on,84,71,0
1,note_on,84,0,240
1,note_on,78,0,0
1,note_on,90,0,0
1,note_on,85,68,0
1,note_on,77,57,0
1,note_on,89,68,0
1,note_on,89,0,240
1,note_on,77,0,0
1,note_on,85,0,0
1,note_on,57,27,240
1,note_on,57,0,80
1,note_on,58,29,0
1,note_on,58,0,80
1,note_on,61,30,0
1,note_on,61,0,80
1,note_on,65,35,0
1,note_on,65,0,120
1,note_on,57,27,360
1,note_on,57,0,80
1,note_on,58,29,0
1,note_on,58,0,80
1,note_on,61,30,0
1,note_on,61,0,80
1,note_on,65,35,0
1,note_on,65,0,120
1,note_on,56,100,1320
1,note_on,56,0,120
1,note_on,92,90,600
1,note_on,89,90,0
1,note_on,80,76,0
1,note_on,80,0,1440
1,note_on,89,0,0
1,note_on,92,0,0
1,note_on,84,60,0
1,note_on,75,51,0
1,note_on,87,60,0
1,note_on,87,0,360
1,note_on,75,0,0
1,note_on,84,0,0
1,note_on,84,65,0
1,note_on,89,65,0
1,note_on,77,55,0
1,note_on,77,0,120
1,note_on,89,0,0
1,note_on,84,0,0
1,note_on,84,70,0
1,note_on,90,70,0
1,note_on,78,59,0
1,note_on,78,0,240
1,note_on,90,0,0
1,note_on,84,0,0
1,note_on,77,56,0
1,note_on,85,67,0
1,note_on,89,67,0
1,note_on,89,0,240
1,note_on,85,0,0
1,note_on,77,0,0
1,note_on,77,81,480
1,note_on,69,81,0
1,note_on,69,0,480
1,note_on,77,0,0
1,note_on,57,81,240
1,note_on,65,81,0
1,note_on,65,0,480
1,note_on,57,0,0
1,note_on,57,27,480
1,note_on,57,0,80
1,note_on,58,29,0
1,note_on,58,0,80
1,note_on,61,30,0
1,note_on,61,0,80
1,note_on,65,34,0
1,note_on,65,0,120
1,note_on,57,29,360
1,note_on,57,0,80
1,note_on,58,30,0
1,note_on,58,0,80
1,note_on,61,31,0
1,note_on,61,0,80
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,58,100,1320
1,note_on,58,0,120
1,note_on,90,92,600
1,note_on,94,92,0
1,note_on,82,78,0
1,note_on,82,0,1080
1,note_on,94,0,0
1,note_on,90,0,0
1,note_on,87,58,0
1,note_on,84,58,0
1,note_on,75,49,0
1,note_on,75,0,120
1,note_on,84,0,0
1,note_on,87,0,0
1,note_on,84,58,0
1,note_on,75,49,0
1,note_on,87,58,0
1,note_on,87,0,240
1,note_on,75,0,0
1,note_on,84,0,0
1,note_on,75,51,0
1,note_on,84,61,0
1,note_on,87,61,0
1,note_on,87,0,360
1,note_on,84,0,0
1,note_on,75,0,0
1,note_on,89,68,0
1,note_on,84,68,0
1,note_on,77,57,0
1,note_on,77,0,120
1,note_on,84,0,0
1,note_on,89,0,0
1,note_on,84,71,0
1,note_on,90,71,0
1,note_on,78,60,0
1,note_on,78,0,240
1,note_on,90,0,0
1,note_on,84,0,0
1,note_on,85,68,0
1,note_on,89,68,0
1,note_on,77,57,0
1,note_on,77,0,240
1,note_on,89,0,0
1,note_on,85,0,0
1,note_on,57,29,240
1,note_on,57,0,80
