Track,Message Type,Note,Velocity,Time
1,note_on,70,80,0
1,note_on,70,0,960
1,note_on,70,74,0
1,note_on,70,0,120
1,note_on,70,70,120
1,note_on,70,0,120
1,note_on,70,79,120
1,note_on,70,0,960
1,note_on,70,75,0
1,note_on,70,0,120
1,note_on,70,69,120
1,note_on,70,0,120
1,note_on,70,78,120
1,note_on,70,0,480
1,note_on,70,72,0
1,note_on,70,0,120
1,note_on,70,67,120
1,note_on,70,0,120
1,note_on,70,74,120
1,note_on,70,0,480
1,note_on,70,69,0
1,note_on,70,0,120
1,note_on,70,66,120
1,note_on,70,0,120
1,note_on,70,73,120
1,note_on,70,0,480
1,note_on,70,59,0
1,note_on,70,0,120
1,note_on,70,59,120
1,note_on,70,0,120
1,note_on,70,72,120
1,note_on,70,0,480
1,note_on,74,60,0
1,note_on,75,49,240
1,note_on,74,0,20
1,note_on,74,57,220
1,note_on,77,57,0
1,note_on,75,0,20
1,note_on,77,0,340
1,note_on,74,0,0
1,note_on,70,67,120
1,note_on,70,0,240
1,note_on,75,64,240
1,note_on,77,48,240
1,note_on,75,0,20
1,note_on,75,56,220
1,note_on,79,56,0
1,note_on,77,0,20
1,note_on,79,0,340
1,note_on,75,0,0
1,note_on,70,72,120
1,note_on,70,0,240
1,note_on,77,67,240
1,note_on,79,52,240
1,note_on,77,0,20
1,note_on,77,75,220
1,note_on,80,75,0
1,note_on,79,0,20
1,note_on,80,0,340
1,note_on,77,0,0
1,note_on,82,82,120
1,note_on,79,82,0
1,note_on,73,69,0
1,note_on,73,0,960
1,note_on,79,0,0
1,note_on,82,0,0
1,note_on,82,68,0
1,note_on,79,68,0
1,note_on,73,57,0
1,note_on,73,0,240
1,note_on,79,0,0
1,note_on,82,0,0
1,note_on,82,58,0
1,note_on,79,58,0
1,note_on,73,49,0
1,note_on,73,0,240
1,note_on,79,0,0
1,note_on,82,0,0
1,note_on,82,63,0
1,note_on,73,63,0
1,note_on,79,63,0
1,note_on,82,0,480
1,note_on,84,52,0
1,note_on,82,48,240
1,note_on,84,0,20
1,note_on,73,0,220
1,note_on,72,54,0
1,note_on,80,54,0
1,note_on,79,0,20
1,note_on,82,0,0
1,note_on,72,0,220
1,note_on,80,0,0
1,note_on,80,67,240
1,note_on,71,67,0
1,note_on,82,47,480
1,note_on,80,0,20
1,note_on,80,44,220
1,note_on,82,0,20
1,note_on,71,0,220
1,note_on,70,54,0
1,note_on,79,54,0
1,note_on,80,0,20
1,note_on,79,0,220
1,note_on,70,0,0
1,note_on,79,66,240
1,note_on,70,66,0
1,note_on,80,59,480
1,note_on,79,0,20
1,note_on,79,53,220
1,note_on,80,0,20
1,note_on,70,0,220
1,note_on,68,59,0
1,note_on,77,59,0
1,note_on,79,0,20
1,note_on,77,0,220
1,note_on,68,0,0
1,note_on,77,64,240
1,note_on,68,64,0
1,note_on,79,60,480
1,note_on,77,0,20
1,note_on,77,49,220
1,note_on,79,0,20
1,note_on,68,0,220
1,note_on,75,53,0
1,note_on,67,53,0
1,note_on,77,0,20
1,note_on,67,0,220
1,note_on,75,0,0
1,note_on,70,65,240
1,note_on,70,0,240
1,note_on,74,49,240
1,note_on,75,60,240
1,note_on,74,0,20
1,note_on,74,63,220
1,note_on,77,63,0
1,note_on,75,0,20
1,note_on,77,0,340
1,note_on,74,0,0
1,note_on,70,69,120
1,note_on,70,0,240
1,note_on,75,68,240
1,note_on,77,64,240
1,note_on,75,0,20
1,note_on,75,73,220
1,note_on,79,73,0
1,note_on,77,0,20
1,note_on,79,0,340
1,note_on,75,0,0
1,note_on,70,76,120
1,note_on,70,0,240
1,note_on,77,72,240
1,note_on,79,62,240
1,note_on,77,0,20
1,note_on,77,75,220
1,note_on,80,75,0
1,note_on,79,0,20
1,note_on,80,0,340
1,note_on,77,0,0
1,note_on,82,89,120
1,note_on,79,89,0
1,note_on,73,75,0
1,note_on,73,0,720
1,note_on,79,0,0
1,note_on,82,0,0
1,note_on,79,74,0
1,note_on,82,74,0
1,note_on,82,0,240
1,note_on,79,0,0
1,note_on,73,80,0
1,note_on,82,73,240
1,note_on,79,73,0
1,note_on,79,0,240
1,note_on,82,0,0
1,note_on,73,0,0
1,note_on,73,64,0
1,note_on,82,72,240
1,note_on,84,64,240
1,note_on,82,0,20
1,note_on,82,58,220
1,note_on,84,0,20
1,note_on,73,0,220
1,note_on,72,54,0
1,note_on,80,54,0
1,note_on,82,0,20
1,note_on,80,0,220
1,note_on,72,0,0
1,note_on,71,65,240
1,note_on,80,69,240
1,note_on,82,65,240
1,note_on,80,0,20
1,note_on,80,63,220
