Track,Message Type,Note,Velocity,Time
1,note_on,63,81,1
1,note_on,69,81,59
1,note_on,78,96,60
1,note_on,69,0,200
1,note_on,63,0,0
1,note_on,69,68,0
1,note_on,77,80,0
1,note_on,63,62,0
1,note_on,78,0,20
1,note_on,69,0,300
1,note_on,63,0,0
1,note_on,63,64,0
1,note_on,69,67,0
1,note_on,76,80,0
1,note_on,77,0,20
1,note_on,63,0,300
1,note_on,69,0,0
1,note_on,69,69,0
1,note_on,63,63,0
1,note_on,75,81,0
1,note_on,76,0,20
1,note_on,69,0,300
1,note_on,63,0,0
1,note_on,73,83,0
1,note_on,63,62,0
1,note_on,69,69,0
1,note_on,75,0,20
1,note_on,69,0,300
1,note_on,63,0,0
1,note_on,69,65,0
1,note_on,63,58,0
1,note_on,72,78,0
1,note_on,73,0,20
1,note_on,69,0,280
1,note_on,63,0,0
1,note_on,72,0,0
1,note_on,77,39,20
1,note_on,75,40,120
1,note_on,77,0,20
1,note_on,72,41,100
1,note_on,75,0,20
1,note_on,73,42,100
1,note_on,72,0,20
1,note_on,65,43,100
1,note_on,73,0,20
1,note_on,69,45,100
1,note_on,65,0,20
1,note_on,70,45,100
1,note_on,69,0,20
1,note_on,72,46,100
1,note_on,70,0,20
1,note_on,73,48,100
1,note_on,72,0,20
1,note_on,75,49,100
1,note_on,73,0,20
1,note_on,77,51,100
1,note_on,75,0,20
1,note_on,79,51,100
1,note_on,77,0,20
1,note_on,81,52,100
1,note_on,79,0,20
1,note_on,82,53,100
1,note_on,81,0,20
1,note_on,84,54,100
1,note_on,82,0,20
1,note_on,85,56,100
1,note_on,84,0,20
1,note_on,87,56,100
1,note_on,85,0,20
1,note_on,89,57,100
1,note_on,87,0,20
1,note_on,91,58,100
1,note_on,89,0,20
1,note_on,93,59,100
1,note_on,91,0,20
1,note_on,94,61,100
1,note_on,93,0,20
1,note_on,96,62,100
1,note_on,94,0,20
1,note_on,97,64,100
1,note_on,96,0,20
1,note_on,99,65,100
1,note_on,97,0,20
1,note_on,100,67,100
1,note_on,99,0,20
1,note_on,101,65,100
1,note_on,100,0,20
1,note_on,99,65,100
1,note_on,101,0,20
1,note_on,97,63,100
1,note_on,99,0,20
1,note_on,96,62,100
1,note_on,97,0,20
1,note_on,94,61,100
1,note_on,96,0,20
1,note_on,93,60,100
1,note_on,94,0,20
1,note_on,94,59,100
1,note_on,93,0,20
1,note_on,94,0,100
1,note_on,92,58,0
1,note_on,90,57,120
1,note_on,92,0,20
1,note_on,89,56,100
1,note_on,90,0,20
1,note_on,88,56,100
1,note_on,89,0,20
1,note_on,89,55,100
1,note_on,88,0,20
1,note_on,87,54,100
1,note_on,89,0,20
1,note_on,85,53,100
1,note_on,87,0,20
1,note_on,84,52,100
1,note_on,85,0,20
1,note_on,82,51,100
1,note_on,84,0,20
1,note_on,81,50,100
1,note_on,82,0,20
1,note_on,82,49,100
1,note_on,81,0,20
1,note_on,80,49,100
1,note_on,82,0,20
1,note_on,78,48,100
1,note_on,80,0,20
1,note_on,77,48,100
1,note_on,78,0,20
1,note_on,75,46,100
1,note_on,77,0,20
1,note_on,73,45,100
1,note_on,75,0,20
1,note_on,72,45,100
1,note_on,73,0,20
1,note_on,73,45,100
1,note_on,72,0,20
1,note_on,75,45,100
1,note_on,73,0,20
1,note_on,77,46,100
1,note_on,75,0,20
1,note_on,78,47,100
1,note_on,77,0,20
1,note_on,80,47,100
1,note_on,78,0,20
1,note_on,82,48,100
1,note_on,80,0,20
1,note_on,84,49,100
1,note_on,82,0,20
1,note_on,82,48,100
1,note_on,84,0,20
1,note_on,80,48,100
1,note_on,82,0,20
1,note_on,78,49,100
1,note_on,80,0,20
1,note_on,77,49,100
1,note_on,78,0,20
1,note_on,75,50,100
1,note_on,77,0,20
1,note_on,73,51,100
1,note_on,75,0,20
1,note_on,72,51,100
1,note_on,73,0,20
1,note_on,75,51,100
1,note_on,72,0,20
1,note_on,78,51,100
1,note_on,75,0,20
1,note_on,74,48,100
1,note_on,78,0,20
1,note_on,77,51,100
1,note_on,74,0,20
1,note_on,75,45,100
1,note_on,77,0,20
1,note_on,72,45,100
1,note_on,75,0,20
1,note_on,66,43,100
1,note_on,72,0,20
1,note_on,71,44,100
1,note_on,66,0,20
1,note_on,72,45,100
1,note_on,71,0,20
1,note_on,73,45,100
1,note_on,72,0,20
1,note_on,72,46,100
1,note_on,73,0,20
1,note_on,74,48,100
1,note_on,72,0,20
1,note_on,75,48,100
1,note_on,74,0,20
1,note_on,77,48,100
1,note_on,75,0,20
1,note_on,75,50,100
1,note_on,77,0,20
1,note_on,76,51,100
1,note_on,75,0,20
1,note_on,77,51,100
1,note_on,76,0,20
1,note_on,77,0,100
1,note_on,80,52,0
1,note_on,78,53,120
1,note_on,80,0,20
1,note_on,81,55,100
1,note_on,78,0,20
1,note_on,82,56,100
1,note_on,81,0,20
1,note_on,85,56,100
1,note_on,82,0,20
1,note_on,84,58,100
1,note_on,85,0,20
1,note_on,85,59,100
1,note_on,84,0,20
1,note_on,86,60,100
1,note_on,85,0,20
1,note_on,89,61,100
1,note_on,86,0,20
1,note_on,87,62,100
1,note_on,89,0,20
