Track,Message Type,Note,Velocity,Time
1,note_on,64,60,0
1,note_on,64,0,480
1,note_on,64,60,0
1,note_on,64,0,360
1,note_on,64,57,0
1,note_on,64,0,120
1,note_on,64,60,0
1,note_on,64,0,480
1,note_on,65,58,0
1,note_on,65,0,480
1,note_on,64,60,0
1,note_on,64,0,480
1,note_on,60,58,0
1,note_on,60,0,480
1,note_on,64,60,0
1,note_on,64,0,960
1,note_on,64,38,0
1,note_on,55,28,0
1,note_on,60,28,0
1,note_on,60,0,480
1,note_on,55,0,0
1,note_on,64,0,0
1,note_on,64,38,0
1,note_on,55,28,0
1,note_on,60,28,0
1,note_on,60,0,360
1,note_on,55,0,0
1,note_on,64,0,0
1,note_on,55,26,0
1,note_on,64,36,0
1,note_on,60,26,0
1,note_on,60,0,120
1,note_on,64,0,0
1,note_on,55,0,0
1,note_on,60,28,0
1,note_on,55,28,0
1,note_on,64,38,0
1,note_on,64,0,480
1,note_on,55,0,0
1,note_on,60,0,0
1,note_on,65,36,0
1,note_on,57,26,0
1,note_on,60,26,0
1,note_on,60,0,480
1,note_on,57,0,0
1,note_on,65,0,0
1,note_on,60,26,0
1,note_on,55,26,0
1,note_on,64,36,0
1,note_on,64,0,480
1,note_on,55,0,0
1,note_on,60,0,0
1,note_on,57,25,0
1,note_on,60,34,0
1,note_on,60,0,480
1,note_on,57,0,0
1,note_on,60,22,0
1,note_on,64,31,0
1,note_on,55,22,0
1,note_on,55,0,480
1,note_on,60,0,0
1,note_on,62,19,0
1,note_on,56,19,0
1,note_on,101,96,478
1,note_on,56,0,2
1,note_on,64,0,0
1,note_on,62,0,0
1,note_on,101,0,78
1,note_on,96,71,3
1,note_on,100,91,78
1,note_on,96,0,2
1,note_on,100,0,78
1,note_on,93,71,3
1,note_on,99,84,79
1,note_on,93,0,1
1,note_on,96,71,78
1,note_on,99,0,1
1,note_on,96,0,79
1,note_on,98,82,0
1,note_on,98,0,80
1,note_on,93,69,3
1,note_on,97,79,79
1,note_on,93,0,1
1,note_on,97,0,79
1,note_on,93,69,0
1,note_on,96,79,77
1,note_on,93,0,3
1,note_on,96,0,77
1,note_on,88,69,4
1,note_on,95,78,79
1,note_on,88,0,1
1,note_on,88,71,78
1,note_on,95,0,1
1,note_on,94,78,77
1,note_on,88,0,2
1,note_on,84,71,77
1,note_on,94,0,1
1,note_on,84,0,79
1,note_on,93,78,0
1,note_on,93,0,80
1,note_on,88,71,2
1,note_on,92,78,78
1,note_on,88,0,2
1,note_on,92,0,78
1,note_on,84,69,0
1,note_on,84,0,80
1,note_on,91,71,5
1,note_on,84,69,77
1,note_on,91,0,3
1,note_on,90,71,75
1,note_on,84,0,2
1,note_on,90,0,78
1,note_on,81,69,0
1,note_on,81,0,80
1,note_on,89,78,0
1,note_on,89,0,80
1,note_on,84,71,2
1,note_on,84,0,80
1,note_on,88,78,1
1,note_on,88,0,80
1,note_on,81,71,0
1,note_on,81,0,80
1,note_on,87,78,0
1,note_on,87,0,80
1,note_on,84,71,0
1,note_on,86,78,77
1,note_on,84,0,3
1,note_on,86,0,77
1,note_on,81,69,3
1,note_on,85,71,79
1,note_on,81,0,1
1,note_on,85,0,79
1,note_on,81,69,0
1,note_on,84,71,78
1,note_on,81,0,2
1,note_on,84,0,78
1,note_on,76,69,3
1,note_on,76,0,80
1,note_on,83,71,1
1,note_on,83,0,80
1,note_on,76,69,0
1,note_on,82,71,79
1,note_on,76,0,1
1,note_on,72,69,77
1,note_on,82,0,2
1,note_on,72,0,78
1,note_on,81,71,4
1,note_on,76,69,79
1,note_on,81,0,1
1,note_on,76,0,79
1,note_on,80,71,1
1,note_on,80,0,80
1,note_on,72,69,0
1,note_on,79,71,78
1,note_on,72,0,2
1,note_on,72,69,75
1,note_on,79,0,3
1,note_on,72,0,77
1,note_on,78,71,2
1,note_on,69,69,79
1,note_on,78,0,1
1,note_on,69,0,79
1,note_on,77,56,4
1,note_on,72,51,76
1,note_on,77,0,4
1,note_on,72,0,76
1,note_on,76,56,3
1,note_on,76,0,80
1,note_on,69,56,1
1,note_on,69,0,80
1,note_on,75,56,0
1,note_on,75,0,80
1,note_on,72,51,0
1,note_on,74,56,78
1,note_on,72,0,2
1,note_on,69,51,77
1,note_on,74,0,1
1,note_on,73,56,78
1,note_on,69,0,1
1,note_on,73,0,79
1,note_on,69,51,0
1,note_on,69,0,80
1,note_on,72,56,4
1,note_on,64,51,75
1,note_on,72,0,5
1,note_on,64,0,75
1,note_on,71,56,2
1,note_on,64,50,78
1,note_on,71,0,2
1,note_on,64,0,78
1,note_on,70,55,4
1,note_on,60,49,76
1,note_on,70,0,4
1,note_on,60,0,76
1,note_on,69,53,0
1,note_on,69,0,80
1,note_on,64,47,5
1,note_on,68,50,76
1,note_on,64,0,4
1,note_on,68,0,76
1,note_on,60,46,0
1,note_on,60,0,80
1,note_on,67,49,2
1,note_on,67,0,80
1,note_on,60,46,1
1,note_on,60,0,80
1,note_on,66,47,1
1,note_on,57,45,79
1,note_on,66,0,1
1,note_on,65,47,77
1,note_on,57,0,2
1,note_on,60,45,77
1,note_on,65,0,1
1,note_on,60,0,79
1,note_on,64,47,3
1,note_on,57,45,78
1,note_on,64,0,2
