Track,Message Type,Note,Velocity,Time
1,note_on,76,52,3840
1,note_on,76,0,960
1,note_on,77,51,0
1,note_on,77,0,480
1,note_on,77,54,0
1,note_on,77,0,480
1,note_on,77,56,0
1,note_on,77,0,960
1,note_on,78,55,0
1,note_on,78,0,1440
1,note_on,76,55,0
1,note_on,76,0,360
1,note_on,74,51,0
1,note_on,74,0,120
1,note_on,73,51,0
1,note_on,73,0,480
1,note_on,72,51,0
1,note_on,72,0,480
1,note_on,73,53,0
1,note_on,73,0,480
1,note_on,80,56,0
1,note_on,80,0,960
1,note_on,80,54,0
1,note_on,80,0,160
1,note_on,78,51,0
1,note_on,78,0,240
1,note_on,76,49,0
1,note_on,76,0,80
1,note_on,76,53,0
1,note_on,76,0,960
1,note_on,76,52,0
1,note_on,76,0,480
1,note_on,76,56,0
1,note_on,76,0,480
1,note_on,77,63,0
1,note_on,77,0,960
1,note_on,78,63,0
1,note_on,78,0,1440
1,note_on,76,48,0
1,note_on,76,0,360
1,note_on,74,45,0
1,note_on,74,0,120
1,note_on,73,43,0
1,note_on,73,0,480
1,note_on,72,42,0
1,note_on,72,0,480
1,note_on,73,57,1920
1,note_on,85,57,0
1,note_on,85,0,480
1,note_on,73,0,0
1,note_on,80,60,0
1,note_on,80,0,480
1,note_on,78,59,0
1,note_on,78,0,160
1,note_on,80,52,0
1,note_on,80,0,160
1,note_on,78,52,0
1,note_on,78,0,160
1,note_on,76,56,0
1,note_on,76,0,360
1,note_on,75,54,0
1,note_on,75,0,120
1,note_on,73,62,0
1,note_on,73,0,960
1,note_on,75,57,0
1,note_on,75,0,960
1,note_on,76,62,0
1,note_on,76,0,360
1,note_on,78,63,0
1,note_on,78,0,120
1,note_on,80,65,0
1,note_on,80,0,480
1,note_on,78,58,0
1,note_on,78,0,480
1,note_on,74,56,0
1,note_on,74,0,480
1,note_on,73,59,0
1,note_on,73,0,960
1,note_on,68,51,0
1,note_on,68,0,480
1,note_on,80,59,0
1,note_on,80,0,480
1,note_on,85,60,0
1,note_on,85,0,480
1,note_on,80,59,0
1,note_on,80,0,480
1,note_on,78,58,0
1,note_on,78,0,160
1,note_on,80,52,0
1,note_on,80,0,160
1,note_on,78,52,0
1,note_on,78,0,160
1,note_on,76,56,0
1,note_on,76,0,360
1,note_on,75,54,0
1,note_on,75,0,120
1,note_on,73,62,0
1,note_on,73,0,960
1,note_on,75,57,0
1,note_on,75,0,960
1,note_on,76,62,0
1,note_on,76,0,360
1,note_on,78,63,0
1,note_on,78,0,120
1,note_on,80,65,0
1,note_on,80,0,480
1,note_on,78,58,0
1,note_on,78,0,480
1,note_on,74,56,0
1,note_on,74,0,480
1,note_on,73,62,0
1,note_on,73,0,1920
1,note_on,76,54,0
1,note_on,76,0,960
1,note_on,76,51,0
1,note_on,76,0,480
1,note_on,76,54,0
1,note_on,76,0,480
1,note_on,71,48,0
1,note_on,77,56,0
1,note_on,71,0,480
1,note_on,73,53,0
1,note_on,73,0,360
1,note_on,71,49,0
1,note_on,71,0,120
1,note_on,77,0,0
1,note_on,71,50,0
1,note_on,78,55,0
1,note_on,71,0,480
1,note_on,69,51,0
1,note_on,69,0,360
1,note_on,68,48,0
1,note_on,68,0,120
1,note_on,66,50,0
1,note_on,78,0,480
1,note_on,76,56,0
1,note_on,76,0,360
1,note_on,74,55,0
1,note_on,74,0,120
1,note_on,73,54,0
1,note_on,73,0,480
1,note_on,72,51,0
1,note_on,72,0,480
1,note_on,66,0,0
1,note_on,64,45,0
1,note_on,73,54,0
1,note_on,73,0,480
1,note_on,64,0,0
1,note_on,80,60,0
1,note_on,69,41,480
1,note_on,69,0,80
1,note_on,71,39,16
1,note_on,71,0,80
1,note_on,69,39,16
1,note_on,69,0,80
1,note_on,68,41,16
1,note_on,68,0,80
1,note_on,69,39,16
1,note_on,69,0,80
1,note_on,80,0,16
1,note_on,78,54,0
1,note_on,71,42,0
1,note_on,71,0,360
1,note_on,66,40,0
1,note_on,66,0,120
1,note_on,78,0,0
1,note_on,68,46,0
1,note_on,76,54,0
1,note_on,76,0,960
1,note_on,76,54,0
1,note_on,76,0,480
1,note_on,76,58,0
1,note_on,76,0,480
1,note_on,68,0,0
1,note_on,71,55,0
1,note_on,77,62,0
1,note_on,71,0,480
1,note_on,73,56,0
1,note_on,73,0,360
1,note_on,71,51,0
1,note_on,71,0,120
1,note_on,77,0,0
1,note_on,71,54,0
1,note_on,78,60,0
1,note_on,71,0,480
1,note_on,69,57,0
1,note_on,69,0,360
1,note_on,68,52,0
1,note_on,68,0,120
1,note_on,66,53,0
1,note_on,78,0,480
1,note_on,76,56,0
1,note_on,76,0,360
1,note_on,74,55,0
1,note_on,74,0,120
1,note_on,73,54,0
1,note_on,73,0,480
1,note_on,72,52,0
1,note_on,66,0,480
1,note_on,66,41,0
1,note_on,66,0,480
1,note_on,64,45,0
1,note_on,64,0,360
1,note_on,62,34,0
1,note_on,62,0,120
1,note_on,72,0,0
1,note_on,61,40,0
1,note_on,61,0,480
1,note_on,60,36,0
1,note_on,60,0,480
1,note_on,56,32,3840
1,note_on,63,32,0
1,note_on,66,32,0
1,note_on,68,38,0
1,note_on,68,0,720
1,note_on,56,0,0
1,note_on,56,33,0
1,note_on,68,38,0
1,note_on,68,0,240
1,note_on,56,0,0
1,note_on,56,34,0
1,note_on,68,41,0
1,note_on,68,0,480
1,note_on,63,0,0
1,note_on,66,0,0
1,note_on,56,0,0
1,note_on,56,34,0
1,note_on,61,41,0
1,note_on,68,41,0
1,note_on,61,0,720
1,note_on,64,38,0
1,note_on,64,0,240
1,note_on,61,39,0
1,note_on,61,0,480
1,note_on,68,0,0
1,note_on,56,0,0
1,note_on,56,39,0
1,note_on,60,39,0
1,note_on,68,47,0
1,note_on,68,0,720
1,note_on,56,0,0
1,note_on,56,38,0
1,note_on,68,45,0
1,note_on,68,0,240
1,note_on,56,0,0
1,note_on,56,40,0
1,note_on,68,48,0
1,note_on,68,0,480
1,note_on,56,0,0
1,note_on,60,0,0
1,note_on,56,40,0
1,note_on,61,48,0
1,note_on,68,48,0
1,note_on,61,0,720
1,note_on,64,45,0
1,note_on,64,0,240
1,note_on,61,45,0
1,note_on,61,0,480
1,note_on,68,0,0
1,note_on,56,0,0
1,note_on,61,45,0
1,note_on,68,45,0
1,note_on,71,45,0
1,note_on,73,55,0
1,note_on,73,0,720
1,note_on,61,0,0
1,note_on,61,45,0
1,note_on,73,53,0
1,note_on,73,0,240
1,note_on,61,0,0
1,note_on,61,46,0
1,note_on,73,55,0
1,note_on,73,0,480
1,note_on,68,0,0
1,note_on,71,0,0
1,note_on,61,0,0
1,note_on,61,46,0
1,note_on,66,57,0
