Track,Message Type,Note,Velocity,Time
1,note_on,68,37,7800
1,note_on,68,0,120
1,note_on,69,41,0
1,note_on,69,0,120
1,note_on,68,38,0
1,note_on,68,0,120
1,note_on,67,39,0
1,note_on,67,0,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,73,42,0
1,note_on,73,0,120
1,note_on,76,43,0
1,note_on,76,0,120
1,note_on,75,45,0
1,note_on,75,0,120
1,note_on,73,43,0
1,note_on,73,0,120
1,note_on,75,45,0
1,note_on,75,0,120
1,note_on,73,43,0
1,note_on,73,0,120
1,note_on,72,44,0
1,note_on,72,0,120
1,note_on,73,46,0
1,note_on,73,0,120
1,note_on,76,49,0
1,note_on,76,0,120
1,note_on,80,47,0
1,note_on,80,0,120
1,note_on,68,45,120
1,note_on,68,0,120
1,note_on,69,49,0
1,note_on,69,0,120
1,note_on,68,45,0
1,note_on,68,0,120
1,note_on,67,46,0
1,note_on,67,0,120
1,note_on,68,48,0
1,note_on,68,0,120
1,note_on,73,50,0
1,note_on,73,0,120
1,note_on,76,51,0
1,note_on,76,0,120
1,note_on,75,54,0
1,note_on,75,0,120
1,note_on,73,51,0
1,note_on,73,0,120
1,note_on,75,53,0
1,note_on,75,0,120
1,note_on,73,51,0
1,note_on,73,0,120
1,note_on,72,52,0
1,note_on,72,0,120
1,note_on,73,54,0
1,note_on,73,0,120
1,note_on,76,57,0
1,note_on,76,0,120
1,note_on,80,55,0
1,note_on,80,0,120
1,note_on,69,55,120
1,note_on,69,0,120
1,note_on,73,55,0
1,note_on,73,0,120
1,note_on,75,58,0
1,note_on,75,0,120
1,note_on,78,61,0
1,note_on,78,0,120
1,note_on,81,64,0
1,note_on,81,0,120
1,note_on,85,67,0
1,note_on,85,0,120
1,note_on,87,70,0
1,note_on,87,0,120
1,note_on,95,74,0
1,note_on,95,0,120
1,note_on,93,72,0
1,note_on,93,0,120
1,note_on,92,71,0
1,note_on,92,0,120
1,note_on,90,70,0
1,note_on,90,0,120
1,note_on,88,69,0
1,note_on,88,0,120
1,note_on,87,68,0
1,note_on,87,0,120
1,note_on,90,67,0
1,note_on,90,0,120
1,note_on,85,66,0
1,note_on,85,0,120
1,note_on,84,68,0
1,note_on,84,0,120
1,note_on,87,63,0
1,note_on,87,0,120
1,note_on,81,63,0
1,note_on,81,0,120
1,note_on,80,63,0
1,note_on,80,0,120
1,note_on,78,60,0
1,note_on,78,0,120
1,note_on,81,58,0
1,note_on,81,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,75,54,0
1,note_on,75,0,120
1,note_on,78,53,0
1,note_on,78,0,120
1,note_on,73,48,0
1,note_on,73,0,120
1,note_on,72,48,0
1,note_on,72,0,120
1,note_on,75,47,0
1,note_on,75,0,120
1,note_on,69,45,0
1,note_on,69,0,120
1,note_on,68,42,0
1,note_on,68,0,120
1,note_on,71,42,0
1,note_on,71,0,120
1,note_on,69,41,0
1,note_on,69,0,240
1,note_on,68,37,0
1,note_on,68,0,120
1,note_on,69,41,0
1,note_on,69,0,120
1,note_on,68,38,0
1,note_on,68,0,120
1,note_on,67,39,0
1,note_on,67,0,120
1,note_on,68,40,0
1,note_on,68,0,120
