Track,Message Type,Note,Velocity,Time
1,note_on,59,45,120
1,note_on,65,45,0
1,note_on,65,0,30
1,note_on,59,0,0
1,note_on,69,45,210
1,note_on,62,45,0
1,note_on,62,0,30
1,note_on,69,0,0
1,note_on,59,48,90
1,note_on,59,0,100
1,note_on,59,44,20
1,note_on,59,0,60
1,note_on,60,44,0
1,note_on,60,0,60
1,note_on,69,45,0
1,note_on,65,45,0
1,note_on,59,45,0
1,note_on,59,0,120
1,note_on,65,0,0
1,note_on,69,0,0
1,note_on,57,45,0
1,note_on,57,0,90
1,note_on,59,48,30
1,note_on,59,0,45
1,note_on,65,43,195
1,note_on,69,43,0
1,note_on,60,43,0
1,note_on,60,0,90
1,note_on,69,0,0
1,note_on,65,0,0
1,note_on,59,48,150
1,note_on,59,0,120
1,note_on,60,45,0
1,note_on,60,0,120
1,note_on,72,48,0
1,note_on,69,48,0
1,note_on,62,48,0
1,note_on,62,0,60
1,note_on,64,45,60
1,note_on,64,0,60
1,note_on,69,0,60
1,note_on,72,0,0
1,note_on,66,48,0
1,note_on,66,0,60
1,note_on,66,45,60
1,note_on,66,0,40
1,note_on,67,44,0
1,note_on,67,0,40
1,note_on,66,44,0
1,note_on,66,0,40
1,note_on,64,48,0
1,note_on,72,42,0
1,note_on,69,42,0
1,note_on,64,0,120
1,note_on,62,45,0
1,note_on,62,0,120
1,note_on,69,0,0
1,note_on,72,0,0
1,note_on,60,48,0
1,note_on,60,0,100
1,note_on,62,44,20
1,note_on,62,0,100
1,note_on,72,44,20
1,note_on,69,44,0
1,note_on,64,44,0
1,note_on,64,0,220
1,note_on,69,0,0
1,note_on,72,0,0
1,note_on,64,48,20
1,note_on,64,0,120
1,note_on,66,45,0
1,note_on,66,0,120
1,note_on,68,45,0
1,note_on,59,48,0
1,note_on,68,0,60
1,note_on,69,45,60
1,note_on,69,0,60
1,note_on,59,0,60
1,note_on,66,48,0
1,note_on,66,0,100
1,note_on,66,49,20
1,note_on,66,0,60
1,note_on,68,51,0
1,note_on,68,0,60
1,note_on,66,55,0
1,note_on,62,48,0
1,note_on,62,0,120
1,note_on,66,0,0
1,note_on,60,43,0
1,note_on,64,50,0
1,note_on,64,0,90
1,note_on,60,0,0
1,note_on,66,55,30
1,note_on,62,48,0
1,note_on,62,0,120
1,note_on,66,0,0
1,note_on,62,57,120
1,note_on,66,57,0
1,note_on,69,57,0
1,note_on,69,0,120
1,note_on,66,0,0
1,note_on,62,0,0
1,note_on,68,49,120
1,note_on,64,49,0
1,note_on,64,0,120
1,note_on,68,0,0
1,note_on,66,46,0
1,note_on,69,46,0
1,note_on,69,0,120
1,note_on,66,0,0
1,note_on,64,49,0
1,note_on,68,49,0
1,note_on,68,0,340
1,note_on,64,0,0
1,note_on,66,48,20
1,note_on,69,48,0
1,note_on,69,0,120
1,note_on,66,0,0
1,note_on,68,51,0
1,note_on,71,51,0
1,note_on,71,0,340
1,note_on,68,0,0
1,note_on,69,50,20
1,note_on,72,50,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,64,45,0
1,note_on,68,45,0
1,note_on,68,0,240
1,note_on,64,0,0
1,note_on,76,45,0
1,note_on,79,45,0
1,note_on,79,0,120
1,note_on,76,0,0
1,note_on,74,43,0
1,note_on,77,43,0
1,note_on,77,0,60
1,note_on,74,0,0
1,note_on,76,43,0
1,note_on,79,43,0
1,note_on,79,0,60
1,note_on,76,0,0
1,note_on,74,45,0
1,note_on,77,45,0
1,note_on,77,0,120
1,note_on,74,0,0
1,note_on,72,42,0
1,note_on,76,42,0
1,note_on,76,0,120
1,note_on,72,0,0
1,note_on,74,45,0
1,note_on,70,45,0
1,note_on,70,0,120
1,note_on,74,0,0
1,note_on,69,43,0
1,note_on,72,43,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,70,44,0
1,note_on,74,44,0
1,note_on,74,0,360
1,note_on,70,0,0
1,note_on,69,42,0
1,note_on,72,42,0
1,note_on,72,0,60
1,note_on,69,0,0
1,note_on,70,42,0
1,note_on,74,42,0
1,note_on,74,0,60
1,note_on,70,0,0
1,note_on,72,44,0
1,note_on,69,44,0
1,note_on,69,0,120
1,note_on,72,0,0
1,note_on,70,42,0
1,note_on,67,42,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,65,44,0
1,note_on,69,44,0
1,note_on,69,0,120
1,note_on,65,0,0
1,note_on,64,43,0
1,note_on,67,43,0
1,note_on,67,0,120
1,note_on,64,0,0
1,note_on,65,43,0
1,note_on,69,43,0
1,note_on,69,0,220
1,note_on,65,0,0
1,note_on,69,48,20
1,note_on,76,51,0
1,note_on,79,51,0
1,note_on,79,0,120
1,note_on,76,0,0
1,note_on,74,49,0
1,note_on,77,49,0
1,note_on,77,0,60
1,note_on,74,0,0
1,note_on,76,49,0
1,note_on,79,49,0
1,note_on,79,0,60
1,note_on,76,0,0
1,note_on,74,51,0
1,note_on,77,51,0
1,note_on,77,0,120
1,note_on,74,0,0
1,note_on,72,48,0
1,note_on,76,48,0
1,note_on,76,0,120
1,note_on,72,0,0
1,note_on,69,0,0
1,note_on,65,39,0
1,note_on,70,51,0
1,note_on,74,51,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,69,49,0
1,note_on,72,49,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,70,50,0
1,note_on,74,50,0
1,note_on,65,0,240
1,note_on,64,43,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,69,46,0
1,note_on,72,46,0
1,note_on,72,0,60
1,note_on,69,0,0
1,note_on,70,46,0
1,note_on,74,46,0
1,note_on,74,0,60
1,note_on,70,0,0
1,note_on,72,49,0
1,note_on,69,49,0
1,note_on,69,0,120
1,note_on,72,0,0
1,note_on,70,45,0
1,note_on,67,45,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,64,0,0
1,note_on,65,46,0
1,note_on,69,46,0
1,note_on,69,0,120
1,note_on,65,0,0
1,note_on,64,45,0
1,note_on,67,45,0
1,note_on,67,0,120
1,note_on,64,0,0
1,note_on,65,49,0
1,note_on,69,49,0
1,note_on,69,0,360
1,note_on,67,48,0
1,note_on,67,0,120
1,note_on,69,49,0
1,note_on,65,0,120
1,note_on,64,46,0
1,note_on,64,0,120
1,note_on,62,46,0
1,note_on,69,0,120
1,note_on,67,46,0
1,note_on,67,0,120
1,note_on,69,49,0
1,note_on,69,0,360
1,note_on,71,52,0
1,note_on,71,0,120
1,note_on,74,56,0
1,note_on,74,0,120
1,note_on,71,52,0
1,note_on,71,0,120
1,note_on,69,50,0
1,note_on,69,0,120
1,note_on,71,49,0
1,note_on,71,0,120
1,note_on,64,50,0
1,note_on,64,0,120
1,note_on,67,49,0
1,note_on,67,0,120
1,note_on,62,0,0
1,note_on,62,52,0
1,note_on,69,52,0
1,note_on,69,0,120
1,note_on,67,49,0
1,note_on,67,0,120
1,note_on,69,52,0
1,note_on,69,0,360
1,note_on,71,54,0
1,note_on,71,0,120
1,note_on,74,56,0
1,note_on,74,0,120
1,note_on,71,52,0
1,note_on,71,0,120
1,note_on,69,55,0
1,note_on,69,0,120
1,note_on,71,50,0
1,note_on,71,0,120
1,note_on,69,49,0
1,note_on,69,0,120
1,note_on,65,48,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,64,39,0
1,note_on,60,39,0
1,note_on,57,44,600
1,note_on,57,0,45
1,note_on,59,44,75
1,note_on,59,0,45
1,note_on,60,44,75
1,note_on,60,0,45
1,note_on,62,46,75
1,note_on,62,0,45
1,note_on,64,42,75
1,note_on,64,0,45
1,note_on,66,42,75
1,note_on,66,0,45
1,note_on,68,42,75
1,note_on,68,0,45
1,note_on,60,0,75
1,note_on,64,0,0
1,note_on,62,40,0
1,note_on,64,40,0
1,note_on,57,40,600
1,note_on,57,0,45
1,note_on,59,40,75
1,note_on,59,0,45
1,note_on,60,40,75
1,note_on,60,0,45
1,note_on,62,44,75
1,note_on,62,0,45
1,note_on,64,38,75
1,note_on,64,0,45
1,note_on,66,37,75
1,note_on,66,0,45
1,note_on,68,34,75
1,note_on,68,0,45
1,note_on,64,0,75
1,note_on,62,0,0
1,note_on,57,44,0
1,note_on,57,0,30
1,note_on,59,42,90
1,note_on,59,0,30
1,note_on,65,39,90
1,note_on,69,39,0
1,note_on,60,44,0
1,note_on,60,0,30
1,note_on,69,0,0
1,note_on,65,0,0
1,note_on,62,42,90
1,note_on,62,0,30
1,note_on,59,44,90
1,note_on,59,0,100
1,note_on,59,40,20
1,note_on,59,0,60
1,note_on,60,40,0
1,note_on,60,0,60
1,note_on,69,39,0
1,note_on,65,39,0
1,note_on,59,42,0
1,note_on,59,0,120
1,note_on,65,0,0
1,note_on,69,0,0
1,note_on,57,42,0
1,note_on,57,0,90
1,note_on,59,44,30
1,note_on,59,0,45
1,note_on,65,39,195
1,note_on,69,39,0
1,note_on,60,39,0
1,note_on,60,0,30
1,note_on,69,0,0
1,note_on,65,0,0
1,note_on,59,44,210
1,note_on,59,0,120
1,note_on,60,42,0
1,note_on,60,0,120
1,note_on,72,39,0
1,note_on,69,39,0
1,note_on,62,44,0
1,note_on,62,0,60
1,note_on,64,42,60
1,note_on,64,0,60
1,note_on,69,0,60
1,note_on,72,0,0
1,note_on,66,44,0
1,note_on,66,0,60
1,note_on,66,42,60
1,note_on,66,0,40
1,note_on,67,40,0
1,note_on,67,0,40
1,note_on,66,40,0
1,note_on,66,0,40
1,note_on,72,38,0
1,note_on,69,38,0
1,note_on,64,44,0
1,note_on,64,0,120
1,note_on,62,42,0
1,note_on,62,0,120
1,note_on,69,0,0
1,note_on,72,0,0
1,note_on,60,44,0
1,note_on,60,0,100
1,note_on,62,40,20
1,note_on,62,0,100
1,note_on,64,40,20
1,note_on,72,40,0
1,note_on,69,40,0
1,note_on,69,0,240
1,note_on,72,0,0
1,note_on,64,0,0
1,note_on,69,44,0
1,note_on,69,0,30
1,note_on,71,42,90
1,note_on,71,0,30
1,note_on,65,39,90
1,note_on,62,39,0
1,note_on,72,44,0
1,note_on,72,0,30
1,note_on,62,0,0
1,note_on,65,0,0
1,note_on,74,43,90
1,note_on,74,0,30
1,note_on,71,45,90
1,note_on,71,0,100
1,note_on,71,43,20
1,note_on,71,0,60
1,note_on,72,43,0
1,note_on,72,0,60
1,note_on,62,42,0
1,note_on,65,42,0
1,note_on,71,44,0
1,note_on,71,0,120
1,note_on,65,0,0
1,note_on,62,0,0
1,note_on,69,44,0
1,note_on,69,0,90
1,note_on,71,48,30
1,note_on,71,0,45
1,note_on,65,43,195
1,note_on,62,43,0
1,note_on,72,43,0
1,note_on,72,0,30
1,note_on,62,0,0
1,note_on,65,0,0
1,note_on,71,50,210
1,note_on,71,0,120
1,note_on,72,48,0
1,note_on,72,0,120
1,note_on,72,44,0
1,note_on,69,44,0
1,note_on,74,52,0
1,note_on,74,0,60
1,note_on,76,50,60
1,note_on,76,0,60
1,note_on,69,0,60
1,note_on,72,0,0
1,note_on,78,52,0
1,note_on,78,0,60
1,note_on,78,48,60
1,note_on,78,0,40
1,note_on,79,48,0
1,note_on,79,0,40
1,note_on,78,48,0
1,note_on,78,0,40
1,note_on,76,52,0
1,note_on,76,0,120
1,note_on,74,50,0
1,note_on,74,0,120
1,note_on,72,52,0
1,note_on,72,0,120
1,note_on,74,48,0
1,note_on,74,0,120
1,note_on,76,48,0
1,note_on,69,45,240
1,note_on,72,50,0
1,note_on,72,0,120
1,note_on,69,0,0
1,note_on,74,48,0
1,note_on,74,0,120
1,note_on,76,0,0
1,note_on,67,40,0
1,note_on,71,40,0
1,note_on,76,48,0
1,note_on,76,0,220
1,note_on,71,0,0
1,note_on,67,0,0
1,note_on,66,40,20
1,note_on,69,46,0
1,note_on,69,0,120
1,note_on,71,45,0
1,note_on,71,0,120
1,note_on,66,0,0
1,note_on,65,39,0
1,note_on,68,39,0
1,note_on,72,46,0
1,note_on,68,0,240
1,note_on,65,0,0
1,note_on,64,38,0
1,note_on,67,38,0
1,note_on,72,0,220
1,note_on,67,0,20
1,note_on,64,0,0
1,note_on,68,37,0
1,note_on,63,34,0
1,note_on,66,34,0
1,note_on,66,0,240
1,note_on,63,0,0
1,note_on,65,31,0
1,note_on,62,31,0
1,note_on,62,0,240
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,64,32,0
1,note_on,61,32,0
1,note_on,61,0,240
1,note_on,60,32,0
1,note_on,60,0,90
1,note_on,59,31,150
1,note_on,59,0,90
1,note_on,62,31,150
1,note_on,58,31,0
1,note_on,58,0,90
1,note_on,62,0,0
1,note_on,64,0,390
1,note_on,60,38,240
1,note_on,64,38,0
1,note_on,69,45,0
1,note_on,69,0,45
1,note_on,64,0,0
