Track,Message Type,Note,Velocity,Time
1,note_on,67,70,960
1,note_on,70,70,0
1,note_on,74,70,0
1,note_on,79,83,0
1,note_on,79,0,1080
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,82,53,0
1,note_on,82,0,120
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,74,0,0
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,81,54,0
1,note_on,81,0,120
1,note_on,79,54,0
1,note_on,79,0,120
1,note_on,77,54,0
1,note_on,77,0,120
1,note_on,74,57,0
1,note_on,74,0,120
1,note_on,77,54,0
1,note_on,77,0,120
1,note_on,74,54,0
1,note_on,74,0,120
1,note_on,72,54,0
1,note_on,72,0,120
1,note_on,70,58,0
1,note_on,70,0,120
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,62,53,0
1,note_on,62,0,120
1,note_on,64,53,0
1,note_on,64,0,120
1,note_on,67,52,0
1,note_on,60,44,0
1,note_on,67,0,120
1,note_on,65,48,0
1,note_on,65,0,120
1,note_on,67,48,0
1,note_on,67,0,120
1,note_on,69,47,0
1,note_on,69,0,120
1,note_on,67,47,0
1,note_on,60,0,480
1,note_on,62,44,0
1,note_on,67,0,120
1,note_on,65,48,0
1,note_on,65,0,120
1,note_on,67,49,0
1,note_on,67,0,120
1,note_on,69,52,0
1,note_on,69,0,120
1,note_on,72,53,0
1,note_on,72,0,120
1,note_on,69,53,0
1,note_on,69,0,120
1,note_on,67,53,0
1,note_on,67,0,120
1,note_on,65,53,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,64,45,0
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,65,49,0
1,note_on,65,0,120
1,note_on,67,51,0
1,note_on,67,0,120
1,note_on,69,49,0
1,note_on,69,0,120
1,note_on,67,48,0
1,note_on,64,0,480
1,note_on,62,45,0
1,note_on,67,0,120
1,note_on,65,49,0
1,note_on,65,0,120
1,note_on,67,51,0
1,note_on,67,0,120
1,note_on,69,52,0
1,note_on,69,0,120
1,note_on,74,56,0
1,note_on,74,0,120
1,note_on,69,54,0
1,note_on,69,0,120
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,65,54,0
1,note_on,62,0,120
1,note_on,62,49,0
1,note_on,65,0,120
1,note_on,70,52,0
1,note_on,70,0,120
1,note_on,74,54,0
1,note_on,74,0,120
1,note_on,77,57,0
1,note_on,77,0,120
1,note_on,62,0,0
1,note_on,74,47,0
1,note_on,81,60,0
1,note_on,74,0,480
1,note_on,72,52,0
1,note_on,81,0,240
1,note_on,79,54,0
1,note_on,79,0,240
1,note_on,77,52,0
1,note_on,77,0,240
1,note_on,79,54,0
1,note_on,79,0,360
1,note_on,77,49,0
1,note_on,77,0,120
1,note_on,76,51,0
1,note_on,76,0,120
1,note_on,79,51,0
1,note_on,79,0,120
1,note_on,77,54,0
1,note_on,72,0,240
1,note_on,70,49,0
1,note_on,70,0,120
1,note_on,69,49,0
1,note_on,69,0,120
1,note_on,70,51,0
1,note_on,77,0,240
1,note_on,76,46,0
1,note_on,76,0,240
1,note_on,74,45,0
1,note_on,65,37,0
1,note_on,65,0,240
1,note_on,74,0,0
1,note_on,72,43,0
1,note_on,64,36,0
1,note_on,64,0,240
1,note_on,72,0,0
1,note_on,70,0,0
1,note_on,74,70,960
1,note_on,70,70,0
1,note_on,79,83,0
1,note_on,67,70,0
1,note_on,79,0,1080
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,82,53,0
1,note_on,82,0,120
1,note_on,81,53,0
1,note_on,81,0,120
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,74,0,0
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,81,54,0
1,note_on,81,0,120
1,note_on,79,54,0
1,note_on,79,0,120
1,note_on,77,54,0
1,note_on,77,0,120
1,note_on,74,57,0
1,note_on,74,0,120
1,note_on,77,54,0
1,note_on,77,0,120
1,note_on,74,54,0
1,note_on,74,0,120
1,note_on,72,54,0
1,note_on,72,0,120
1,note_on,70,58,0
1,note_on,70,0,120
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,62,53,0
1,note_on,62,0,120
1,note_on,64,53,0
1,note_on,64,0,120
1,note_on,67,51,0
1,note_on,67,0,120
1,note_on,65,47,0
1,note_on,65,0,120
1,note_on,67,48,0
1,note_on,67,0,120
1,note_on,69,47,0
