Track,Message Type,Note,Velocity,Time
1,note_on,53,21,6240
1,note_on,55,25,0
1,note_on,55,0,120
1,note_on,53,0,0
1,note_on,53,21,120
1,note_on,55,25,0
1,note_on,55,0,120
1,note_on,53,0,0
1,note_on,41,19,2040
1,note_on,43,23,0
1,note_on,43,0,120
1,note_on,41,0,0
1,note_on,79,40,6600
1,note_on,65,17,960
1,note_on,67,21,0
1,note_on,67,0,120
1,note_on,65,0,0
1,note_on,65,17,120
1,note_on,67,21,0
1,note_on,79,0,720
1,note_on,67,0,480
1,note_on,65,0,0
1,note_on,65,17,0
1,note_on,67,21,0
1,note_on,63,33,1440
1,note_on,67,0,480
1,note_on,65,0,0
1,note_on,65,17,0
1,note_on,67,21,0
1,note_on,63,0,1440
1,note_on,61,33,0
1,note_on,67,0,480
1,note_on,65,0,0
1,note_on,65,17,0
1,note_on,67,21,0
1,note_on,61,0,1440
1,note_on,63,33,0
1,note_on,67,0,480
1,note_on,65,0,0
1,note_on,65,17,0
1,note_on,67,21,0
1,note_on,63,0,480
1,note_on,63,33,0
1,note_on,63,0,960
1,note_on,61,35,0
1,note_on,67,0,480
1,note_on,65,0,0
1,note_on,65,17,0
1,note_on,67,21,0
1,note_on,67,0,1440
1,note_on,65,0,0
1,note_on,61,0,0
1,note_on,41,22,480
1,note_on,43,26,0
1,note_on,43,0,120
1,note_on,41,0,0
1,note_on,41,24,120
1,note_on,43,29,0
1,note_on,43,0,120
1,note_on,41,0,0
1,note_on,41,19,2040
1,note_on,43,23,0
1,note_on,43,0,120
1,note_on,41,0,0
1,note_on,41,19,3720
1,note_on,43,23,0
1,note_on,43,0,120
1,note_on,41,0,0
1,note_on,67,26,840
1,note_on,65,26,0
1,note_on,65,0,480
1,note_on,67,0,0
1,note_on,60,17,0
1,note_on,62,21,0
1,note_on,62,0,480
1,note_on,60,0,0
1,note_on,65,24,0
1,note_on,67,24,0
1,note_on,67,0,480
1,note_on,65,0,0
1,note_on,60,17,0
1,note_on,62,21,0
1,note_on,62,0,480
1,note_on,60,0,0
1,note_on,67,25,0
1,note_on,65,21,0
1,note_on,65,0,480
1,note_on,67,0,0
1,note_on,60,17,0
1,note_on,62,21,0
1,note_on,62,0,480
1,note_on,60,0,0
1,note_on,65,19,0
1,note_on,67,23,0
1,note_on,67,0,480
1,note_on,65,0,0
1,note_on,60,17,0
1,note_on,62,21,0
1,note_on,62,0,480
1,note_on,60,0,0
1,note_on,65,30,0
1,note_on,65,0,480
1,note_on,62,36,0
1,note_on,62,0,960
1,note_on,65,34,0
1,note_on,65,0,240
1,note_on,67,34,0
1,note_on,67,0,240
1,note_on,60,36,0
1,note_on,60,0,240
1,note_on,62,30,0
1,note_on,62,0,240
1,note_on,65,36,0
1,note_on,65,0,960
1,note_on,62,30,0
1,note_on,62,0,240
1,note_on,60,27,0
