Track,Message Type,Note,Velocity,Time
1,note_on,76,36,480
1,note_on,76,0,120
1,note_on,75,33,0
1,note_on,75,0,120
1,note_on,76,39,0
1,note_on,76,0,120
1,note_on,75,36,0
1,note_on,75,0,120
1,note_on,76,45,0
1,note_on,76,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,74,47,0
1,note_on,74,0,120
1,note_on,72,39,0
1,note_on,72,0,120
1,note_on,69,51,0
1,note_on,69,0,240
1,note_on,60,34,120
1,note_on,60,0,120
1,note_on,64,38,0
1,note_on,64,0,120
1,note_on,69,42,0
1,note_on,69,0,120
1,note_on,71,46,0
1,note_on,71,0,240
1,note_on,64,36,120
1,note_on,64,0,120
1,note_on,68,39,0
1,note_on,68,0,120
1,note_on,71,42,0
1,note_on,71,0,120
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,64,35,120
1,note_on,64,0,120
1,note_on,76,38,0
1,note_on,76,0,120
1,note_on,75,34,0
1,note_on,75,0,120
1,note_on,76,41,0
1,note_on,76,0,120
1,note_on,75,37,0
1,note_on,75,0,120
1,note_on,76,46,0
1,note_on,76,0,120
1,note_on,71,39,0
1,note_on,71,0,120
1,note_on,74,48,0
1,note_on,74,0,120
1,note_on,72,39,0
1,note_on,72,0,120
1,note_on,69,48,0
1,note_on,69,0,240
1,note_on,60,34,120
1,note_on,60,0,120
1,note_on,64,37,0
1,note_on,64,0,120
1,note_on,69,41,0
1,note_on,69,0,120
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,64,37,120
1,note_on,64,0,120
1,note_on,72,40,0
1,note_on,72,0,120
1,note_on,71,38,0
1,note_on,71,0,120
1,note_on,69,40,0
1,note_on,69,0,240
1,note_on,76,36,240
1,note_on,76,0,120
1,note_on,75,33,0
1,note_on,75,0,120
1,note_on,76,39,0
1,note_on,76,0,120
1,note_on,75,36,0
1,note_on,75,0,120
1,note_on,76,45,0
1,note_on,76,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,74,47,0
1,note_on,74,0,120
1,note_on,72,39,0
1,note_on,72,0,120
1,note_on,69,51,0
1,note_on,69,0,240
1,note_on,60,34,120
1,note_on,60,0,120
1,note_on,64,38,0
1,note_on,64,0,120
1,note_on,69,42,0
1,note_on,69,0,120
1,note_on,71,46,0
1,note_on,71,0,240
1,note_on,64,36,120
1,note_on,64,0,120
1,note_on,68,39,0
1,note_on,68,0,120
1,note_on,71,42,0
1,note_on,71,0,120
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,64,35,120
1,note_on,64,0,120
1,note_on,76,38,0
1,note_on,76,0,120
1,note_on,75,34,0
1,note_on,75,0,120
1,note_on,76,41,0
1,note_on,76,0,120
1,note_on,75,37,0
1,note_on,75,0,120
1,note_on,76,46,0
1,note_on,76,0,120
1,note_on,71,39,0
1,note_on,71,0,120
1,note_on,74,48,0
1,note_on,74,0,120
1,note_on,72,39,0
1,note_on,72,0,120
1,note_on,69,48,0
1,note_on,69,0,240
1,note_on,60,34,120
1,note_on,60,0,120
1,note_on,64,37,0
1,note_on,64,0,120
1,note_on,69,41,0
1,note_on,69,0,120
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,64,37,120
1,note_on,64,0,120
