Track,Message Type,Note,Velocity,Time
1,note_on,62,82,0
1,note_on,62,0,480
1,note_on,64,78,0
1,note_on,64,0,120
1,note_on,62,75,120
1,note_on,62,0,120
1,note_on,61,79,120
1,note_on,61,0,120
1,note_on,62,73,120
1,note_on,62,0,120
1,note_on,64,81,120
1,note_on,64,0,120
1,note_on,67,75,360
1,note_on,67,0,120
1,note_on,66,73,360
1,note_on,66,0,120
1,note_on,62,82,360
1,note_on,62,0,420
1,note_on,66,71,0
1,note_on,66,0,60
1,note_on,64,75,0
1,note_on,64,0,120
1,note_on,62,73,120
1,note_on,62,0,120
1,note_on,61,77,120
1,note_on,61,0,120
1,note_on,62,71,120
1,note_on,62,0,120
1,note_on,64,80,120
1,note_on,64,0,120
1,note_on,67,74,360
1,note_on,67,0,120
1,note_on,66,73,360
1,note_on,66,0,120
1,note_on,62,80,360
1,note_on,62,0,480
1,note_on,64,73,0
1,note_on,64,0,240
1,note_on,66,74,0
1,note_on,66,0,240
1,note_on,69,77,0
1,note_on,69,0,240
1,note_on,72,78,0
1,note_on,72,0,240
1,note_on,76,79,0
1,note_on,76,0,480
1,note_on,79,78,0
1,note_on,79,0,480
1,note_on,78,78,0
1,note_on,78,0,480
1,note_on,62,60,0
1,note_on,66,60,0
1,note_on,78,79,0
1,note_on,78,0,480
1,note_on,66,0,0
1,note_on,62,0,0
1,note_on,79,72,0
1,note_on,67,57,0
1,note_on,67,0,240
1,note_on,79,0,0
1,note_on,66,57,0
1,note_on,78,72,0
1,note_on,78,0,240
1,note_on,66,0,0
1,note_on,76,71,0
1,note_on,64,56,0
1,note_on,64,0,240
1,note_on,76,0,0
1,note_on,62,56,0
1,note_on,74,71,0
1,note_on,74,0,240
1,note_on,62,0,0
1,note_on,67,70,0
1,note_on,73,77,0
1,note_on,73,0,420
1,note_on,67,0,0
1,note_on,74,64,0
1,note_on,74,0,60
1,note_on,73,73,0
1,note_on,73,0,240
1,note_on,69,67,0
1,note_on,69,0,240
1,note_on,71,72,0
1,note_on,71,0,240
1,note_on,73,69,0
1,note_on,73,0,240
1,note_on,66,74,0
1,note_on,74,74,0
1,note_on,74,0,480
1,note_on,66,0,0
1,note_on,64,78,0
1,note_on,64,0,120
1,note_on,62,75,120
1,note_on,62,0,120
1,note_on,61,79,120
1,note_on,61,0,120
1,note_on,62,73,120
1,note_on,62,0,120
1,note_on,64,81,120
1,note_on,64,0,120
1,note_on,67,74,360
1,note_on,67,0,120
1,note_on,66,73,360
1,note_on,66,0,120
1,note_on,62,82,360
1,note_on,62,0,420
1,note_on,66,71,0
1,note_on,66,0,60
1,note_on,64,75,0
1,note_on,64,0,120
1,note_on,62,73,120
1,note_on,62,0,120
1,note_on,61,77,120
1,note_on,61,0,120
1,note_on,62,71,120
1,note_on,62,0,120
1,note_on,64,80,120
1,note_on,64,0,120
1,note_on,67,74,360
1,note_on,67,0,120
1,note_on,66,73,360
1,note_on,66,0,120
1,note_on,62,80,360
1,note_on,62,0,480
1,note_on,64,73,0
1,note_on,64,0,240
1,note_on,66,74,0
1,note_on,66,0,240
1,note_on,69,77,0
1,note_on,69,0,240
1,note_on,72,78,0
1,note_on,72,0,240
1,note_on,76,79,0
1,note_on,76,0,480
1,note_on,79,78,0
1,note_on,79,0,480
1,note_on,78,78,0
1,note_on,78,0,480
1,note_on,62,60,0
1,note_on,78,79,0
1,note_on,66,60,0
1,note_on,66,0,480
1,note_on,78,0,0
1,note_on,62,0,0
1,note_on,67,57,0
1,note_on,79,72,0
1,note_on,79,0,240
1,note_on,67,0,0
1,note_on,66,57,0
1,note_on,78,72,0
1,note_on,78,0,240
1,note_on,66,0,0
1,note_on,76,71,0
1,note_on,64,56,0
1,note_on,64,0,240
1,note_on,76,0,0
1,note_on,62,56,0
1,note_on,74,71,0
1,note_on,74,0,240
1,note_on,62,0,0
1,note_on,73,77,0
1,note_on,67,70,0
1,note_on,67,0,420
1,note_on,73,0,0
1,note_on,74,64,0
1,note_on,74,0,60
1,note_on,73,73,0
1,note_on,73,0,240
1,note_on,69,67,0
1,note_on,69,0,240
1,note_on,71,72,0
1,note_on,71,0,240
1,note_on,73,69,0
1,note_on,73,0,240
1,note_on,66,74,0
1,note_on,74,74,0
1,note_on,74,0,420
1,note_on,66,0,0
1,note_on,64,73,0
1,note_on,64,0,60
1,note_on,62,78,0
1,note_on,62,0,120
1,note_on,61,75,120
1,note_on,61,0,120
1,note_on,62,79,120
1,note_on,62,0,120
1,note_on,62,74,360
1,note_on,62,0,120
1,note_on,69,78,360
1,note_on,69,0,120
1,note_on,66,75,120
1,note_on,66,0,120
1,note_on,62,79,120
1,note_on,62,0,120
1,note_on,76,64,300
1,note_on,76,0,60
1,note_on,86,64,0
1,note_on,74,55,0
1,note_on,74,0,120
1,note_on,86,0,0
1,note_on,73,50,120
1,note_on,85,60,0
1,note_on,85,0,120
1,note_on,73,0,0
1,note_on,86,63,120
1,note_on,74,53,0
1,note_on,74,0,120
1,note_on,86,0,0
1,note_on,74,52,360
1,note_on,86,62,0
1,note_on,86,0,120
1,note_on,74,0,0
1,note_on,73,49,120
1,note_on,85,59,0
1,note_on,85,0,120
1,note_on,73,0,0
1,note_on,74,52,120
1,note_on,86,62,0
1,note_on,86,0,120
1,note_on,74,0,0
1,note_on,83,59,360
1,note_on,83,0,240
1,note_on,79,56,0
1,note_on,79,0,240
1,note_on,74,59,0
1,note_on,74,0,360
1,note_on,74,59,120
1,note_on,74,0,240
1,note_on,76,59,0
1,note_on,76,0,240
1,note_on,77,63,0
1,note_on,77,0,360
1,note_on,76,52,0
1,note_on,76,0,60
1,note_on,77,49,0
1,note_on,77,0,60
1,note_on,76,59,0
1,note_on,76,0,240
1,note_on,74,59,0
1,note_on,74,0,240
1,note_on,72,58,0
1,note_on,72,0,120
1,note_on,81,63,360
1,note_on,81,0,240
1,note_on,78,57,0
1,note_on,78,0,240
1,note_on,72,59,0
1,note_on,72,0,120
1,note_on,70,59,360
1,note_on,70,0,120
1,note_on,79,63,360
1,note_on,79,0,240
1,note_on,74,57,0
1,note_on,74,0,240
1,note_on,70,59,0
1,note_on,70,0,120
1,note_on,69,59,360
1,note_on,69,0,1440
1,note_on,66,74,0
1,note_on,74,74,0
1,note_on,74,0,420
1,note_on,66,0,0
1,note_on,64,73,0
1,note_on,64,0,60
1,note_on,62,78,0
1,note_on,62,0,120
1,note_on,61,75,120
1,note_on,61,0,120
1,note_on,62,79,120
1,note_on,62,0,120
1,note_on,62,74,360
1,note_on,62,0,120
1,note_on,69,78,360
1,note_on,69,0,120
1,note_on,66,75,120
1,note_on,66,0,120
1,note_on,62,79,120
1,note_on,62,0,120
1,note_on,76,64,300
1,note_on,76,0,60
1,note_on,86,64,0
1,note_on,74,55,0
1,note_on,74,0,120
1,note_on,86,0,0
1,note_on,73,50,120
1,note_on,85,60,0
1,note_on,85,0,120
1,note_on,73,0,0
1,note_on,74,53,120
1,note_on,86,63,0
1,note_on,86,0,120
1,note_on,74,0,0
1,note_on,86,62,360
1,note_on,74,52,0
