Track,Message Type,Note,Velocity,Time
1,note_on,57,34,0
1,note_on,69,42,0
1,note_on,69,0,360
1,note_on,67,31,0
1,note_on,67,0,120
1,note_on,65,31,0
1,note_on,65,0,120
1,note_on,67,31,0
1,note_on,67,0,120
1,note_on,57,0,0
1,note_on,58,30,0
1,note_on,69,36,0
1,note_on,69,0,480
1,note_on,65,36,0
1,note_on,65,0,240
1,note_on,58,0,0
1,note_on,60,34,0
1,note_on,69,42,0
1,note_on,69,0,360
1,note_on,67,32,0
1,note_on,67,0,120
1,note_on,65,32,0
1,note_on,65,0,120
1,note_on,67,32,0
1,note_on,67,0,120
1,note_on,60,0,0
1,note_on,58,30,0
1,note_on,69,36,0
1,note_on,69,0,660
1,note_on,58,0,0
1,note_on,65,36,60
1,note_on,72,45,0
1,note_on,72,0,360
1,note_on,74,38,0
1,note_on,74,0,120
1,note_on,76,42,0
1,note_on,76,0,120
1,note_on,74,38,0
1,note_on,74,0,120
1,note_on,65,0,0
1,note_on,72,47,0
1,note_on,65,38,0
1,note_on,65,0,480
1,note_on,72,0,0
1,note_on,64,42,0
1,note_on,68,42,0
1,note_on,68,0,240
1,note_on,64,0,0
1,note_on,72,48,0
1,note_on,65,40,0
1,note_on,72,0,720
1,note_on,77,52,0
1,note_on,77,0,480
1,note_on,65,0,0
1,note_on,60,40,240
1,note_on,72,50,0
1,note_on,72,0,360
1,note_on,71,37,0
1,note_on,71,0,120
1,note_on,69,37,0
1,note_on,69,0,120
1,note_on,71,37,0
1,note_on,71,0,120
1,note_on,60,0,0
1,note_on,62,36,0
1,note_on,72,43,0
1,note_on,72,0,480
1,note_on,69,43,0
1,note_on,69,0,240
1,note_on,62,0,0
1,note_on,64,40,0
1,note_on,72,50,0
1,note_on,72,0,360
1,note_on,71,38,0
1,note_on,71,0,120
1,note_on,69,38,0
1,note_on,69,0,120
1,note_on,71,38,0
1,note_on,71,0,120
1,note_on,64,0,0
1,note_on,62,36,0
1,note_on,72,43,0
1,note_on,72,0,660
1,note_on,62,0,0
1,note_on,69,40,60
1,note_on,76,50,0
1,note_on,76,0,360
1,note_on,77,42,0
1,note_on,77,0,120
1,note_on,79,46,0
1,note_on,79,0,120
1,note_on,77,42,0
1,note_on,77,0,120
1,note_on,69,0,0
1,note_on,76,51,0
1,note_on,69,41,0
1,note_on,69,0,480
1,note_on,76,0,0
1,note_on,68,45,0
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,68,0,0
1,note_on,76,51,0
1,note_on,69,42,0
1,note_on,76,0,720
1,note_on,81,53,0
1,note_on,69,0,240
1,note_on,68,57,0
1,note_on,68,0,240
1,note_on,67,61,0
1,note_on,67,0,240
1,note_on,66,70,0
1,note_on,81,0,480
1,note_on,78,53,0
1,note_on,78,0,240
1,note_on,74,53,0
1,note_on,74,0,240
1,note_on,75,53,0
1,note_on,75,0,240
1,note_on,76,53,0
1,note_on,76,0,240
1,note_on,66,0,0
1,note_on,65,42,0
1,note_on,77,53,0
1,note_on,77,0,480
1,note_on,74,49,0
1,note_on,74,0,240
1,note_on,71,41,0
1,note_on,71,0,480
1,note_on,65,0,0
1,note_on,66,64,240
1,note_on,81,53,240
1,note_on,81,0,240
1,note_on,78,47,0
1,note_on,78,0,240
1,note_on,74,49,0
1,note_on,74,0,240
1,note_on,75,53,0
1,note_on,75,0,240
1,note_on,76,54,0
1,note_on,66,0,240
1,note_on,65,42,0
1,note_on,76,0,240
1,note_on,77,62,0
1,note_on,77,0,240
1,note_on,74,53,0
1,note_on,74,0,240
1,note_on,69,56,0
1,note_on,69,0,240
1,note_on,70,58,0
1,note_on,70,0,240
1,note_on,71,63,0
1,note_on,65,0,150
1,note_on,71,0,330
1,note_on,72,58,0
1,note_on,72,0,240
1,note_on,69,53,0
1,note_on,69,0,240
1,note_on,61,47,0
1,note_on,61,0,240
1,note_on,62,43,0
1,note_on,62,0,240
1,note_on,64,44,0
1,note_on,64,0,240
1,note_on,65,46,0
1,note_on,65,0,240
1,note_on,68,42,0
1,note_on,68,0,240
1,note_on,69,39,0
1,note_on,69,0,240
1,note_on,73,31,0
1,note_on,73,0,240
1,note_on,65,25,0
1,note_on,69,25,0
1,note_on,74,32,0
1,note_on,74,0,60
1,note_on,69,0,0
1,note_on,65,0,0
1,note_on,69,26,180
1,note_on,74,26,0
1,note_on,77,33,0
1,note_on,77,0,60
1,note_on,74,0,0
1,note_on,69,0,0
1,note_on,81,40,180
1,note_on,77,32,0
1,note_on,74,32,0
1,note_on,74,0,60
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,64,40,1380
1,note_on,64,0,1440
1,note_on,60,40,0
1,note_on,60,0,360
1,note_on,59,30,0
1,note_on,59,0,120
1,note_on,60,30,0
1,note_on,60,0,120
1,note_on,62,30,0
1,note_on,62,0,120
1,note_on,64,34,0
1,note_on,64,0,720
1,note_on,60,40,0
1,note_on,60,0,360
1,note_on,59,30,0
1,note_on,59,0,120
1,note_on,60,30,0
1,note_on,60,0,120
1,note_on,62,30,0
1,note_on,62,0,120
1,note_on,64,34,0
1,note_on,64,0,720
1,note_on,60,29,0
1,note_on,52,24,0
1,note_on,52,0,240
1,note_on,60,0,0
1,note_on,64,22,477
1,note_on,72,27,3
1,note_on,72,0,240
1,note_on,64,0,2
1,note_on,84,28,478
1,note_on,76,23,0
1,note_on,76,0,1200
1,note_on,84,0,0
1,note_on,57,34,240
1,note_on,69,42,0
1,note_on,69,0,360
1,note_on,67,31,0
1,note_on,67,0,120
1,note_on,65,31,0
1,note_on,65,0,120
1,note_on,67,31,0
1,note_on,67,0,120
1,note_on,57,0,0
1,note_on,58,30,0
1,note_on,69,36,0
1,note_on,69,0,480
1,note_on,65,36,0
1,note_on,65,0,240
1,note_on,58,0,0
1,note_on,60,34,0
1,note_on,69,42,0
1,note_on,69,0,360
1,note_on,67,32,0
1,note_on,67,0,120
1,note_on,65,32,0
1,note_on,65,0,120
1,note_on,67,32,0
1,note_on,67,0,120
1,note_on,60,0,0
1,note_on,58,30,0
1,note_on,69,36,0
1,note_on,69,0,660
1,note_on,58,0,0
1,note_on,65,36,60
1,note_on,72,45,0
1,note_on,72,0,360
1,note_on,74,38,0
1,note_on,74,0,120
1,note_on,76,42,0
1,note_on,76,0,120
1,note_on,74,38,0
1,note_on,74,0,120
1,note_on,65,0,0
1,note_on,72,47,0
1,note_on,65,38,0
1,note_on,65,0,480
1,note_on,72,0,0
1,note_on,64,42,0
1,note_on,68,42,0
1,note_on,68,0,240
1,note_on,64,0,0
1,note_on,72,48,0
1,note_on,65,39,0
1,note_on,72,0,720
1,note_on,77,51,0
1,note_on,77,0,480
1,note_on,65,0,0
1,note_on,60,40,240
1,note_on,72,50,0
1,note_on,72,0,360
1,note_on,71,37,0
1,note_on,71,0,120
1,note_on,69,37,0
1,note_on,69,0,120
1,note_on,71,37,0
1,note_on,71,0,120
1,note_on,60,0,0
1,note_on,62,36,0
1,note_on,72,43,0
1,note_on,72,0,480
1,note_on,69,43,0
1,note_on,69,0,240
1,note_on,62,0,0
1,note_on,64,40,0
1,note_on,72,50,0
1,note_on,72,0,360
1,note_on,71,38,0
1,note_on,71,0,120
1,note_on,69,38,0
1,note_on,69,0,120
1,note_on,71,38,0
1,note_on,71,0,120
1,note_on,64,0,0
1,note_on,62,36,0
1,note_on,72,43,0
1,note_on,72,0,660
1,note_on,62,0,0
1,note_on,69,40,60
1,note_on,76,50,0
1,note_on,76,0,360
1,note_on,77,42,0
1,note_on,77,0,120
1,note_on,79,46,0
1,note_on,79,0,120
1,note_on,77,42,0
1,note_on,77,0,120
1,note_on,69,0,0
1,note_on,76,51,0
1,note_on,69,41,0
1,note_on,69,0,480
1,note_on,76,0,0
1,note_on,68,45,0
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,68,0,0
1,note_on,76,51,0
1,note_on,69,42,0
1,note_on,76,0,720
1,note_on,81,53,0
1,note_on,69,0,240
1,note_on,68,57,0
1,note_on,68,0,240
1,note_on,67,61,0
1,note_on,67,0,240
1,note_on,66,70,0
1,note_on,81,0,480
1,note_on,78,53,0
1,note_on,78,0,240
1,note_on,74,53,0
1,note_on,74,0,240
1,note_on,75,53,0
1,note_on,75,0,240
1,note_on,76,53,0
1,note_on,76,0,240
1,note_on,66,0,0
1,note_on,65,42,0
1,note_on,77,53,0
1,note_on,77,0,480
1,note_on,74,50,0
1,note_on,74,0,240
1,note_on,71,46,0
1,note_on,71,0,480
1,note_on,65,0,0
1,note_on,66,64,240
1,note_on,81,53,240
1,note_on,81,0,240
1,note_on,78,47,0
1,note_on,78,0,240
1,note_on,74,49,0
1,note_on,74,0,240
1,note_on,75,53,0
1,note_on,75,0,240
1,note_on,76,54,0
1,note_on,66,0,240
1,note_on,65,42,0
1,note_on,76,0,240
1,note_on,77,60,0
1,note_on,77,0,240
1,note_on,74,53,0
1,note_on,74,0,240
1,note_on,69,56,0
1,note_on,69,0,240
1,note_on,70,58,0
1,note_on,70,0,240
1,note_on,71,63,0
1,note_on,65,0,150
1,note_on,71,0,330
1,note_on,72,58,0
1,note_on,72,0,240
1,note_on,69,53,0
1,note_on,69,0,240
1,note_on,61,47,0
1,note_on,61,0,240
1,note_on,62,43,0
1,note_on,62,0,240
1,note_on,64,44,0
1,note_on,64,0,240
1,note_on,65,46,0
1,note_on,65,0,240
1,note_on,68,42,0
1,note_on,68,0,240
1,note_on,69,39,0
1,note_on,69,0,240
1,note_on,73,31,0
1,note_on,73,0,240
1,note_on,65,25,0
1,note_on,69,25,0
1,note_on,74,32,0
1,note_on,74,0,60
1,note_on,69,0,0
1,note_on,65,0,0
1,note_on,69,26,180
1,note_on,74,26,0
1,note_on,77,33,0
1,note_on,77,0,60
1,note_on,74,0,0
1,note_on,69,0,0
1,note_on,81,40,180
1,note_on,77,32,0
1,note_on,74,32,0
1,note_on,74,0,60
1,note_on,77,0,0
1,note_on,81,0,0
1,note_on,64,40,1380
1,note_on,64,0,1440
1,note_on,60,40,0
1,note_on,60,0,360
1,note_on,59,30,0
1,note_on,59,0,120
1,note_on,60,30,0
1,note_on,60,0,120
1,note_on,62,30,0
1,note_on,62,0,120
1,note_on,64,34,0
1,note_on,64,0,720
1,note_on,60,40,0
1,note_on,60,0,360
1,note_on,59,30,0
1,note_on,59,0,120
1,note_on,60,30,0
1,note_on,60,0,120
1,note_on,62,30,0
1,note_on,62,0,120
1,note_on,64,34,0
1,note_on,64,0,720
1,note_on,60,29,0
1,note_on,52,24,0
1,note_on,52,0,240
1,note_on,60,0,0
1,note_on,64,22,477
1,note_on,72,27,3
1,note_on,72,0,240
1,note_on,64,0,2
1,note_on,84,28,478
1,note_on,76,23,0
1,note_on,76,0,1200
1,note_on,84,0,0
1,note_on,62,34,240
1,note_on,67,42,0
1,note_on,67,0,360
1,note_on,66,31,0
1,note_on,66,0,120
1,note_on,67,31,0
1,note_on,67,0,120
1,note_on,69,31,0
1,note_on,69,0,120
1,note_on,70,36,0
1,note_on,62,0,480
1,note_on,64,36,0
1,note_on,64,0,240
1,note_on,65,34,0
1,note_on,70,0,360
1,note_on,69,36,0
1,note_on,69,0,120
1,note_on,70,38,0
1,note_on,70,0,120
1,note_on,72,40,0
1,note_on,72,0,120
1,note_on,74,44,0
1,note_on,65,0,480
1,note_on,66,42,0
1,note_on,66,0,240
1,note_on,67,48,240
1,note_on,67,0,120
1,note_on,74,0,0
1,note_on,73,42,0
1,note_on,70,42,0
1,note_on,70,0,120
1,note_on,73,0,0
1,note_on,67,46,0
1,note_on,67,0,120
1,note_on,70,42,0
1,note_on,74,42,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,70,47,0
1,note_on,70,0,90
1,note_on,74,41,30
1,note_on,78,41,0
1,note_on,78,0,90
1,note_on,74,0,0
1,note_on,70,45,30
1,note_on,70,0,90
1,note_on,79,39,30
1,note_on,74,39,0
1,note_on,74,0,90
1,note_on,79,0,0
1,note_on,74,43,30
1,note_on,74,0,90
1,note_on,81,37,30
1,note_on,79,37,0
1,note_on,79,0,90
1,note_on,81,0,0
1,note_on,74,43,30
1,note_on,74,0,90
1,note_on,82,36,30
1,note_on,79,36,0
1,note_on,79,0,90
1,note_on,82,0,0
1,note_on,79,41,30
1,note_on,79,0,90
1,note_on,85,34,30
1,note_on,82,34,0
1,note_on,82,0,90
1,note_on,85,0,0
1,note_on,79,38,30
1,note_on,79,0,90
1,note_on,86,33,30
1,note_on,82,33,0
1,note_on,82,0,90
1,note_on,86,0,0
1,note_on,91,48,30
1,note_on,91,0,120
1,note_on,67,37,600
1,note_on,72,46,0
1,note_on,72,0,360
1,note_on,71,34,0
1,note_on,71,0,120
1,note_on,72,35,0
1,note_on,72,0,120
1,note_on,74,35,0
1,note_on,74,0,120
1,note_on,75,41,0
1,note_on,67,0,480
1,note_on,69,42,0
1,note_on,69,0,240
1,note_on,70,41,0
1,note_on,75,0,360
1,note_on,74,44,0
1,note_on,74,0,120
1,note_on,75,47,0
1,note_on,75,0,120
1,note_on,77,50,0
1,note_on,77,0,120
1,note_on,79,55,0
1,note_on,70,0,480
1,note_on,71,42,0
1,note_on,71,0,240
1,note_on,72,48,240
1,note_on,72,0,120
1,note_on,79,0,0
1,note_on,78,42,0
1,note_on,75,42,0
1,note_on,75,0,120
1,note_on,78,0,0
1,note_on,72,46,0
1,note_on,72,0,120
1,note_on,75,42,0
1,note_on,79,42,0
1,note_on,79,0,120
1,note_on,75,0,0
1,note_on,75,47,0
1,note_on,75,0,90
1,note_on,79,41,30
1,note_on,83,41,0
1,note_on,83,0,90
1,note_on,79,0,0
1,note_on,75,45,30
1,note_on,75,0,90
1,note_on,84,39,30
1,note_on,79,39,0
1,note_on,79,0,90
1,note_on,84,0,0
1,note_on,79,43,30
1,note_on,79,0,90
1,note_on,86,37,30
1,note_on,84,37,0
1,note_on,84,0,90
1,note_on,86,0,0
1,note_on,79,43,30
1,note_on,79,0,90
1,note_on,87,36,30
1,note_on,84,36,0
1,note_on,84,0,90
1,note_on,87,0,0
1,note_on,84,41,30
1,note_on,84,0,90
1,note_on,90,34,30
1,note_on,87,34,0
1,note_on,87,0,90
1,note_on,90,0,0
1,note_on,84,38,30
1,note_on,84,0,90
1,note_on,91,33,30
1,note_on,87,33,0
1,note_on,87,0,90
1,note_on,91,0,0
1,note_on,96,48,30
1,note_on,96,0,120
1,note_on,82,31,720
1,note_on,86,31,0
1,note_on,86,0,120
1,note_on,82,0,0
1,note_on,88,35,0
1,note_on,88,0,120
1,note_on,82,30,0
1,note_on,86,30,0
1,note_on,86,0,120
1,note_on,82,0,0
1,note_on,89,35,0
1,note_on,89,0,120
1,note_on,86,31,0
1,note_on,82,31,0
1,note_on,82,0,120
1,note_on,86,0,0
1,note_on,86,30,120
1,note_on,82,30,0
1,note_on,82,0,120
1,note_on,86,0,0
1,note_on,88,35,0
1,note_on,88,0,120
1,note_on,86,32,0
1,note_on,82,32,0
1,note_on,82,0,120
1,note_on,86,0,0
1,note_on,89,35,0
1,note_on,89,0,120
1,note_on,82,31,0
1,note_on,86,31,0
1,note_on,86,0,120
1,note_on,82,0,0
1,note_on,82,34,120
1,note_on,86,34,0
1,note_on,86,0,120
1,note_on,82,0,0
1,note_on,88,39,0
1,note_on,88,0,120
1,note_on,82,34,0
1,note_on,86,34,0
1,note_on,86,0,120
1,note_on,82,0,0
1,note_on,89,41,0
1,note_on,89,0,120
1,note_on,86,37,0
1,note_on,82,37,0
1,note_on,82,0,120
1,note_on,86,0,0
1,note_on,86,37,120
1,note_on,82,37,0
1,note_on,82,0,120
1,note_on,86,0,0
