Track,Message Type,Note,Velocity,Time
1,note_on,67,40,0
1,note_on,67,0,480
1,note_on,62,32,0
1,note_on,62,0,480
1,note_on,67,38,0
1,note_on,67,0,480
1,note_on,62,30,0
1,note_on,62,0,480
1,note_on,67,37,0
1,note_on,67,0,160
1,note_on,66,33,0
1,note_on,62,28,80
1,note_on,66,0,80
1,note_on,67,35,0
1,note_on,67,0,160
1,note_on,62,0,0
1,note_on,64,28,0
1,note_on,69,39,0
1,note_on,69,0,160
1,note_on,71,32,0
1,note_on,64,0,80
1,note_on,66,23,0
1,note_on,71,0,80
1,note_on,69,32,0
1,note_on,69,0,160
1,note_on,66,0,0
1,note_on,67,38,0
1,note_on,67,0,480
1,note_on,62,34,0
1,note_on,62,0,360
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,38,60
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,0,60
1,note_on,74,38,0
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,0,60
1,note_on,74,38,0
1,note_on,74,0,160
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,62,26,0
1,note_on,69,31,0
1,note_on,69,0,160
1,note_on,62,0,0
1,note_on,74,31,0
1,note_on,66,23,0
1,note_on,66,0,160
1,note_on,74,0,0
1,note_on,76,41,0
1,note_on,67,31,0
1,note_on,67,0,160
1,note_on,76,0,0
1,note_on,72,27,0
1,note_on,78,36,0
1,note_on,78,0,160
1,note_on,72,0,0
1,note_on,67,24,0
1,note_on,76,32,0
1,note_on,67,0,40
1,note_on,76,0,40
1,note_on,66,33,0
1,note_on,71,36,40
1,note_on,74,38,40
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,76,38,60
1,note_on,74,0,60
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,76,38,420
1,note_on,67,0,60
1,note_on,74,0,0
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,67,0,420
1,note_on,74,0,0
1,note_on,76,34,0
1,note_on,79,37,60
1,note_on,79,0,160
1,note_on,76,0,0
1,note_on,67,28,0
1,note_on,74,33,0
1,note_on,67,0,120
1,note_on,74,0,40
1,note_on,79,40,0
1,note_on,79,0,160
1,note_on,76,28,0
1,note_on,81,44,0
1,note_on,81,0,160
1,note_on,83,39,0
1,note_on,76,0,80
1,note_on,78,23,0
1,note_on,83,0,80
1,note_on,81,38,0
1,note_on,81,0,100
1,note_on,76,38,0
1,note_on,78,0,60
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,81,36,360
1,note_on,83,41,60
1,note_on,67,0,60
1,note_on,74,0,0
1,note_on,86,52,0
1,note_on,81,0,480
1,note_on,79,33,0
1,note_on,74,28,0
1,note_on,74,0,360
1,note_on,83,0,0
1,note_on,86,0,0
1,note_on,79,0,0
1,note_on,82,36,0
1,note_on,86,41,60
1,note_on,88,52,60
1,note_on,86,0,480
1,note_on,82,0,0
1,note_on,85,33,0
1,note_on,76,28,0
1,note_on,76,0,360
1,note_on,85,0,0
1,note_on,88,0,0
1,note_on,84,36,0
1,note_on,88,42,60
1,note_on,90,52,60
1,note_on,88,0,480
1,note_on,84,0,0
1,note_on,86,33,0
1,note_on,78,28,0
1,note_on,78,0,360
1,note_on,86,0,0
1,note_on,90,0,0
1,note_on,83,41,0
1,note_on,86,44,60
1,note_on,91,48,60
1,note_on,86,0,480
1,note_on,83,0,0
1,note_on,79,33,0
1,note_on,79,0,420
1,note_on,91,0,60
1,note_on,67,36,0
1,note_on,67,0,480
1,note_on,62,28,0
1,note_on,62,0,480
1,note_on,67,34,0
1,note_on,67,0,480
1,note_on,62,27,0
1,note_on,62,0,480
1,note_on,67,33,0
1,note_on,67,0,160
1,note_on,66,29,0
1,note_on,62,25,80
1,note_on,66,0,80
1,note_on,67,31,0
1,note_on,67,0,160
1,note_on,62,0,0
1,note_on,64,25,0
1,note_on,69,35,0
1,note_on,69,0,160
1,note_on,71,28,0
1,note_on,64,0,80
1,note_on,66,20,0
1,note_on,71,0,80
1,note_on,69,28,0
1,note_on,69,0,160
1,note_on,66,0,0
1,note_on,67,34,0
1,note_on,67,0,480
1,note_on,62,30,0
1,note_on,62,0,360
1,note_on,66,29,0
1,note_on,71,32,60
1,note_on,74,34,60
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,29,0
1,note_on,62,25,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,0,60
1,note_on,74,38,0
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,0,60
1,note_on,74,38,0
1,note_on,74,0,160
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,62,26,0
1,note_on,69,31,0
1,note_on,69,0,160
1,note_on,62,0,0
1,note_on,74,31,0
1,note_on,66,23,0
1,note_on,66,0,160
1,note_on,74,0,0
1,note_on,76,41,0
1,note_on,67,31,0
1,note_on,67,0,160
1,note_on,76,0,0
1,note_on,72,27,0
1,note_on,78,36,0
1,note_on,78,0,160
1,note_on,72,0,0
1,note_on,67,24,0
1,note_on,76,32,0
1,note_on,67,0,40
1,note_on,76,0,40
1,note_on,66,33,0
1,note_on,71,36,40
1,note_on,74,38,40
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,76,38,60
1,note_on,74,0,60
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,76,38,420
1,note_on,67,0,60
1,note_on,74,0,0
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,67,0,420
1,note_on,74,0,0
1,note_on,76,34,0
1,note_on,79,37,60
1,note_on,79,0,160
1,note_on,76,0,0
1,note_on,67,28,0
1,note_on,74,33,0
1,note_on,67,0,120
1,note_on,74,0,40
1,note_on,79,40,0
1,note_on,79,0,160
1,note_on,76,28,0
1,note_on,81,44,0
1,note_on,81,0,160
1,note_on,83,39,0
1,note_on,76,0,80
1,note_on,78,23,0
1,note_on,83,0,80
1,note_on,81,38,0
1,note_on,81,0,100
1,note_on,76,38,0
1,note_on,78,0,60
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,81,36,360
1,note_on,83,41,60
1,note_on,67,0,60
1,note_on,74,0,0
1,note_on,86,52,0
1,note_on,81,0,480
1,note_on,79,33,0
1,note_on,74,28,0
1,note_on,74,0,360
1,note_on,83,0,0
1,note_on,86,0,0
1,note_on,79,0,0
1,note_on,82,36,0
1,note_on,86,41,60
1,note_on,88,52,60
1,note_on,86,0,480
1,note_on,82,0,0
1,note_on,85,33,0
1,note_on,76,28,0
1,note_on,76,0,360
1,note_on,85,0,0
1,note_on,88,0,0
1,note_on,84,36,0
1,note_on,88,42,60
1,note_on,90,52,60
1,note_on,88,0,480
1,note_on,84,0,0
1,note_on,86,33,0
1,note_on,78,28,0
1,note_on,78,0,360
1,note_on,86,0,0
1,note_on,90,0,0
1,note_on,83,41,0
1,note_on,86,44,60
1,note_on,91,48,60
1,note_on,86,0,480
1,note_on,83,0,0
1,note_on,79,33,0
1,note_on,79,0,420
1,note_on,91,0,60
1,note_on,67,42,0
1,note_on,58,35,0
1,note_on,58,0,60
1,note_on,67,0,0
1,note_on,66,39,180
1,note_on,58,33,0
1,note_on,66,0,120
1,note_on,67,35,0
1,note_on,67,0,120
1,note_on,58,0,0
1,note_on,69,46,0
1,note_on,66,39,0
1,note_on,60,39,0
1,note_on,69,0,360
1,note_on,70,38,0
1,note_on,70,0,120
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,67,42,0
1,note_on,58,35,0
1,note_on,58,0,60
1,note_on,67,0,0
1,note_on,66,39,180
1,note_on,58,33,0
1,note_on,66,0,120
1,note_on,67,35,0
1,note_on,67,0,120
1,note_on,58,0,0
1,note_on,69,46,0
1,note_on,66,39,0
1,note_on,60,39,0
1,note_on,69,0,360
1,note_on,70,38,0
1,note_on,70,0,120
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,67,42,0
1,note_on,58,35,0
1,note_on,58,0,60
1,note_on,67,0,0
1,note_on,66,36,180
1,note_on,69,42,0
1,note_on,60,36,0
1,note_on,69,0,120
1,note_on,70,38,0
1,note_on,70,0,120
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,67,47,0
1,note_on,58,39,0
1,note_on,58,0,60
1,note_on,67,0,0
1,note_on,66,48,180
1,note_on,69,48,0
1,note_on,60,40,0
1,note_on,69,0,120
1,note_on,70,44,0
1,note_on,70,0,120
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,67,53,0
1,note_on,58,44,0
1,note_on,58,0,60
1,note_on,67,0,0
1,note_on,66,45,180
1,note_on,69,54,0
1,note_on,60,45,0
1,note_on,69,0,120
1,note_on,70,49,0
1,note_on,70,0,120
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,67,59,0
1,note_on,58,49,0
1,note_on,58,0,60
1,note_on,67,0,0
1,note_on,66,49,180
1,note_on,69,66,0
1,note_on,60,49,0
1,note_on,69,0,120
1,note_on,70,61,0
1,note_on,70,0,120
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,58,56,0
1,note_on,67,66,0
1,note_on,67,0,480
1,note_on,69,62,0
1,note_on,69,0,240
1,note_on,70,57,0
1,note_on,70,0,120
1,note_on,69,45,0
1,note_on,69,0,60
1,note_on,70,45,0
1,note_on,70,0,60
1,note_on,58,0,0
1,note_on,58,42,0
1,note_on,69,58,0
1,note_on,69,0,480
1,note_on,67,48,0
1,note_on,67,0,240
1,note_on,65,41,0
1,note_on,65,0,240
1,note_on,58,0,0
1,note_on,58,29,0
1,note_on,62,35,0
1,note_on,62,0,480
1,note_on,62,27,0
1,note_on,62,0,960
1,note_on,58,0,0
1,note_on,70,42,480
1,note_on,61,35,0
1,note_on,61,0,60
1,note_on,70,0,0
1,note_on,69,39,180
1,note_on,61,33,0
1,note_on,69,0,120
1,note_on,70,35,0
1,note_on,70,0,120
1,note_on,61,0,0
1,note_on,72,46,0
1,note_on,69,39,0
1,note_on,63,39,0
1,note_on,72,0,360
1,note_on,73,38,0
1,note_on,73,0,120
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,70,42,0
1,note_on,61,35,0
1,note_on,61,0,60
1,note_on,70,0,0
1,note_on,69,39,180
1,note_on,61,33,0
1,note_on,69,0,120
1,note_on,70,35,0
1,note_on,70,0,120
1,note_on,61,0,0
1,note_on,72,46,0
1,note_on,69,39,0
1,note_on,63,39,0
1,note_on,72,0,360
1,note_on,73,38,0
1,note_on,73,0,120
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,70,42,0
1,note_on,61,35,0
1,note_on,61,0,60
1,note_on,70,0,0
1,note_on,69,36,180
1,note_on,72,42,0
1,note_on,63,36,0
1,note_on,72,0,120
1,note_on,73,38,0
1,note_on,73,0,120
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,70,47,0
1,note_on,61,39,0
1,note_on,61,0,60
1,note_on,70,0,0
1,note_on,69,48,180
1,note_on,72,48,0
1,note_on,63,40,0
1,note_on,72,0,120
1,note_on,73,44,0
1,note_on,73,0,120
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,70,53,0
1,note_on,61,44,0
1,note_on,61,0,60
1,note_on,70,0,0
1,note_on,69,45,180
1,note_on,72,54,0
1,note_on,63,45,0
1,note_on,72,0,120
1,note_on,73,49,0
1,note_on,73,0,120
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,70,59,0
1,note_on,61,49,0
1,note_on,61,0,60
1,note_on,70,0,0
1,note_on,69,49,180
1,note_on,72,66,0
1,note_on,63,49,0
1,note_on,72,0,120
1,note_on,73,61,0
1,note_on,73,0,120
1,note_on,63,0,0
1,note_on,69,0,0
1,note_on,61,56,0
1,note_on,70,66,0
1,note_on,70,0,480
1,note_on,72,62,0
1,note_on,72,0,240
1,note_on,73,57,0
1,note_on,73,0,120
1,note_on,72,45,0
1,note_on,72,0,60
1,note_on,73,45,0
1,note_on,73,0,60
1,note_on,61,0,0
1,note_on,61,42,0
1,note_on,72,58,0
1,note_on,72,0,480
1,note_on,70,48,0
1,note_on,70,0,240
1,note_on,68,41,0
1,note_on,68,0,240
1,note_on,61,0,0
1,note_on,61,29,0
1,note_on,65,35,0
1,note_on,65,0,480
1,note_on,65,27,0
1,note_on,65,0,960
1,note_on,61,0,0
1,note_on,64,35,1440
1,note_on,64,0,480
1,note_on,64,27,0
1,note_on,64,0,960
1,note_on,76,36,480
1,note_on,76,0,480
1,note_on,69,28,0
1,note_on,69,0,480
1,note_on,76,34,0
1,note_on,76,0,480
1,note_on,69,27,0
1,note_on,69,0,480
1,note_on,76,33,0
1,note_on,76,0,160
1,note_on,69,29,0
1,note_on,69,0,160
1,note_on,76,31,0
1,note_on,76,0,160
1,note_on,77,35,0
1,note_on,77,0,160
1,note_on,79,28,0
1,note_on,79,0,160
1,note_on,77,28,0
1,note_on,77,0,160
1,note_on,76,34,0
1,note_on,76,0,480
1,note_on,69,30,0
1,note_on,69,0,360
1,note_on,73,29,0
1,note_on,77,32,60
1,note_on,81,34,60
1,note_on,77,0,480
1,note_on,73,0,0
1,note_on,76,29,0
1,note_on,69,25,0
1,note_on,69,0,360
1,note_on,76,0,0
1,note_on,73,33,0
1,note_on,77,36,60
1,note_on,81,0,60
1,note_on,81,38,0
1,note_on,77,0,480
1,note_on,73,0,0
1,note_on,76,33,0
1,note_on,69,28,0
1,note_on,69,0,480
1,note_on,76,0,0
1,note_on,81,0,0
1,note_on,73,36,0
1,note_on,81,38,0
1,note_on,81,0,160
1,note_on,73,0,0
1,note_on,69,26,0
1,note_on,76,31,0
1,note_on,76,0,160
1,note_on,69,0,0
1,note_on,81,31,0
1,note_on,73,23,0
1,note_on,73,0,160
1,note_on,81,0,0
1,note_on,82,41,0
1,note_on,74,31,0
1,note_on,74,0,160
1,note_on,82,0,0
1,note_on,79,27,0
1,note_on,84,36,0
1,note_on,84,0,160
1,note_on,79,0,0
1,note_on,74,24,0
1,note_on,82,32,0
1,note_on,74,0,40
1,note_on,82,0,40
1,note_on,73,33,0
1,note_on,77,36,40
1,note_on,81,38,40
1,note_on,77,0,480
1,note_on,73,0,0
1,note_on,76,33,0
1,note_on,69,28,0
1,note_on,69,0,480
1,note_on,76,0,0
1,note_on,81,0,0
1,note_on,75,41,0
1,note_on,82,43,0
1,note_on,82,0,160
1,note_on,75,0,0
1,note_on,70,29,0
1,note_on,79,35,0
1,note_on,79,0,160
1,note_on,70,0,0
1,note_on,82,35,0
1,note_on,75,26,0
1,note_on,75,0,160
1,note_on,82,0,0
1,note_on,84,47,0
1,note_on,79,35,0
1,note_on,79,0,160
1,note_on,84,0,0
1,note_on,82,31,0
1,note_on,86,41,0
1,note_on,86,0,160
1,note_on,82,0,0
1,note_on,79,27,0
1,note_on,84,36,0
1,note_on,79,0,40
1,note_on,84,0,40
1,note_on,77,37,0
1,note_on,82,43,80
1,note_on,77,0,480
1,note_on,75,37,0
1,note_on,70,32,0
1,note_on,70,0,480
1,note_on,75,0,0
1,note_on,82,0,0
1,note_on,75,47,0
1,note_on,84,49,0
1,note_on,84,0,160
1,note_on,75,0,0
1,note_on,72,33,0
1,note_on,79,40,0
1,note_on,79,0,160
1,note_on,72,0,0
1,note_on,84,40,0
1,note_on,75,29,0
1,note_on,75,0,160
1,note_on,84,0,0
1,note_on,87,54,0
1,note_on,79,40,0
1,note_on,79,0,160
1,note_on,87,0,0
1,note_on,84,35,0
1,note_on,89,47,0
1,note_on,89,0,160
1,note_on,84,0,0
1,note_on,79,31,0
1,note_on,87,41,0
1,note_on,79,0,40
1,note_on,87,0,40
1,note_on,75,42,0
1,note_on,84,56,80
1,note_on,75,0,480
1,note_on,72,45,0
1,note_on,79,45,0
1,note_on,79,0,420
1,note_on,72,0,0
1,note_on,84,51,0
1,note_on,84,0,60
1,note_on,90,66,0
1,note_on,90,0,480
1,note_on,84,0,0
1,note_on,87,64,0
1,note_on,78,54,0
1,note_on,78,0,420
1,note_on,87,0,0
1,note_on,84,51,0
1,note_on,90,66,60
1,note_on,90,0,480
1,note_on,84,0,0
1,note_on,87,65,0
1,note_on,78,55,0
1,note_on,78,0,420
1,note_on,87,0,0
1,note_on,84,51,0
1,note_on,90,69,60
1,note_on,90,0,240
1,note_on,84,0,0
1,note_on,87,65,0
1,note_on,78,54,0
1,note_on,78,0,240
1,note_on,87,0,0
1,note_on,90,73,0
1,note_on,84,62,0
1,note_on,84,0,240
1,note_on,90,0,0
1,note_on,87,70,0
1,note_on,78,59,0
1,note_on,78,0,240
1,note_on,87,0,0
1,note_on,90,76,0
1,note_on,84,64,0
1,note_on,84,0,240
1,note_on,90,0,0
1,note_on,78,54,0
1,note_on,87,63,0
1,note_on,87,0,240
1,note_on,78,0,0
1,note_on,90,80,0
1,note_on,84,68,0
1,note_on,84,0,240
1,note_on,90,0,0
1,note_on,87,72,0
1,note_on,78,61,0
1,note_on,78,0,180
1,note_on,87,0,0
1,note_on,84,46,0
1,note_on,84,0,60
1,note_on,91,64,0
1,note_on,91,0,480
1,note_on,79,60,0
1,note_on,79,0,400
1,note_on,79,48,20
1,note_on,79,0,60
1,note_on,86,62,0
1,note_on,86,0,480
1,note_on,74,54,0
1,note_on,74,0,400
1,note_on,74,40,20
1,note_on,74,0,60
1,note_on,79,52,0
1,note_on,79,0,480
1,note_on,67,45,0
1,note_on,67,0,400
1,note_on,67,32,20
1,note_on,67,0,60
1,note_on,74,41,0
1,note_on,74,0,480
1,note_on,62,29,0
1,note_on,62,0,400
1,note_on,62,29,20
1,note_on,62,0,60
1,note_on,67,35,0
1,note_on,67,0,480
1,note_on,62,26,0
1,note_on,62,0,480
1,note_on,67,35,0
1,note_on,67,0,480
1,note_on,62,27,0
1,note_on,62,0,480
1,note_on,67,37,0
1,note_on,67,0,160
1,note_on,66,33,0
1,note_on,62,28,80
1,note_on,66,0,80
1,note_on,67,35,0
1,note_on,67,0,160
1,note_on,62,0,0
1,note_on,64,28,0
1,note_on,69,39,0
1,note_on,69,0,160
1,note_on,71,32,0
1,note_on,64,0,80
1,note_on,66,23,0
1,note_on,71,0,80
1,note_on,69,32,0
1,note_on,69,0,160
1,note_on,66,0,0
1,note_on,67,38,0
1,note_on,67,0,480
1,note_on,62,34,0
1,note_on,62,0,360
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,38,60
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,0,60
1,note_on,74,38,0
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,66,33,0
1,note_on,71,36,60
1,note_on,74,0,60
1,note_on,74,38,0
1,note_on,74,0,160
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,62,26,0
1,note_on,69,31,0
1,note_on,69,0,160
1,note_on,62,0,0
1,note_on,74,31,0
1,note_on,66,23,0
1,note_on,66,0,160
1,note_on,74,0,0
1,note_on,76,41,0
1,note_on,67,31,0
1,note_on,67,0,160
1,note_on,76,0,0
1,note_on,72,27,0
1,note_on,78,36,0
1,note_on,78,0,160
1,note_on,72,0,0
1,note_on,67,24,0
1,note_on,76,32,0
1,note_on,67,0,40
1,note_on,76,0,40
1,note_on,66,33,0
1,note_on,71,36,40
1,note_on,74,38,40
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,69,33,0
1,note_on,62,28,0
1,note_on,62,0,360
1,note_on,69,0,0
1,note_on,76,38,60
1,note_on,74,0,60
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,76,38,420
1,note_on,67,0,60
1,note_on,74,0,0
1,note_on,79,44,0
1,note_on,79,0,480
1,note_on,76,0,0
1,note_on,74,34,0
1,note_on,67,28,0
1,note_on,67,0,420
1,note_on,74,0,0
1,note_on,76,34,0
1,note_on,79,37,60
1,note_on,79,0,160
