Track,Message Type,Note,Velocity,Time
1,note_on,71,45,0
1,note_on,71,0,120
1,note_on,74,34,0
1,note_on,74,0,120
1,note_on,73,38,0
1,note_on,73,0,120
1,note_on,76,32,0
1,note_on,76,0,120
1,note_on,74,35,0
1,note_on,74,0,120
1,note_on,78,29,0
1,note_on,78,0,120
1,note_on,76,31,0
1,note_on,76,0,120
1,note_on,79,26,0
1,note_on,79,0,120
1,note_on,74,30,0
1,note_on,78,30,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,71,45,360
1,note_on,71,0,120
1,note_on,74,34,0
1,note_on,74,0,120
1,note_on,73,38,0
1,note_on,73,0,120
1,note_on,76,32,0
1,note_on,76,0,120
1,note_on,74,36,0
1,note_on,74,0,120
1,note_on,78,29,0
1,note_on,78,0,120
1,note_on,76,32,0
1,note_on,76,0,120
1,note_on,79,27,0
1,note_on,79,0,120
1,note_on,74,32,0
1,note_on,78,32,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,79,49,360
1,note_on,79,0,120
1,note_on,83,39,0
1,note_on,83,0,120
1,note_on,78,44,0
1,note_on,78,0,120
1,note_on,81,38,0
1,note_on,81,0,120
1,note_on,76,43,0
1,note_on,76,0,120
1,note_on,79,36,0
1,note_on,79,0,120
1,note_on,74,41,0
1,note_on,74,0,120
1,note_on,78,36,0
1,note_on,78,0,120
1,note_on,73,44,0
1,note_on,76,44,0
1,note_on,76,0,120
1,note_on,73,0,0
1,note_on,78,49,360
1,note_on,78,0,120
1,note_on,81,39,0
1,note_on,81,0,120
1,note_on,76,44,0
1,note_on,76,0,120
1,note_on,79,38,0
1,note_on,79,0,120
1,note_on,74,43,0
1,note_on,74,0,120
1,note_on,78,36,0
1,note_on,78,0,120
1,note_on,73,41,0
1,note_on,73,0,120
1,note_on,76,36,0
1,note_on,76,0,120
1,note_on,71,44,0
1,note_on,74,44,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,74,45,480
1,note_on,74,0,120
1,note_on,73,50,0
1,note_on,73,0,120
1,note_on,76,45,0
1,note_on,76,0,120
1,note_on,74,51,0
1,note_on,74,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,76,52,0
1,note_on,76,0,120
1,note_on,79,47,0
1,note_on,79,0,120
1,note_on,74,53,0
1,note_on,78,53,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,74,45,480
1,note_on,74,0,120
1,note_on,73,50,0
1,note_on,73,0,120
1,note_on,76,45,0
1,note_on,76,0,120
1,note_on,74,51,0
1,note_on,74,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,76,52,0
1,note_on,76,0,120
1,note_on,79,47,0
1,note_on,79,0,120
1,note_on,74,53,0
1,note_on,78,53,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,74,61,360
1,note_on,74,0,120
1,note_on,78,54,0
1,note_on,78,0,120
1,note_on,73,61,0
1,note_on,73,0,120
1,note_on,76,58,0
1,note_on,76,0,120
1,note_on,71,65,0
1,note_on,71,0,120
1,note_on,74,59,0
1,note_on,74,0,120
1,note_on,70,70,0
1,note_on,70,0,120
1,note_on,73,58,0
1,note_on,73,0,120
1,note_on,71,72,0
1,note_on,71,0,120
1,note_on,74,64,0
1,note_on,74,0,120
1,note_on,73,72,0
1,note_on,73,0,120
1,note_on,76,65,0
1,note_on,76,0,120
1,note_on,71,68,0
1,note_on,78,80,0
1,note_on,73,80,0
1,note_on,71,0,480
1,note_on,70,52,0
1,note_on,70,0,720
1,note_on,73,0,0
1,note_on,78,0,0
1,note_on,71,45,240
1,note_on,71,0,120
1,note_on,74,34,0
1,note_on,74,0,120
1,note_on,73,38,0
1,note_on,73,0,120
1,note_on,76,32,0
1,note_on,76,0,120
1,note_on,74,35,0
1,note_on,74,0,120
1,note_on,78,29,0
1,note_on,78,0,120
1,note_on,76,31,0
1,note_on,76,0,120
1,note_on,79,26,0
1,note_on,79,0,120
1,note_on,74,30,0
1,note_on,78,30,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,71,45,360
1,note_on,71,0,120
1,note_on,74,34,0
1,note_on,74,0,120
1,note_on,73,38,0
1,note_on,73,0,120
1,note_on,76,32,0
1,note_on,76,0,120
1,note_on,74,35,0
1,note_on,74,0,120
1,note_on,78,29,0
1,note_on,78,0,120
1,note_on,76,31,0
1,note_on,76,0,120
1,note_on,79,26,0
1,note_on,79,0,120
1,note_on,74,30,0
1,note_on,78,30,0
1,note_on,78,0,120
1,note_on,74,0,0
1,note_on,79,49,360
1,note_on,79,0,120
1,note_on,83,39,0
1,note_on,83,0,120
1,note_on,78,44,0
1,note_on,78,0,120
1,note_on,81,38,0
1,note_on,81,0,120
1,note_on,76,43,0
1,note_on,76,0,120
1,note_on,79,36,0
1,note_on,79,0,120
1,note_on,74,41,0
1,note_on,74,0,120
1,note_on,78,36,0
1,note_on,78,0,120
1,note_on,73,44,0
1,note_on,76,44,0
1,note_on,76,0,120
1,note_on,73,0,0
1,note_on,78,49,360
1,note_on,78,0,120
1,note_on,81,39,0
1,note_on,81,0,120
1,note_on,76,44,0
1,note_on,76,0,120
1,note_on,79,38,0
1,note_on,79,0,120
1,note_on,74,43,0
1,note_on,74,0,120
1,note_on,78,36,0
1,note_on,78,0,120
1,note_on,73,41,0
1,note_on,73,0,120
1,note_on,76,36,0
1,note_on,76,0,120
1,note_on,71,44,0
1,note_on,74,44,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,74,45,480
1,note_on,74,0,120
1,note_on,73,50,0
1,note_on,73,0,120
1,note_on,76,45,0
1,note_on,76,0,120
1,note_on,74,51,0
1,note_on,74,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,76,52,0
1,note_on,76,0,120
1,note_on,79,47,0
1,note_on,79,0,120
1,note_on,74,53,0
1,note_on,78,53,0
