Track,Message Type,Note,Velocity,Time
1,note_on,78,54,0
1,note_on,78,0,360
1,note_on,68,48,0
1,note_on,68,0,120
1,note_on,69,51,0
1,note_on,69,0,120
1,note_on,70,52,0
1,note_on,70,0,120
1,note_on,71,53,0
1,note_on,71,0,120
1,note_on,72,55,0
1,note_on,72,0,120
1,note_on,73,56,0
1,note_on,73,0,120
1,note_on,74,57,0
1,note_on,74,0,120
1,note_on,75,58,0
1,note_on,75,0,120
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,81,69,0
1,note_on,81,0,120
1,note_on,76,60,0
1,note_on,76,0,120
1,note_on,73,62,0
1,note_on,73,0,120
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,67,68,0
1,note_on,67,0,360
1,note_on,76,49,0
1,note_on,76,0,120
1,note_on,68,69,0
1,note_on,68,0,360
1,note_on,76,49,0
1,note_on,76,0,120
1,note_on,67,70,0
1,note_on,67,0,360
1,note_on,76,47,0
1,note_on,76,0,120
1,note_on,68,69,0
1,note_on,68,0,360
1,note_on,77,49,0
1,note_on,77,0,120
1,note_on,78,67,0
1,note_on,78,0,360
1,note_on,68,54,0
1,note_on,68,0,120
1,note_on,69,53,0
1,note_on,69,0,120
1,note_on,70,54,0
1,note_on,70,0,120
1,note_on,71,55,0
1,note_on,71,0,120
1,note_on,72,57,0
1,note_on,72,0,120
1,note_on,73,58,0
1,note_on,73,0,120
1,note_on,74,60,0
1,note_on,74,0,120
1,note_on,75,61,0
1,note_on,75,0,120
1,note_on,76,63,0
1,note_on,76,0,120
1,note_on,81,69,0
1,note_on,81,0,120
1,note_on,76,60,0
1,note_on,76,0,120
1,note_on,73,62,0
1,note_on,73,0,120
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,85,76,0
1,note_on,85,0,360
1,note_on,75,60,0
1,note_on,75,0,120
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,77,61,0
1,note_on,77,0,120
1,note_on,78,63,0
1,note_on,78,0,120
1,note_on,79,66,0
1,note_on,79,0,120
1,note_on,80,67,0
1,note_on,80,0,120
1,note_on,81,70,0
1,note_on,81,0,120
1,note_on,82,72,0
1,note_on,82,0,120
1,note_on,83,75,0
1,note_on,83,0,120
1,note_on,88,83,0
1,note_on,88,0,120
1,note_on,83,73,0
1,note_on,83,0,120
1,note_on,80,76,0
1,note_on,80,0,120
1,note_on,76,74,0
1,note_on,76,0,120
1,note_on,71,78,0
1,note_on,71,0,360
1,note_on,80,55,0
1,note_on,80,0,120
1,note_on,68,77,0
1,note_on,68,0,360
1,note_on,76,50,0
1,note_on,76,0,120
1,note_on,64,68,0
1,note_on,64,0,360
1,note_on,73,43,0
1,note_on,73,0,120
1,note_on,61,61,0
1,note_on,61,0,360
1,note_on,70,39,0
1,note_on,70,0,120
1,note_on,60,53,0
1,note_on,60,0,360
1,note_on,69,36,0
1,note_on,69,0,120
1,note_on,57,50,0
1,note_on,57,0,360
1,note_on,66,32,0
1,note_on,66,0,120
1,note_on,56,47,0
1,note_on,56,0,360
1,note_on,64,37,0
1,note_on,64,0,120
1,note_on,78,53,480
1,note_on,78,0,360
1,note_on,68,48,0
1,note_on,68,0,120
1,note_on,69,52,0
1,note_on,69,0,120
1,note_on,70,53,0
1,note_on,70,0,120
1,note_on,71,54,0
1,note_on,71,0,120
1,note_on,72,55,0
1,note_on,72,0,120
1,note_on,73,56,0
1,note_on,73,0,120
1,note_on,74,58,0
1,note_on,74,0,120
1,note_on,75,59,0
1,note_on,75,0,120
1,note_on,76,60,0
1,note_on,76,0,120
1,note_on,81,69,0
1,note_on,81,0,120
1,note_on,76,60,0
1,note_on,76,0,120
1,note_on,73,62,0
1,note_on,73,0,120
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,67,68,0
1,note_on,67,0,360
1,note_on,76,49,0
1,note_on,76,0,120
1,note_on,68,69,0
1,note_on,68,0,360
1,note_on,76,50,0
1,note_on,76,0,120
1,note_on,67,70,0
1,note_on,67,0,360
1,note_on,76,49,0
1,note_on,76,0,120
1,note_on,68,69,0
1,note_on,68,0,360
1,note_on,77,45,0
1,note_on,77,0,120
1,note_on,78,67,0
1,note_on,78,0,360
1,note_on,68,54,0
1,note_on,68,0,120
1,note_on,69,53,0
1,note_on,69,0,120
1,note_on,70,54,0
1,note_on,70,0,120
1,note_on,71,55,0
1,note_on,71,0,120
1,note_on,72,57,0
1,note_on,72,0,120
1,note_on,73,58,0
1,note_on,73,0,120
1,note_on,74,60,0
1,note_on,74,0,120
1,note_on,75,61,0
1,note_on,75,0,120
1,note_on,76,63,0
1,note_on,76,0,120
1,note_on,81,69,0
1,note_on,81,0,120
1,note_on,76,60,0
1,note_on,76,0,120
1,note_on,73,62,0
1,note_on,73,0,120
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,85,76,0
1,note_on,85,0,360
1,note_on,75,60,0
1,note_on,75,0,120
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,77,61,0
1,note_on,77,0,120
1,note_on,78,63,0
1,note_on,78,0,120
1,note_on,79,66,0
1,note_on,79,0,120
1,note_on,80,67,0
1,note_on,80,0,120
1,note_on,81,70,0
1,note_on,81,0,120
1,note_on,82,72,0
1,note_on,82,0,120
1,note_on,83,75,0
1,note_on,83,0,120
1,note_on,88,83,0
1,note_on,88,0,120
1,note_on,83,73,0
1,note_on,83,0,120
1,note_on,80,76,0
1,note_on,80,0,120
1,note_on,76,74,0
1,note_on,76,0,120
1,note_on,71,78,0
1,note_on,71,0,360
1,note_on,80,55,0
1,note_on,80,0,120
1,note_on,68,77,0
1,note_on,68,0,360
1,note_on,76,49,0
1,note_on,76,0,120
1,note_on,64,68,0
1,note_on,64,0,360
1,note_on,73,42,0
1,note_on,73,0,120
1,note_on,61,60,0
1,note_on,61,0,360
1,note_on,70,37,0
1,note_on,70,0,120
1,note_on,60,53,0
1,note_on,60,0,360
1,note_on,69,34,0
1,note_on,69,0,120
1,note_on,57,49,0
1,note_on,57,0,360
1,note_on,66,30,0
1,note_on,66,0,120
1,note_on,56,46,0
1,note_on,56,0,360
1,note_on,64,36,0
1,note_on,64,0,120
1,note_on,67,60,480
1,note_on,67,0,360
1,note_on,71,54,0
1,note_on,71,0,120
1,note_on,74,58,0
1,note_on,74,0,120
1,note_on,79,54,0
1,note_on,79,0,120
1,note_on,73,60,0
1,note_on,73,0,120
1,note_on,74,57,0
1,note_on,79,57,0
1,note_on,79,0,120
1,note_on,74,0,0
1,note_on,71,63,0
1,note_on,71,0,120
1,note_on,74,60,0
1,note_on,79,60,0
1,note_on,79,0,120
1,note_on,74,0,0
1,note_on,69,65,0
1,note_on,69,0,120
1,note_on,71,63,0
1,note_on,74,63,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,71,60,0
1,note_on,74,60,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,66,69,0
1,note_on,66,0,120
1,note_on,71,60,0
1,note_on,74,60,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,65,73,0
1,note_on,65,0,360
1,note_on,68,45,0
1,note_on,73,54,0
1,note_on,73,0,120
1,note_on,68,0,0
1,note_on,66,69,0
1,note_on,66,0,360
1,note_on,69,45,0
1,note_on,73,53,0
1,note_on,73,0,120
1,note_on,69,0,0
1,note_on,63,70,0
1,note_on,63,0,360
1,note_on,66,42,0
1,note_on,73,50,0
1,note_on,73,0,120
