Track,Message Type,Note,Velocity,Time
1,note_on,71,34,0
1,note_on,76,40,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,71,31,180
1,note_on,76,37,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,76,37,180
1,note_on,72,31,0
1,note_on,72,0,60
1,note_on,76,0,0
1,note_on,71,34,180
1,note_on,76,40,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,76,36,180
1,note_on,71,30,0
1,note_on,71,0,60
1,note_on,76,0,0
1,note_on,67,40,180
1,note_on,67,0,120
1,note_on,69,35,0
1,note_on,69,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,72,36,0
1,note_on,72,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,76,43,0
1,note_on,76,0,120
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,71,39,0
1,note_on,71,0,120
1,note_on,76,41,0
1,note_on,76,0,120
1,note_on,79,43,0
1,note_on,79,0,120
1,note_on,82,45,0
1,note_on,82,0,120
1,note_on,83,48,0
1,note_on,83,0,120
1,note_on,74,34,120
1,note_on,78,34,0
1,note_on,83,40,0
1,note_on,83,0,60
1,note_on,78,0,0
1,note_on,74,0,0
1,note_on,83,37,180
1,note_on,74,31,0
1,note_on,78,31,0
1,note_on,78,0,60
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,83,37,180
1,note_on,74,31,0
1,note_on,79,31,0
1,note_on,79,0,60
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,74,34,180
1,note_on,78,34,0
1,note_on,83,40,0
1,note_on,83,0,60
1,note_on,78,0,0
1,note_on,74,0,0
1,note_on,74,30,180
1,note_on,83,36,0
1,note_on,78,30,0
1,note_on,78,0,60
1,note_on,83,0,0
1,note_on,74,0,0
1,note_on,71,40,180
1,note_on,71,0,120
1,note_on,73,35,0
1,note_on,73,0,120
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,78,36,0
1,note_on,78,0,120
1,note_on,71,40,0
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,73,63,0
1,note_on,70,53,0
1,note_on,73,0,120
1,note_on,78,60,0
1,note_on,78,0,120
1,note_on,70,0,0
1,note_on,71,52,0
1,note_on,75,62,0
1,note_on,75,0,120
1,note_on,71,0,0
1,note_on,78,57,0
1,note_on,78,0,120
1,note_on,71,53,0
1,note_on,75,63,0
1,note_on,75,0,120
1,note_on,71,0,0
1,note_on,78,59,0
1,note_on,78,0,120
1,note_on,75,64,0
1,note_on,71,54,0
1,note_on,71,0,120
1,note_on,75,0,0
1,note_on,78,57,0
1,note_on,78,0,120
1,note_on,71,34,0
1,note_on,76,40,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,76,37,180
1,note_on,71,31,0
1,note_on,71,0,60
1,note_on,76,0,0
1,note_on,72,31,180
1,note_on,76,37,0
1,note_on,76,0,60
1,note_on,72,0,0
1,note_on,71,34,180
1,note_on,76,40,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,76,36,180
1,note_on,71,30,0
1,note_on,71,0,60
1,note_on,76,0,0
1,note_on,67,40,180
1,note_on,67,0,120
1,note_on,69,35,0
1,note_on,69,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,72,36,0
1,note_on,72,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,76,43,0
1,note_on,76,0,120
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,71,39,0
1,note_on,71,0,120
1,note_on,76,41,0
1,note_on,76,0,120
1,note_on,79,43,0
1,note_on,79,0,120
1,note_on,82,45,0
1,note_on,82,0,120
1,note_on,83,48,0
1,note_on,83,0,120
1,note_on,83,40,120
1,note_on,74,34,0
1,note_on,78,34,0
1,note_on,78,0,60
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,74,31,180
1,note_on,78,31,0
1,note_on,83,37,0
1,note_on,83,0,60
1,note_on,78,0,0
1,note_on,74,0,0
1,note_on,74,31,180
1,note_on,79,31,0
1,note_on,83,37,0
1,note_on,83,0,60
1,note_on,79,0,0
1,note_on,74,0,0
1,note_on,83,40,180
1,note_on,74,34,0
1,note_on,78,34,0
1,note_on,78,0,60
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,74,30,180
1,note_on,78,30,0
1,note_on,83,36,0
1,note_on,83,0,60
1,note_on,78,0,0
1,note_on,74,0,0
1,note_on,71,40,180
1,note_on,71,0,120
1,note_on,73,35,0
1,note_on,73,0,120
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,78,36,0
1,note_on,78,0,120
1,note_on,74,40,0
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,74,0,0
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,70,53,0
1,note_on,73,63,0
1,note_on,73,0,120
1,note_on,78,60,0
1,note_on,78,0,120
1,note_on,70,0,0
1,note_on,71,52,0
1,note_on,75,62,0
1,note_on,75,0,120
1,note_on,71,0,0
1,note_on,78,57,0
1,note_on,78,0,120
1,note_on,71,53,0
1,note_on,75,63,0
1,note_on,75,0,120
1,note_on,71,0,0
1,note_on,78,59,0
1,note_on,78,0,120
1,note_on,75,64,0
1,note_on,71,54,0
1,note_on,71,0,120
1,note_on,75,0,0
1,note_on,78,57,0
1,note_on,78,0,120
1,note_on,59,88,0
1,note_on,59,0,60
1,note_on,59,80,180
1,note_on,59,0,60
1,note_on,54,80,180
1,note_on,54,0,60
1,note_on,59,88,180
1,note_on,59,0,60
1,note_on,59,79,180
1,note_on,59,0,60
1,note_on,64,40,180
1,note_on,64,0,120
1,note_on,66,35,0
1,note_on,66,0,120
1,note_on,67,40,0
1,note_on,67,0,120
1,note_on,70,36,0
1,note_on,70,0,120
1,note_on,67,40,0
1,note_on,67,0,120
1,note_on,70,34,0
1,note_on,70,0,120
1,note_on,66,41,0
1,note_on,66,0,120
1,note_on,70,36,0
1,note_on,70,0,120
1,note_on,64,41,0
1,note_on,64,0,120
1,note_on,70,36,0
1,note_on,70,0,120
1,note_on,64,41,0
1,note_on,64,0,120
1,note_on,70,35,0
1,note_on,70,0,120
1,note_on,59,88,240
1,note_on,59,0,60
1,note_on,59,80,180
1,note_on,59,0,60
1,note_on,54,80,180
1,note_on,54,0,60
1,note_on,59,88,180
1,note_on,59,0,60
1,note_on,59,79,180
1,note_on,59,0,60
1,note_on,64,40,180
1,note_on,64,0,120
1,note_on,66,35,0
1,note_on,66,0,120
1,note_on,67,40,0
1,note_on,67,0,120
1,note_on,70,36,0
1,note_on,70,0,120
1,note_on,67,40,0
1,note_on,67,0,120
1,note_on,70,34,0
1,note_on,70,0,120
1,note_on,66,41,0
1,note_on,66,0,120
1,note_on,70,36,0
1,note_on,70,0,120
1,note_on,64,41,0
1,note_on,64,0,120
1,note_on,70,36,0
1,note_on,70,0,120
1,note_on,64,41,0
1,note_on,64,0,120
1,note_on,70,35,0
1,note_on,70,0,120
1,note_on,67,41,0
1,note_on,67,0,120
1,note_on,69,35,0
1,note_on,69,0,120
1,note_on,70,44,0
1,note_on,70,0,120
1,note_on,73,40,0
1,note_on,73,0,120
1,note_on,70,46,0
1,note_on,70,0,120
1,note_on,73,39,0
1,note_on,73,0,120
1,note_on,69,51,0
1,note_on,69,0,120
1,note_on,73,45,0
1,note_on,73,0,120
1,note_on,67,54,0
1,note_on,67,0,120
1,note_on,73,48,0
1,note_on,73,0,120
1,note_on,67,57,0
1,note_on,67,0,120
1,note_on,73,53,0
1,note_on,73,0,120
1,note_on,70,59,0
1,note_on,70,0,120
1,note_on,71,52,0
1,note_on,71,0,120
1,note_on,72,62,0
1,note_on,72,0,120
1,note_on,76,55,0
1,note_on,76,0,120
1,note_on,72,62,0
1,note_on,72,0,120
1,note_on,76,55,0
1,note_on,76,0,120
1,note_on,71,61,0
1,note_on,71,0,120
1,note_on,76,50,0
1,note_on,76,0,120
1,note_on,70,62,0
1,note_on,70,0,120
1,note_on,76,55,0
1,note_on,76,0,120
1,note_on,70,58,0
1,note_on,70,0,120
1,note_on,76,50,0
1,note_on,76,0,120
1,note_on,70,55,0
1,note_on,70,0,120
1,note_on,76,46,0
1,note_on,76,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,76,36,0
1,note_on,76,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,76,34,0
1,note_on,76,0,120
1,note_on,71,41,0
1,note_on,71,0,120
1,note_on,76,36,0
1,note_on,76,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,75,36,0
1,note_on,75,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,75,34,0
1,note_on,75,0,120
1,note_on,71,41,0
1,note_on,71,0,120
1,note_on,75,36,0
1,note_on,75,0,120
1,note_on,76,40,0
1,note_on,71,34,0
1,note_on,71,0,60
1,note_on,76,0,0
1,note_on,71,31,180
1,note_on,76,37,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,72,31,180
1,note_on,76,37,0
1,note_on,76,0,60
1,note_on,72,0,0
1,note_on,71,34,180
1,note_on,76,40,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,71,30,180
1,note_on,76,36,0
1,note_on,76,0,60
1,note_on,71,0,0
1,note_on,67,40,180
1,note_on,67,0,120
1,note_on,69,35,0
1,note_on,69,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,72,36,0
1,note_on,72,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,78,45,0
1,note_on,78,0,120
1,note_on,76,43,0
1,note_on,76,0,120
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,71,39,0
1,note_on,71,0,120
1,note_on,76,41,0
1,note_on,76,0,120
1,note_on,79,43,0
1,note_on,79,0,120
1,note_on,82,45,0
1,note_on,82,0,120
1,note_on,83,48,0
1,note_on,83,0,120
1,note_on,83,40,120
1,note_on,74,34,0
1,note_on,78,34,0
1,note_on,78,0,60
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,74,31,180
1,note_on,83,37,0
1,note_on,78,31,0
1,note_on,78,0,60
1,note_on,83,0,0
1,note_on,74,0,0
1,note_on,83,37,180
1,note_on,74,31,0
1,note_on,79,31,0
1,note_on,79,0,60
1,note_on,74,0,0
1,note_on,83,0,0
1,note_on,74,34,180
1,note_on,78,34,0
1,note_on,83,40,0
1,note_on,83,0,60
1,note_on,78,0,0
1,note_on,74,0,0
1,note_on,78,30,180
1,note_on,83,36,0
1,note_on,74,30,0
