Track,Message Type,Note,Velocity,Time
1,note_on,87,70,900
1,note_on,87,0,60
1,note_on,86,77,0
1,note_on,86,0,240
1,note_on,86,70,0
1,note_on,82,58,0
1,note_on,82,0,120
1,note_on,79,70,0
1,note_on,79,0,120
1,note_on,86,0,0
1,note_on,79,63,0
1,note_on,81,75,0
1,note_on,81,0,240
1,note_on,79,0,0
1,note_on,81,68,0
1,note_on,78,57,0
1,note_on,78,0,120
1,note_on,74,68,0
1,note_on,74,0,60
1,note_on,81,0,0
1,note_on,87,70,0
1,note_on,87,0,60
1,note_on,86,77,0
1,note_on,86,0,240
1,note_on,86,71,0
1,note_on,82,59,0
1,note_on,82,0,120
1,note_on,79,72,0
1,note_on,79,0,120
1,note_on,86,0,0
1,note_on,79,66,0
1,note_on,81,78,0
1,note_on,81,0,240
1,note_on,79,0,0
1,note_on,81,72,0
1,note_on,78,60,0
1,note_on,78,0,120
1,note_on,74,73,0
1,note_on,74,0,120
1,note_on,81,0,0
1,note_on,91,69,0
1,note_on,93,82,0
1,note_on,91,0,120
1,note_on,90,66,0
1,note_on,90,0,120
1,note_on,93,0,0
1,note_on,86,70,0
1,note_on,86,0,120
1,note_on,79,61,120
1,note_on,81,73,0
1,note_on,79,0,120
1,note_on,78,58,0
1,note_on,78,0,120
1,note_on,81,0,0
1,note_on,74,62,0
1,note_on,74,0,120
1,note_on,67,53,120
1,note_on,69,63,0
1,note_on,67,0,120
1,note_on,66,54,0
1,note_on,66,0,120
1,note_on,69,0,0
1,note_on,62,57,0
1,note_on,66,50,120
1,note_on,66,0,120
1,note_on,62,0,0
1,note_on,67,57,0
1,note_on,67,0,420
1,note_on,75,63,0
1,note_on,75,0,60
1,note_on,74,69,0
1,note_on,74,0,240
1,note_on,74,66,0
1,note_on,70,55,0
1,note_on,70,0,120
1,note_on,67,63,0
1,note_on,67,0,120
1,note_on,74,0,0
1,note_on,67,56,0
1,note_on,69,67,0
1,note_on,69,0,240
1,note_on,67,0,0
1,note_on,69,61,0
1,note_on,66,51,0
1,note_on,66,0,120
1,note_on,62,61,0
1,note_on,62,0,60
1,note_on,69,0,0
1,note_on,75,63,0
1,note_on,75,0,60
1,note_on,74,69,0
1,note_on,74,0,240
1,note_on,74,67,0
1,note_on,70,56,0
1,note_on,70,0,120
1,note_on,67,64,0
1,note_on,67,0,120
1,note_on,74,0,0
1,note_on,67,59,0
1,note_on,69,70,0
1,note_on,69,0,240
1,note_on,67,0,0
1,note_on,66,54,0
1,note_on,69,64,0
1,note_on,66,0,120
1,note_on,62,65,0
1,note_on,62,0,120
1,note_on,69,0,0
1,note_on,79,62,0
1,note_on,81,73,0
1,note_on,79,0,120
1,note_on,78,64,0
1,note_on,78,0,120
1,note_on,81,0,0
1,note_on,74,63,0
1,note_on,74,0,120
1,note_on,67,54,120
1,note_on,69,65,0
1,note_on,67,0,120
1,note_on,66,55,0
1,note_on,66,0,120
1,note_on,69,0,0
1,note_on,62,55,0
1,note_on,62,0,120
1,note_on,55,47,120
1,note_on,57,56,0
1,note_on,55,0,120
1,note_on,54,43,0
1,note_on,54,0,120
1,note_on,57,0,0
1,note_on,50,51,0
1,note_on,54,45,120
1,note_on,54,0,120
1,note_on,50,0,0
1,note_on,55,51,0
1,note_on,55,0,420
1,note_on,79,50,0
1,note_on,79,0,60
1,note_on,77,55,0
1,note_on,77,0,120
1,note_on,77,52,120
1,note_on,74,50,120
1,note_on,74,0,120
1,note_on,77,0,0
1,note_on,75,55,0
1,note_on,75,0,240
1,note_on,75,52,0
1,note_on,77,45,0
1,note_on,75,0,120
1,note_on,72,50,0
1,note_on,72,0,120
1,note_on,74,52,0
1,note_on,74,0,240
1,note_on,77,0,0
1,note_on,74,52,0
1,note_on,77,45,0
1,note_on,74,0,120
1,note_on,70,50,0
1,note_on,70,0,120
1,note_on,72,52,0
1,note_on,72,0,240
1,note_on,77,0,0
1,note_on,77,42,0
1,note_on,72,52,0
1,note_on,72,0,120
1,note_on,69,50,0
1,note_on,69,0,120
1,note_on,70,52,0
1,note_on,70,0,240
1,note_on,77,0,0
1,note_on,77,45,0
1,note_on,77,0,120
1,note_on,82,40,0
1,note_on,82,0,120
1,note_on,70,42,0
1,note_on,70,0,120
1,note_on,77,45,120
1,note_on,77,0,120
1,note_on,82,41,0
1,note_on,82,0,120
1,note_on,70,41,0
1,note_on,70,0,120
1,note_on,77,45,120
1,note_on,77,0,120
1,note_on,82,41,0
1,note_on,82,0,120
1,note_on,70,41,0
1,note_on,70,0,120
1,note_on,67,47,300
1,note_on,67,0,60
1,note_on,65,52,0
1,note_on,65,0,120
1,note_on,65,49,120
1,note_on,62,47,120
1,note_on,62,0,120
1,note_on,65,0,0
1,note_on,63,52,0
1,note_on,63,0,240
1,note_on,63,49,0
1,note_on,65,42,0
1,note_on,63,0,120
1,note_on,60,47,0
1,note_on,60,0,120
1,note_on,62,49,0
1,note_on,62,0,240
1,note_on,65,0,0
