Track,Message Type,Note,Velocity,Time
1,note_on,63,36,1680
1,note_on,63,0,120
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,66,39,0
1,note_on,70,39,0
1,note_on,70,0,120
1,note_on,66,0,0
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,63,36,0
1,note_on,63,0,120
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,66,37,0
1,note_on,70,37,0
1,note_on,70,0,120
1,note_on,66,0,0
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,63,36,0
1,note_on,63,0,120
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,70,39,0
1,note_on,66,39,0
1,note_on,66,0,120
1,note_on,70,0,0
1,note_on,66,36,120
1,note_on,63,36,0
1,note_on,63,0,120
1,note_on,66,0,0
1,note_on,66,36,120
1,note_on,63,36,0
1,note_on,63,0,120
1,note_on,66,0,0
1,note_on,66,36,120
1,note_on,70,36,0
1,note_on,70,0,120
1,note_on,66,0,0
1,note_on,65,40,120
1,note_on,69,40,0
1,note_on,69,0,120
1,note_on,65,0,0
1,note_on,60,36,120
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,60,0,0
1,note_on,65,36,120
1,note_on,60,36,0
1,note_on,60,0,120
1,note_on,65,0,0
1,note_on,65,36,120
1,note_on,69,36,0
1,note_on,69,0,120
1,note_on,65,0,0
1,note_on,69,43,120
1,note_on,65,43,0
1,note_on,65,0,720
1,note_on,69,0,0
1,note_on,68,36,0
1,note_on,68,0,120
1,note_on,70,39,0
1,note_on,70,0,120
1,note_on,71,43,0
1,note_on,75,43,0
1,note_on,75,0,120
1,note_on,71,0,0
1,note_on,70,40,0
1,note_on,70,0,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,70,40,0
1,note_on,70,0,120
1,note_on,75,43,0
1,note_on,71,43,0
1,note_on,71,0,120
1,note_on,75,0,0
1,note_on,70,40,0
1,note_on,70,0,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,70,40,0
1,note_on,70,0,120
1,note_on,71,43,0
1,note_on,75,43,0
1,note_on,75,0,120
1,note_on,71,0,0
1,note_on,71,40,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,71,0,0
1,note_on,68,40,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,68,0,0
1,note_on,75,40,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,75,0,0
1,note_on,70,43,120
1,note_on,74,43,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,70,40,120
1,note_on,65,40,0
1,note_on,65,0,120
1,note_on,70,0,0
1,note_on,70,40,120
1,note_on,65,40,0
1,note_on,65,0,120
1,note_on,70,0,0
1,note_on,74,40,120
1,note_on,70,40,0
1,note_on,70,0,120
1,note_on,74,0,0
1,note_on,70,46,120
1,note_on,74,46,0
1,note_on,74,0,360
1,note_on,70,0,0
1,note_on,78,74,360
1,note_on,78,0,120
1,note_on,80,74,0
1,note_on,80,0,120
1,note_on,82,86,0
1,note_on,85,86,0
1,note_on,85,0,120
1,note_on,82,0,0
1,note_on,80,73,0
1,note_on,80,0,120
1,note_on,78,73,0
1,note_on,78,0,120
1,note_on,80,73,0
1,note_on,80,0,120
1,note_on,85,79,0
1,note_on,82,79,0
1,note_on,82,0,220
1,note_on,85,0,0
1,note_on,73,73,20
1,note_on,73,0,120
1,note_on,75,73,0
1,note_on,75,0,120
1,note_on,77,85,0
1,note_on,80,85,0
1,note_on,80,0,120
1,note_on,77,0,0
1,note_on,75,73,0
1,note_on,75,0,120
1,note_on,73,71,0
1,note_on,73,0,120
1,note_on,75,71,0
1,note_on,75,0,120
1,note_on,77,80,0
1,note_on,80,80,0
1,note_on,80,0,220
1,note_on,77,0,0
1,note_on,71,73,20
1,note_on,71,0,120
1,note_on,73,73,0
1,note_on,73,0,120
1,note_on,78,86,0
1,note_on,75,86,0
1,note_on,75,0,120
1,note_on,78,0,0
1,note_on,73,71,0
1,note_on,73,0,120
1,note_on,71,71,0
1,note_on,71,0,120
1,note_on,73,71,0
1,note_on,73,0,120
1,note_on,78,80,0
1,note_on,75,80,0
1,note_on,75,0,220
1,note_on,78,0,0
1,note_on,66,74,20
1,note_on,66,0,120
1,note_on,68,74,0
1,note_on,68,0,120
1,note_on,73,89,0
1,note_on,70,89,0
1,note_on,70,0,120
1,note_on,73,0,0
1,note_on,68,71,0
1,note_on,68,0,120
1,note_on,66,71,0
1,note_on,66,0,120
1,note_on,68,71,0
1,note_on,68,0,120
1,note_on,73,79,0
1,note_on,70,79,0
1,note_on,70,0,220
1,note_on,73,0,0
1,note_on,53,69,20
1,note_on,53,0,120
1,note_on,54,69,0
1,note_on,54,0,120
1,note_on,56,79,0
1,note_on,56,0,120
1,note_on,54,67,0
1,note_on,54,0,120
1,note_on,53,67,0
1,note_on,53,0,120
1,note_on,54,73,120
1,note_on,54,0,120
1,note_on,53,63,0
1,note_on,53,0,120
1,note_on,51,63,0
1,note_on,51,0,120
1,note_on,53,69,120
1,note_on,53,0,120
1,note_on,51,61,0
1,note_on,51,0,120
1,note_on,49,61,0
1,note_on,49,0,120
1,note_on,51,66,120
1,note_on,51,0,120
1,note_on,49,59,0
1,note_on,49,0,120
1,note_on,48,59,0
1,note_on,48,0,120
1,note_on,51,45,1080
1,note_on,51,0,120
1,note_on,49,40,0
1,note_on,49,0,120
1,note_on,47,40,0
1,note_on,47,0,120
1,note_on,46,73,600
1,note_on,46,0,120
1,note_on,53,67,0
1,note_on,53,0,120
1,note_on,58,67,0
1,note_on,58,0,90
1,note_on,58,67,30
1,note_on,58,0,120
1,note_on,65,72,0
1,note_on,65,0,120
1,note_on,70,74,0
1,note_on,70,0,90
1,note_on,70,78,30
1,note_on,70,0,120
1,note_on,77,81,0
1,note_on,77,0,90
1,note_on,77,85,30
1,note_on,70,85,0
1,note_on,82,85,0
1,note_on,82,0,240
1,note_on,70,0,0
1,note_on,77,0,0
1,note_on,47,36,720
1,note_on,50,36,0
1,note_on,53,36,0
1,note_on,53,0,1200
1,note_on,50,0,0
1,note_on,47,0,0
1,note_on,50,42,480
1,note_on,53,42,0
1,note_on,59,51,0
1,note_on,59,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,46,120
1,note_on,53,46,0
1,note_on,59,55,0
1,note_on,59,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,42,120
1,note_on,53,42,0
1,note_on,58,51,0
1,note_on,58,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,42,120
1,note_on,53,42,0
1,note_on,58,51,0
1,note_on,58,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,46,120
1,note_on,53,46,0
1,note_on,57,55,0
1,note_on,57,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,49,120
1,note_on,53,49,0
1,note_on,57,59,0
1,note_on,57,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,48,120
1,note_on,53,48,0
1,note_on,56,57,0
1,note_on,56,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,46,120
1,note_on,53,46,0
1,note_on,56,55,0
1,note_on,56,0,120
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,50,41,360
1,note_on,53,41,0
1,note_on,56,41,0
1,note_on,56,0,1200
1,note_on,53,0,0
1,note_on,50,0,0
1,note_on,53,35,480
1,note_on,56,35,0
1,note_on,62,59,0
1,note_on,62,0,120
1,note_on,56,0,0
1,note_on,53,0,0
1,note_on,53,36,120
1,note_on,56,36,0
1,note_on,62,60,0
1,note_on,62,0,120
1,note_on,56,0,0
1,note_on,53,0,0
1,note_on,53,35,120
1,note_on,56,35,0
