Track,Message Type,Note,Velocity,Time
1,note_on,72,40,960
1,note_on,72,0,240
1,note_on,74,37,0
1,note_on,74,0,240
1,note_on,65,34,0
1,note_on,76,45,0
1,note_on,76,0,240
1,note_on,72,38,0
1,note_on,72,0,240
1,note_on,76,38,0
1,note_on,65,0,240
1,note_on,67,34,0
1,note_on,76,0,120
1,note_on,74,34,0
1,note_on,74,0,60
1,note_on,76,34,0
1,note_on,76,0,60
1,note_on,74,43,0
1,note_on,74,0,240
1,note_on,71,38,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,64,34,0
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,74,49,360
1,note_on,64,0,240
1,note_on,65,34,0
1,note_on,74,0,240
1,note_on,72,40,0
1,note_on,72,0,240
1,note_on,69,37,0
1,note_on,69,0,240
1,note_on,65,0,0
1,note_on,62,34,0
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,69,38,0
1,note_on,69,0,240
1,note_on,72,38,0
1,note_on,72,0,240
1,note_on,62,0,0
1,note_on,71,45,0
1,note_on,60,34,0
1,note_on,71,0,240
1,note_on,67,43,0
1,note_on,67,0,240
1,note_on,71,38,0
1,note_on,71,0,240
1,note_on,60,0,0
1,note_on,59,34,0
1,note_on,69,40,0
1,note_on,69,0,120
1,note_on,69,46,360
1,note_on,59,0,240
1,note_on,60,34,0
1,note_on,69,0,240
1,note_on,67,40,0
1,note_on,67,0,240
1,note_on,64,37,0
1,note_on,64,0,240
1,note_on,60,0,0
1,note_on,59,34,0
1,note_on,67,45,0
1,note_on,67,0,240
1,note_on,62,38,0
1,note_on,62,0,240
1,note_on,67,38,0
1,note_on,59,0,240
1,note_on,57,34,0
1,note_on,67,0,120
1,note_on,64,34,0
1,note_on,64,0,60
1,note_on,66,34,0
1,note_on,66,0,60
1,note_on,64,43,0
1,note_on,64,0,240
1,note_on,62,38,0
1,note_on,62,0,240
1,note_on,57,0,0
1,note_on,59,30,0
1,note_on,67,40,0
1,note_on,67,0,240
1,note_on,62,33,0
1,note_on,62,0,240
1,note_on,67,32,0
1,note_on,59,0,240
1,note_on,57,28,0
1,note_on,67,0,120
1,note_on,64,27,0
1,note_on,64,0,60
1,note_on,66,27,0
1,note_on,66,0,60
1,note_on,64,34,0
1,note_on,64,0,240
1,note_on,62,29,0
1,note_on,62,0,240
1,note_on,57,0,0
1,note_on,59,25,0
1,note_on,67,30,0
1,note_on,67,0,120
1,note_on,59,0,0
1,note_on,59,24,360
1,note_on,67,29,0
1,note_on,67,0,960
1,note_on,59,0,0
1,note_on,72,40,960
1,note_on,72,0,240
1,note_on,74,37,0
1,note_on,74,0,240
1,note_on,65,34,0
1,note_on,76,45,0
1,note_on,76,0,240
1,note_on,72,38,0
1,note_on,72,0,240
1,note_on,76,38,0
1,note_on,65,0,240
1,note_on,67,34,0
1,note_on,76,0,120
1,note_on,74,34,0
1,note_on,74,0,60
1,note_on,76,34,0
1,note_on,76,0,60
1,note_on,74,43,0
1,note_on,74,0,240
1,note_on,71,38,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,64,34,0
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,74,49,360
1,note_on,64,0,240
1,note_on,65,34,0
1,note_on,74,0,240
1,note_on,72,40,0
1,note_on,72,0,240
1,note_on,69,37,0
1,note_on,69,0,240
1,note_on,65,0,0
1,note_on,62,34,0
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,69,38,0
1,note_on,69,0,240
1,note_on,72,38,0
1,note_on,72,0,240
1,note_on,62,0,0
1,note_on,71,45,0
1,note_on,60,34,0
1,note_on,71,0,240
1,note_on,67,43,0
1,note_on,67,0,240
1,note_on,71,38,0
1,note_on,71,0,240
1,note_on,60,0,0
1,note_on,59,34,0
1,note_on,69,40,0
1,note_on,69,0,120
1,note_on,69,46,360
1,note_on,59,0,240
1,note_on,60,34,0
1,note_on,69,0,240
1,note_on,67,40,0
1,note_on,67,0,240
1,note_on,64,37,0
1,note_on,64,0,240
1,note_on,60,0,0
1,note_on,59,34,0
1,note_on,67,45,0
1,note_on,67,0,240
1,note_on,62,38,0
1,note_on,62,0,240
1,note_on,67,38,0
1,note_on,59,0,240
