Track,Message Type,Note,Velocity,Time
1,note_on,71,39,1440
1,note_on,71,0,480
1,note_on,64,42,0
1,note_on,66,36,360
1,note_on,64,0,115
1,note_on,66,0,5
1,note_on,67,43,0
1,note_on,67,0,360
1,note_on,69,37,0
1,note_on,66,29,0
1,note_on,66,0,120
1,note_on,69,0,0
1,note_on,67,36,0
1,note_on,71,45,0
1,note_on,71,0,360
1,note_on,76,37,0
1,note_on,76,0,120
1,note_on,67,0,0
1,note_on,72,36,0
1,note_on,79,45,0
1,note_on,79,0,360
1,note_on,78,37,0
1,note_on,78,0,120
1,note_on,72,0,0
1,note_on,66,40,0
1,note_on,74,50,0
1,note_on,74,0,360
1,note_on,72,43,0
1,note_on,72,0,120
1,note_on,66,0,0
1,note_on,76,54,0
1,note_on,69,43,0
1,note_on,76,0,360
1,note_on,74,46,0
1,note_on,74,0,120
1,note_on,69,0,0
1,note_on,71,40,0
1,note_on,63,32,0
1,note_on,71,0,720
1,note_on,72,36,0
1,note_on,72,0,240
1,note_on,63,0,0
1,note_on,69,43,0
1,note_on,65,34,0
1,note_on,69,0,360
1,note_on,71,36,0
1,note_on,71,0,120
1,note_on,65,0,0
1,note_on,64,36,0
1,note_on,67,45,0
1,note_on,67,0,360
1,note_on,69,39,0
1,note_on,69,0,120
1,note_on,64,0,0
1,note_on,62,36,0
1,note_on,66,45,0
1,note_on,66,0,360
1,note_on,67,36,0
1,note_on,67,0,120
1,note_on,62,0,0
1,note_on,64,43,0
1,note_on,60,34,0
1,note_on,64,0,360
1,note_on,66,35,0
1,note_on,66,0,120
1,note_on,60,0,0
1,note_on,63,41,0
1,note_on,59,32,0
1,note_on,59,0,480
1,note_on,63,0,0
1,note_on,64,36,0
1,note_on,59,28,0
1,note_on,55,28,0
1,note_on,55,0,720
1,note_on,59,0,0
1,note_on,64,0,0
1,note_on,63,31,240
1,note_on,71,39,0
1,note_on,60,38,450
1,note_on,71,0,30
1,note_on,63,0,0
1,note_on,64,42,0
1,note_on,64,0,360
1,note_on,66,36,0
1,note_on,66,0,120
1,note_on,60,0,0
1,note_on,64,36,0
1,note_on,67,43,0
1,note_on,67,0,360
1,note_on,64,0,0
1,note_on,69,37,0
1,note_on,66,29,0
1,note_on,66,0,120
1,note_on,69,0,0
1,note_on,67,36,0
1,note_on,71,45,0
1,note_on,71,0,360
1,note_on,76,37,0
1,note_on,76,0,120
1,note_on,67,0,0
1,note_on,69,36,0
1,note_on,79,45,0
1,note_on,79,0,360
