Track,Message Type,Note,Velocity,Time
1,note_on,78,15,480
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,15,24
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,16,24
1,note_on,85,24,0
1,note_on,82,16,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,15,24
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,15,24
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,15,504
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,15,24
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,16,24
1,note_on,85,24,0
1,note_on,82,16,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,14,24
1,note_on,85,21,0
1,note_on,82,14,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,14,24
1,note_on,85,21,0
1,note_on,82,14,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,15,504
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,15,24
1,note_on,85,22,0
1,note_on,82,15,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,16,24
1,note_on,85,24,0
1,note_on,82,16,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,14,24
1,note_on,85,21,0
1,note_on,82,14,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,14,24
1,note_on,87,21,0
1,note_on,82,14,0
1,note_on,82,0,456
1,note_on,87,0,0
1,note_on,78,0,0
1,note_on,78,16,504
1,note_on,82,16,0
1,note_on,87,24,0
1,note_on,87,0,456
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,78,16,24
1,note_on,82,16,0
1,note_on,87,24,0
1,note_on,87,0,456
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,78,16,504
1,note_on,82,16,0
1,note_on,85,26,0
1,note_on,85,0,456
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,73,16,24
1,note_on,82,26,0
1,note_on,78,16,0
1,note_on,78,0,456
1,note_on,82,0,0
1,note_on,73,0,0
1,note_on,71,19,504
1,note_on,75,19,0
1,note_on,78,28,0
1,note_on,78,0,456
1,note_on,75,0,0
1,note_on,71,0,0
1,note_on,71,19,24
1,note_on,75,19,0
1,note_on,78,28,0
1,note_on,78,0,456
1,note_on,75,0,0
1,note_on,71,0,0
1,note_on,71,18,504
1,note_on,75,18,0
1,note_on,80,28,0
1,note_on,80,0,456
1,note_on,75,0,0
1,note_on,71,0,0
1,note_on,71,18,24
1,note_on,75,18,0
1,note_on,80,27,0
1,note_on,80,0,456
1,note_on,75,0,0
1,note_on,71,0,0
1,note_on,73,16,504
1,note_on,78,16,0
1,note_on,82,24,0
1,note_on,82,0,456
1,note_on,78,0,0
1,note_on,73,0,0
1,note_on,73,16,24
1,note_on,78,16,0
1,note_on,82,24,0
1,note_on,82,0,456
1,note_on,78,0,0
1,note_on,73,0,0
1,note_on,73,18,24
1,note_on,78,18,0
1,note_on,82,27,0
1,note_on,82,0,456
1,note_on,78,0,0
1,note_on,73,0,0
1,note_on,73,16,24
1,note_on,78,16,0
1,note_on,82,24,0
1,note_on,82,0,456
1,note_on,78,0,0
1,note_on,73,0,0
1,note_on,73,16,24
1,note_on,78,16,0
1,note_on,82,24,0
1,note_on,82,0,456
1,note_on,78,0,0
1,note_on,73,0,0
1,note_on,78,20,504
1,note_on,85,30,0
1,note_on,82,20,0
1,note_on,82,0,456
1,note_on,85,0,0
1,note_on,78,0,0
1,note_on,78,20,24
1,note_on,82,20,0
1,note_on,85,30,0
1,note_on,85,0,456
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,78,23,24
1,note_on,82,23,0
1,note_on,89,34,0
1,note_on,89,0,456
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,87,32,24
1,note_on,82,21,0
1,note_on,78,21,0
1,note_on,78,0,456
1,note_on,82,0,0
1,note_on,87,0,0
1,note_on,78,21,24
1,note_on,82,21,0
1,note_on,85,32,0
1,note_on,85,0,456
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,78,23,504
1,note_on,87,35,0
1,note_on,82,23,0
1,note_on,82,0,456
1,note_on,87,0,0
1,note_on,78,0,0
1,note_on,78,21,24
1,note_on,82,21,0
1,note_on,85,33,0
1,note_on,85,0,456
1,note_on,82,0,0
1,note_on,78,0,0
1,note_on,73,23,504
1,note_on,82,34,0
1,note_on,78,29,0
1,note_on,78,0,456
1,note_on,82,0,0
1,note_on,73,0,0
1,note_on,70,21,24
1,note_on,73,21,0
1,note_on,78,32,0
1,note_on,78,0,456
1,note_on,73,0,0
1,note_on,70,0,0
1,note_on,71,20,504
1,note_on,75,20,0
1,note_on,78,30,0
1,note_on,78,0,456
1,note_on,75,0,0
1,note_on,71,0,0
1,note_on,71,20,24
1,note_on,75,20,0
1,note_on,78,30,0
1,note_on,78,0,456
1,note_on,75,0,0
1,note_on,71,0,0
1,note_on,71,23,24
1,note_on,75,23,0
1,note_on,82,35,0
