Track,Message Type,Note,Velocity,Time
1,note_on,81,43,4
1,note_on,81,0,60
1,note_on,82,38,0
1,note_on,82,0,60
1,note_on,81,43,0
1,note_on,81,0,60
1,note_on,82,39,0
1,note_on,82,0,60
1,note_on,81,49,0
1,note_on,81,0,120
1,note_on,86,44,1080
1,note_on,86,0,60
1,note_on,88,40,0
1,note_on,88,0,60
1,note_on,86,44,0
1,note_on,86,0,60
1,note_on,88,42,0
1,note_on,88,0,60
1,note_on,86,50,0
1,note_on,86,0,120
1,note_on,81,49,1080
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,49,0
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,52,0
1,note_on,81,0,120
1,note_on,77,48,360
1,note_on,77,0,60
1,note_on,79,45,0
1,note_on,79,0,60
1,note_on,77,48,0
1,note_on,77,0,60
1,note_on,79,45,0
1,note_on,79,0,60
1,note_on,77,56,0
1,note_on,77,0,120
1,note_on,81,49,360
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,49,0
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,54,0
1,note_on,81,0,120
1,note_on,84,48,1080
1,note_on,84,0,60
1,note_on,86,45,0
1,note_on,86,0,60
1,note_on,84,48,0
1,note_on,84,0,60
1,note_on,86,45,0
1,note_on,86,0,60
1,note_on,84,68,0
1,note_on,84,0,120
1,note_on,88,48,1080
1,note_on,88,0,60
1,note_on,89,44,0
1,note_on,89,0,60
1,note_on,88,48,0
1,note_on,88,0,60
1,note_on,89,45,0
1,note_on,89,0,60
1,note_on,88,67,0
1,note_on,88,0,120
1,note_on,80,54,960
1,note_on,80,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,72,49,120
1,note_on,68,49,0
1,note_on,68,0,240
1,note_on,72,0,0
1,note_on,80,54,120
1,note_on,80,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,68,50,120
1,note_on,72,50,0
1,note_on,72,0,240
1,note_on,68,0,0
1,note_on,81,54,120
1,note_on,81,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,69,56,120
1,note_on,69,0,240
1,note_on,60,55,240
1,note_on,69,55,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,69,55,0
1,note_on,60,55,0
1,note_on,60,0,240
1,note_on,69,0,0
1,note_on,81,43,240
1,note_on,81,0,60
1,note_on,82,38,0
1,note_on,82,0,60
1,note_on,81,43,0
1,note_on,81,0,60
1,note_on,82,39,0
1,note_on,82,0,60
1,note_on,81,49,0
1,note_on,81,0,120
1,note_on,86,44,1080
1,note_on,86,0,60
1,note_on,88,40,0
1,note_on,88,0,60
1,note_on,86,44,0
1,note_on,86,0,60
1,note_on,88,42,0
1,note_on,88,0,60
1,note_on,86,50,0
1,note_on,86,0,120
1,note_on,81,49,1080
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,49,0
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,52,0
1,note_on,81,0,120
1,note_on,77,48,360
1,note_on,77,0,60
1,note_on,79,45,0
1,note_on,79,0,60
1,note_on,77,48,0
1,note_on,77,0,60
1,note_on,79,45,0
1,note_on,79,0,60
1,note_on,77,56,0
1,note_on,77,0,120
1,note_on,81,49,360
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,49,0
1,note_on,81,0,60
1,note_on,82,44,0
1,note_on,82,0,60
1,note_on,81,54,0
1,note_on,81,0,120
1,note_on,84,48,1080
1,note_on,84,0,60
1,note_on,86,45,0
1,note_on,86,0,60
1,note_on,84,48,0
1,note_on,84,0,60
1,note_on,86,45,0
1,note_on,86,0,60
1,note_on,84,68,0
1,note_on,84,0,120
1,note_on,88,48,1080
1,note_on,88,0,60
1,note_on,89,44,0
1,note_on,89,0,60
1,note_on,88,48,0
1,note_on,88,0,60
1,note_on,89,45,0
1,note_on,89,0,60
1,note_on,88,67,0
1,note_on,88,0,120
1,note_on,80,54,960
1,note_on,80,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,68,49,120
1,note_on,72,49,0
1,note_on,72,0,240
1,note_on,68,0,0
1,note_on,80,54,120
1,note_on,80,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,68,50,120
1,note_on,72,50,0
1,note_on,72,0,240
1,note_on,68,0,0
1,note_on,81,54,120
1,note_on,81,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,69,56,120
1,note_on,69,0,240
1,note_on,60,57,240
1,note_on,69,57,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,60,57,0
1,note_on,69,57,0
1,note_on,69,0,240
1,note_on,60,0,0
1,note_on,52,40,840
1,note_on,62,40,0
1,note_on,62,0,120
1,note_on,52,0,0
1,note_on,64,43,0
1,note_on,64,0,120
1,note_on,64,49,120
1,note_on,62,49,0
1,note_on,52,49,0
1,note_on,52,0,720
1,note_on,62,0,0
1,note_on,64,0,0
1,note_on,62,40,360
1,note_on,52,40,0
1,note_on,52,0,120
1,note_on,62,0,0
1,note_on,64,45,0
1,note_on,64,0,120
1,note_on,62,48,120
1,note_on,64,48,0
1,note_on,52,48,0
1,note_on,52,0,720
1,note_on,64,0,0
1,note_on,62,0,0
1,note_on,64,40,480
1,note_on,62,40,0
1,note_on,52,40,0
1,note_on,52,0,120
1,note_on,62,0,0
1,note_on,64,0,0
1,note_on,64,40,600
1,note_on,62,40,0
1,note_on,52,40,0
1,note_on,52,0,120
1,note_on,62,0,0
1,note_on,64,0,0
1,note_on,61,48,480
1,note_on,52,48,0
1,note_on,52,0,120
1,note_on,61,0,0
1,note_on,64,48,0
1,note_on,64,0,120
1,note_on,52,48,120
1,note_on,61,48,0
1,note_on,64,48,0
1,note_on,64,0,720
1,note_on,61,0,0
1,note_on,52,0,0
1,note_on,69,76,480
1,note_on,69,0,60
1,note_on,71,69,0
1,note_on,71,0,60
1,note_on,69,69,0
1,note_on,69,0,60
1,note_on,71,69,0
1,note_on,71,0,60
1,note_on,68,68,0
1,note_on,68,0,120
1,note_on,67,73,360
1,note_on,67,0,60
1,note_on,69,67,0
1,note_on,69,0,60
1,note_on,67,67,0
1,note_on,67,0,60
1,note_on,69,67,0
1,note_on,69,0,60
1,note_on,66,67,0
1,note_on,66,0,120
1,note_on,65,70,360
1,note_on,65,0,60
1,note_on,67,62,0
1,note_on,67,0,60
1,note_on,65,62,0
1,note_on,65,0,60
1,note_on,67,62,0
1,note_on,67,0,60
1,note_on,64,62,0
1,note_on,64,0,120
1,note_on,62,68,360
1,note_on,62,0,60
1,note_on,64,60,0
1,note_on,64,0,60
1,note_on,62,60,0
1,note_on,62,0,60
1,note_on,64,60,0
1,note_on,64,0,60
1,note_on,61,60,0
1,note_on,61,0,120
1,note_on,60,64,360
1,note_on,60,0,60
1,note_on,64,57,0
1,note_on,64,0,60
1,note_on,60,58,0
1,note_on,60,0,60
1,note_on,64,58,0
1,note_on,64,0,60
1,note_on,59,58,0
1,note_on,59,0,120
1,note_on,58,62,360
1,note_on,58,0,60
1,note_on,64,55,0
1,note_on,64,0,60
1,note_on,58,54,0
1,note_on,58,0,60
1,note_on,64,54,0
1,note_on,64,0,60
