Track,Message Type,Note,Velocity,Time
1,note_on,59,57,4
1,note_on,59,0,480
1,note_on,64,60,0
1,note_on,64,0,480
1,note_on,64,61,0
1,note_on,64,0,480
1,note_on,63,57,0
1,note_on,63,0,480
1,note_on,61,55,0
1,note_on,61,0,240
1,note_on,59,49,0
1,note_on,59,0,240
1,note_on,61,53,0
1,note_on,57,45,0
1,note_on,57,0,960
1,note_on,61,0,0
1,note_on,56,44,0
1,note_on,64,52,0
1,note_on,64,0,480
1,note_on,56,0,0
1,note_on,61,45,480
1,note_on,66,54,0
1,note_on,66,0,320
1,note_on,61,0,0
1,note_on,61,43,160
1,note_on,66,51,0
1,note_on,66,0,320
1,note_on,61,0,0
1,note_on,59,41,160
1,note_on,66,49,0
1,note_on,66,0,320
1,note_on,59,0,0
1,note_on,66,48,160
1,note_on,59,40,0
1,note_on,59,0,320
1,note_on,66,0,0
1,note_on,68,52,160
1,note_on,59,44,0
1,note_on,59,0,960
1,note_on,68,0,0
1,note_on,68,64,480
1,note_on,68,0,480
1,note_on,73,71,0
1,note_on,73,0,480
1,note_on,73,69,0
1,note_on,73,0,480
1,note_on,71,69,0
1,note_on,71,0,480
1,note_on,69,69,0
1,note_on,69,0,240
1,note_on,68,63,0
1,note_on,68,0,240
1,note_on,61,69,0
1,note_on,69,69,0
1,note_on,61,0,480
1,note_on,63,60,0
1,note_on,63,0,480
1,note_on,69,0,0
1,note_on,64,53,0
1,note_on,68,62,0
1,note_on,68,0,960
1,note_on,64,0,0
1,note_on,61,56,0
1,note_on,66,66,0
1,note_on,66,0,480
1,note_on,61,0,0
1,note_on,57,47,0
1,note_on,66,56,0
1,note_on,66,0,480
1,note_on,57,0,0
1,note_on,66,56,0
1,note_on,59,47,0
1,note_on,57,47,0
1,note_on,66,0,720
1,note_on,64,51,0
1,note_on,64,0,240
1,note_on,57,0,0
1,note_on,59,0,0
1,note_on,64,45,0
1,note_on,59,37,0
1,note_on,56,37,0
1,note_on,56,0,960
1,note_on,59,0,0
1,note_on,64,0,0
1,note_on,71,52,480
1,note_on,68,31,480
1,note_on,71,0,240
1,note_on,73,52,0
1,note_on,73,0,240
1,note_on,68,0,0
1,note_on,75,49,0
1,note_on,66,41,0
1,note_on,66,0,470
1,note_on,75,0,0
1,note_on,75,53,10
1,note_on,64,40,0
1,note_on,75,0,480
1,note_on,71,49,0
1,note_on,71,0,480
1,note_on,68,51,0
1,note_on,68,0,480
1,note_on,70,49,0
1,note_on,70,0,480
1,note_on,64,0,0
1,note_on,63,39,0
1,note_on,71,47,0
1,note_on,71,0,450
1,note_on,63,0,0
1,note_on,71,58,30
1,note_on,68,36,480
1,note_on,71,0,240
1,note_on,73,52,0
1,note_on,73,0,240
1,note_on,68,0,0
1,note_on,66,46,0
