Track,Message Type,Note,Velocity,Time
1,note_on,64,50,2880
1,note_on,64,0,480
1,note_on,66,49,0
1,note_on,66,0,120
1,note_on,68,49,120
1,note_on,68,0,60
1,note_on,69,53,180
1,note_on,69,0,240
1,note_on,69,56,240
1,note_on,69,0,480
1,note_on,71,58,0
1,note_on,71,0,120
1,note_on,68,50,120
1,note_on,68,0,60
1,note_on,66,48,180
1,note_on,66,0,120
1,note_on,69,39,300
1,note_on,69,0,60
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,64,47,360
1,note_on,64,0,1440
1,note_on,64,43,1200
1,note_on,64,0,120
1,note_on,66,46,120
1,note_on,66,0,60
1,note_on,68,49,180
1,note_on,68,0,60
1,note_on,68,54,180
1,note_on,68,0,240
1,note_on,69,51,0
1,note_on,69,0,240
1,note_on,69,51,240
1,note_on,69,0,60
1,note_on,71,56,180
1,note_on,71,0,60
1,note_on,68,50,180
1,note_on,68,0,60
1,note_on,68,48,180
1,note_on,68,0,240
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,69,39,60
1,note_on,69,0,60
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,64,47,360
1,note_on,64,0,1440
1,note_on,67,37,960
1,note_on,76,44,0
1,note_on,76,0,241
1,note_on,67,0,0
1,note_on,76,48,239
1,note_on,68,40,0
1,note_on,68,0,241
1,note_on,76,0,0
1,note_on,69,44,239
1,note_on,76,52,0
1,note_on,76,0,241
1,note_on,69,0,0
1,note_on,71,45,239
1,note_on,76,54,0
1,note_on,76,0,160
1,note_on,74,44,0
1,note_on,74,0,160
1,note_on,72,44,0
1,note_on,72,0,160
1,note_on,74,48,0
1,note_on,74,0,960
1,note_on,71,0,0
1,note_on,72,44,0
1,note_on,64,37,0
1,note_on,64,0,242
1,note_on,72,0,0
1,note_on,72,48,238
1,note_on,65,40,0
1,note_on,65,0,242
1,note_on,72,0,0
1,note_on,66,44,238
1,note_on,72,52,0
1,note_on,72,0,242
1,note_on,66,0,0
1,note_on,67,45,238
1,note_on,72,54,0
1,note_on,72,0,160
1,note_on,71,44,0
1,note_on,71,0,160
1,note_on,69,44,0
1,note_on,69,0,160
1,note_on,71,48,0
1,note_on,71,0,960
1,note_on,67,0,0
1,note_on,65,45,0
1,note_on,71,54,0
1,note_on,71,0,160
1,note_on,69,44,0
1,note_on,69,0,160
1,note_on,67,44,0
1,note_on,67,0,160
1,note_on,69,48,0
1,note_on,69,0,960
1,note_on,65,0,0
1,note_on,65,59,0
1,note_on,67,43,0
1,note_on,65,0,160
1,note_on,64,48,3
1,note_on,62,48,155
1,note_on,64,0,5
1,note_on,62,0,155
1,note_on,64,52,2
1,note_on,64,0,960
1,note_on,67,0,0
1,note_on,60,51,0
1,note_on,65,61,0
1,note_on,65,0,480
1,note_on,60,0,0
1,note_on,67,61,0
1,note_on,60,51,0
1,note_on,60,0,120
1,note_on,67,0,0
1,note_on,69,57,120
1,note_on,60,48,0
1,note_on,60,0,120
1,note_on,69,0,0
1,note_on,65,66,120
1,note_on,60,56,0
1,note_on,60,0,180
1,note_on,65,0,0
1,note_on,62,48,300
1,note_on,59,40,0
1,note_on,59,0,180
1,note_on,62,0,0
1,note_on,64,41,300
1,note_on,59,34,0
1,note_on,59,0,960
1,note_on,64,0,0
1,note_on,64,50,2880
1,note_on,64,0,480
1,note_on,66,48,0
1,note_on,66,0,120
1,note_on,68,46,120
1,note_on,68,0,60
1,note_on,69,53,180
1,note_on,69,0,240
1,note_on,69,54,240
1,note_on,69,0,480
1,note_on,71,58,0
1,note_on,71,0,120
1,note_on,68,53,120
1,note_on,68,0,60
1,note_on,66,48,180
1,note_on,66,0,240
1,note_on,69,39,180
1,note_on,69,0,60
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,64,47,360
1,note_on,64,0,1440
1,note_on,64,43,1200
1,note_on,64,0,60
1,note_on,66,48,180
1,note_on,66,0,60
1,note_on,68,44,180
1,note_on,68,0,60
1,note_on,68,54,180
1,note_on,68,0,240
1,note_on,69,50,0
1,note_on,69,0,240
1,note_on,69,52,240
1,note_on,69,0,60
1,note_on,71,56,180
1,note_on,71,0,60
1,note_on,68,50,180
1,note_on,68,0,60
1,note_on,68,48,180
1,note_on,68,0,240
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,69,39,60
1,note_on,69,0,60
1,note_on,66,50,0
1,note_on,66,0,120
1,note_on,64,47,360
1,note_on,64,0,1440
1,note_on,67,37,960
1,note_on,76,44,0
1,note_on,76,0,242
1,note_on,67,0,0
1,note_on,68,40,238
1,note_on,76,48,0
1,note_on,76,0,242
1,note_on,68,0,0
1,note_on,69,44,238
1,note_on,76,52,0
1,note_on,76,0,242
1,note_on,69,0,0
1,note_on,76,54,238
1,note_on,71,45,0
1,note_on,76,0,160
1,note_on,74,44,0
1,note_on,74,0,160
1,note_on,72,44,0
1,note_on,72,0,160
1,note_on,74,48,0
1,note_on,74,0,960
1,note_on,71,0,0
1,note_on,64,37,0
1,note_on,72,44,0
1,note_on,72,0,242
1,note_on,64,0,0
1,note_on,72,48,238
1,note_on,65,40,0
1,note_on,65,0,242
1,note_on,72,0,0
1,note_on,72,52,238
1,note_on,66,44,0
1,note_on,66,0,242
1,note_on,72,0,0
1,note_on,72,54,238
1,note_on,67,45,0
1,note_on,72,0,160
1,note_on,71,44,0
1,note_on,71,0,160
1,note_on,69,44,0
1,note_on,69,0,160
1,note_on,71,48,0
1,note_on,71,0,960
1,note_on,67,0,0
1,note_on,65,45,0
1,note_on,71,54,0
1,note_on,71,0,160
1,note_on,69,44,0
1,note_on,69,0,160
1,note_on,67,44,0
1,note_on,67,0,160
1,note_on,69,48,0
1,note_on,69,0,960
1,note_on,65,0,0
1,note_on,65,59,0
1,note_on,67,44,0
1,note_on,65,0,160
1,note_on,64,48,3
1,note_on,62,48,155
1,note_on,64,0,5
1,note_on,62,0,155
1,note_on,64,52,2
1,note_on,64,0,960
1,note_on,67,0,0
1,note_on,60,51,0
1,note_on,65,61,0
1,note_on,65,0,480
1,note_on,60,0,0
1,note_on,60,51,0
1,note_on,67,61,0
1,note_on,67,0,120
1,note_on,60,0,0
1,note_on,60,48,120
1,note_on,69,57,0
1,note_on,69,0,120
1,note_on,60,0,0
1,note_on,60,56,120
1,note_on,65,66,0
1,note_on,65,0,180
1,note_on,60,0,0
1,note_on,62,48,300
1,note_on,59,40,0
1,note_on,59,0,180
1,note_on,62,0,0
1,note_on,59,34,300
1,note_on,64,41,0
1,note_on,64,0,960
1,note_on,59,0,0
1,note_on,73,39,480
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,39,0
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,76,47,480
1,note_on,68,39,0
1,note_on,74,39,0
1,note_on,74,0,480
1,note_on,68,0,0
1,note_on,76,0,0
1,note_on,68,39,0
1,note_on,74,39,0
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,73,39,480
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,39,0
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,74,35,480
1,note_on,68,35,0
1,note_on,76,42,0
1,note_on,76,0,480
1,note_on,68,0,0
1,note_on,74,0,0
1,note_on,68,35,0
1,note_on,74,35,0
1,note_on,76,42,0
1,note_on,76,0,480
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,73,39,480
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,76,47,0
1,note_on,73,39,0
1,note_on,73,0,480
1,note_on,76,0,0
1,note_on,73,39,480
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,39,0
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,40,480
1,note_on,76,49,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,40,0
1,note_on,76,49,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,76,42,480
1,note_on,73,35,0
1,note_on,73,0,480
1,note_on,76,0,0
1,note_on,73,35,0
1,note_on,76,42,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,39,480
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,39,0
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,76,47,480
1,note_on,68,39,0
1,note_on,74,39,0
1,note_on,74,0,480
1,note_on,68,0,0
1,note_on,76,0,0
1,note_on,68,39,0
1,note_on,74,39,0
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,73,39,480
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,39,0
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,74,35,480
1,note_on,68,35,0
1,note_on,76,42,0
1,note_on,76,0,480
1,note_on,68,0,0
1,note_on,74,0,0
1,note_on,68,35,0
1,note_on,74,35,0
1,note_on,76,42,0
1,note_on,76,0,480
1,note_on,74,0,0
1,note_on,68,0,0
1,note_on,73,39,480
1,note_on,76,47,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,76,47,0
1,note_on,73,39,0
1,note_on,73,0,480
1,note_on,76,0,0
1,note_on,73,42,480
1,note_on,76,51,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,42,0
1,note_on,76,51,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,46,480
1,note_on,76,56,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,73,46,0
1,note_on,76,56,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,76,61,480
1,note_on,73,50,0
1,note_on,73,0,480
1,note_on,76,0,0
1,note_on,73,50,0
1,note_on,76,61,0
1,note_on,76,0,480
1,note_on,73,0,0
1,note_on,64,45,2880
1,note_on,64,0,480
1,note_on,66,42,0
1,note_on,66,0,120
1,note_on,68,39,120
1,note_on,68,0,60
1,note_on,69,47,180
1,note_on,69,0,240
1,note_on,69,49,240
1,note_on,69,0,480
1,note_on,71,52,0
1,note_on,71,0,120
1,note_on,68,45,120
1,note_on,68,0,60
1,note_on,66,43,180
1,note_on,66,0,240
1,note_on,69,35,180
1,note_on,69,0,60
1,note_on,66,45,0
1,note_on,66,0,120
1,note_on,64,42,360
1,note_on,64,0,1440
1,note_on,64,38,1200
1,note_on,64,0,60
