Track,Message Type,Note,Velocity,Time
1,note_on,62,60,1200
1,note_on,71,60,0
1,note_on,71,0,240
1,note_on,69,64,0
1,note_on,69,0,360
1,note_on,67,51,0
1,note_on,67,0,120
1,note_on,66,49,0
1,note_on,66,0,240
1,note_on,66,53,0
1,note_on,66,0,480
1,note_on,62,0,0
1,note_on,62,60,0
1,note_on,71,60,0
1,note_on,71,0,120
1,note_on,69,52,0
1,note_on,69,0,60
1,note_on,71,52,0
1,note_on,71,0,60
1,note_on,69,62,0
1,note_on,69,0,360
1,note_on,67,51,0
1,note_on,67,0,120
1,note_on,66,55,0
1,note_on,66,0,240
1,note_on,66,53,0
1,note_on,66,0,480
1,note_on,62,0,0
1,note_on,62,49,0
1,note_on,62,0,120
1,note_on,64,52,0
1,note_on,64,0,120
1,note_on,59,55,0
1,note_on,66,55,0
1,note_on,66,0,720
1,note_on,59,0,0
1,note_on,58,53,0
1,note_on,66,53,0
1,note_on,66,0,360
1,note_on,58,0,0
1,note_on,61,51,0
1,note_on,70,51,0
1,note_on,70,0,120
1,note_on,61,0,0
1,note_on,64,54,0
1,note_on,73,54,0
1,note_on,73,0,120
1,note_on,64,0,0
1,note_on,66,56,0
1,note_on,74,56,0
1,note_on,74,0,120
1,note_on,66,0,0
1,note_on,64,52,0
1,note_on,73,52,0
1,note_on,73,0,240
1,note_on,64,0,0
1,note_on,62,45,0
1,note_on,71,45,0
1,note_on,71,0,720
1,note_on,62,0,0
1,note_on,66,60,240
1,note_on,74,60,0
1,note_on,74,0,240
1,note_on,73,71,0
1,note_on,73,0,360
1,note_on,71,55,0
1,note_on,71,0,120
1,note_on,69,57,0
1,note_on,69,0,240
1,note_on,69,59,0
1,note_on,69,0,480
1,note_on,66,0,0
1,note_on,66,60,0
1,note_on,74,60,0
1,note_on,74,0,120
1,note_on,73,59,0
1,note_on,73,0,60
1,note_on,74,62,0
1,note_on,74,0,60
1,note_on,73,67,0
1,note_on,73,0,360
1,note_on,71,56,0
1,note_on,71,0,120
1,note_on,69,61,0
1,note_on,69,0,240
1,note_on,69,58,0
1,note_on,69,0,480
1,note_on,66,0,0
1,note_on,66,49,0
1,note_on,66,0,120
1,note_on,67,55,0
1,note_on,67,0,120
1,note_on,62,60,0
1,note_on,69,60,0
1,note_on,69,0,720
1,note_on,62,0,0
1,note_on,61,59,0
1,note_on,69,59,0
1,note_on,69,0,360
1,note_on,61,0,0
1,note_on,64,54,0
1,note_on,73,54,0
1,note_on,73,0,120
1,note_on,64,0,0
1,note_on,67,57,0
1,note_on,76,57,0
1,note_on,76,0,120
1,note_on,67,0,0
1,note_on,69,60,0
1,note_on,78,60,0
1,note_on,78,0,120
1,note_on,69,0,0
1,note_on,67,56,0
1,note_on,76,56,0
1,note_on,76,0,240
1,note_on,67,0,0
1,note_on,66,48,0
1,note_on,74,48,0
1,note_on,74,0,720
1,note_on,66,0,0
1,note_on,78,63,240
1,note_on,78,0,240
1,note_on,67,40,0
1,note_on,70,46,0
1,note_on,76,66,0
1,note_on,76,0,360
1,note_on,74,58,0
1,note_on,74,0,120
1,note_on,73,63,0
1,note_on,73,0,240
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,65,40,0
1,note_on,68,45,0
1,note_on,74,67,0
1,note_on,74,0,360
1,note_on,71,58,0
1,note_on,71,0,120
1,note_on,74,60,0
1,note_on,74,0,240
1,note_on,68,0,0
1,note_on,65,0,0
1,note_on,66,56,0
1,note_on,70,56,0
1,note_on,73,58,0
1,note_on,73,0,1200
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,78,63,0
1,note_on,78,0,240
1,note_on,67,40,0
1,note_on,70,45,0
1,note_on,77,67,0
1,note_on,77,0,360
1,note_on,76,58,0
1,note_on,76,0,120
1,note_on,74,63,0
1,note_on,74,0,120
1,note_on,73,63,0
1,note_on,73,0,120
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,65,40,0
1,note_on,68,40,0
1,note_on,76,67,0
1,note_on,76,0,360
1,note_on,74,58,0
1,note_on,74,0,120
1,note_on,71,60,0
1,note_on,71,0,120
1,note_on,74,60,0
1,note_on,74,0,120
1,note_on,68,0,0
1,note_on,65,0,0
1,note_on,66,56,0
1,note_on,70,56,0
1,note_on,73,56,0
1,note_on,73,0,1200
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,66,45,0
1,note_on,71,45,0
1,note_on,75,53,0
1,note_on,75,0,120
1,note_on,77,53,0
1,note_on,77,0,120
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,66,47,0
1,note_on,70,47,0
1,note_on,73,56,0
1,note_on,73,0,1200
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,66,45,0
1,note_on,71,45,0
1,note_on,75,53,0
1,note_on,75,0,120
1,note_on,77,53,0
1,note_on,77,0,120
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,66,47,0
1,note_on,70,47,0
1,note_on,73,56,0
1,note_on,73,0,240
1,note_on,78,56,0
1,note_on,78,0,240
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,66,45,0
1,note_on,71,45,0
1,note_on,75,53,0
1,note_on,75,0,120
1,note_on,77,53,0
1,note_on,77,0,120
1,note_on,71,0,0
1,note_on,66,0,0
1,note_on,66,47,0
1,note_on,70,47,0
1,note_on,73,56,0
1,note_on,73,0,240
1,note_on,78,56,0
1,note_on,78,0,240
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,66,45,0
1,note_on,71,45,0
1,note_on,75,53,0
1,note_on,75,0,120
1,note_on,77,53,0
