Track,Message Type,Note,Velocity,Time
1,note_on,62,36,1680
1,note_on,62,0,60
1,note_on,64,36,0
1,note_on,64,0,60
1,note_on,65,36,0
1,note_on,65,0,60
1,note_on,67,36,0
1,note_on,67,0,60
1,note_on,69,38,0
1,note_on,69,0,120
1,note_on,74,34,120
1,note_on,62,34,0
1,note_on,65,34,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,74,0,0
1,note_on,62,34,120
1,note_on,74,34,0
1,note_on,65,34,0
1,note_on,65,0,120
1,note_on,74,0,0
1,note_on,62,0,0
1,note_on,73,34,120
1,note_on,62,34,0
1,note_on,65,34,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,73,0,0
1,note_on,73,36,120
1,note_on,62,36,0
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,73,0,0
1,note_on,65,34,120
1,note_on,62,34,0
1,note_on,72,34,0
1,note_on,72,0,120
1,note_on,62,0,0
1,note_on,65,0,0
1,note_on,72,34,120
1,note_on,62,34,0
1,note_on,65,34,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,72,0,0
1,note_on,62,34,120
1,note_on,71,34,0
1,note_on,65,34,0
1,note_on,65,0,120
1,note_on,71,0,0
1,note_on,62,0,0
1,note_on,71,36,120
1,note_on,62,36,0
1,note_on,65,36,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,71,0,0
1,note_on,70,33,120
1,note_on,62,33,0
1,note_on,65,33,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,70,0,0
1,note_on,65,33,120
1,note_on,62,33,0
1,note_on,70,33,0
1,note_on,70,0,120
1,note_on,62,0,0
1,note_on,65,0,0
1,note_on,69,32,120
1,note_on,62,32,0
1,note_on,65,32,0
1,note_on,65,0,120
1,note_on,62,0,0
1,note_on,69,0,0
1,note_on,59,43,120
1,note_on,68,43,0
1,note_on,64,43,0
1,note_on,64,0,120
1,note_on,68,0,0
1,note_on,59,0,0
1,note_on,64,43,120
1,note_on,68,43,0
1,note_on,59,43,0
1,note_on,59,0,480
1,note_on,68,0,0
1,note_on,64,0,0
1,note_on,67,36,0
1,note_on,67,0,60
1,note_on,69,36,0
1,note_on,69,0,60
1,note_on,70,36,0
1,note_on,70,0,60
1,note_on,72,36,0
1,note_on,72,0,60
1,note_on,74,38,0
1,note_on,74,0,120
1,note_on,67,34,120
1,note_on,70,34,0
1,note_on,79,34,0
1,note_on,79,0,120
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,70,34,120
1,note_on,79,34,0
1,note_on,67,34,0
1,note_on,67,0,120
1,note_on,79,0,0
1,note_on,70,0,0
1,note_on,78,34,120
1,note_on,67,34,0
1,note_on,70,34,0
1,note_on,70,0,120
1,note_on,67,0,0
1,note_on,78,0,0
1,note_on,70,36,120
1,note_on,78,36,0
1,note_on,67,36,0
1,note_on,67,0,120
1,note_on,78,0,0
1,note_on,70,0,0
1,note_on,77,34,120
1,note_on,70,34,0
1,note_on,67,34,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,77,0,0
1,note_on,70,34,120
1,note_on,77,34,0
1,note_on,67,34,0
1,note_on,67,0,120
1,note_on,77,0,0
1,note_on,70,0,0
1,note_on,70,34,120
1,note_on,67,34,0
1,note_on,76,34,0
1,note_on,76,0,120
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,76,36,120
1,note_on,70,36,0
1,note_on,67,36,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,76,0,0
1,note_on,75,32,120
1,note_on,67,32,0
1,note_on,70,32,0
1,note_on,70,0,120
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,75,32,120
1,note_on,67,32,0
1,note_on,70,32,0
1,note_on,70,0,120
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,74,32,120
1,note_on,67,32,0
1,note_on,70,32,0
1,note_on,70,0,120
1,note_on,67,0,0
1,note_on,74,0,0
1,note_on,64,44,120
1,note_on,73,44,0
1,note_on,69,44,0
1,note_on,69,0,120
1,note_on,73,0,0
1,note_on,64,0,0
1,note_on,64,44,120
1,note_on,73,44,0
1,note_on,69,44,0
1,note_on,69,0,480
1,note_on,73,0,0
1,note_on,64,0,0
1,note_on,74,46,240
1,note_on,74,0,60
1,note_on,76,35,0
1,note_on,76,0,60
1,note_on,77,35,0
1,note_on,77,0,60
1,note_on,79,35,0
1,note_on,79,0,60
1,note_on,81,40,0
1,note_on,81,0,120
1,note_on,79,46,120
1,note_on,79,0,60
1,note_on,77,36,0
1,note_on,77,0,60
1,note_on,76,36,0
1,note_on,76,0,60
1,note_on,74,36,0
1,note_on,74,0,60
1,note_on,72,40,0
1,note_on,72,0,120
1,note_on,70,45,120
1,note_on,70,0,60
1,note_on,72,36,0
1,note_on,72,0,60
1,note_on,74,36,0
1,note_on,74,0,60
1,note_on,76,36,0
1,note_on,76,0,60
1,note_on,77,41,0
1,note_on,77,0,120
1,note_on,76,46,120
1,note_on,76,0,60
1,note_on,74,37,0
1,note_on,74,0,60
1,note_on,72,37,0
1,note_on,72,0,60
1,note_on,70,37,0
1,note_on,70,0,60
1,note_on,69,43,0
1,note_on,69,0,120
1,note_on,67,46,120
1,note_on,67,0,60
1,note_on,69,37,0
1,note_on,69,0,60
1,note_on,70,37,0
1,note_on,70,0,60
1,note_on,72,37,0
1,note_on,72,0,60
1,note_on,74,44,0
1,note_on,74,0,120
1,note_on,72,47,120
1,note_on,72,0,60
1,note_on,70,37,0
1,note_on,70,0,60
1,note_on,69,37,0
1,note_on,69,0,60
1,note_on,67,37,0
1,note_on,67,0,60
1,note_on,65,43,0
1,note_on,65,0,120
1,note_on,64,45,360
1,note_on,57,45,0
1,note_on,57,0,720
1,note_on,64,0,0
1,note_on,86,47,0
1,note_on,86,0,60
1,note_on,84,37,0
1,note_on,84,0,60
1,note_on,82,37,0
1,note_on,82,0,60
1,note_on,81,37,0
1,note_on,81,0,60
1,note_on,79,40,0
1,note_on,79,0,120
1,note_on,74,48,120
1,note_on,74,0,60
1,note_on,72,37,0
1,note_on,72,0,60
1,note_on,70,37,0
1,note_on,70,0,60
1,note_on,69,37,0
1,note_on,69,0,60
1,note_on,67,40,0
1,note_on,67,0,120
1,note_on,64,45,360
1,note_on,57,45,0
1,note_on,57,0,720
1,note_on,64,0,0
1,note_on,86,47,0
1,note_on,86,0,60
1,note_on,84,37,0
1,note_on,84,0,60
1,note_on,82,37,0
1,note_on,82,0,60
1,note_on,81,37,0
1,note_on,81,0,60
1,note_on,79,40,0
1,note_on,79,0,120
1,note_on,74,48,120
1,note_on,74,0,60
1,note_on,72,37,0
1,note_on,72,0,60
1,note_on,70,37,0
1,note_on,70,0,60
1,note_on,69,37,0
1,note_on,69,0,60
1,note_on,67,40,0
1,note_on,67,0,120
1,note_on,57,45,360
1,note_on,64,45,0
1,note_on,64,0,240
1,note_on,57,0,0
1,note_on,74,40,0
1,note_on,74,0,60
1,note_on,72,36,0
1,note_on,72,0,60
1,note_on,70,36,0
1,note_on,70,0,60
1,note_on,69,36,0
1,note_on,69,0,60
1,note_on,67,40,0
1,note_on,67,0,120
1,note_on,64,38,360
1,note_on,57,38,0
1,note_on,57,0,240
1,note_on,64,0,0
1,note_on,74,34,0
1,note_on,74,0,60
1,note_on,72,34,0
1,note_on,72,0,60
1,note_on,70,34,0
1,note_on,70,0,60
1,note_on,69,34,0
1,note_on,69,0,60
1,note_on,67,32,0
1,note_on,67,0,120
1,note_on,64,37,360
1,note_on,57,37,0
1,note_on,57,0,240
1,note_on,64,0,0
1,note_on,74,32,0
1,note_on,74,0,60
1,note_on,72,32,0
1,note_on,72,0,60
1,note_on,70,32,0
1,note_on,70,0,60
1,note_on,69,32,0
1,note_on,69,0,60
1,note_on,67,29,0
1,note_on,67,0,120
1,note_on,64,35,360
1,note_on,57,35,0
1,note_on,57,0,240
1,note_on,64,0,0
1,note_on,74,32,0
1,note_on,74,0,60
1,note_on,72,32,0
1,note_on,72,0,60
1,note_on,70,32,0
1,note_on,70,0,60
1,note_on,69,32,0
1,note_on,69,0,60
1,note_on,67,29,0
1,note_on,67,0,120
1,note_on,57,37,360
1,note_on,64,37,0
1,note_on,61,37,0
1,note_on,61,0,120
1,note_on,64,0,0
1,note_on,57,0,0
1,note_on,64,37,360
1,note_on,58,37,0
1,note_on,61,37,0
1,note_on,61,0,120
1,note_on,58,0,0
1,note_on,64,0,0
1,note_on,64,34,360
1,note_on,56,34,0
1,note_on,61,34,0
1,note_on,61,0,120
1,note_on,56,0,0
1,note_on,64,0,0
1,note_on,61,35,360
1,note_on,57,35,0
1,note_on,64,35,0
1,note_on,64,0,120
1,note_on,57,0,0
1,note_on,61,0,0
1,note_on,64,36,360
1,note_on,58,36,0
1,note_on,61,36,0
1,note_on,61,0,120
1,note_on,58,0,0
1,note_on,64,0,0
1,note_on,59,40,360
1,note_on,64,40,0
1,note_on,61,40,0
1,note_on,61,0,120
1,note_on,64,0,0
1,note_on,59,0,0
1,note_on,64,41,360
1,note_on,60,41,0
1,note_on,61,41,0
1,note_on,61,0,120
1,note_on,60,0,0
1,note_on,64,0,0
1,note_on,64,43,360
1,note_on,59,43,0
1,note_on,61,43,0
1,note_on,61,0,120
1,note_on,59,0,0
1,note_on,64,0,0
1,note_on,61,45,360
1,note_on,58,45,0
1,note_on,64,45,0
1,note_on,64,0,120
1,note_on,58,0,0
1,note_on,61,0,0
1,note_on,64,48,360
1,note_on,57,48,0
1,note_on,61,48,0
1,note_on,61,0,120
1,note_on,57,0,0
1,note_on,64,0,0
1,note_on,56,49,360
1,note_on,64,49,0
1,note_on,61,49,0
1,note_on,61,0,120
1,note_on,64,0,0
1,note_on,56,0,0
1,note_on,61,51,360
1,note_on,55,51,0
1,note_on,58,51,0
1,note_on,58,0,120
1,note_on,55,0,0
1,note_on,61,0,0
1,note_on,61,53,360
1,note_on,58,53,0
1,note_on,54,53,0
1,note_on,54,0,120
1,note_on,58,0,0
1,note_on,61,0,0
1,note_on,61,55,360
1,note_on,58,55,0
1,note_on,53,55,0
1,note_on,53,0,120
1,note_on,58,0,0
1,note_on,61,0,0
1,note_on,61,58,360
1,note_on,52,58,0
1,note_on,57,58,0
1,note_on,57,0,120
1,note_on,52,0,0
1,note_on,61,0,0
1,note_on,55,59,360
1,note_on,61,59,0
1,note_on,51,59,0
1,note_on,57,59,0
1,note_on,57,0,120
1,note_on,55,0,0
1,note_on,61,0,0
1,note_on,51,0,0
1,note_on,74,86,1800
1,note_on,74,0,60
