Track,Message Type,Note,Velocity,Time
1,note_on,67,46,1
1,note_on,67,0,240
1,note_on,67,49,0
1,note_on,67,0,420
1,note_on,71,47,0
1,note_on,71,0,60
1,note_on,69,47,0
1,note_on,69,0,240
1,note_on,62,49,0
1,note_on,62,0,240
1,note_on,64,45,0
1,note_on,64,0,240
1,note_on,66,45,0
1,note_on,66,0,120
1,note_on,67,45,0
1,note_on,67,0,30
1,note_on,66,45,0
1,note_on,66,0,30
1,note_on,64,45,0
1,note_on,64,0,30
1,note_on,66,45,0
1,note_on,66,0,30
1,note_on,67,46,0
1,note_on,67,0,90
1,note_on,67,45,150
1,note_on,67,0,90
1,note_on,67,45,150
1,note_on,67,0,90
1,note_on,67,45,150
1,note_on,67,0,480
1,note_on,62,45,0
1,note_on,69,45,0
1,note_on,69,0,180
1,note_on,72,45,0
1,note_on,72,0,60
1,note_on,62,0,0
1,note_on,62,41,0
1,note_on,71,49,0
1,note_on,71,0,240
1,note_on,69,45,0
1,note_on,69,0,240
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,66,44,0
1,note_on,62,36,0
1,note_on,74,49,0
1,note_on,74,0,240
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,66,0,0
1,note_on,67,45,0
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,62,0,0
1,note_on,67,47,0
1,note_on,71,47,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,66,45,0
1,note_on,69,45,0
1,note_on,69,0,240
1,note_on,66,0,0
1,note_on,66,45,0
1,note_on,69,45,0
1,note_on,69,0,240
1,note_on,66,0,0
1,note_on,66,45,0
1,note_on,69,45,0
1,note_on,69,0,480
1,note_on,66,0,0
1,note_on,68,46,0
1,note_on,71,46,0
1,note_on,71,0,240
1,note_on,68,0,0
1,note_on,69,49,0
1,note_on,72,49,0
1,note_on,72,0,240
1,note_on,69,0,0
1,note_on,71,51,0
1,note_on,74,51,0
1,note_on,74,0,240
1,note_on,71,0,0
1,note_on,72,51,0
1,note_on,76,51,0
1,note_on,76,0,240
1,note_on,72,0,0
1,note_on,72,51,0
1,note_on,76,51,0
1,note_on,76,0,480
1,note_on,72,0,0
1,note_on,72,52,0
1,note_on,69,52,0
1,note_on,72,0,80
1,note_on,71,42,0
1,note_on,71,0,80
1,note_on,72,44,0
1,note_on,72,0,80
1,note_on,69,0,0
1,note_on,67,50,0
1,note_on,71,50,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,69,49,0
1,note_on,72,49,0
1,note_on,72,0,240
1,note_on,69,0,0
1,note_on,71,49,0
1,note_on,74,49,0
1,note_on,74,0,240
1,note_on,71,0,0
1,note_on,67,51,0
1,note_on,72,51,0
1,note_on,72,0,240
1,note_on,74,51,0
1,note_on,74,0,240
1,note_on,76,51,0
1,note_on,76,0,240
1,note_on,74,53,0
1,note_on,74,0,240
1,note_on,67,0,0
1,note_on,79,57,0
1,note_on,79,0,240
1,note_on,79,57,0
1,note_on,79,0,240
1,note_on,81,60,0
1,note_on,81,0,120
1,note_on,79,53,0
1,note_on,79,0,120
1,note_on,78,57,0
1,note_on,78,0,120
1,note_on,76,50,0
1,note_on,76,0,120
1,note_on,74,55,0
1,note_on,74,0,120
1,note_on,73,49,0
1,note_on,73,0,120
1,note_on,76,47,0
1,note_on,76,0,240
1,note_on,74,44,0
1,note_on,74,0,240
1,note_on,74,44,0
1,note_on,74,0,240
1,note_on,74,44,0
1,note_on,74,0,360
1,note_on,71,44,0
1,note_on,71,0,120
1,note_on,72,44,0
1,note_on,72,0,120
1,note_on,69,44,0
1,note_on,69,0,120
1,note_on,67,49,0
1,note_on,67,0,420
1,note_on,71,47,0
1,note_on,71,0,60
1,note_on,69,47,0
1,note_on,69,0,240
1,note_on,62,49,0
1,note_on,62,0,240
1,note_on,64,45,0
1,note_on,64,0,240
1,note_on,66,45,0
1,note_on,66,0,120
1,note_on,67,45,0
1,note_on,67,0,30
1,note_on,66,45,0
1,note_on,66,0,30
1,note_on,64,45,0
1,note_on,64,0,30
1,note_on,66,45,0
1,note_on,66,0,30
1,note_on,67,46,0
1,note_on,67,0,90
1,note_on,67,45,150
1,note_on,67,0,90
1,note_on,67,45,150
1,note_on,67,0,90
1,note_on,67,45,150
1,note_on,67,0,480
1,note_on,62,45,0
1,note_on,69,45,0
1,note_on,69,0,180
1,note_on,72,45,0
1,note_on,72,0,60
1,note_on,62,0,0
1,note_on,62,41,0
1,note_on,71,49,0
1,note_on,71,0,240
1,note_on,69,45,0
1,note_on,69,0,240
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,66,44,0
1,note_on,62,36,0
1,note_on,74,49,0
1,note_on,74,0,240
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,66,0,0
1,note_on,67,45,0
1,note_on,71,45,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,62,0,0
1,note_on,67,47,0
1,note_on,71,47,0
1,note_on,71,0,240
1,note_on,67,0,0
1,note_on,66,45,0
