Track,Message Type,Note,Velocity,Time
1,note_on,58,81,120
1,note_on,58,0,90
1,note_on,58,77,30
1,note_on,58,0,90
1,note_on,57,77,150
1,note_on,57,0,90
1,note_on,58,73,30
1,note_on,58,0,90
1,note_on,54,84,150
1,note_on,54,0,90
1,note_on,57,77,30
1,note_on,57,0,90
1,note_on,61,87,150
1,note_on,61,0,90
1,note_on,60,87,30
1,note_on,60,0,90
1,note_on,56,75,150
1,note_on,56,0,90
1,note_on,56,73,30
1,note_on,56,0,90
1,note_on,53,74,150
1,note_on,53,0,90
1,note_on,54,71,30
1,note_on,54,0,90
1,note_on,58,72,150
1,note_on,58,0,90
1,note_on,56,67,30
1,note_on,56,0,90
1,note_on,58,49,510
1,note_on,58,0,90
1,note_on,58,47,30
1,note_on,58,0,90
1,note_on,57,45,150
1,note_on,57,0,90
1,note_on,58,45,30
1,note_on,58,0,90
1,note_on,54,46,150
1,note_on,54,0,90
1,note_on,57,45,30
1,note_on,57,0,90
1,note_on,61,47,150
1,note_on,61,0,90
1,note_on,60,47,30
1,note_on,60,0,90
1,note_on,56,46,150
1,note_on,56,0,90
1,note_on,56,45,30
1,note_on,56,0,90
1,note_on,53,45,150
1,note_on,53,0,90
1,note_on,54,45,30
1,note_on,54,0,90
1,note_on,58,43,150
1,note_on,58,0,90
1,note_on,56,43,30
1,note_on,56,0,90
1,note_on,54,72,510
1,note_on,54,0,90
1,note_on,57,71,30
1,note_on,57,0,90
1,note_on,58,80,150
1,note_on,58,0,90
1,note_on,60,80,30
1,note_on,60,0,90
1,note_on,63,85,150
1,note_on,63,0,90
1,note_on,61,80,30
1,note_on,61,0,90
1,note_on,60,77,150
1,note_on,60,0,90
1,note_on,58,71,30
1,note_on,58,0,90
1,note_on,56,81,150
1,note_on,56,0,90
1,note_on,56,79,30
1,note_on,56,0,90
1,note_on,61,79,150
1,note_on,61,0,90
1,note_on,60,84,30
1,note_on,60,0,90
1,note_on,56,79,150
1,note_on,56,0,90
1,note_on,58,79,30
1,note_on,58,0,90
1,note_on,54,43,510
1,note_on,54,0,90
1,note_on,57,43,30
1,note_on,57,0,90
1,note_on,58,45,150
1,note_on,58,0,90
1,note_on,60,45,30
1,note_on,60,0,90
1,note_on,63,47,150
1,note_on,63,0,90
1,note_on,61,47,30
1,note_on,61,0,90
1,note_on,60,45,150
1,note_on,60,0,90
1,note_on,58,45,30
1,note_on,58,0,90
1,note_on,56,49,150
1,note_on,56,0,90
1,note_on,56,49,30
1,note_on,56,0,90
1,note_on,61,46,150
1,note_on,61,0,90
1,note_on,60,46,30
1,note_on,60,0,90
1,note_on,56,46,150
1,note_on,56,0,90
1,note_on,58,46,30
1,note_on,58,0,90
1,note_on,66,62,390
1,note_on,70,70,0
1,note_on,70,0,90
1,note_on,66,0,0
1,note_on,66,55,30
1,note_on,70,62,0
1,note_on,70,0,90
1,note_on,66,0,0
1,note_on,66,57,30
1,note_on,70,63,0
1,note_on,70,0,90
1,note_on,66,0,0
1,note_on,70,71,30
1,note_on,66,63,0
1,note_on,66,0,90
1,note_on,70,0,0
1,note_on,65,64,30
1,note_on,65,0,90
1,note_on,70,70,30
1,note_on,66,62,0
1,note_on,66,0,90
1,note_on,70,0,0
1,note_on,62,63,30
1,note_on,62,0,90
1,note_on,63,57,30
1,note_on,66,63,0
1,note_on,66,0,90
