Track,Message Type,Note,Velocity,Time
1,note_on,69,65,1440
1,note_on,57,55,0
1,note_on,62,55,0
1,note_on,62,0,390
1,note_on,57,0,0
1,note_on,69,0,0
1,note_on,69,72,90
1,note_on,57,61,0
1,note_on,61,61,0
1,note_on,57,0,720
1,note_on,69,0,0
1,note_on,69,63,0
1,note_on,57,54,0
1,note_on,57,0,240
1,note_on,69,0,0
1,note_on,61,0,0
1,note_on,57,70,0
1,note_on,69,70,0
1,note_on,62,59,0
1,note_on,62,0,480
1,note_on,69,0,0
1,note_on,57,0,0
1,note_on,57,68,0
1,note_on,69,68,0
1,note_on,60,57,0
1,note_on,64,57,0
1,note_on,64,0,480
1,note_on,57,0,0
1,note_on,69,0,0
1,note_on,60,0,0
1,note_on,69,75,0
1,note_on,60,47,0
1,note_on,66,59,0
1,note_on,57,48,0
1,note_on,66,0,480
1,note_on,60,0,0
1,note_on,66,62,0
1,note_on,60,52,0
1,note_on,60,0,480
1,note_on,57,0,0
1,note_on,69,0,0
1,note_on,66,0,0
1,note_on,69,73,0
1,note_on,60,48,0
1,note_on,66,55,0
1,note_on,57,51,0
1,note_on,57,0,480
1,note_on,69,0,0
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,66,48,0
1,note_on,69,71,0
1,note_on,60,45,0
1,note_on,57,54,0
1,note_on,57,0,360
1,note_on,69,0,0
1,note_on,69,66,0
1,note_on,57,55,0
1,note_on,57,0,120
1,note_on,66,0,0
1,note_on,60,0,0
1,note_on,69,0,0
1,note_on,64,72,0
1,note_on,60,61,0
1,note_on,57,61,0
1,note_on,52,61,0
1,note_on,57,0,960
1,note_on,60,0,0
1,note_on,59,72,0
1,note_on,56,61,0
1,note_on,56,0,960
1,note_on,52,0,0
1,note_on,64,0,0
1,note_on,59,0,0
1,note_on,52,61,90
1,note_on,57,61,0
1,note_on,61,61,0
1,note_on,64,72,0
1,note_on,64,0,870
1,note_on,52,0,0
1,note_on,57,0,0
1,note_on,61,0,0
1,note_on,67,76,840
1,note_on,55,63,0
1,note_on,62,63,0
1,note_on,65,63,0
1,note_on,65,0,120
1,note_on,67,0,0
1,note_on,55,0,0
1,note_on,62,0,0
1,note_on,67,82,0
1,note_on,60,70,0
1,note_on,64,70,0
1,note_on,55,59,0
1,note_on,55,0,240
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,64,0,0
1,note_on,67,79,240
1,note_on,60,64,0
1,note_on,63,64,0
1,note_on,55,54,0
1,note_on,55,0,240
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,63,0,0
1,note_on,67,78,480
1,note_on,59,65,0
1,note_on,62,65,0
1,note_on,55,55,0
1,note_on,55,0,240
1,note_on,67,0,0
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,67,82,0
1,note_on,58,70,0
1,note_on,61,70,0
1,note_on,55,59,0
1,note_on,55,0,240
1,note_on,67,0,0
1,note_on,58,0,0
1,note_on,61,0,0
1,note_on,67,78,240
1,note_on,58,65,0
1,note_on,61,65,0
1,note_on,55,55,0
1,note_on,55,0,240
1,note_on,67,0,0
1,note_on,58,0,0
1,note_on,61,0,0
1,note_on,67,42,720
1,note_on,55,32,0
1,note_on,60,36,0
1,note_on,55,0,360
1,note_on,67,0,0
1,note_on,55,37,0
1,note_on,67,45,0
1,note_on,67,0,120
1,note_on,55,0,0
1,note_on,60,0,0
1,note_on,67,54,0
1,note_on,62,44,0
1,note_on,59,43,8
1,note_on,55,37,1
1,note_on,62,0,471
1,note_on,67,0,0
1,note_on,58,42,0
1,note_on,64,47,0
1,note_on,55,47,0
1,note_on,67,62,0
1,note_on,59,0,8
1,note_on,55,0,1
1,note_on,55,0,231
1,note_on,67,0,0
1,note_on,55,54,0
1,note_on,67,63,0
1,note_on,67,0,240
1,note_on,58,0,0
1,note_on,64,0,0
1,note_on,55,0,0
1,note_on,55,61,0
1,note_on,57,61,0
1,note_on,50,61,0
1,note_on,62,72,0
1,note_on,57,0,480
1,note_on,55,0,0
1,note_on,57,72,0
1,note_on,54,61,0
1,note_on,54,0,960
1,note_on,62,0,0
1,note_on,50,0,0
1,note_on,57,0,0
1,note_on,50,65,120
1,note_on,55,69,30
1,note_on,59,72,30
1,note_on,62,76,30
1,note_on,62,0,750
1,note_on,50,0,0
1,note_on,55,0,0
1,note_on,59,0,0
1,note_on,62,66,480
1,note_on,50,62,0
1,note_on,50,0,60
1,note_on,56,48,0
1,note_on,53,40,0
1,note_on,62,0,59
1,note_on,53,0,1
1,note_on,56,0,0
1,note_on,62,50,0
1,note_on,62,0,60
1,note_on,62,51,0
1,note_on,62,0,60
1,note_on,68,53,0
1,note_on,65,45,0
