Track,Message Type,Note,Velocity,Time
1,note_on,87,28,721
1,note_on,99,34,0
1,note_on,99,0,180
1,note_on,87,0,0
1,note_on,87,28,60
1,note_on,99,34,0
1,note_on,99,0,180
1,note_on,87,0,0
1,note_on,99,34,60
1,note_on,87,28,0
1,note_on,87,0,180
1,note_on,99,0,0
1,note_on,87,28,780
1,note_on,99,34,0
1,note_on,99,0,180
1,note_on,87,0,0
1,note_on,99,34,60
1,note_on,87,28,0
1,note_on,87,0,180
1,note_on,99,0,0
1,note_on,87,28,60
1,note_on,99,34,0
1,note_on,99,0,180
1,note_on,87,0,0
1,note_on,99,33,300
1,note_on,87,27,0
1,note_on,87,0,180
1,note_on,99,0,0
1,note_on,99,33,60
1,note_on,87,27,0
1,note_on,87,0,180
1,note_on,99,0,0
1,note_on,99,27,300
1,note_on,87,22,0
1,note_on,87,0,180
1,note_on,99,0,0
1,note_on,99,25,60
1,note_on,87,21,0
1,note_on,87,0,180
1,note_on,99,0,0
1,note_on,75,43,300
1,note_on,87,40,120
1,note_on,87,0,60
1,note_on,75,0,0
1,note_on,87,50,60
1,note_on,99,40,120
1,note_on,99,0,60
1,note_on,87,0,0
1,note_on,87,46,60
1,note_on,99,39,120
1,note_on,99,0,60
1,note_on,87,0,0
1,note_on,85,46,60
1,note_on,99,39,120
1,note_on,99,0,60
1,note_on,85,0,0
1,note_on,83,46,60
1,note_on,99,40,120
1,note_on,99,0,60
1,note_on,83,0,0
1,note_on,83,45,60
1,note_on,99,40,120
1,note_on,99,0,60
1,note_on,83,0,0
1,note_on,82,43,60
1,note_on,99,40,120
1,note_on,99,0,60
1,note_on,82,0,0
1,note_on,80,46,60
1,note_on,99,40,120
1,note_on,99,0,60
1,note_on,80,0,0
1,note_on,79,45,60
1,note_on,99,37,120
1,note_on,99,0,60
1,note_on,79,0,0
1,note_on,80,45,60
1,note_on,99,40,120
1,note_on,99,0,60
1,note_on,80,0,0
1,note_on,82,46,60
1,note_on,99,40,120
1,note_on,99,0,60
1,note_on,82,0,0
1,note_on,75,43,60
1,note_on,99,37,120
1,note_on,99,0,60
1,note_on,75,0,0
1,note_on,75,43,60
1,note_on,87,37,120
1,note_on,87,0,60
1,note_on,75,0,0
1,note_on,76,50,60
1,note_on,87,43,120
