Track,Message Type,Note,Velocity,Time
1,note_on,79,72,390
1,note_on,85,72,30
1,note_on,88,77,30
1,note_on,94,79,30
1,note_on,79,0,150
1,note_on,85,0,30
1,note_on,88,0,30
1,note_on,94,0,30
1,note_on,74,68,630
1,note_on,80,69,30
1,note_on,83,71,30
1,note_on,89,73,30
1,note_on,74,0,150
1,note_on,80,0,30
1,note_on,83,0,30
1,note_on,89,0,30
1,note_on,69,59,675
1,note_on,75,61,15
1,note_on,78,64,15
1,note_on,84,66,15
1,note_on,69,0,195
1,note_on,75,0,15
1,note_on,78,0,15
1,note_on,84,0,15
1,note_on,64,59,195
1,note_on,70,60,15
1,note_on,73,63,15
1,note_on,79,64,15
1,note_on,64,0,195
1,note_on,70,0,15
1,note_on,73,0,15
1,note_on,79,0,15
1,note_on,59,59,195
1,note_on,65,62,15
1,note_on,68,65,15
1,note_on,74,68,15
1,note_on,59,0,195
1,note_on,65,0,15
1,note_on,68,0,15
1,note_on,74,0,15
1,note_on,54,62,195
1,note_on,60,65,15
1,note_on,63,68,15
1,note_on,69,71,15
1,note_on,54,0,195
1,note_on,60,0,15
1,note_on,63,0,15
1,note_on,69,0,15
1,note_on,55,65,195
1,note_on,61,67,15
1,note_on,64,69,15
1,note_on,70,71,15
1,note_on,55,0,195
1,note_on,61,0,15
1,note_on,64,0,15
1,note_on,70,0,15
1,note_on,56,69,210
1,note_on,59,73,15
1,note_on,65,77,15
1,note_on,56,0,210
1,note_on,59,0,15
1,note_on,65,0,15
1,note_on,53,70,210
1,note_on,56,73,15
1,note_on,62,76,15
1,note_on,53,0,210
1,note_on,56,0,15
1,note_on,62,0,15
1,note_on,57,70,195
1,note_on,62,74,15
1,note_on,65,77,15
1,note_on,69,78,15
1,note_on,57,0,195
1,note_on,62,0,15
1,note_on,65,0,15
1,note_on,69,0,15
1,note_on,81,84,720
1,note_on,69,71,0
1,note_on,77,71,0
1,note_on,74,71,0
1,note_on,74,0,240
1,note_on,81,0,0
1,note_on,69,0,0
1,note_on,77,0,0
1,note_on,79,71,720
1,note_on,93,84,0
1,note_on,85,71,0
1,note_on,88,71,0
1,note_on,81,71,0
1,note_on,81,0,240
1,note_on,85,0,0
1,note_on,79,0,0
1,note_on,93,0,0
1,note_on,88,0,0
1,note_on,45,39,1800
1,note_on,46,42,120
1,note_on,45,0,60
1,note_on,49,43,60
1,note_on,46,0,60
1,note_on,53,46,60
1,note_on,49,0,60
1,note_on,52,45,36
1,note_on,53,0,48
1,note_on,50,44,48
1,note_on,52,0,48
1,note_on,49,43,48
1,note_on,50,0,48
1,note_on,46,41,48
1,note_on,49,0,48
1,note_on,45,43,48
1,note_on,46,0,48
1,note_on,46,43,32
1,note_on,45,0,41
1,note_on,49,44,39
1,note_on,46,0,40
1,note_on,50,45,40
1,note_on,49,0,40
1,note_on,52,47,40
1,note_on,50,0,40
1,note_on,53,48,40
1,note_on,52,0,40
1,note_on,58,50,40
1,note_on,53,0,40
1,note_on,57,49,40
1,note_on,58,0,40
1,note_on,55,48,40
1,note_on,57,0,40
1,note_on,53,47,40
1,note_on,55,0,40
1,note_on,52,45,40
1,note_on,53,0,40
1,note_on,50,44,40
1,note_on,52,0,40
1,note_on,49,45,40
1,note_on,50,0,40
1,note_on,50,44,20
1,note_on,49,0,30
1,note_on,52,45,30
1,note_on,50,0,30
1,note_on,53,46,30
1,note_on,52,0,30
1,note_on,55,48,30
1,note_on,53,0,30
1,note_on,57,48,30
1,note_on,55,0,30
1,note_on,58,49,30
1,note_on,57,0,30
1,note_on,61,49,30
1,note_on,58,0,30
1,note_on,65,51,30
1,note_on,61,0,30
1,note_on,64,51,66
1,note_on,65,0,48
1,note_on,62,50,48
1,note_on,64,0,48
1,note_on,61,50,48
1,note_on,62,0,48
1,note_on,58,50,48
1,note_on,61,0,48
1,note_on,57,50,48
1,note_on,58,0,48
1,note_on,58,51,32
1,note_on,57,0,40
1,note_on,61,52,40
1,note_on,58,0,40
1,note_on,62,53,40
1,note_on,61,0,40
1,note_on,64,54,40
1,note_on,62,0,40
1,note_on,65,56,40
1,note_on,64,0,40
1,note_on,70,57,40
1,note_on,65,0,40
1,note_on,69,57,40
1,note_on,70,0,40
1,note_on,67,56,40
1,note_on,69,0,40
1,note_on,65,54,40
1,note_on,67,0,40
1,note_on,64,53,40
1,note_on,65,0,40
1,note_on,62,52,40
1,note_on,64,0,40
1,note_on,61,53,40
1,note_on,62,0,40
1,note_on,62,54,20
1,note_on,61,0,30
1,note_on,64,56,30
1,note_on,62,0,30
1,note_on,65,56,30
1,note_on,64,0,30
1,note_on,67,57,30
1,note_on,65,0,30
1,note_on,69,57,30
1,note_on,67,0,30
1,note_on,70,59,30
1,note_on,69,0,30
1,note_on,73,60,30
1,note_on,70,0,30
1,note_on,77,61,30
1,note_on,73,0,30
1,note_on,76,61,66
1,note_on,77,0,48
1,note_on,74,60,48
1,note_on,76,0,48
1,note_on,73,59,48
1,note_on,74,0,48
1,note_on,70,58,48
1,note_on,73,0,48
1,note_on,69,58,48
1,note_on,70,0,48
1,note_on,70,58,32
1,note_on,69,0,40
1,note_on,73,60,40
1,note_on,70,0,40
1,note_on,74,61,40
1,note_on,73,0,40
1,note_on,76,62,40
1,note_on,74,0,40
1,note_on,77,63,40
1,note_on,76,0,40
1,note_on,82,63,40
1,note_on,77,0,40
1,note_on,81,63,40
1,note_on,82,0,40
1,note_on,79,62,40
1,note_on,81,0,40
1,note_on,77,61,40
1,note_on,79,0,40
1,note_on,76,60,40
1,note_on,77,0,40
1,note_on,74,59,40
1,note_on,76,0,40
1,note_on,73,58,40
1,note_on,74,0,40
1,note_on,74,58,20
1,note_on,73,0,30
1,note_on,76,59,30
1,note_on,74,0,30
1,note_on,77,60,30
1,note_on,76,0,30
1,note_on,79,62,30
1,note_on,77,0,30
1,note_on,81,63,30
1,note_on,79,0,30
1,note_on,82,64,30
1,note_on,81,0,30
1,note_on,85,65,30
1,note_on,82,0,30
1,note_on,89,66,30
1,note_on,85,0,30
1,note_on,88,66,66
1,note_on,89,0,48
1,note_on,86,65,48
1,note_on,88,0,48
1,note_on,85,65,48
1,note_on,86,0,48
1,note_on,82,64,48
1,note_on,85,0,48
1,note_on,81,65,48
