Track,Message Type,Note,Velocity,Time
1,note_on,63,34,720
1,note_on,63,0,240
1,note_on,68,40,0
1,note_on,68,0,240
1,note_on,72,36,0
1,note_on,72,0,240
1,note_on,68,32,0
1,note_on,68,0,240
1,note_on,63,32,0
1,note_on,63,0,240
1,note_on,63,37,240
1,note_on,63,0,240
1,note_on,68,40,0
1,note_on,68,0,240
1,note_on,72,37,0
1,note_on,72,0,240
1,note_on,68,33,0
1,note_on,68,0,240
1,note_on,63,34,0
1,note_on,63,0,240
1,note_on,64,30,240
1,note_on,64,0,240
1,note_on,70,34,0
1,note_on,70,0,240
1,note_on,72,31,0
1,note_on,72,0,240
1,note_on,70,27,0
1,note_on,70,0,240
1,note_on,64,27,0
1,note_on,64,0,240
1,note_on,64,30,240
1,note_on,64,0,240
1,note_on,70,34,0
1,note_on,70,0,240
1,note_on,72,30,0
1,note_on,72,0,240
1,note_on,70,26,0
1,note_on,70,0,240
1,note_on,64,26,0
1,note_on,64,0,240
1,note_on,63,34,240
1,note_on,63,0,240
1,note_on,69,36,0
1,note_on,69,0,240
1,note_on,72,35,0
1,note_on,72,0,240
1,note_on,69,36,0
1,note_on,69,0,240
1,note_on,63,38,0
1,note_on,63,0,240
1,note_on,63,38,240
1,note_on,63,0,240
1,note_on,69,43,0
1,note_on,69,0,240
1,note_on,72,40,0
1,note_on,72,0,240
1,note_on,69,37,0
1,note_on,69,0,240
1,note_on,63,37,0
1,note_on,63,0,240
1,note_on,62,38,240
1,note_on,62,0,240
1,note_on,68,43,0
1,note_on,68,0,240
1,note_on,72,42,0
1,note_on,72,0,240
1,note_on,68,39,0
1,note_on,68,0,240
1,note_on,62,39,0
1,note_on,62,0,240
1,note_on,62,36,240
1,note_on,62,0,240
1,note_on,68,40,0
1,note_on,68,0,240
1,note_on,72,37,0
1,note_on,72,0,240
1,note_on,68,32,0
1,note_on,68,0,240
1,note_on,62,34,0
1,note_on,62,0,240
1,note_on,61,38,240
1,note_on,61,0,240
1,note_on,63,45,0
1,note_on,63,0,240
1,note_on,72,38,0
1,note_on,72,0,240
1,note_on,63,34,0
1,note_on,63,0,240
1,note_on,61,33,0
1,note_on,61,0,240
1,note_on,61,38,240
1,note_on,61,0,240
1,note_on,63,43,0
1,note_on,63,0,240
1,note_on,67,38,0
1,note_on,67,0,240
1,note_on,63,34,0
1,note_on,63,0,240
1,note_on,61,34,0
1,note_on,61,0,240
1,note_on,60,38,240
1,note_on,60,0,240
1,note_on,63,43,0
1,note_on,63,0,240
1,note_on,68,38,0
1,note_on,68,0,240
1,note_on,63,34,0
1,note_on,63,0,240
1,note_on,60,34,0
1,note_on,60,0,240
1,note_on,56,38,226
1,note_on,56,0,240
1,note_on,60,43,14
1,note_on,60,0,240
1,note_on,68,38,28
1,note_on,63,34,212
1,note_on,68,0,28
1,note_on,63,0,212
1,note_on,56,34,0
1,note_on,56,0,240
1,note_on,63,34,240
1,note_on,63,0,240
1,note_on,68,40,0
1,note_on,68,0,240
1,note_on,72,36,0
1,note_on,72,0,240
1,note_on,68,32,0
1,note_on,68,0,240
1,note_on,63,30,0
1,note_on,63,0,240
1,note_on,63,37,240
1,note_on,63,0,240
1,note_on,68,40,0
1,note_on,68,0,240
1,note_on,72,37,0
1,note_on,72,0,240
1,note_on,68,33,0
1,note_on,68,0,240
1,note_on,63,33,0
1,note_on,63,0,240
1,note_on,64,28,240
1,note_on,64,0,240
1,note_on,70,32,0
1,note_on,70,0,240
1,note_on,72,30,0
1,note_on,72,0,240
1,note_on,70,28,0
1,note_on,70,0,240
1,note_on,64,28,0
1,note_on,64,0,240
1,note_on,64,32,240
1,note_on,64,0,240
1,note_on,70,37,0
1,note_on,70,0,240
1,note_on,72,35,0
1,note_on,72,0,240
1,note_on,70,32,0
1,note_on,70,0,240
1,note_on,64,37,0
1,note_on,64,0,240
1,note_on,63,42,240
1,note_on,63,0,240
1,note_on,69,45,0
1,note_on,69,0,240
1,note_on,72,43,0
1,note_on,72,0,240
1,note_on,69,45,0
1,note_on,69,0,240
1,note_on,63,46,0
1,note_on,63,0,240
1,note_on,63,47,240
1,note_on,63,0,240
1,note_on,69,54,0
1,note_on,69,0,240
1,note_on,72,50,0
1,note_on,72,0,240
1,note_on,69,47,0
1,note_on,69,0,240
1,note_on,63,51,0
1,note_on,63,0,240
1,note_on,62,38,240
1,note_on,62,0,240
1,note_on,68,43,0
1,note_on,68,0,240
1,note_on,77,42,0
1,note_on,77,0,240
1,note_on,72,39,0
1,note_on,72,0,240
1,note_on,68,39,0
1,note_on,68,0,240
1,note_on,56,36,240
1,note_on,56,0,240
1,note_on,58,40,0
1,note_on,58,0,240
1,note_on,65,37,0
1,note_on,65,0,240
1,note_on,62,33,0
1,note_on,62,0,240
1,note_on,58,33,0
1,note_on,58,0,240
1,note_on,58,38,240
1,note_on,58,0,240
1,note_on,61,45,0
1,note_on,61,0,240
1,note_on,67,38,0
1,note_on,67,0,240
1,note_on,63,34,0
1,note_on,63,0,240
1,note_on,61,35,0
1,note_on,61,0,240
1,note_on,61,38,240
1,note_on,61,0,240
1,note_on,63,43,0
1,note_on,63,0,240
1,note_on,67,38,0
1,note_on,67,0,240
1,note_on,63,33,0
1,note_on,63,0,240
1,note_on,61,33,0
1,note_on,61,0,240
1,note_on,60,38,240
1,note_on,60,0,240
1,note_on,63,43,0
1,note_on,63,0,240
1,note_on,68,38,0
1,note_on,68,0,240
1,note_on,63,34,0
1,note_on,63,0,240
1,note_on,60,34,0
1,note_on,60,0,240
1,note_on,60,38,240
1,note_on,60,0,240
1,note_on,68,43,0
1,note_on,68,0,240
1,note_on,63,38,0
1,note_on,63,0,240
1,note_on,60,38,0
1,note_on,60,0,240
1,note_on,56,47,0
1,note_on,56,0,237
1,note_on,61,38,243
1,note_on,61,0,240
1,note_on,68,40,0
1,note_on,68,0,240
1,note_on,64,38,0
1,note_on,64,0,240
1,note_on,61,34,0
1,note_on,61,0,240
1,note_on,61,40,480
1,note_on,61,0,240
1,note_on,68,45,0
1,note_on,68,0,240
1,note_on,64,42,0
1,note_on,64,0,240
1,note_on,61,42,0
1,note_on,61,0,240
1,note_on,63,40,480
1,note_on,63,0,240
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,68,42,0
1,note_on,68,0,240
1,note_on,63,38,0
1,note_on,63,0,240
1,note_on,60,38,0
1,note_on,60,0,240
1,note_on,63,40,240
1,note_on,63,0,240
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,68,42,0
1,note_on,68,0,240
1,note_on,63,42,0
1,note_on,63,0,240
1,note_on,60,46,0
1,note_on,60,0,238
1,note_on,65,43,242
1,note_on,65,0,240
1,note_on,72,46,0
1,note_on,72,0,240
1,note_on,68,39,0
1,note_on,68,0,240
1,note_on,65,40,0
1,note_on,65,0,240
1,note_on,65,48,480
1,note_on,65,0,240
1,note_on,72,53,0
1,note_on,72,0,240
1,note_on,68,47,0
1,note_on,68,0,240
1,note_on,65,47,0
1,note_on,65,0,240
1,note_on,67,50,480
1,note_on,67,0,240
1,note_on,72,56,0
1,note_on,72,0,240
1,note_on,76,52,0
1,note_on,76,0,240
1,note_on,72,49,0
1,note_on,72,0,240
1,note_on,67,49,0
1,note_on,67,0,240
1,note_on,67,50,240
1,note_on,67,0,240
1,note_on,72,56,0
1,note_on,72,0,240
1,note_on,76,52,0
1,note_on,76,0,240
1,note_on,72,49,0
1,note_on,72,0,240
1,note_on,67,49,0
1,note_on,67,0,240
1,note_on,69,39,240
1,note_on,69,0,240
1,note_on,72,45,0
1,note_on,72,0,240
1,note_on,76,38,0
1,note_on,76,0,240
1,note_on,72,33,0
1,note_on,72,0,240
1,note_on,69,33,0
1,note_on,69,0,240
1,note_on,69,34,240
1,note_on,69,0,240
1,note_on,72,41,0
1,note_on,72,0,240
1,note_on,76,35,0
1,note_on,76,0,240
1,note_on,72,32,0
1,note_on,72,0,240
1,note_on,69,32,0
1,note_on,69,0,240
1,note_on,68,33,240
1,note_on,68,0,240
1,note_on,71,41,0
1,note_on,71,0,240
1,note_on,76,36,0
1,note_on,76,0,240
1,note_on,71,32,0
1,note_on,71,0,240
1,note_on,68,33,0
1,note_on,68,0,240
1,note_on,64,31,240
1,note_on,64,0,240
1,note_on,68,37,0
1,note_on,68,0,240
1,note_on,71,31,0
1,note_on,71,0,240
1,note_on,68,31,0
1,note_on,68,0,240
1,note_on,64,27,0
1,note_on,64,0,240
1,note_on,64,26,240
1,note_on,64,0,240
1,note_on,68,33,0
1,note_on,68,0,240
1,note_on,73,31,0
1,note_on,73,0,240
1,note_on,68,30,0
1,note_on,68,0,240
1,note_on,64,30,0
1,note_on,64,0,240
1,note_on,61,27,240
1,note_on,64,34,240
1,note_on,64,0,240
1,note_on,68,30,0
1,note_on,68,0,240
1,note_on,64,26,0
1,note_on,61,0,210
1,note_on,64,0,30
1,note_on,61,29,0
1,note_on,61,0,240
1,note_on,63,31,240
1,note_on,63,0,240
1,note_on,67,38,0
1,note_on,67,0,240
1,note_on,70,34,0
1,note_on,70,0,240
1,note_on,67,31,0
1,note_on,67,0,240
1,note_on,63,31,0
1,note_on,63,0,240
1,note_on,64,31,240
1,note_on,64,0,240
1,note_on,68,38,0
1,note_on,68,0,240
1,note_on,73,32,0
1,note_on,73,0,240
1,note_on,68,29,0
1,note_on,68,0,240
1,note_on,64,29,0
1,note_on,64,0,240
1,note_on,63,31,240
1,note_on,63,0,240
