Track,Message Type,Note,Velocity,Time
1,note_on,46,77,1800
1,note_on,46,0,120
1,note_on,51,89,0
1,note_on,51,0,840
1,note_on,55,77,0
1,note_on,55,0,120
1,note_on,56,83,0
1,note_on,56,0,120
1,note_on,57,81,360
1,note_on,57,0,120
1,note_on,58,89,360
1,note_on,58,0,960
1,note_on,87,84,0
1,note_on,82,70,0
1,note_on,79,70,0
1,note_on,75,70,0
1,note_on,75,0,120
1,note_on,87,0,0
1,note_on,82,0,0
1,note_on,79,0,0
1,note_on,46,77,720
1,note_on,46,0,120
1,note_on,51,89,0
1,note_on,51,0,840
1,note_on,55,77,0
1,note_on,55,0,120
1,note_on,58,83,0
1,note_on,58,0,120
1,note_on,60,81,360
1,note_on,60,0,120
1,note_on,61,89,360
1,note_on,61,0,960
1,note_on,91,85,0
1,note_on,87,70,0
1,note_on,82,70,0
1,note_on,79,70,0
1,note_on,79,0,120
1,note_on,91,0,0
1,note_on,87,0,0
1,note_on,82,0,0
1,note_on,48,77,720
1,note_on,48,0,120
1,note_on,51,89,0
1,note_on,51,0,840
1,note_on,56,64,0
1,note_on,56,0,120
1,note_on,60,72,0
1,note_on,60,0,320
1,note_on,61,75,0
1,note_on,61,0,320
1,note_on,62,79,0
1,note_on,62,0,320
1,note_on,63,89,0
1,note_on,63,0,960
1,note_on,92,84,0
1,note_on,87,70,0
1,note_on,84,70,0
1,note_on,80,70,0
1,note_on,80,0,120
1,note_on,92,0,0
1,note_on,87,0,0
1,note_on,84,0,0
1,note_on,48,77,720
1,note_on,48,0,120
1,note_on,51,89,0
1,note_on,51,0,840
1,note_on,56,70,0
1,note_on,56,0,120
1,note_on,60,68,0
1,note_on,60,0,240
1,note_on,63,70,0
1,note_on,63,0,240
1,note_on,64,74,0
1,note_on,64,0,240
1,note_on,65,79,0
1,note_on,65,0,240
1,note_on,66,89,0
1,note_on,66,0,960
1,note_on,93,84,0
1,note_on,90,70,0
1,note_on,84,70,0
1,note_on,81,70,0
1,note_on,81,0,120
1,note_on,93,0,0
1,note_on,90,0,0
1,note_on,84,0,0
1,note_on,63,36,1000
1,note_on,68,36,0
1,note_on,68,0,48
1,note_on,63,0,0
1,note_on,65,36,112
1,note_on,71,36,0
1,note_on,71,0,48
1,note_on,65,0,0
1,note_on,66,40,112
1,note_on,72,40,0
1,note_on,72,0,48
1,note_on,66,0,0
1,note_on,68,37,112
1,note_on,74,37,0
1,note_on,74,0,48
1,note_on,68,0,0
1,note_on,69,37,112
1,note_on,75,37,0
1,note_on,75,0,48
1,note_on,69,0,0
1,note_on,71,41,112
1,note_on,77,41,0
1,note_on,77,0,48
1,note_on,71,0,0
1,note_on,72,37,112
1,note_on,78,37,0
1,note_on,78,0,48
1,note_on,72,0,0
1,note_on,74,38,112
1,note_on,80,38,0
1,note_on,80,0,48
1,note_on,74,0,0
1,note_on,75,42,112
1,note_on,81,42,0
1,note_on,81,0,48
1,note_on,75,0,0
1,note_on,77,40,112
1,note_on,83,40,0
1,note_on,83,0,48
1,note_on,77,0,0
1,note_on,78,40,112
1,note_on,84,40,0
1,note_on,84,0,48
1,note_on,78,0,0
1,note_on,80,42,112
1,note_on,86,42,0
1,note_on,86,0,48
1,note_on,80,0,0
1,note_on,81,44,112
1,note_on,87,44,0
1,note_on,87,0,48
1,note_on,81,0,0
1,note_on,83,45,112
1,note_on,89,45,0
1,note_on,89,0,48
1,note_on,83,0,0
1,note_on,84,46,112
1,note_on,90,46,0
1,note_on,90,0,48
1,note_on,84,0,0
1,note_on,86,47,112
1,note_on,92,47,0
1,note_on,92,0,48
1,note_on,86,0,0
1,note_on,87,48,112
1,note_on,93,48,0
1,note_on,93,0,48
1,note_on,87,0,0
1,note_on,89,51,112
1,note_on,95,51,0
1,note_on,95,0,48
1,note_on,89,0,0
1,note_on,90,53,112
1,note_on,96,53,0
1,note_on,96,0,48
1,note_on,90,0,0
1,note_on,91,55,112
1,note_on,97,55,0
1,note_on,97,0,48
1,note_on,91,0,0
1,note_on,92,58,112
1,note_on,98,58,0
1,note_on,98,0,36
1,note_on,92,0,0
1,note_on,93,61,84
1,note_on,99,61,0
1,note_on,99,0,36
1,note_on,93,0,0
1,note_on,94,62,84
1,note_on,100,62,0
1,note_on,100,0,36
1,note_on,94,0,0
1,note_on,95,64,84
1,note_on,101,64,0
1,note_on,101,0,36
1,note_on,95,0,0
