Track,Message Type,Note,Velocity,Time
1,note_on,61,50,2400
1,note_on,57,40,240
1,note_on,61,0,216
1,note_on,57,0,24
1,note_on,61,56,0
1,note_on,56,37,240
1,note_on,56,0,240
1,note_on,57,42,0
1,note_on,57,0,240
1,note_on,54,34,0
1,note_on,54,0,240
1,note_on,61,0,0
1,note_on,66,54,0
1,note_on,61,39,240
1,note_on,66,0,216
1,note_on,61,0,24
1,note_on,66,55,0
1,note_on,60,45,240
1,note_on,60,0,240
1,note_on,61,55,0
1,note_on,61,0,240
1,note_on,57,46,0
1,note_on,57,0,240
1,note_on,66,0,0
1,note_on,69,66,0
1,note_on,66,55,240
1,note_on,66,0,240
1,note_on,69,0,0
1,note_on,74,73,0
1,note_on,68,56,240
1,note_on,68,0,240
1,note_on,69,61,0
1,note_on,69,0,240
1,note_on,66,56,0
1,note_on,66,0,240
1,note_on,74,0,0
1,note_on,73,68,0
1,note_on,69,49,240
1,note_on,69,0,240
1,note_on,73,0,0
1,note_on,72,68,0
1,note_on,68,50,240
1,note_on,68,0,240
1,note_on,69,55,0
1,note_on,69,0,240
1,note_on,66,45,0
1,note_on,72,0,230
1,note_on,66,0,10
1,note_on,72,51,0
1,note_on,69,33,240
1,note_on,69,0,240
1,note_on,72,0,0
1,note_on,73,56,0
1,note_on,68,43,240
1,note_on,68,0,240
1,note_on,61,46,0
1,note_on,61,0,240
1,note_on,63,42,0
1,note_on,63,0,240
1,note_on,73,0,0
1,note_on,65,40,0
1,note_on,71,50,0
1,note_on,65,0,240
1,note_on,61,38,0
1,note_on,71,0,170
1,note_on,71,43,10
1,note_on,71,0,60
1,note_on,61,0,0
1,note_on,66,44,0
1,note_on,69,55,0
1,note_on,69,0,240
1,note_on,66,0,0
1,note_on,61,46,0
1,note_on,61,0,240
1,note_on,65,50,0
1,note_on,68,63,0
1,note_on,68,0,240
1,note_on,65,0,0
1,note_on,61,54,0
1,note_on,61,0,240
1,note_on,66,55,0
1,note_on,69,69,0
1,note_on,69,0,240
1,note_on,66,0,0
1,note_on,61,57,0
1,note_on,61,0,240
1,note_on,66,55,0
1,note_on,69,69,0
1,note_on,73,76,0
1,note_on,66,0,240
1,note_on,62,54,0
1,note_on,62,0,240
1,note_on,73,0,0
1,note_on,69,0,0
1,note_on,68,48,0
1,note_on,71,61,0
1,note_on,68,0,240
1,note_on,62,49,0
1,note_on,62,0,240
1,note_on,71,0,0
1,note_on,66,40,0
1,note_on,69,50,0
1,note_on,69,0,240
1,note_on,66,0,0
1,note_on,62,41,0
1,note_on,62,0,240
1,note_on,66,44,0
1,note_on,69,56,0
1,note_on,66,0,240
1,note_on,61,45,0
1,note_on,61,0,240
1,note_on,69,0,0
1,note_on,65,40,0
1,note_on,68,50,0
1,note_on,65,0,240
1,note_on,59,43,0
1,note_on,59,0,240
1,note_on,68,0,0
1,note_on,61,50,0
1,note_on,57,40,240
1,note_on,61,0,216
1,note_on,57,0,24
1,note_on,61,56,0
1,note_on,56,37,240
1,note_on,56,0,240
1,note_on,57,42,0
1,note_on,57,0,240
1,note_on,54,34,0
1,note_on,54,0,240
1,note_on,61,0,0
1,note_on,66,54,0
1,note_on,61,39,240
1,note_on,66,0,216
1,note_on,61,0,24
1,note_on,66,55,0
1,note_on,60,45,240
1,note_on,60,0,240
