Track,Message Type,Note,Velocity,Time
1,note_on,44,46,120
1,note_on,44,0,115
1,note_on,49,48,5
1,note_on,52,50,120
1,note_on,49,0,20
1,note_on,56,51,100
1,note_on,52,0,20
1,note_on,49,46,100
1,note_on,56,0,20
1,note_on,52,47,100
1,note_on,49,0,20
1,note_on,56,49,100
1,note_on,52,0,20
1,note_on,61,51,100
1,note_on,56,0,20
1,note_on,52,46,100
1,note_on,61,0,20
1,note_on,56,47,100
1,note_on,52,0,20
1,note_on,61,49,100
1,note_on,56,0,20
1,note_on,64,51,100
1,note_on,61,0,20
1,note_on,56,47,100
1,note_on,64,0,20
1,note_on,61,48,100
1,note_on,56,0,20
1,note_on,64,49,100
1,note_on,61,0,20
1,note_on,68,50,100
1,note_on,64,0,20
1,note_on,61,47,100
1,note_on,68,0,20
1,note_on,64,47,100
1,note_on,61,0,20
1,note_on,68,49,100
1,note_on,64,0,20
1,note_on,73,50,100
1,note_on,68,0,20
1,note_on,64,51,100
1,note_on,73,0,20
1,note_on,68,47,100
1,note_on,64,0,20
1,note_on,73,51,100
1,note_on,68,0,20
1,note_on,76,52,100
1,note_on,73,0,20
1,note_on,68,50,100
1,note_on,76,0,20
1,note_on,73,51,100
1,note_on,68,0,20
1,note_on,76,54,100
1,note_on,73,0,20
1,note_on,76,0,100
1,note_on,68,79,0
1,note_on,76,94,0
1,note_on,80,94,0
1,note_on,73,79,0
1,note_on,73,0,120
1,note_on,68,0,0
1,note_on,76,0,0
1,note_on,80,0,0
1,note_on,68,67,120
1,note_on,73,67,0
1,note_on,80,79,0
1,note_on,76,79,0
1,note_on,76,0,120
1,note_on,68,0,0
1,note_on,73,0,0
1,note_on,80,0,0
1,note_on,44,47,240
1,note_on,44,0,115
1,note_on,48,48,5
1,note_on,51,50,120
1,note_on,48,0,20
1,note_on,56,51,100
1,note_on,51,0,20
1,note_on,48,47,100
1,note_on,56,0,20
1,note_on,51,48,100
1,note_on,48,0,20
1,note_on,56,51,100
1,note_on,51,0,20
1,note_on,60,52,100
1,note_on,56,0,20
1,note_on,51,47,100
1,note_on,60,0,20
1,note_on,56,48,100
1,note_on,51,0,20
1,note_on,60,50,100
1,note_on,56,0,20
1,note_on,63,51,100
1,note_on,60,0,20
1,note_on,56,46,100
1,note_on,63,0,20
1,note_on,60,47,100
1,note_on,56,0,20
1,note_on,63,49,100
1,note_on,60,0,20
1,note_on,68,51,100
1,note_on,63,0,20
1,note_on,60,47,100
1,note_on,68,0,20
1,note_on,63,48,100
1,note_on,60,0,20
1,note_on,68,50,100
1,note_on,63,0,20
1,note_on,72,51,100
1,note_on,68,0,20
1,note_on,63,47,100
1,note_on,72,0,20
1,note_on,68,48,100
1,note_on,63,0,20
1,note_on,72,51,100
1,note_on,68,0,20
1,note_on,75,52,100
1,note_on,72,0,20
1,note_on,68,51,100
1,note_on,75,0,20
1,note_on,72,51,100
1,note_on,68,0,20
1,note_on,75,52,100
1,note_on,72,0,20
1,note_on,75,0,100
1,note_on,68,79,0
1,note_on,72,79,0
1,note_on,75,94,0
1,note_on,80,94,0
1,note_on,80,0,120
1,note_on,68,0,0
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,72,66,120
1,note_on,80,78,0
1,note_on,68,66,0
1,note_on,75,78,0
1,note_on,75,0,120
1,note_on,72,0,0
1,note_on,80,0,0
1,note_on,68,0,0
1,note_on,49,66,240
1,note_on,53,62,120
1,note_on,49,0,20
1,note_on,56,66,100
1,note_on,53,0,20
1,note_on,61,68,100
1,note_on,56,0,20
1,note_on,53,62,100
1,note_on,61,0,20
1,note_on,56,62,100
1,note_on,53,0,20
1,note_on,61,65,100
1,note_on,56,0,20
1,note_on,65,68,100
1,note_on,61,0,20
1,note_on,56,62,100
1,note_on,65,0,20
1,note_on,61,65,100
1,note_on,56,0,20
1,note_on,65,67,100
1,note_on,61,0,20
1,note_on,68,68,100
1,note_on,65,0,20
1,note_on,61,62,100
1,note_on,68,0,20
1,note_on,65,63,100
1,note_on,61,0,20
1,note_on,68,66,100
1,note_on,65,0,20
1,note_on,73,67,100
1,note_on,68,0,20
1,note_on,65,62,100
1,note_on,73,0,20
1,note_on,68,62,100
1,note_on,65,0,20
1,note_on,73,66,100
1,note_on,68,0,20
1,note_on,77,68,100
1,note_on,73,0,20
1,note_on,68,62,100
1,note_on,77,0,20
1,note_on,73,66,100
1,note_on,68,0,20
1,note_on,77,68,100
1,note_on,73,0,20
1,note_on,80,66,100
1,note_on,77,0,20
1,note_on,73,68,100
1,note_on,80,0,20
1,note_on,77,69,100
1,note_on,73,0,20
1,note_on,80,71,100
1,note_on,77,0,20
1,note_on,80,0,100
1,note_on,77,87,0
1,note_on,85,103,0
1,note_on,80,103,0
1,note_on,73,87,0
1,note_on,73,0,120
1,note_on,77,0,0
1,note_on,85,0,0
1,note_on,80,0,0
1,note_on,80,90,120
1,note_on,85,90,0
1,note_on,73,77,0
1,note_on,77,77,0
1,note_on,77,0,120
1,note_on,80,0,0
