Track,Message Type,Note,Velocity,Time
1,note_on,56,65,1
1,note_on,68,77,0
1,note_on,54,64,479
1,note_on,66,76,0
1,note_on,68,0,1
1,note_on,56,0,0
1,note_on,54,0,479
1,note_on,66,0,0
1,note_on,59,65,0
1,note_on,71,77,0
1,note_on,71,0,480
1,note_on,59,0,0
1,note_on,61,66,0
1,note_on,73,78,0
1,note_on,73,0,240
1,note_on,61,0,0
1,note_on,66,56,0
1,note_on,78,67,0
1,note_on,78,0,240
1,note_on,66,0,0
1,note_on,63,63,0
1,note_on,75,75,0
1,note_on,75,0,480
1,note_on,63,0,0
1,note_on,61,66,0
1,note_on,73,78,0
1,note_on,73,0,240
1,note_on,61,0,0
1,note_on,66,68,0
1,note_on,78,68,0
1,note_on,78,0,240
1,note_on,66,0,0
1,note_on,63,64,0
1,note_on,75,76,0
1,note_on,75,0,480
1,note_on,63,0,0
1,note_on,59,64,0
1,note_on,71,76,0
1,note_on,71,0,480
1,note_on,59,0,0
1,note_on,61,77,0
1,note_on,73,77,0
1,note_on,73,0,480
1,note_on,61,0,0
1,note_on,56,59,0
1,note_on,68,70,0
1,note_on,68,0,480
1,note_on,56,0,0
1,note_on,54,59,0
1,note_on,66,70,0
1,note_on,66,0,450
1,note_on,54,0,0
1,note_on,75,59,990
1,note_on,78,70,0
1,note_on,66,59,0
1,note_on,71,59,0
1,note_on,71,0,480
1,note_on,75,0,0
1,note_on,78,0,0
1,note_on,66,0,0
1,note_on,70,54,0
1,note_on,73,64,0
1,note_on,61,54,0
1,note_on,66,54,0
1,note_on,66,0,480
1,note_on,70,0,0
1,note_on,73,0,0
1,note_on,61,0,0
1,note_on,75,56,0
1,note_on,78,67,0
1,note_on,66,56,0
1,note_on,71,56,0
1,note_on,71,0,480
1,note_on,75,0,0
1,note_on,78,0,0
1,note_on,66,0,0
1,note_on,78,59,0
1,note_on,82,70,0
1,note_on,70,59,0
1,note_on,73,59,0
1,note_on,73,0,480
1,note_on,78,0,0
1,note_on,82,0,0
1,note_on,70,0,0
1,note_on,78,58,0
1,note_on,83,69,0
1,note_on,71,58,0
1,note_on,75,58,0
1,note_on,75,0,480
1,note_on,78,0,0
1,note_on,83,0,0
1,note_on,71,0,0
1,note_on,83,59,0
1,note_on,87,70,0
1,note_on,75,59,0
1,note_on,78,59,0
1,note_on,78,0,480
1,note_on,83,0,0
1,note_on,87,0,0
1,note_on,75,0,0
1,note_on,77,59,0
1,note_on,73,59,0
1,note_on,85,70,0
1,note_on,80,59,0
1,note_on,80,0,480
1,note_on,77,0,0
1,note_on,73,0,0
1,note_on,85,0,0
1,note_on,80,59,0
1,note_on,77,59,0
1,note_on,89,70,0
1,note_on,85,70,0
1,note_on,85,0,480
1,note_on,80,0,0
1,note_on,77,0,0
1,note_on,89,0,0
1,note_on,82,56,0
1,note_on,78,56,0
1,note_on,90,67,0
1,note_on,85,56,0
