Track,Message Type,Note,Velocity,Time
1,note_on,70,50,0
1,note_on,70,0,960
1,note_on,74,50,0
1,note_on,74,0,240
1,note_on,75,46,0
1,note_on,75,0,80
1,note_on,74,41,0
1,note_on,74,0,80
1,note_on,72,42,0
1,note_on,72,0,80
1,note_on,74,50,0
1,note_on,74,0,240
1,note_on,75,50,0
1,note_on,75,0,240
1,note_on,76,55,0
1,note_on,76,0,720
1,note_on,77,49,0
1,note_on,77,0,240
1,note_on,72,42,0
1,note_on,72,0,240
1,note_on,75,50,720
1,note_on,75,0,240
1,note_on,77,46,0
1,note_on,77,0,80
1,note_on,75,42,0
1,note_on,75,0,80
1,note_on,74,44,0
1,note_on,74,0,80
1,note_on,75,50,0
1,note_on,75,0,240
1,note_on,77,50,0
1,note_on,77,0,240
1,note_on,79,52,0
1,note_on,79,0,240
1,note_on,81,49,0
1,note_on,81,0,80
1,note_on,79,49,0
1,note_on,79,0,80
1,note_on,77,49,0
1,note_on,77,0,80
1,note_on,79,57,0
1,note_on,79,0,240
1,note_on,81,59,0
1,note_on,81,0,234
1,note_on,81,68,6
1,note_on,81,0,720
1,note_on,82,54,0
1,note_on,82,0,240
1,note_on,77,54,0
1,note_on,77,0,240
1,note_on,79,59,720
1,note_on,79,0,720
1,note_on,80,50,0
1,note_on,80,0,120
1,note_on,79,50,0
1,note_on,79,0,120
1,note_on,77,55,0
1,note_on,77,0,240
1,note_on,75,52,0
1,note_on,75,0,240
1,note_on,74,48,0
1,note_on,74,0,240
1,note_on,72,48,0
1,note_on,72,0,240
1,note_on,76,58,0
1,note_on,76,0,240
1,note_on,77,51,0
1,note_on,77,0,480
1,note_on,79,55,0
1,note_on,79,0,120
1,note_on,77,52,0
1,note_on,77,0,120
1,note_on,75,54,0
1,note_on,75,0,240
1,note_on,74,55,0
1,note_on,74,0,192
1,note_on,72,56,48
1,note_on,72,0,192
1,note_on,70,59,48
1,note_on,70,0,192
1,note_on,77,66,48
1,note_on,77,0,240
1,note_on,75,54,0
1,note_on,75,0,480
1,note_on,72,51,0
1,note_on,72,0,240
1,note_on,75,65,0
1,note_on,75,0,240
1,note_on,74,54,0
1,note_on,74,0,480
1,note_on,70,54,0
1,note_on,70,0,240
1,note_on,74,59,0
1,note_on,74,0,720
1,note_on,75,43,0
1,note_on,75,0,120
1,note_on,74,43,0
1,note_on,74,0,120
1,note_on,72,50,0
1,note_on,72,0,240
1,note_on,77,53,0
1,note_on,77,0,240
1,note_on,75,49,0
1,note_on,75,0,240
1,note_on,72,47,0
1,note_on,72,0,240
1,note_on,70,50,0
1,note_on,70,0,240
1,note_on,72,43,0
1,note_on,72,0,80
1,note_on,70,38,0
1,note_on,70,0,80
1,note_on,69,38,0
1,note_on,69,0,80
1,note_on,70,45,0
1,note_on,70,0,240
1,note_on,72,50,0
1,note_on,72,0,240
1,note_on,73,50,0
1,note_on,73,0,240
1,note_on,75,44,0
1,note_on,75,0,80
1,note_on,73,40,0
1,note_on,73,0,80
1,note_on,72,41,0
1,note_on,72,0,80
1,note_on,73,50,0
1,note_on,73,0,240
1,note_on,75,50,0
1,note_on,75,0,240
1,note_on,76,55,0
1,note_on,76,0,720
1,note_on,77,49,0
1,note_on,77,0,240
1,note_on,72,49,0
1,note_on,72,0,240
1,note_on,75,55,720
1,note_on,75,0,240
1,note_on,77,49,0
1,note_on,77,0,80
1,note_on,75,44,0
1,note_on,75,0,80
1,note_on,74,44,0
1,note_on,74,0,80
1,note_on,75,59,0
1,note_on,75,0,240
1,note_on,77,53,0
1,note_on,77,0,240
1,note_on,78,56,0
1,note_on,78,0,240
1,note_on,80,55,0
1,note_on,80,0,80
1,note_on,78,56,0
1,note_on,78,0,80
1,note_on,77,56,0
1,note_on,77,0,80
1,note_on,78,63,0
1,note_on,78,0,240
1,note_on,80,61,0
1,note_on,80,0,240
1,note_on,81,68,0
1,note_on,81,0,720
1,note_on,82,64,0
1,note_on,82,0,240
1,note_on,77,59,0
1,note_on,77,0,240
1,note_on,76,69,600
1,note_on,76,0,120
1,note_on,85,94,0
1,note_on,85,0,1200
1,note_on,84,60,0
1,note_on,84,0,120
1,note_on,82,55,0
1,note_on,82,0,120
