Track,Message Type,Note,Velocity,Time
1,note_on,67,48,1200
1,note_on,67,0,120
1,note_on,72,49,120
1,note_on,72,0,120
1,note_on,74,51,120
1,note_on,74,0,120
1,note_on,75,52,120
1,note_on,75,0,720
1,note_on,77,50,0
1,note_on,77,0,240
1,note_on,74,53,0
1,note_on,74,0,720
1,note_on,75,50,0
1,note_on,75,0,240
1,note_on,72,52,0
1,note_on,72,0,900
1,note_on,74,48,0
1,note_on,74,0,60
1,note_on,72,52,0
1,note_on,72,0,240
1,note_on,71,51,0
1,note_on,71,0,240
1,note_on,72,51,0
1,note_on,72,0,240
1,note_on,74,50,0
1,note_on,74,0,180
1,note_on,77,49,0
1,note_on,77,0,60
1,note_on,75,56,0
1,note_on,75,0,240
1,note_on,74,52,0
1,note_on,74,0,240
1,note_on,75,52,0
1,note_on,75,0,240
1,note_on,77,52,0
1,note_on,77,0,240
1,note_on,79,56,0
1,note_on,79,0,240
1,note_on,79,55,240
1,note_on,79,0,240
1,note_on,79,57,240
1,note_on,79,0,1440
1,note_on,77,51,0
1,note_on,77,0,240
1,note_on,79,53,0
1,note_on,79,0,120
1,note_on,77,48,0
1,note_on,77,0,60
1,note_on,79,48,0
1,note_on,79,0,60
1,note_on,80,56,0
1,note_on,80,0,960
1,note_on,74,52,0
1,note_on,74,0,480
1,note_on,75,51,0
1,note_on,75,0,240
1,note_on,77,53,0
1,note_on,77,0,120
1,note_on,75,50,0
1,note_on,75,0,60
1,note_on,77,50,0
1,note_on,77,0,60
1,note_on,79,56,0
1,note_on,79,0,960
1,note_on,72,52,0
1,note_on,72,0,474
1,note_on,72,53,6
1,note_on,72,0,240
1,note_on,74,54,0
1,note_on,74,0,240
1,note_on,75,57,0
1,note_on,75,0,240
1,note_on,75,53,240
1,note_on,75,0,240
1,note_on,77,46,0
1,note_on,77,0,240
1,note_on,74,57,0
1,note_on,74,0,240
1,note_on,74,51,240
1,note_on,74,0,240
1,note_on,75,54,0
1,note_on,75,0,240
1,note_on,72,57,0
1,note_on,72,0,480
