Track,Message Type,Note,Velocity,Time
1,note_on,69,50,1
1,note_on,69,0,159
1,note_on,71,46,0
1,note_on,71,0,160
1,note_on,72,46,0
1,note_on,72,0,160
1,note_on,71,50,0
1,note_on,71,0,160
1,note_on,72,46,0
1,note_on,72,0,160
1,note_on,74,46,0
1,note_on,74,0,160
1,note_on,76,65,0
1,note_on,76,0,480
1,note_on,69,50,0
1,note_on,69,0,160
1,note_on,71,45,0
1,note_on,71,0,160
1,note_on,72,45,0
1,note_on,72,0,160
1,note_on,71,70,0
1,note_on,72,44,160
1,note_on,72,0,160
1,note_on,74,44,0
1,note_on,74,0,160
1,note_on,71,0,0
1,note_on,76,65,0
1,note_on,76,0,480
1,note_on,69,50,0
1,note_on,69,0,160
1,note_on,71,45,0
1,note_on,71,0,160
1,note_on,72,45,0
1,note_on,72,0,160
1,note_on,71,66,0
1,note_on,72,45,160
1,note_on,72,0,160
1,note_on,74,45,0
1,note_on,74,0,160
1,note_on,71,0,0
1,note_on,72,50,0
1,note_on,72,0,160
1,note_on,74,48,0
1,note_on,74,0,160
1,note_on,76,50,0
1,note_on,76,0,160
1,note_on,77,50,0
1,note_on,77,0,160
1,note_on,79,54,0
1,note_on,79,0,160
1,note_on,81,58,0
1,note_on,81,0,160
1,note_on,79,61,0
1,note_on,79,0,160
1,note_on,77,56,0
1,note_on,77,0,160
1,note_on,76,53,0
1,note_on,76,0,160
1,note_on,74,55,0
1,note_on,74,0,160
1,note_on,72,52,0
1,note_on,72,0,160
1,note_on,71,48,0
1,note_on,71,0,160
1,note_on,69,56,0
1,note_on,69,0,160
1,note_on,71,50,0
1,note_on,71,0,160
1,note_on,72,50,0
1,note_on,72,0,160
1,note_on,71,53,0
1,note_on,71,0,160
1,note_on,69,48,0
1,note_on,69,0,160
1,note_on,67,48,0
1,note_on,67,0,160
1,note_on,65,53,0
1,note_on,65,0,160
1,note_on,64,47,0
1,note_on,64,0,160
1,note_on,63,47,0
1,note_on,63,0,160
1,note_on,64,57,0
1,note_on,64,0,480
1,note_on,59,50,480
1,note_on,59,0,160
1,note_on,61,45,0
1,note_on,61,0,160
1,note_on,63,45,0
1,note_on,63,0,160
1,note_on,64,54,0
1,note_on,64,0,160
1,note_on,66,49,0
1,note_on,66,0,160
1,note_on,68,49,0
1,note_on,68,0,160
1,note_on,69,59,0
1,note_on,69,0,480
1,note_on,59,50,0
1,note_on,59,0,160
1,note_on,61,45,0
1,note_on,61,0,160
1,note_on,63,45,0
1,note_on,63,0,160
1,note_on,64,54,0
1,note_on,64,0,160
1,note_on,66,48,0
1,note_on,66,0,160
1,note_on,68,48,0
1,note_on,68,0,160
1,note_on,69,58,0
1,note_on,69,0,480
1,note_on,59,50,0
1,note_on,59,0,160
1,note_on,61,46,0
1,note_on,61,0,160
1,note_on,63,46,0
1,note_on,63,0,160
1,note_on,64,54,0
1,note_on,64,0,160
1,note_on,66,47,0
1,note_on,66,0,160
1,note_on,68,47,0
1,note_on,68,0,160
1,note_on,66,60,0
1,note_on,66,0,160
1,note_on,68,53,0
1,note_on,68,0,160
1,note_on,69,53,0
1,note_on,69,0,160
1,note_on,68,64,0
1,note_on,68,0,160
1,note_on,69,58,0
1,note_on,69,0,160
1,note_on,71,60,0
1,note_on,71,0,160
1,note_on,69,68,0
1,note_on,69,0,160
1,note_on,71,60,0
1,note_on,71,0,160
1,note_on,72,63,0
1,note_on,72,0,160
1,note_on,71,73,0
1,note_on,71,0,160
1,note_on,72,63,0
1,note_on,72,0,160
1,note_on,74,68,0
1,note_on,74,0,160
1,note_on,72,79,0
1,note_on,72,0,160
1,note_on,74,68,0
1,note_on,74,0,160
1,note_on,76,74,0
1,note_on,76,0,160
1,note_on,77,90,0
1,note_on,77,0,160
1,note_on,76,77,0
1,note_on,76,0,160
1,note_on,74,79,0
1,note_on,74,0,160
1,note_on,77,88,0
1,note_on,83,88,0
1,note_on,77,0,160
1,note_on,76,79,0
