Track,Message Type,Note,Velocity,Time
1,note_on,82,54,0
1,note_on,82,0,240
1,note_on,81,47,0
1,note_on,81,0,240
1,note_on,82,47,0
1,note_on,82,0,240
1,note_on,79,51,0
1,note_on,79,0,240
1,note_on,81,46,0
1,note_on,81,0,120
1,note_on,82,47,0
1,note_on,82,0,120
1,note_on,84,49,0
1,note_on,84,0,120
1,note_on,86,50,0
1,note_on,86,0,120
1,note_on,82,53,0
1,note_on,82,0,240
1,note_on,84,54,0
1,note_on,84,0,120
1,note_on,82,47,0
1,note_on,82,0,120
1,note_on,81,51,0
1,note_on,81,0,120
1,note_on,79,47,0
1,note_on,79,0,120
1,note_on,77,56,0
1,note_on,77,0,60
1,note_on,77,51,180
1,note_on,77,0,60
1,note_on,77,50,180
1,note_on,77,0,60
1,note_on,78,61,180
1,note_on,78,0,240
1,note_on,90,57,0
1,note_on,90,0,240
1,note_on,90,57,0
1,note_on,90,0,60
1,note_on,91,65,180
1,note_on,91,0,240
1,note_on,79,51,0
1,note_on,79,0,240
1,note_on,79,51,0
1,note_on,79,0,60
1,note_on,81,53,180
1,note_on,81,0,60
1,note_on,94,46,150
1,note_on,94,0,30
1,note_on,93,52,0
1,note_on,93,0,120
1,note_on,91,51,0
1,note_on,91,0,120
1,note_on,93,52,0
1,note_on,93,0,240
1,note_on,94,54,0
1,note_on,94,0,60
1,note_on,84,45,150
1,note_on,84,0,30
1,note_on,82,51,0
1,note_on,82,0,120
1,note_on,81,47,0
1,note_on,81,0,120
1,note_on,82,51,0
1,note_on,82,0,120
1,note_on,70,34,120
1,note_on,74,40,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,77,35,0
1,note_on,77,0,120
1,note_on,70,34,0
1,note_on,74,41,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,77,34,0
1,note_on,77,0,120
1,note_on,74,41,0
1,note_on,70,34,0
1,note_on,70,0,120
1,note_on,74,0,0
1,note_on,77,35,0
1,note_on,77,0,120
1,note_on,70,35,0
1,note_on,74,42,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,79,35,0
1,note_on,79,0,120
1,note_on,70,34,0
1,note_on,74,41,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,79,34,0
1,note_on,79,0,120
1,note_on,70,34,0
1,note_on,74,41,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,79,34,0
1,note_on,79,0,120
1,note_on,70,37,0
1,note_on,74,44,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,77,35,0
1,note_on,77,0,120
1,note_on,70,34,0
1,note_on,74,41,0
1,note_on,74,0,120
1,note_on,70,0,0
1,note_on,77,34,0
1,note_on,77,0,120
1,note_on,74,41,0
1,note_on,70,34,0
1,note_on,70,0,120
1,note_on,74,0,0
1,note_on,77,34,0
1,note_on,77,0,120
1,note_on,75,47,0
1,note_on,69,39,0
1,note_on,69,0,120
1,note_on,75,0,0
1,note_on,77,35,0
1,note_on,77,0,120
1,note_on,75,41,0
1,note_on,69,34,0
1,note_on,69,0,120
1,note_on,75,0,0
1,note_on,77,37,0
1,note_on,77,0,120
1,note_on,75,41,0
1,note_on,69,34,0
1,note_on,69,0,120
1,note_on,75,0,0
1,note_on,77,35,0
1,note_on,77,0,120
1,note_on,69,38,0
1,note_on,75,45,0
1,note_on,75,0,120
1,note_on,69,0,0
1,note_on,81,35,0
1,note_on,81,0,120
1,note_on,69,34,0
1,note_on,75,41,0
1,note_on,75,0,120
