Track,Message Type,Note,Velocity,Time
1,note_on,86,92,0
1,note_on,81,78,0
1,note_on,78,78,0
1,note_on,74,78,0
1,note_on,74,0,960
1,note_on,86,0,0
1,note_on,81,0,0
1,note_on,78,0,0
1,note_on,57,56,0
1,note_on,62,66,0
1,note_on,62,0,120
1,note_on,57,0,0
1,note_on,57,51,120
1,note_on,62,61,0
1,note_on,62,0,120
1,note_on,57,0,0
1,note_on,57,56,120
1,note_on,62,66,0
1,note_on,62,0,120
1,note_on,57,0,0
1,note_on,57,51,120
1,note_on,62,60,0
1,note_on,62,0,120
1,note_on,57,0,0
1,note_on,57,62,120
1,note_on,62,73,0
1,note_on,57,0,480
1,note_on,59,53,0
1,note_on,64,63,0
1,note_on,64,0,240
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,60,56,240
1,note_on,62,56,0
1,note_on,66,66,0
1,note_on,66,0,120
1,note_on,62,0,0
1,note_on,60,0,0
1,note_on,60,51,120
1,note_on,62,51,0
1,note_on,66,61,0
1,note_on,66,0,120
1,note_on,62,0,0
1,note_on,60,0,0
1,note_on,60,56,120
1,note_on,62,56,0
1,note_on,66,66,0
1,note_on,66,0,120
1,note_on,62,0,0
1,note_on,60,0,0
1,note_on,60,51,120
1,note_on,62,51,0
1,note_on,66,60,0
1,note_on,66,0,120
1,note_on,62,0,0
1,note_on,60,0,0
1,note_on,60,62,120
1,note_on,62,62,0
1,note_on,66,73,0
1,note_on,66,0,480
1,note_on,60,0,0
1,note_on,59,53,0
1,note_on,67,63,0
1,note_on,67,0,240
1,note_on,59,0,0
1,note_on,62,0,0
1,note_on,64,57,0
1,note_on,64,0,240
1,note_on,67,63,0
1,note_on,67,0,160
1,note_on,66,57,0
1,note_on,66,0,160
1,note_on,64,57,0
1,note_on,64,0,160
1,note_on,70,63,0
1,note_on,70,0,160
1,note_on,69,58,0
1,note_on,69,0,160
1,note_on,67,58,0
1,note_on,67,0,160
1,note_on,69,63,0
1,note_on,69,0,240
1,note_on,78,56,240
1,note_on,78,0,160
1,note_on,76,46,0
1,note_on,76,0,160
1,note_on,74,46,0
1,note_on,74,0,160
1,note_on,81,57,0
1,note_on,81,0,160
1,note_on,79,47,0
