Track,Message Type,Note,Velocity,Time
1,note_on,83,40,4
1,note_on,87,34,116
1,note_on,83,0,4
1,note_on,87,0,116
1,note_on,83,40,0
1,note_on,83,0,120
1,note_on,80,34,0
1,note_on,80,0,90
1,note_on,80,40,30
1,note_on,80,0,120
1,note_on,83,34,0
1,note_on,83,0,120
1,note_on,80,40,0
1,note_on,80,0,120
1,note_on,75,34,0
1,note_on,75,0,90
1,note_on,75,40,30
1,note_on,75,0,120
1,note_on,80,34,0
1,note_on,80,0,120
1,note_on,75,40,0
1,note_on,75,0,120
1,note_on,71,34,0
1,note_on,71,0,90
1,note_on,71,40,30
1,note_on,71,0,120
1,note_on,75,34,0
1,note_on,75,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,68,34,0
1,note_on,68,0,90
1,note_on,68,40,30
1,note_on,68,0,120
1,note_on,71,34,0
1,note_on,71,0,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,63,34,0
1,note_on,63,0,120
1,note_on,67,30,0
1,note_on,70,36,0
1,note_on,70,0,240
1,note_on,67,0,0
1,note_on,83,40,240
1,note_on,83,0,120
1,note_on,87,34,0
1,note_on,87,0,120
1,note_on,83,40,0
1,note_on,83,0,120
1,note_on,80,34,0
1,note_on,80,0,90
1,note_on,80,40,30
1,note_on,80,0,120
1,note_on,83,34,0
1,note_on,83,0,120
1,note_on,80,40,0
1,note_on,80,0,120
1,note_on,75,34,0
1,note_on,75,0,90
1,note_on,75,40,30
1,note_on,75,0,120
1,note_on,80,34,0
1,note_on,80,0,120
1,note_on,75,40,0
1,note_on,75,0,120
1,note_on,71,34,0
1,note_on,71,0,90
1,note_on,71,40,30
1,note_on,71,0,120
1,note_on,75,34,0
1,note_on,75,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,68,34,0
1,note_on,68,0,90
1,note_on,68,40,30
1,note_on,68,0,120
1,note_on,71,34,0
1,note_on,71,0,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,63,34,0
1,note_on,63,0,120
1,note_on,67,30,0
1,note_on,70,36,0
1,note_on,70,0,240
1,note_on,67,0,0
1,note_on,68,31,240
1,note_on,71,31,0
1,note_on,71,0,456
1,note_on,68,0,0
1,note_on,67,31,24
1,note_on,70,31,0
1,note_on,76,31,0
1,note_on,76,0,456
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,67,36,24
1,note_on,70,36,0
1,note_on,76,36,0
1,note_on,76,0,456
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,67,37,24
1,note_on,70,37,0
1,note_on,76,37,0
1,note_on,76,0,456
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,67,31,24
1,note_on,70,31,0
1,note_on,75,31,0
1,note_on,75,0,456
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,67,31,24
1,note_on,70,31,0
1,note_on,73,31,0
1,note_on,73,0,456
1,note_on,70,0,0
1,note_on,67,0,0
1,note_on,83,40,24
1,note_on,83,0,120
1,note_on,87,34,0
1,note_on,87,0,120
1,note_on,83,40,0
1,note_on,83,0,120
1,note_on,80,34,0
1,note_on,80,0,90
1,note_on,80,40,30
1,note_on,80,0,120
1,note_on,83,34,0
1,note_on,83,0,120
1,note_on,80,40,0
1,note_on,80,0,120
1,note_on,75,34,0
1,note_on,75,0,90
1,note_on,75,40,30
1,note_on,75,0,120
1,note_on,80,34,0
1,note_on,80,0,120
1,note_on,75,40,0
1,note_on,75,0,120
1,note_on,71,34,0
1,note_on,71,0,90
1,note_on,71,40,30
1,note_on,71,0,120
1,note_on,75,34,0
1,note_on,75,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,68,34,0
1,note_on,68,0,90
1,note_on,68,40,30
1,note_on,68,0,120
1,note_on,71,34,0
1,note_on,71,0,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,63,34,0
1,note_on,63,0,120
1,note_on,67,30,0
1,note_on,70,36,0
1,note_on,70,0,240
1,note_on,67,0,0
1,note_on,83,40,240
1,note_on,83,0,120
1,note_on,87,34,0
1,note_on,87,0,120
1,note_on,83,40,0
1,note_on,83,0,120
1,note_on,80,34,0
1,note_on,80,0,90
1,note_on,80,40,30
1,note_on,80,0,120
1,note_on,83,34,0
1,note_on,83,0,120
1,note_on,80,40,0
1,note_on,80,0,120
1,note_on,75,34,0
1,note_on,75,0,90
1,note_on,75,40,30
1,note_on,75,0,120
1,note_on,80,34,0
1,note_on,80,0,120
1,note_on,75,40,0
1,note_on,75,0,120
1,note_on,71,34,0
1,note_on,71,0,90
1,note_on,71,40,30
1,note_on,71,0,120
1,note_on,75,34,0
1,note_on,75,0,120
1,note_on,71,40,0
1,note_on,71,0,120
1,note_on,68,34,0
1,note_on,68,0,90
1,note_on,68,40,30
1,note_on,68,0,120
1,note_on,71,34,0
1,note_on,71,0,120
1,note_on,68,40,0
1,note_on,68,0,120
1,note_on,63,34,0
1,note_on,63,0,120
1,note_on,70,36,0
1,note_on,67,30,0
1,note_on,67,0,240
1,note_on,70,0,0
1,note_on,68,31,240
1,note_on,71,31,0
1,note_on,71,0,456
1,note_on,68,0,0
1,note_on,76,31,24
1,note_on,70,31,0
1,note_on,66,31,0
1,note_on,66,0,456
1,note_on,70,0,0
1,note_on,76,0,0
1,note_on,66,36,24
1,note_on,70,36,0
1,note_on,76,36,0
1,note_on,76,0,456
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,66,37,24
1,note_on,70,37,0
1,note_on,76,37,0
1,note_on,76,0,456
1,note_on,70,0,0
1,note_on,66,0,0
1,note_on,75,31,24
1,note_on,70,31,0
1,note_on,66,31,0
1,note_on,66,0,456
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,70,31,24
1,note_on,66,31,0
1,note_on,74,31,0
1,note_on,74,0,456
1,note_on,66,0,0
1,note_on,70,0,0
1,note_on,87,50,24
1,note_on,87,0,120
1,note_on,90,42,0
1,note_on,90,0,120
1,note_on,87,50,0
1,note_on,87,0,120
1,note_on,83,42,0
1,note_on,83,0,90
1,note_on,83,50,30
1,note_on,83,0,120
1,note_on,87,42,0
1,note_on,87,0,120
1,note_on,83,50,0
1,note_on,83,0,120
1,note_on,78,42,0
1,note_on,78,0,90
1,note_on,78,50,30
1,note_on,78,0,120
1,note_on,83,42,0
1,note_on,83,0,120
1,note_on,78,50,0
1,note_on,78,0,120
1,note_on,75,42,0
1,note_on,75,0,90
1,note_on,75,50,30
1,note_on,75,0,120
1,note_on,78,42,0
1,note_on,78,0,120
1,note_on,75,50,0
1,note_on,75,0,120
1,note_on,71,42,0
1,note_on,71,0,90
1,note_on,71,50,30
1,note_on,71,0,120
1,note_on,75,42,0
1,note_on,75,0,120
1,note_on,71,50,0
1,note_on,71,0,120
1,note_on,66,42,0
1,note_on,66,0,120
1,note_on,70,37,0
1,note_on,73,45,0
1,note_on,73,0,240
1,note_on,70,0,0
1,note_on,87,50,240
1,note_on,87,0,120
1,note_on,90,42,0
1,note_on,90,0,120
1,note_on,87,50,0
1,note_on,87,0,120
1,note_on,83,42,0
1,note_on,83,0,90
1,note_on,83,50,30
1,note_on,83,0,120
1,note_on,87,42,0
1,note_on,87,0,120
1,note_on,83,50,0
1,note_on,83,0,120
1,note_on,78,42,0
1,note_on,78,0,90
1,note_on,78,50,30
1,note_on,78,0,120
1,note_on,83,42,0
1,note_on,83,0,120
1,note_on,78,50,0
1,note_on,78,0,120
1,note_on,75,42,0
1,note_on,75,0,90
1,note_on,75,50,30
1,note_on,75,0,120
1,note_on,78,42,0
1,note_on,78,0,120
1,note_on,75,50,0
1,note_on,75,0,120
1,note_on,71,42,0
1,note_on,71,0,90
1,note_on,71,50,30
1,note_on,71,0,120
1,note_on,75,42,0
1,note_on,75,0,120
1,note_on,71,50,0
1,note_on,71,0,120
1,note_on,66,42,0
1,note_on,66,0,120
1,note_on,70,37,0
1,note_on,73,45,0
1,note_on,73,0,240
1,note_on,70,0,0
1,note_on,71,41,240
1,note_on,75,41,0
1,note_on,75,0,456
1,note_on,71,0,0
1,note_on,70,47,24
1,note_on,80,47,0
1,note_on,73,47,0
1,note_on,73,0,456
1,note_on,80,0,0
1,note_on,70,0,0
1,note_on,80,48,24
1,note_on,73,48,0
1,note_on,70,48,0
1,note_on,70,0,456
1,note_on,73,0,0
1,note_on,80,0,0
1,note_on,80,49,24
1,note_on,73,49,0
1,note_on,70,49,0
1,note_on,70,0,456
1,note_on,73,0,0
1,note_on,80,0,0
1,note_on,78,39,24
1,note_on,70,39,0
1,note_on,75,39,0
1,note_on,75,0,456
1,note_on,70,0,0
1,note_on,78,0,0
1,note_on,76,39,24
1,note_on,70,39,0
1,note_on,70,0,456
1,note_on,76,0,0
1,note_on,86,50,24
1,note_on,86,0,120
1,note_on,90,42,0
1,note_on,90,0,120
1,note_on,86,50,0
1,note_on,86,0,120
1,note_on,83,42,0
1,note_on,83,0,90
1,note_on,83,50,30
1,note_on,83,0,120
1,note_on,86,42,0
1,note_on,86,0,120
1,note_on,83,50,0
1,note_on,83,0,120
1,note_on,78,42,0
1,note_on,78,0,90
1,note_on,78,50,30
1,note_on,78,0,120
1,note_on,83,42,0
1,note_on,83,0,120
1,note_on,78,50,0
1,note_on,78,0,120
1,note_on,74,42,0
1,note_on,74,0,90
1,note_on,74,50,30
1,note_on,74,0,120
1,note_on,78,42,0
1,note_on,78,0,120
1,note_on,74,50,0
1,note_on,74,0,120
1,note_on,71,42,0
1,note_on,71,0,90
1,note_on,71,50,30
1,note_on,71,0,120
1,note_on,74,42,0
1,note_on,74,0,120
1,note_on,71,50,0
1,note_on,71,0,120
1,note_on,66,42,0
1,note_on,66,0,120
1,note_on,73,45,0
1,note_on,70,37,0
1,note_on,70,0,240
1,note_on,73,0,0
1,note_on,86,50,240
1,note_on,86,0,120
1,note_on,90,42,0
1,note_on,90,0,120
1,note_on,86,50,0
1,note_on,86,0,120
1,note_on,83,42,0
1,note_on,83,0,90
1,note_on,83,50,30
1,note_on,83,0,120
1,note_on,86,42,0
1,note_on,86,0,120
1,note_on,83,50,0
1,note_on,83,0,120
1,note_on,78,42,0
1,note_on,78,0,90
1,note_on,78,50,30
1,note_on,78,0,120
1,note_on,83,43,0
1,note_on,83,0,120
