Track,Message Type,Note,Velocity,Time
1,note_on,81,56,960
1,note_on,69,45,0
1,note_on,69,0,480
1,note_on,81,0,0
1,note_on,70,48,0
1,note_on,82,59,0
1,note_on,82,0,480
1,note_on,70,0,0
1,note_on,76,51,0
1,note_on,88,63,0
1,note_on,88,0,480
1,note_on,76,0,0
1,note_on,79,54,0
1,note_on,91,67,0
1,note_on,91,0,480
1,note_on,79,0,0
1,note_on,91,69,0
1,note_on,79,56,0
1,note_on,79,0,960
1,note_on,91,0,0
1,note_on,68,51,0
1,note_on,80,63,0
1,note_on,80,0,480
1,note_on,68,0,0
1,note_on,81,69,0
1,note_on,69,56,0
1,note_on,69,0,480
1,note_on,81,0,0
1,note_on,72,51,0
1,note_on,84,63,0
1,note_on,84,0,480
1,note_on,72,0,0
1,note_on,89,68,0
1,note_on,77,55,0
1,note_on,77,0,480
1,note_on,89,0,0
1,note_on,77,55,0
1,note_on,89,68,0
1,note_on,89,0,960
1,note_on,77,0,0
1,note_on,78,56,0
1,note_on,66,45,0
1,note_on,66,0,480
1,note_on,78,0,0
1,note_on,67,48,0
1,note_on,79,59,0
1,note_on,79,0,480
1,note_on,67,0,0
1,note_on,70,51,0
1,note_on,82,63,0
1,note_on,82,0,480
1,note_on,70,0,0
1,note_on,74,54,0
1,note_on,86,67,0
1,note_on,86,0,480
1,note_on,74,0,0
1,note_on,86,69,0
1,note_on,74,56,0
1,note_on,74,0,960
1,note_on,86,0,0
1,note_on,64,51,0
1,note_on,76,63,0
1,note_on,76,0,480
1,note_on,64,0,0
1,note_on,77,69,0
1,note_on,65,56,0
1,note_on,65,0,480
1,note_on,77,0,0
1,note_on,69,47,0
1,note_on,81,58,0
1,note_on,81,0,480
1,note_on,69,0,0
1,note_on,84,58,0
1,note_on,72,47,0
1,note_on,72,0,480
1,note_on,84,0,0
1,note_on,72,44,0
1,note_on,84,54,0
1,note_on,69,38,900
1,note_on,84,0,60
1,note_on,72,0,0
1,note_on,81,45,0
1,note_on,69,0,420
1,note_on,70,40,0
1,note_on,81,0,60
1,note_on,82,48,0
1,note_on,70,0,420
1,note_on,76,43,0
1,note_on,82,0,60
1,note_on,88,51,0
1,note_on,76,0,420
1,note_on,79,45,0
1,note_on,88,0,60
1,note_on,91,54,0
1,note_on,79,0,420
1,note_on,79,47,0
1,note_on,91,0,60
1,note_on,91,56,0
1,note_on,91,0,960
1,note_on,79,0,0
1,note_on,68,43,0
1,note_on,80,51,0
1,note_on,80,0,480
1,note_on,68,0,0
1,note_on,81,53,0
1,note_on,69,44,0
1,note_on,69,0,480
