Track,Message Type,Note,Velocity,Time
1,note_on,68,60,4
1,note_on,68,0,240
1,note_on,64,66,0
1,note_on,64,0,120
1,note_on,61,60,0
1,note_on,61,0,120
1,note_on,64,60,0
1,note_on,64,0,120
1,note_on,68,60,0
1,note_on,68,0,120
1,note_on,64,64,0
1,note_on,64,0,120
1,note_on,61,60,0
1,note_on,61,0,120
1,note_on,64,60,0
1,note_on,64,0,120
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,63,63,0
1,note_on,63,0,120
1,note_on,60,60,0
1,note_on,60,0,120
1,note_on,63,60,0
1,note_on,63,0,120
1,note_on,69,60,0
1,note_on,69,0,120
1,note_on,63,63,0
1,note_on,63,0,120
1,note_on,60,60,0
1,note_on,60,0,120
1,note_on,63,60,0
1,note_on,63,0,120
1,note_on,68,60,0
1,note_on,68,0,120
1,note_on,68,66,0
1,note_on,68,0,120
1,note_on,64,63,0
1,note_on,64,0,120
1,note_on,68,63,0
1,note_on,68,0,120
1,note_on,76,63,0
1,note_on,76,0,120
1,note_on,68,66,0
1,note_on,68,0,120
1,note_on,64,63,0
1,note_on,64,0,120
1,note_on,68,63,0
1,note_on,68,0,120
1,note_on,73,63,0
1,note_on,73,0,120
1,note_on,69,67,0
1,note_on,69,0,120
1,note_on,68,60,0
1,note_on,68,0,120
1,note_on,66,61,0
1,note_on,66,0,120
1,note_on,73,62,0
1,note_on,73,0,120
1,note_on,72,68,0
1,note_on,72,0,120
1,note_on,66,65,0
1,note_on,66,0,120
1,note_on,68,66,0
1,note_on,68,0,120
1,note_on,72,67,0
1,note_on,72,0,120
1,note_on,73,72,0
1,note_on,73,0,120
1,note_on,64,63,0
1,note_on,64,0,120
1,note_on,68,65,0
1,note_on,68,0,120
1,note_on,73,67,0
1,note_on,73,0,120
1,note_on,76,69,0
1,note_on,76,0,120
1,note_on,68,64,0
1,note_on,68,0,120
1,note_on,76,66,0
1,note_on,76,0,120
1,note_on,80,68,0
1,note_on,80,0,120
1,note_on,76,73,0
1,note_on,76,0,120
1,note_on,69,64,0
1,note_on,69,0,120
1,note_on,76,66,0
1,note_on,76,0,120
1,note_on,80,68,0
1,note_on,80,0,120
1,note_on,74,70,0
1,note_on,74,0,120
1,note_on,78,67,0
1,note_on,78,0,120
1,note_on,73,70,0
1,note_on,73,0,120
1,note_on,76,67,0
1,note_on,76,0,120
1,note_on,72,68,0
1,note_on,72,0,120
1,note_on,75,65,0
1,note_on,75,0,120
1,note_on,73,67,0
1,note_on,73,0,120
1,note_on,76,65,0
1,note_on,76,0,120
1,note_on,75,68,0
1,note_on,75,0,120
1,note_on,78,64,0
1,note_on,78,0,120
1,note_on,72,69,0
1,note_on,72,0,120
1,note_on,75,64,0
1,note_on,75,0,120
1,note_on,76,68,0
1,note_on,76,0,120
1,note_on,73,67,0
1,note_on,73,0,120
1,note_on,71,66,0
1,note_on,71,0,120
1,note_on,69,64,0
1,note_on,69,0,120
1,note_on,68,63,0
1,note_on,68,0,120
1,note_on,66,62,0
1,note_on,66,0,120
1,note_on,64,60,0
1,note_on,64,0,120
1,note_on,63,59,0
1,note_on,63,0,120
1,note_on,64,62,0
1,note_on,64,0,120
1,note_on,61,57,0
1,note_on,61,0,120
1,note_on,64,57,0
1,note_on,64,0,120
1,note_on,68,57,0
1,note_on,68,0,120
1,note_on,64,60,0
1,note_on,64,0,120
1,note_on,61,57,0
1,note_on,61,0,120
1,note_on,64,57,0
1,note_on,64,0,120
1,note_on,69,57,0
1,note_on,69,0,120
1,note_on,63,59,0
1,note_on,63,0,120
1,note_on,59,57,0
1,note_on,59,0,120
1,note_on,63,57,0
1,note_on,63,0,120
1,note_on,69,57,0
1,note_on,69,0,120
1,note_on,63,59,0
