Track,Message Type,Note,Velocity,Time
1,note_on,63,38,240
1,note_on,57,38,0
1,note_on,69,53,0
1,note_on,69,0,480
1,note_on,57,0,0
1,note_on,63,0,0
1,note_on,63,38,0
1,note_on,58,38,0
1,note_on,70,54,0
1,note_on,70,0,240
1,note_on,58,0,0
1,note_on,63,0,0
1,note_on,74,63,0
1,note_on,74,0,180
1,note_on,72,57,0
1,note_on,72,0,60
1,note_on,72,60,0
1,note_on,63,43,0
1,note_on,60,43,0
1,note_on,60,0,480
1,note_on,63,0,0
1,note_on,72,0,0
1,note_on,58,39,0
1,note_on,63,47,0
1,note_on,70,56,0
1,note_on,70,0,240
1,note_on,63,0,0
1,note_on,58,0,0
1,note_on,63,40,0
1,note_on,69,57,0
1,note_on,57,40,0
1,note_on,57,0,240
1,note_on,69,0,0
1,note_on,63,0,0
1,note_on,58,38,0
1,note_on,63,45,0
1,note_on,67,54,0
1,note_on,67,0,240
1,note_on,58,0,0
1,note_on,60,51,0
1,note_on,65,60,0
1,note_on,65,0,120
1,note_on,67,50,0
1,note_on,67,0,30
1,note_on,65,45,0
1,note_on,65,0,30
1,note_on,64,50,0
1,note_on,64,0,30
1,note_on,65,52,0
1,note_on,65,0,30
1,note_on,63,0,0
1,note_on,67,59,0
1,note_on,67,0,180
1,note_on,63,52,0
1,note_on,63,0,60
1,note_on,63,58,0
1,note_on,63,0,240
1,note_on,60,0,0
1,note_on,56,35,0
1,note_on,50,35,0
1,note_on,62,50,0
1,note_on,62,0,480
1,note_on,50,0,0
1,note_on,56,0,0
1,note_on,56,23,0
1,note_on,51,23,0
1,note_on,60,41,0
1,note_on,51,0,210
1,note_on,55,46,30
1,note_on,55,0,180
1,note_on,53,37,0
1,note_on,53,0,60
1,note_on,60,0,0
1,note_on,56,0,0
1,note_on,53,30,0
1,note_on,56,36,0
1,note_on,58,43,0
1,note_on,58,0,480
1,note_on,56,0,0
1,note_on,53,0,0
1,note_on,56,29,0
1,note_on,58,42,0
1,note_on,51,29,0
1,note_on,51,0,240
1,note_on,50,35,0
1,note_on,50,0,240
1,note_on,58,0,0
1,note_on,56,0,0
1,note_on,48,43,0
1,note_on,48,0,240
1,note_on,46,47,0
1,note_on,46,0,120
1,note_on,48,41,0
1,note_on,46,34,30
1,note_on,48,0,9
1,note_on,45,42,21
1,note_on,46,0,9
1,note_on,46,46,21
1,note_on,45,0,9
1,note_on,48,50,21
1,note_on,46,0,9
1,note_on,48,0,171
1,note_on,44,44,0
1,note_on,44,0,60
1,note_on,44,44,0
1,note_on,44,0,210
1,note_on,71,53,30
1,note_on,67,38,0
1,note_on,62,38,0
1,note_on,62,0,480
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,66,49,0
1,note_on,60,41,0
1,note_on,72,59,0
1,note_on,72,0,210
1,note_on,60,0,0
1,note_on,66,0,0
1,note_on,63,37,0
1,note_on,66,37,0
1,note_on,66,0,30
1,note_on,75,74,0
1,note_on,75,0,180
1,note_on,74,59,0
1,note_on,74,0,60
1,note_on,63,0,0
1,note_on,65,45,0
1,note_on,74,63,0
1,note_on,74,0,480
1,note_on,65,0,0
1,note_on,63,47,0
1,note_on,72,56,0
1,note_on,72,0,240
1,note_on,63,0,0
1,note_on,62,48,0
1,note_on,71,57,0
1,note_on,71,0,240
1,note_on,62,0,0
1,note_on,60,45,0
1,note_on,68,54,0
1,note_on,68,0,240
1,note_on,60,0,0
1,note_on,67,60,0
1,note_on,59,51,0
1,note_on,67,0,120
1,note_on,68,50,0
1,note_on,68,0,30
1,note_on,67,45,0
1,note_on,67,0,30
1,note_on,65,50,0
1,note_on,65,0,30
1,note_on,67,52,0
1,note_on,67,0,30
1,note_on,59,0,0
1,note_on,68,57,0
1,note_on,62,51,0
1,note_on,68,0,180
1,note_on,65,52,0
1,note_on,65,0,60
1,note_on,65,58,0
1,note_on,65,0,240
1,note_on,62,0,0
1,note_on,58,43,0
1,note_on,55,39,0
1,note_on,64,66,0
1,note_on,64,0,960
1,note_on,55,0,0
1,note_on,58,0,0
1,note_on,58,41,0
1,note_on,67,54,0
1,note_on,67,0,360
1,note_on,58,0,0
1,note_on,61,38,0
1,note_on,70,45,0
1,note_on,70,0,120
1,note_on,61,0,0
1,note_on,60,38,0
1,note_on,68,45,0
1,note_on,68,0,120
1,note_on,60,0,0
1,note_on,58,38,60
1,note_on,67,45,0
1,note_on,67,0,60
1,note_on,58,0,0
1,note_on,61,38,0
1,note_on,70,45,0
1,note_on,70,0,240
1,note_on,61,0,0
1,note_on,60,38,0
1,note_on,69,45,0
1,note_on,69,0,960
1,note_on,60,0,0
1,note_on,63,38,0
1,note_on,72,57,0
1,note_on,72,0,360
1,note_on,63,0,0
1,note_on,66,38,0
1,note_on,75,45,0
1,note_on,75,0,120
1,note_on,66,0,0
1,note_on,65,38,0
1,note_on,73,54,0
1,note_on,73,0,120
1,note_on,65,0,0
1,note_on,63,38,0
1,note_on,72,54,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,66,38,0
1,note_on,75,54,0
1,note_on,75,0,120
1,note_on,66,0,0
1,note_on,73,54,0
1,note_on,65,38,0
1,note_on,65,0,120
1,note_on,73,0,0
1,note_on,70,54,0
1,note_on,61,38,0
1,note_on,61,0,120
1,note_on,70,0,0
